time,Miami,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. K. Olynyk (R. Hollis-Jefferson gains possession),,,,Jump ball: T. Zeller vs. K. Olynyk (R. Hollis-Jefferson gains possession)
11:37.0,,,0-0,,R. Hollis-Jefferson misses 2-pt shot from 12 ft
11:34.0,Defensive rebound by G. Dragic,,0-0,,
11:21.0,J. Johnson misses 2-pt shot at rim,,0-0,,
11:19.0,,,0-0,,Defensive rebound by D. Carroll
11:13.0,,,0-2,2,D. Carroll makes 2-pt shot from 9 ft
11:13.0,,,0-2,,Shooting foul by J. Richardson (drawn by D. Carroll)
11:13.0,,,0-2,,D. Carroll misses free throw 1 of 1
11:12.0,Defensive rebound by G. Dragic,,0-2,,
10:58.0,G. Dragic misses 2-pt shot from 13 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by S. Dinwiddie
10:42.0,,,0-5,3,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
10:28.0,D. Waiters misses 3-pt shot from 24 ft,,0-5,,
10:24.0,,,0-5,,Defensive rebound by D. Carroll
10:14.0,,,0-8,3,A. Crabbe makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
9:56.0,D. Waiters makes 2-pt shot from 1 ft,2,2-8,,
9:44.0,,,2-10,2,T. Zeller makes 2-pt shot from 5 ft (assist by S. Dinwiddie)
9:30.0,G. Dragic misses 2-pt shot from 8 ft,,2-10,,
9:28.0,,,2-10,,Defensive rebound by D. Carroll
9:15.0,,,2-10,,D. Carroll misses 2-pt shot from 6 ft
9:15.0,Defensive rebound by J. Richardson,,2-10,,
9:06.0,J. Richardson makes 2-pt shot from 16 ft,2,4-10,,
9:06.0,Shooting foul by D. Carroll (drawn by J. Richardson),,4-10,,
9:06.0,J. Richardson makes free throw 1 of 1,1,5-10,,
8:51.0,,,5-12,2,S. Dinwiddie makes 2-pt shot from 9 ft
8:30.0,J. Johnson makes 2-pt shot at rim (assist by K. Olynyk),2,7-12,,
8:05.0,,,7-12,,A. Crabbe misses 2-pt shot from 23 ft
8:01.0,Defensive rebound by K. Olynyk,,7-12,,
7:58.0,,,7-12,,Personal foul by T. Zeller (drawn by D. Waiters)
7:58.0,T. Johnson enters the game for G. Dragic,,7-12,,
7:50.0,D. Waiters misses 2-pt shot from 16 ft,,7-12,,
7:50.0,,,7-12,,Defensive rebound by R. Hollis-Jefferson
7:38.0,,,7-14,2,R. Hollis-Jefferson makes 2-pt shot from 14 ft (assist by S. Dinwiddie)
7:25.0,T. Johnson makes 2-pt shot from 12 ft,2,9-14,,
7:05.0,,,9-14,,S. Dinwiddie misses 3-pt shot from 27 ft
7:05.0,,,9-14,,Offensive rebound by A. Crabbe
6:53.0,,,9-16,2,T. Zeller makes 2-pt shot at rim (assist by S. Dinwiddie)
6:37.0,D. Waiters misses 2-pt shot from 1 ft,,9-16,,
6:35.0,,,9-16,,Defensive rebound by T. Zeller
6:24.0,,,9-16,,A. Crabbe misses 2-pt shot from 18 ft
6:24.0,Defensive rebound by J. Johnson,,9-16,,
6:14.0,T. Johnson makes 2-pt shot from 22 ft (assist by K. Olynyk),2,11-16,,
6:05.0,,,11-16,,Brooklyn full timeout
6:05.0,,,11-16,,J. Allen enters the game for T. Zeller
6:05.0,,,11-16,,C. LeVert enters the game for A. Crabbe
6:05.0,J. Winslow enters the game for J. Richardson,,11-16,,
6:05.0,W. Ellington enters the game for J. Johnson,,11-16,,
5:55.0,,,11-16,,Turnover by D. Carroll (traveling)
5:41.0,W. Ellington misses 3-pt shot from 24 ft,,11-16,,
5:36.0,,,11-16,,Defensive rebound by D. Carroll
5:27.0,,,11-16,,D. Carroll misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by T. Johnson,,11-16,,
5:12.0,K. Olynyk makes 2-pt shot from 15 ft (assist by D. Waiters),2,13-16,,
4:51.0,,,13-18,2,R. Hollis-Jefferson makes 2-pt shot from 11 ft
4:51.0,,,13-18,,Shooting foul by W. Ellington (drawn by R. Hollis-Jefferson)
4:51.0,,,13-18,,Q. Acy enters the game for D. Carroll
4:51.0,,,13-19,1,R. Hollis-Jefferson makes free throw 1 of 1
4:33.0,D. Waiters misses 2-pt shot from 19 ft,,13-19,,
4:29.0,,,13-19,,Defensive rebound by J. Allen
4:18.0,,,13-19,,Turnover by C. LeVert (step out of bounds)
4:18.0,J. Richardson enters the game for K. Olynyk,,13-19,,
4:18.0,B. Adebayo enters the game for D. Waiters,,13-19,,
4:00.0,T. Johnson makes 2-pt shot from 9 ft,2,15-19,,
3:44.0,,,15-21,2,C. LeVert makes 2-pt shot at rim
3:33.0,J. Richardson misses 2-pt shot from 14 ft,,15-21,,
3:31.0,Offensive rebound by B. Adebayo,,15-21,,
3:31.0,B. Adebayo misses 2-pt shot at rim,,15-21,,
3:31.0,Offensive rebound by Team,,15-21,,
3:31.0,,,15-21,,Loose ball foul by Q. Acy (drawn by J. Richardson)
3:31.0,,,15-21,,A. Crabbe enters the game for S. Dinwiddie
3:21.0,T. Johnson makes 2-pt shot from 19 ft,2,17-21,,
3:09.0,,,17-23,2,J. Allen makes 2-pt shot at rim (assist by C. LeVert)
3:06.0,Miami full timeout,,17-23,,
3:06.0,,,17-23,,D. Carroll enters the game for R. Hollis-Jefferson
2:57.0,T. Johnson misses 3-pt shot from 25 ft,,17-23,,
2:55.0,,,17-23,,Defensive rebound by J. Allen
2:46.0,,,17-23,,Offensive foul by Q. Acy (drawn by T. Johnson)
2:46.0,,,17-23,,Turnover by Q. Acy (offensive foul)
2:31.0,T. Johnson misses 2-pt shot from 20 ft,,17-23,,
2:28.0,,,17-23,,Defensive rebound by Q. Acy
2:06.0,,,17-23,,Q. Acy misses 2-pt shot from 18 ft
2:06.0,,,17-23,,Offensive rebound by Team
2:06.0,,,17-23,,Turnover by Team (shot clock)
1:53.0,J. Richardson misses 2-pt shot from 18 ft,,17-23,,
1:50.0,,,17-23,,Defensive rebound by J. Allen
1:29.0,,,17-23,,Q. Acy misses 3-pt shot from 22 ft
1:26.0,Defensive rebound by B. Adebayo,,17-23,,
1:18.0,J. Winslow makes 2-pt shot from 14 ft,2,19-23,,
1:09.0,,,19-23,,Shooting foul by T. Johnson (drawn by C. LeVert)
1:09.0,,,19-24,1,C. LeVert makes free throw 1 of 2
1:09.0,G. Dragic enters the game for T. Johnson,,19-24,,
1:09.0,,,19-25,1,C. LeVert makes free throw 2 of 2
0:55.0,J. Winslow makes 3-pt shot from 22 ft (assist by G. Dragic),3,22-25,,
0:43.0,Personal block foul by J. Richardson (drawn by D. Carroll),,22-25,,
0:43.0,,,22-26,1,D. Carroll makes free throw 1 of 2
0:43.0,J. Johnson enters the game for J. Richardson,,22-26,,
0:43.0,,,22-26,,D. Carroll misses free throw 2 of 2
0:41.0,Defensive rebound by J. Winslow,,22-26,,
0:30.0,B. Adebayo makes 2-pt shot at rim (assist by J. Winslow),2,24-26,,
0:16.0,,,24-26,,D. Carroll misses 3-pt shot from 24 ft
0:14.0,,,24-26,,Offensive rebound by D. Carroll
