time,Utah,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. D. Favors (K. Thompson gains possession),,,,Jump ball: Z. Pachulia vs. D. Favors (K. Thompson gains possession)
11:48.0,,,0-0,,K. Thompson misses 2-pt shot from 20 ft
11:43.0,Defensive rebound by T. Sefolosha,,0-0,,
11:23.0,T. Sefolosha misses 2-pt shot from 10 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by S. Livingston
11:07.0,Def 3 sec tech foul by J. Ingles,,0-0,,
11:07.0,,,0-1,1,K. Durant makes technical free throw
10:57.0,,,0-3,2,S. Livingston makes 2-pt shot from 1 ft (assist by K. Thompson)
10:41.0,J. Ingles misses 2-pt shot from 19 ft,,0-3,,
10:35.0,,,0-3,,Defensive rebound by K. Durant
10:32.0,,,0-3,,S. Livingston misses 2-pt shot from 3 ft
10:30.0,Defensive rebound by D. Mitchell,,0-3,,
10:30.0,,,0-3,,Personal foul by K. Thompson (drawn by D. Mitchell)
10:19.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles),2,2-3,,
10:02.0,,,2-5,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green)
10:02.0,,,2-5,,Shooting foul by R. Rubio (drawn by Z. Pachulia)
10:02.0,,,2-6,1,Z. Pachulia makes free throw 1 of 1
9:50.0,Turnover by J. Ingles (bad pass; steal by S. Livingston),,2-6,,
9:37.0,,,2-8,2,K. Durant makes 2-pt shot at rim (assist by D. Green)
9:15.0,R. Rubio misses 2-pt shot from 13 ft,,2-8,,
9:11.0,,,2-8,,Defensive rebound by D. Green
9:08.0,,,2-10,2,S. Livingston makes 2-pt shot from 11 ft
9:07.0,Utah full timeout,,2-10,,
8:44.0,J. Ingles makes 3-pt shot from 26 ft (assist by D. Mitchell),3,5-10,,
8:27.0,,,5-10,,K. Durant misses 2-pt shot from 12 ft
8:25.0,Defensive rebound by J. Ingles,,5-10,,
8:17.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles),2,7-10,,
7:59.0,,,7-10,,S. Livingston misses 2-pt shot from 13 ft
7:56.0,Defensive rebound by J. Ingles,,7-10,,
7:53.0,Turnover by D. Mitchell (bad pass),,7-10,,
7:27.0,,,7-10,,K. Thompson misses 2-pt shot from 2 ft
7:25.0,Defensive rebound by T. Sefolosha,,7-10,,
7:23.0,T. Sefolosha makes 2-pt shot from 21 ft,2,9-10,,
7:03.0,,,9-12,2,D. Green makes 2-pt shot from 13 ft
6:53.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by R. Rubio),2,11-12,,
6:39.0,,,11-15,3,D. Green makes 3-pt shot from 26 ft (assist by Z. Pachulia)
6:11.0,R. Rubio makes 2-pt shot from 12 ft (assist by D. Mitchell),2,13-15,,
6:05.0,Personal foul by T. Sefolosha (drawn by K. Durant),,13-15,,
6:05.0,R. Hood enters the game for R. Rubio,,13-15,,
5:57.0,Personal foul by D. Mitchell (drawn by D. Green),,13-15,,
5:45.0,,,13-15,,D. Green misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by D. Mitchell,,13-15,,
5:37.0,D. Mitchell makes 3-pt shot from 27 ft (assist by J. Ingles),3,16-15,,
5:33.0,,,16-15,,Golden State full timeout
5:33.0,,,16-15,,J. Bell enters the game for Z. Pachulia
5:33.0,,,16-15,,P. McCaw enters the game for S. Livingston
5:13.0,,,16-15,,K. Thompson misses 3-pt shot from 29 ft
5:09.0,Defensive rebound by J. Ingles,,16-15,,
4:57.0,Shooting foul by J. Bell (drawn by D. Favors),,16-15,,
4:57.0,D. Favors makes free throw 1 of 2,1,17-15,,
4:57.0,,,17-15,,A. Iguodala enters the game for D. Green
4:57.0,D. Favors makes free throw 2 of 2,1,18-15,,
4:43.0,,,18-15,,J. Bell misses 2-pt shot from 9 ft
4:39.0,Defensive rebound by D. Favors,,18-15,,
4:30.0,T. Sefolosha misses 2-pt shot from 5 ft (block by K. Durant),,18-15,,
4:26.0,,,18-15,,Defensive rebound by J. Bell
4:24.0,,,18-15,,J. Bell misses 2-pt shot from 1 ft
4:19.0,,,18-15,,Offensive rebound by J. Bell
4:19.0,,,18-15,,J. Bell misses 2-pt shot at rim
4:18.0,Defensive rebound by D. Favors,,18-15,,
4:11.0,J. Ingles misses 2-pt shot from 3 ft,,18-15,,
4:09.0,Offensive rebound by D. Favors,,18-15,,
4:09.0,D. Favors misses 2-pt shot at rim,,18-15,,
4:06.0,,,18-15,,Defensive rebound by A. Iguodala
4:06.0,,,18-17,2,P. McCaw makes 2-pt shot from 2 ft
4:06.0,,,18-17,,Shooting foul by D. Favors (drawn by P. McCaw)
4:06.0,,,18-17,,N. Young enters the game for K. Thompson
4:06.0,A. Burks enters the game for J. Ingles,,18-17,,
4:06.0,E. Udoh enters the game for D. Favors,,18-17,,
4:06.0,,,18-17,,P. McCaw misses free throw 1 of 1
4:03.0,Defensive rebound by T. Sefolosha,,18-17,,
