time,Charlotte,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. D. Howard (M. Williams gains possession),,,,Jump ball: D. Powell vs. D. Howard (M. Williams gains possession)
11:37.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by H. Barnes
11:25.0,,,0-2,2,D. Smith makes 2-pt shot at rim (assist by D. Powell)
11:06.0,M. Williams misses 2-pt shot from 7 ft,,0-2,,
11:02.0,Offensive rebound by D. Howard,,0-2,,
11:02.0,D. Howard misses 2-pt shot at rim,,0-2,,
11:02.0,,,0-2,,Defensive rebound by D. Powell
10:57.0,,,0-2,,H. Barnes misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by D. Howard,,0-2,,
10:45.0,D. Howard misses 2-pt shot from 1 ft (block by D. Powell),,0-2,,
10:44.0,,,0-2,,Defensive rebound by D. Powell
10:43.0,,,0-2,,Turnover by D. Powell (bad pass; steal by K. Walker)
10:41.0,K. Walker makes 2-pt shot at rim,2,2-2,,
10:13.0,,,2-2,,D. Finney-Smith misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by M. Kidd-Gilchrist,,2-2,,
10:07.0,,,2-2,,Personal foul by D. Powell (drawn by M. Kidd-Gilchrist)
10:01.0,D. Howard makes 2-pt shot from 3 ft (assist by M. Williams),2,4-2,,
9:52.0,,,4-2,,D. Smith misses 2-pt shot from 21 ft
9:50.0,Defensive rebound by D. Howard,,4-2,,
9:40.0,J. Lamb misses 3-pt shot from 24 ft,,4-2,,
9:36.0,,,4-2,,Defensive rebound by D. Smith
9:31.0,,,4-2,,D. Powell misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by D. Howard,,4-2,,
9:19.0,K. Walker makes 2-pt shot at rim,2,6-2,,
9:05.0,,,6-2,,H. Barnes misses 2-pt shot from 20 ft
9:02.0,Defensive rebound by M. Williams,,6-2,,
8:50.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,6-2,,
8:47.0,,,6-2,,Defensive rebound by H. Barnes
8:34.0,,,6-4,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by D. Smith)
8:24.0,Offensive foul by M. Williams (drawn by D. Smith),,6-4,,
8:24.0,Turnover by M. Williams (offensive foul),,6-4,,
8:12.0,,,6-4,,D. Smith misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by M. Williams,,6-4,,
8:02.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by D. Nowitzki),,6-4,,
7:58.0,Offensive rebound by M. Kidd-Gilchrist,,6-4,,
7:50.0,K. Walker makes 3-pt shot from 24 ft (assist by J. Lamb),3,9-4,,
7:40.0,,,9-6,2,D. Smith makes 2-pt shot from 1 ft
7:26.0,D. Howard makes 2-pt shot from 18 ft (assist by K. Walker),2,11-6,,
7:12.0,,,11-6,,Shooting foul by D. Howard (drawn by D. Powell)
7:12.0,,,11-7,1,D. Powell makes free throw 1 of 2
7:12.0,,,11-8,1,D. Powell makes free throw 2 of 2
7:02.0,K. Walker misses 2-pt shot from 13 ft,,11-8,,
6:58.0,,,11-8,,Defensive rebound by D. Nowitzki
6:54.0,,,11-8,,Shooting foul by K. Walker (drawn by D. Finney-Smith)
6:54.0,,,11-8,,Dallas full timeout
6:54.0,,,11-8,,D. McDermott enters the game for D. Nowitzki
6:54.0,,,11-8,,N. Noel enters the game for D. Powell
6:54.0,,,11-9,1,D. Finney-Smith makes free throw 1 of 2
6:54.0,,,11-9,,D. Finney-Smith misses free throw 2 of 2
6:52.0,Defensive rebound by D. Howard,,11-9,,
6:38.0,Turnover by K. Walker (bad pass; steal by N. Noel),,11-9,,
6:31.0,,,11-12,3,H. Barnes makes 3-pt shot from 25 ft
6:09.0,M. Williams makes 2-pt shot from 12 ft (assist by J. Lamb),2,13-12,,
5:56.0,,,13-12,,Turnover by H. Barnes (bad pass; steal by J. Lamb)
5:49.0,Turnover by K. Walker (bad pass; steal by D. Finney-Smith),,13-12,,
5:43.0,,,13-12,,H. Barnes misses 2-pt shot at rim
5:42.0,,,13-12,,Offensive rebound by D. Smith
5:41.0,,,13-12,,D. Smith misses 2-pt shot at rim
5:40.0,,,13-12,,Offensive rebound by H. Barnes
5:39.0,,,13-12,,D. Finney-Smith misses 3-pt shot from 25 ft
5:36.0,,,13-12,,Offensive rebound by D. Smith
5:33.0,,,13-12,,D. McDermott misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by M. Kidd-Gilchrist,,13-12,,
5:15.0,K. Walker misses 3-pt shot from 24 ft,,13-12,,
5:15.0,,,13-12,,Defensive rebound by N. Noel
5:02.0,,,13-15,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Finney-Smith)
4:43.0,Turnover by D. Howard (lost ball; steal by N. Noel),,13-15,,
4:37.0,,,13-17,2,D. McDermott makes 2-pt shot at rim (assist by D. Smith)
4:24.0,K. Walker misses 2-pt shot from 22 ft,,13-17,,
4:22.0,,,13-17,,Defensive rebound by N. Noel
4:16.0,,,13-20,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith)
4:14.0,Charlotte full timeout,,13-20,,
4:14.0,,,13-20,,J. Barea enters the game for D. Smith
4:14.0,F. Kaminsky enters the game for M. Williams,,13-20,,
4:14.0,D. Bacon enters the game for J. Lamb,,13-20,,
3:53.0,M. Kidd-Gilchrist makes 2-pt shot from 13 ft,2,15-20,,
3:35.0,,,15-20,,D. Finney-Smith misses 2-pt shot from 9 ft
3:35.0,Defensive rebound by D. Howard,,15-20,,
3:24.0,M. Kidd-Gilchrist misses 2-pt shot from 6 ft,,15-20,,
3:21.0,,,15-20,,Defensive rebound by D. McDermott
3:10.0,,,15-20,,J. Barea misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by D. Howard,,15-20,,
3:00.0,D. Bacon misses 2-pt shot from 15 ft,,15-20,,
2:56.0,,,15-20,,Defensive rebound by N. Noel
2:47.0,,,15-22,2,N. Noel makes 2-pt shot from 9 ft (assist by J. Barea)
2:34.0,,,15-22,,Y. Ferrell enters the game for D. Finney-Smith
2:34.0,T. Graham enters the game for M. Kidd-Gilchrist,,15-22,,
2:34.0,M. Monk enters the game for K. Walker,,15-22,,
2:29.0,D. Howard makes 2-pt shot at rim (assist by F. Kaminsky),2,17-22,,
2:11.0,,,17-22,,H. Barnes misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by D. Bacon,,17-22,,
2:03.0,M. Monk misses 3-pt shot from 25 ft,,17-22,,
2:01.0,,,17-22,,Defensive rebound by N. Noel
1:46.0,,,17-25,3,D. McDermott makes 3-pt shot from 23 ft (assist by Y. Ferrell)
1:29.0,D. Bacon makes 2-pt shot from 11 ft (assist by T. Graham),2,19-25,,
1:29.0,Shooting foul by D. McDermott (drawn by D. Bacon),,19-25,,
1:29.0,,,19-25,,D. Nowitzki enters the game for H. Barnes
1:29.0,W. Hernangomez enters the game for D. Howard,,19-25,,
1:29.0,D. Bacon makes free throw 1 of 1,1,20-25,,
1:10.0,,,20-27,2,J. Barea makes 2-pt shot from 18 ft
0:55.0,F. Kaminsky makes 2-pt shot from 6 ft,2,22-27,,
0:33.0,,,22-27,,Turnover by J. Barea (bad pass; steal by D. Bacon)
0:30.0,Turnover by F. Kaminsky (out of bounds lost ball),,22-27,,
0:18.0,,,22-27,,D. McDermott misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by M. Monk,,22-27,,
0:04.0,M. Monk misses 3-pt shot from 24 ft,,22-27,,
0:02.0,,,22-27,,Defensive rebound by N. Noel
0:00.0,,,22-27,,J. Barea misses 3-pt shot from 56 ft
0:00.0,,,22-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,22-27,,D. Nowitzki misses 3-pt shot from 26 ft
11:38.0,Defensive rebound by Team,,22-27,,
11:28.0,M. Monk makes 2-pt shot from 1 ft (assist by W. Hernangomez),2,24-27,,
11:04.0,,,24-27,,Y. Ferrell misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by F. Kaminsky,,24-27,,
10:50.0,Turnover by M. Monk (bad pass; steal by Y. Ferrell),,24-27,,
10:43.0,,,24-27,,D. Nowitzki misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by D. Bacon,,24-27,,
10:34.0,D. Bacon misses 2-pt shot from 13 ft,,24-27,,
10:34.0,Offensive rebound by Team,,24-27,,
10:34.0,,,24-27,,Loose ball foul by D. Nowitzki (drawn by W. Hernangomez)
10:27.0,M. Monk misses 2-pt shot from 14 ft,,24-27,,
10:23.0,,,24-27,,Defensive rebound by D. Nowitzki
10:20.0,Shooting block foul by W. Hernangomez (drawn by J. Barea),,24-27,,
10:20.0,,,24-27,,J. Barea misses free throw 1 of 2
10:20.0,,,24-27,,Offensive rebound by Team
10:20.0,,,24-28,1,J. Barea makes free throw 2 of 2
10:06.0,W. Hernangomez misses 2-pt shot from 3 ft,,24-28,,
10:04.0,,,24-28,,Defensive rebound by D. Nowitzki
10:01.0,,,24-28,,Turnover by Y. Ferrell (out of bounds lost ball)
9:50.0,F. Kaminsky misses 2-pt shot from 18 ft,,24-28,,
9:47.0,,,24-28,,Defensive rebound by D. Powell
9:40.0,,,24-30,2,Y. Ferrell makes 2-pt shot from 1 ft
9:27.0,M. Monk makes 3-pt shot from 24 ft,3,27-30,,
9:14.0,,,27-30,,Turnover by J. Barea (bad pass; steal by D. Bacon)
9:11.0,Turnover by D. Bacon (bad pass; steal by Y. Ferrell),,27-30,,
9:08.0,,,27-30,,Turnover by D. Powell (bad pass; steal by M. Monk)
8:59.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by D. Bacon),3,30-30,,
8:58.0,,,30-30,,Dallas full timeout
8:46.0,,,30-30,,D. McDermott misses 2-pt shot from 7 ft (block by W. Hernangomez)
8:46.0,Defensive rebound by F. Kaminsky,,30-30,,
8:39.0,M. Monk misses 2-pt shot at rim,,30-30,,
8:37.0,,,30-30,,Defensive rebound by D. Nowitzki
8:29.0,,,30-32,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by J. Barea)
8:10.0,Shooting foul by D. Nowitzki (drawn by W. Hernangomez),,30-32,,
8:10.0,W. Hernangomez makes free throw 1 of 2,1,31-32,,
8:10.0,W. Hernangomez makes free throw 2 of 2,1,32-32,,
7:54.0,,,32-32,,D. Powell misses 2-pt shot from 2 ft
7:52.0,Defensive rebound by W. Hernangomez,,32-32,,
7:38.0,F. Kaminsky misses 2-pt shot from 3 ft,,32-32,,
7:36.0,,,32-32,,Defensive rebound by D. Nowitzki
7:31.0,,,32-32,,Turnover by J. Barea (lost ball; steal by W. Hernangomez)
7:28.0,Shooting foul by Y. Ferrell (drawn by F. Kaminsky),,32-32,,
7:28.0,F. Kaminsky makes free throw 1 of 2,1,33-32,,
7:28.0,F. Kaminsky makes free throw 2 of 2,1,34-32,,
7:16.0,,,34-35,3,J. Barea makes 3-pt shot from 26 ft (assist by D. Nowitzki)
7:04.0,T. Graham makes 3-pt shot from 22 ft (assist by M. Monk),3,37-35,,
6:51.0,,,37-35,,J. Barea misses 3-pt shot from 25 ft
