time,Phoenix,pts.away,score,pts.home,Miami
4:38.0,M. Chriss enters the game for T. Warren,,91-119,,
4:26.0,J. Jackson makes 3-pt shot from 23 ft (assist by D. Bender),3,94-119,,
4:10.0,,,94-119,,T. Johnson misses 2-pt shot from 21 ft
4:10.0,Defensive rebound by M. Chriss,,94-119,,
4:01.0,S. Harrison misses 2-pt shot from 8 ft,,94-119,,
4:00.0,Offensive rebound by Team,,94-119,,
3:55.0,D. Reed makes 2-pt shot from 16 ft (assist by D. Bender),2,96-119,,
3:40.0,,,96-119,,J. Winslow misses 2-pt shot from 1 ft
3:38.0,Defensive rebound by S. Harrison,,96-119,,
3:24.0,S. Harrison misses 2-pt shot from 1 ft,,96-119,,
3:22.0,Offensive rebound by S. Harrison,,96-119,,
3:18.0,S. Harrison misses 2-pt shot at rim,,96-119,,
3:17.0,,,96-119,,Defensive rebound by J. Winslow
3:12.0,,,96-119,,L. Babbitt misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by J. Jackson,,96-119,,
3:09.0,,,96-119,,Personal foul by J. Winslow (drawn by J. Jackson)
3:09.0,,,96-119,,U. Haslem enters the game for T. Johnson
3:09.0,A. Peters enters the game for D. Bender,,96-119,,
2:49.0,D. Reed misses 3-pt shot from 26 ft,,96-119,,
2:45.0,,,96-119,,Defensive rebound by B. Adebayo
2:35.0,,,96-119,,Shooting foul by M. Chriss (drawn by B. Adebayo)
2:35.0,,,96-120,1,B. Adebayo makes free throw 1 of 2
2:35.0,,,96-121,1,B. Adebayo makes free throw 2 of 2
2:22.0,Turnover by J. Jackson (bad pass; steal by J. Winslow),,96-121,,
2:17.0,,,96-121,,Turnover by J. Winslow (lost ball; steal by J. Jackson)
2:08.0,S. Harrison makes 2-pt shot from 1 ft,2,98-121,,
1:56.0,,,98-121,,U. Haslem misses 3-pt shot from 26 ft
1:55.0,,,98-121,,Offensive rebound by D. Jones
1:53.0,,,98-121,,D. Jones misses 2-pt shot from 1 ft
1:52.0,,,98-121,,Offensive rebound by D. Jones
1:51.0,,,98-123,2,D. Jones makes 2-pt shot at rim
1:39.0,M. Chriss makes 3-pt shot from 25 ft (assist by A. Peters),3,101-123,,
1:15.0,,,101-123,,D. Jones misses 3-pt shot from 24 ft
1:14.0,Defensive rebound by J. Jackson,,101-123,,
1:09.0,,,101-123,,Shooting block foul by D. Jones (drawn by J. Jackson)
1:09.0,J. Jackson misses free throw 1 of 2,,101-123,,
1:09.0,Offensive rebound by Team,,101-123,,
1:09.0,J. Jackson misses free throw 2 of 2,,101-123,,
1:06.0,,,101-123,,Defensive rebound by U. Haslem
0:47.0,,,101-123,,U. Haslem misses 2-pt shot from 19 ft
0:44.0,Defensive rebound by J. Jackson,,101-123,,
0:32.0,Turnover by S. Harrison (bad pass),,101-123,,
0:16.0,,,101-125,2,J. Winslow makes 2-pt shot at rim
0:02.0,A. Peters misses 3-pt shot from 25 ft,,101-125,,
0:02.0,Offensive rebound by D. Reed,,101-125,,
0:02.0,D. Reed makes 2-pt shot from 1 ft,2,103-125,,
