time,Phoenix,pts.away,score,pts.home,Miami
5:09.0,T. Chandler makes 2-pt shot from 1 ft (assist by D. Bender),2,16-20,,
4:58.0,Personal foul by D. Booker (drawn by G. Dragic),,16-20,,
4:58.0,,,16-20,,J. Winslow enters the game for J. Johnson
4:58.0,J. Jackson enters the game for D. Booker,,16-20,,
4:58.0,A. Len enters the game for T. Chandler,,16-20,,
4:47.0,,,16-20,,H. Whiteside misses 2-pt shot from 18 ft
4:44.0,Defensive rebound by E. Payton,,16-20,,
4:37.0,E. Payton misses 2-pt shot from 9 ft,,16-20,,
4:36.0,Offensive rebound by E. Payton,,16-20,,
4:36.0,,,16-20,,Personal foul by H. Whiteside (drawn by E. Payton)
4:28.0,E. Payton misses 2-pt shot from 1 ft (block by H. Whiteside),,16-20,,
4:26.0,,,16-20,,Defensive rebound by H. Whiteside
4:22.0,,,16-20,,J. Winslow misses 2-pt shot from 12 ft (block by E. Payton)
4:21.0,,,16-20,,Offensive rebound by J. Winslow
4:16.0,,,16-20,,G. Dragic misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by A. Len,,16-20,,
4:04.0,,,16-20,,D. Wade enters the game for G. Dragic
4:04.0,M. Chriss enters the game for D. Bender,,16-20,,
3:53.0,,,16-20,,Violation by R. McGruder (kicked ball)
3:45.0,E. Payton misses 2-pt shot from 19 ft,,16-20,,
3:43.0,Offensive rebound by T. Warren,,16-20,,
3:24.0,E. Payton makes 2-pt shot from 7 ft,2,18-20,,
3:05.0,,,18-22,2,R. McGruder makes 2-pt shot from 6 ft
2:54.0,T. Warren misses 2-pt shot from 21 ft,,18-22,,
2:52.0,,,18-22,,Defensive rebound by R. McGruder
2:41.0,,,18-22,,D. Wade misses 2-pt shot from 1 ft (block by M. Chriss)
2:36.0,Defensive rebound by M. Chriss,,18-22,,
2:35.0,Turnover by M. Chriss (bad pass; steal by J. Winslow),,18-22,,
2:32.0,,,18-25,3,L. Babbitt makes 3-pt shot from 23 ft (assist by D. Wade)
2:32.0,Phoenix full timeout,,18-25,,
2:32.0,,,18-25,,K. Olynyk enters the game for H. Whiteside
2:32.0,D. Booker enters the game for E. Payton,,18-25,,
2:32.0,S. Harrison enters the game for T. Warren,,18-25,,
2:16.0,Turnover by D. Booker (bad pass; steal by J. Winslow),,18-25,,
2:16.0,Personal foul by S. Harrison (drawn by J. Winslow),,18-25,,
2:06.0,,,18-28,3,L. Babbitt makes 3-pt shot from 26 ft (assist by K. Olynyk)
1:53.0,A. Len misses 2-pt shot from 2 ft,,18-28,,
1:53.0,Offensive rebound by A. Len,,18-28,,
1:48.0,A. Len makes 2-pt shot from 1 ft,2,20-28,,
1:31.0,,,20-30,2,J. Winslow makes 2-pt shot from 16 ft
1:23.0,J. Jackson misses 3-pt shot from 25 ft,,20-30,,
1:21.0,Offensive rebound by A. Len,,20-30,,
1:21.0,,,20-30,,Personal foul by J. Winslow (drawn by A. Len)
1:21.0,A. Len makes free throw 1 of 2,1,21-30,,
1:21.0,A. Len makes free throw 2 of 2,1,22-30,,
1:05.0,,,22-30,,K. Olynyk misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by J. Jackson,,22-30,,
0:56.0,Turnover by J. Jackson (out of bounds lost ball),,22-30,,
0:44.0,,,22-30,,D. Wade misses 2-pt shot from 13 ft
0:44.0,Defensive rebound by Team,,22-30,,
0:44.0,,,22-30,,T. Johnson enters the game for L. Babbitt
0:33.0,D. Booker makes 3-pt shot from 25 ft,3,25-30,,
0:20.0,,,25-30,,T. Johnson misses 3-pt shot from 24 ft
0:17.0,Defensive rebound by M. Chriss,,25-30,,
0:00.0,S. Harrison makes 2-pt shot from 1 ft,2,27-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Jackson misses 3-pt shot from 23 ft,,27-30,,
11:39.0,Offensive rebound by A. Len,,27-30,,
11:34.0,M. Chriss makes 3-pt shot from 26 ft (assist by S. Harrison),3,30-30,,
11:20.0,Personal block foul by M. Chriss (drawn by D. Wade),,30-30,,
11:12.0,Violation by A. Len (kicked ball),,30-30,,
11:04.0,,,30-30,,Turnover by J. Winslow (out of bounds lost ball)
10:37.0,S. Harrison misses 3-pt shot from 25 ft,,30-30,,
10:35.0,,,30-30,,Defensive rebound by D. Wade
10:33.0,Personal foul by S. Harrison (drawn by D. Wade),,30-30,,
10:33.0,,,30-30,,J. Richardson enters the game for R. McGruder
10:23.0,,,30-30,,Shooting foul by D. Booker (drawn by J. Richardson)
10:23.0,,,30-31,1,J. Richardson makes free throw 1 of 2
10:23.0,T. Warren enters the game for D. Booker,,30-31,,
10:23.0,,,30-32,1,J. Richardson makes free throw 2 of 2
10:09.0,J. Jackson misses 2-pt shot from 1 ft,,30-32,,
