time,Minnesota,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. K. Towns (J. Ingles gains possession),,,,Jump ball: R. Gobert vs. K. Towns (J. Ingles gains possession)
11:41.0,,,0-0,,D. Favors misses 3-pt shot from 23 ft
11:36.0,Defensive rebound by J. Teague,,0-0,,
11:20.0,A. Wiggins misses 2-pt shot from 13 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by R. Rubio
11:06.0,,,0-2,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
10:49.0,Shooting foul by J. Ingles (drawn by A. Wiggins),,0-2,,
10:49.0,A. Wiggins makes free throw 1 of 2,1,1-2,,
10:49.0,A. Wiggins misses free throw 2 of 2,,1-2,,
10:49.0,,,1-2,,Defensive rebound by R. Gobert
10:37.0,,,1-2,,D. Mitchell misses 2-pt shot from 2 ft
10:36.0,,,1-2,,Offensive rebound by Team
10:33.0,,,1-2,,R. Gobert misses 2-pt shot from 18 ft
10:30.0,Defensive rebound by J. Teague,,1-2,,
10:27.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,3-2,,
10:01.0,,,3-2,,Turnover by R. Rubio (bad pass)
9:52.0,Turnover by A. Wiggins (lost ball; steal by D. Favors),,3-2,,
9:47.0,,,3-4,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Rubio)
9:30.0,K. Towns misses 2-pt shot from 18 ft,,3-4,,
9:28.0,,,3-4,,Defensive rebound by J. Ingles
9:20.0,,,3-4,,Turnover by J. Ingles (bad pass)
9:07.0,J. Teague makes 2-pt shot from 10 ft,2,5-4,,
8:50.0,,,5-7,3,J. Ingles makes 3-pt shot from 26 ft
8:30.0,T. Gibson makes 2-pt shot from 2 ft,2,7-7,,
8:17.0,,,7-7,,R. Gobert misses 2-pt shot from 1 ft
8:13.0,,,7-7,,Offensive rebound by D. Favors
8:13.0,,,7-9,2,D. Favors makes 2-pt shot at rim
7:58.0,Turnover by J. Teague (lost ball; steal by R. Rubio),,7-9,,
7:53.0,,,7-11,2,D. Mitchell makes 2-pt shot from 2 ft (assist by R. Rubio)
7:34.0,K. Towns makes 2-pt shot from 1 ft,2,9-11,,
7:23.0,,,9-13,2,R. Rubio makes 2-pt shot from 19 ft
7:11.0,J. Teague misses 2-pt shot from 9 ft,,9-13,,
7:09.0,,,9-13,,Defensive rebound by Team
6:49.0,,,9-13,,J. Ingles misses 2-pt shot from 2 ft
6:47.0,,,9-13,,Offensive rebound by D. Favors
6:45.0,,,9-15,2,D. Favors makes 2-pt shot from 1 ft
6:26.0,T. Gibson misses 2-pt shot from 16 ft,,9-15,,
6:24.0,,,9-15,,Defensive rebound by D. Mitchell
6:20.0,,,9-15,,D. Mitchell misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by K. Towns,,9-15,,
6:12.0,Turnover by A. Wiggins (bad pass; steal by D. Mitchell),,9-15,,
6:10.0,Personal foul by J. Teague (drawn by D. Mitchell),,9-15,,
6:10.0,,,9-15,,Utah full timeout
6:10.0,,,9-15,,J. Crowder enters the game for D. Favors
5:54.0,,,9-15,,J. Ingles misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by J. Teague,,9-15,,
5:46.0,J. Teague makes 2-pt shot from 6 ft,2,11-15,,
5:31.0,,,11-15,,J. Jerebko enters the game for R. Rubio
5:19.0,,,11-17,2,J. Jerebko makes 2-pt shot from 2 ft (assist by J. Ingles)
4:53.0,J. Teague makes 3-pt shot from 25 ft (assist by N. Bjelica),3,14-17,,
4:33.0,,,14-17,,J. Ingles misses 2-pt shot from 12 ft
4:30.0,,,14-17,,Offensive rebound by J. Ingles
4:28.0,,,14-17,,J. Jerebko misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by T. Gibson,,14-17,,
4:13.0,K. Towns misses 2-pt shot from 8 ft,,14-17,,
4:11.0,,,14-17,,Defensive rebound by D. Mitchell
4:06.0,,,14-17,,Turnover by D. Mitchell (bad pass; steal by K. Towns)
4:05.0,Shooting foul by D. Mitchell (drawn by K. Towns),,14-17,,
4:05.0,K. Towns makes free throw 1 of 2,1,15-17,,
4:05.0,,,15-17,,A. Burks enters the game for J. Ingles
4:05.0,T. Jones enters the game for J. Teague,,15-17,,
4:05.0,K. Towns makes free throw 2 of 2,1,16-17,,
3:53.0,,,16-17,,J. Crowder misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by N. Bjelica,,16-17,,
3:36.0,,,16-17,,Personal foul by J. Crowder (drawn by T. Gibson)
3:36.0,G. Dieng enters the game for K. Towns,,16-17,,
3:26.0,T. Gibson makes 2-pt shot from 5 ft,2,18-17,,
3:26.0,,,18-17,,Violation by R. Gobert (def goaltending)
3:11.0,,,18-17,,J. Crowder misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by G. Dieng,,18-17,,
2:52.0,A. Wiggins misses 2-pt shot from 7 ft (block by R. Gobert),,18-17,,
2:48.0,,,18-17,,Defensive rebound by D. Mitchell
2:35.0,,,18-19,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Mitchell)
2:21.0,N. Bjelica misses 2-pt shot from 4 ft (block by R. Gobert),,18-19,,
2:18.0,,,18-19,,Defensive rebound by A. Burks
2:07.0,,,18-22,3,D. Mitchell makes 3-pt shot from 27 ft (assist by J. Crowder)
1:59.0,Minnesota full timeout,,18-22,,
1:59.0,J. Crawford enters the game for N. Bjelica,,18-22,,
1:59.0,,,18-22,,R. Neto enters the game for R. Gobert
1:59.0,,,18-22,,D. Favors enters the game for D. Mitchell
1:51.0,T. Jones makes 2-pt shot from 12 ft,2,20-22,,
1:30.0,,,20-22,,Turnover by R. Neto (bad pass)
1:30.0,N. Bjelica enters the game for A. Wiggins,,20-22,,
1:24.0,,,20-22,,Personal foul by A. Burks (drawn by J. Crawford)
1:11.0,Shooting foul by D. Favors (drawn by G. Dieng),,20-22,,
1:11.0,G. Dieng makes free throw 1 of 2,1,21-22,,
1:11.0,G. Dieng makes free throw 2 of 2,1,22-22,,
0:58.0,,,22-22,,Turnover by R. Neto (bad pass; steal by J. Crawford)
0:54.0,T. Jones makes 2-pt shot from 2 ft (assist by J. Crawford),2,24-22,,
0:42.0,,,24-22,,J. Crowder misses 2-pt shot from 9 ft
0:40.0,,,24-22,,Offensive rebound by J. Jerebko
0:40.0,,,24-22,,Shooting foul by T. Gibson (drawn by J. Jerebko)
0:40.0,,,24-23,1,J. Jerebko makes free throw 1 of 2
0:40.0,,,24-23,,J. Jerebko misses free throw 2 of 2
0:37.0,Defensive rebound by T. Gibson,,24-23,,
0:29.0,T. Jones misses 2-pt shot from 6 ft,,24-23,,
