time,Atlanta,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. D. Dedmon (T. Waller-Prince gains possession),,,,Jump ball: T. Mozgov vs. D. Dedmon (T. Waller-Prince gains possession)
11:45.0,K. Bazemore misses 2-pt shot from 19 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by C. LeVert
11:30.0,,,0-0,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
11:28.0,Defensive rebound by D. Dedmon,,0-0,,
11:21.0,Turnover by K. Bazemore (bad pass),,0-0,,
11:03.0,,,0-0,,R. Hollis-Jefferson misses 2-pt shot from 4 ft
11:00.0,,,0-0,,Offensive rebound by D. Russell
10:47.0,,,0-0,,T. Mozgov misses 2-pt shot from 4 ft
10:45.0,Defensive rebound by E. Ilyasova,,0-0,,
10:37.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by D. Schroder),3,3-0,,
10:24.0,,,3-0,,Turnover by D. Russell (bad pass; steal by E. Ilyasova)
10:21.0,Shooting foul by C. LeVert (drawn by E. Ilyasova),,3-0,,
10:21.0,E. Ilyasova makes free throw 1 of 2,1,4-0,,
10:21.0,E. Ilyasova makes free throw 2 of 2,1,5-0,,
10:07.0,,,5-0,,D. Russell misses 3-pt shot from 22 ft
10:03.0,,,5-0,,Offensive rebound by T. Mozgov
9:56.0,,,5-2,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert)
9:40.0,D. Schroder makes 2-pt shot from 16 ft,2,7-2,,
9:19.0,,,7-2,,C. LeVert misses 3-pt shot from 22 ft
9:17.0,Defensive rebound by D. Dedmon,,7-2,,
9:11.0,E. Ilyasova misses 3-pt shot from 22 ft,,7-2,,
9:09.0,,,7-2,,Defensive rebound by R. Hollis-Jefferson
9:04.0,,,7-2,,Turnover by C. LeVert (step out of bounds)
8:52.0,D. Schroder misses 2-pt shot from 16 ft,,7-2,,
8:49.0,,,7-2,,Defensive rebound by T. Mozgov
8:26.0,,,7-4,2,D. Carroll makes 2-pt shot from 1 ft
8:10.0,Turnover by K. Bazemore (bad pass; steal by R. Hollis-Jefferson),,7-4,,
8:06.0,,,7-4,,Shooting foul by K. Bazemore (drawn by C. LeVert)
8:06.0,,,7-4,,C. LeVert misses free throw 1 of 2
8:06.0,,,7-4,,Offensive rebound by Team
8:06.0,,,7-4,,Q. Acy enters the game for R. Hollis-Jefferson
8:06.0,,,7-5,1,C. LeVert makes free throw 2 of 2
7:55.0,E. Ilyasova misses 3-pt shot from 24 ft,,7-5,,
7:53.0,,,7-5,,Defensive rebound by Q. Acy
7:45.0,,,7-5,,D. Carroll misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by D. Dedmon,,7-5,,
7:26.0,K. Bazemore misses 2-pt shot from 6 ft,,7-5,,
7:26.0,,,7-5,,Defensive rebound by Team
7:05.0,,,7-5,,Turnover by C. LeVert (lost ball; steal by D. Schroder)
7:03.0,Shooting foul by Q. Acy (drawn by T. Waller-Prince),,7-5,,
7:03.0,,,7-5,,Brooklyn full timeout
7:03.0,M. Belinelli enters the game for D. Dedmon,,7-5,,
7:03.0,J. Collins enters the game for K. Bazemore,,7-5,,
7:03.0,T. Waller-Prince makes free throw 1 of 2,1,8-5,,
7:03.0,T. Waller-Prince makes free throw 2 of 2,1,9-5,,
6:45.0,,,9-5,,Q. Acy misses 2-pt shot from 17 ft
6:41.0,Defensive rebound by J. Collins,,9-5,,
6:35.0,Shooting foul by Q. Acy (drawn by M. Belinelli),,9-5,,
6:35.0,M. Belinelli makes free throw 1 of 2,1,10-5,,
6:35.0,,,10-5,,A. Crabbe enters the game for C. LeVert
6:35.0,M. Belinelli makes free throw 2 of 2,1,11-5,,
6:24.0,,,11-5,,Q. Acy misses 3-pt shot from 25 ft
