time,Orlando,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Porter vs. B. Biyombo (J. Wall gains possession),,,,Jump ball: O. Porter vs. B. Biyombo (J. Wall gains possession)
11:39.0,,,0-2,2,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall)
11:18.0,B. Biyombo makes 2-pt shot from 1 ft (assist by A. Gordon),2,2-2,,
11:07.0,,,2-4,2,M. Morris makes 2-pt shot from 5 ft (assist by B. Beal)
10:53.0,Turnover by A. Gordon (bad pass; steal by O. Porter),,2-4,,
10:48.0,,,2-4,,J. Wall misses 2-pt shot from 20 ft
10:44.0,Defensive rebound by E. Payton,,2-4,,
10:41.0,E. Payton makes 2-pt shot from 4 ft,2,4-4,,
10:41.0,Shooting foul by B. Beal (drawn by E. Payton),,4-4,,
10:41.0,E. Payton makes free throw 1 of 1,1,5-4,,
10:25.0,,,5-4,,O. Porter misses 3-pt shot from 21 ft
10:21.0,,,5-4,,Offensive rebound by M. Gortat
10:20.0,,,5-6,2,M. Gortat makes 2-pt shot from 3 ft
10:10.0,Turnover by E. Payton (bad pass),,5-6,,
9:57.0,,,5-8,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
9:34.0,E. Payton misses 2-pt shot from 3 ft,,5-8,,
9:33.0,Offensive rebound by B. Biyombo,,5-8,,
9:33.0,Turnover by Team (shot clock),,5-8,,
9:22.0,,,5-10,2,M. Gortat makes 2-pt shot from 14 ft (assist by J. Wall)
9:22.0,Orlando full timeout,,5-10,,
9:07.0,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton),2,7-10,,
8:49.0,,,7-10,,O. Porter misses 2-pt shot from 20 ft
8:47.0,Defensive rebound by E. Payton,,7-10,,
8:40.0,E. Payton makes 2-pt shot at rim,2,9-10,,
8:31.0,,,9-12,2,B. Beal makes 2-pt shot from 2 ft
8:22.0,B. Biyombo makes 2-pt shot from 3 ft (assist by A. Gordon),2,11-12,,
8:22.0,Shooting foul by M. Gortat (drawn by B. Biyombo),,11-12,,
8:22.0,B. Biyombo makes free throw 1 of 1,1,12-12,,
