time,Chicago,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. R. Lopez (L. Ball gains possession),,,,Jump ball: B. Lopez vs. R. Lopez (L. Ball gains possession)
11:48.0,,,0-2,2,K. Kuzma makes 2-pt shot at rim (assist by L. Ball)
11:30.0,K. Dunn makes 2-pt shot from 17 ft,2,2-2,,
11:11.0,,,2-2,,L. Ball misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by K. Dunn,,2-2,,
11:03.0,D. Valentine makes 2-pt shot from 5 ft (assist by K. Dunn),2,4-2,,
10:52.0,,,4-2,,Turnover by B. Lopez (bad pass; steal by D. Valentine)
10:38.0,L. Markkanen misses 2-pt shot from 17 ft,,4-2,,
10:36.0,,,4-2,,Defensive rebound by Team
10:28.0,,,4-2,,B. Lopez misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by J. Holiday,,4-2,,
10:18.0,Turnover by K. Dunn (bad pass; steal by K. Caldwell-Pope),,4-2,,
10:01.0,,,4-2,,B. Lopez misses 2-pt shot from 9 ft
9:57.0,Defensive rebound by L. Markkanen,,4-2,,
9:49.0,J. Holiday misses 2-pt shot from 6 ft,,4-2,,
9:47.0,,,4-2,,Defensive rebound by K. Caldwell-Pope
9:40.0,,,4-5,3,B. Ingram makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
9:28.0,L. Markkanen misses 2-pt shot from 1 ft,,4-5,,
9:26.0,,,4-5,,Defensive rebound by K. Kuzma
9:10.0,,,4-8,3,K. Kuzma makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope)
8:57.0,L. Markkanen misses 3-pt shot from 24 ft,,4-8,,
8:54.0,,,4-8,,Defensive rebound by L. Ball
8:49.0,,,4-8,,B. Lopez misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by J. Holiday,,4-8,,
8:39.0,R. Lopez makes 2-pt shot from 4 ft (assist by K. Dunn),2,6-8,,
8:27.0,,,6-10,2,B. Lopez makes 2-pt shot from 1 ft (assist by B. Ingram)
8:08.0,R. Lopez makes 2-pt shot from 19 ft (assist by J. Holiday),2,8-10,,
7:55.0,Violation by K. Dunn (kicked ball),,8-10,,
7:40.0,,,8-10,,Turnover by L. Ball (lost ball; steal by K. Dunn)
7:34.0,D. Valentine makes 3-pt shot from 23 ft (assist by J. Holiday),3,11-10,,
7:33.0,,,11-10,,LA Lakers full timeout
7:16.0,,,11-10,,L. Ball misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by L. Markkanen,,11-10,,
7:05.0,Turnover by J. Holiday (turnover),,11-10,,
7:01.0,,,11-12,2,K. Kuzma makes 2-pt shot from 7 ft (assist by B. Lopez)
6:52.0,Turnover by L. Markkanen (bad pass; steal by K. Caldwell-Pope),,11-12,,
6:46.0,,,11-12,,L. Ball misses 2-pt shot at rim (block by K. Dunn)
6:42.0,Defensive rebound by J. Holiday,,11-12,,
6:40.0,J. Holiday misses 2-pt shot from 12 ft,,11-12,,
6:40.0,,,11-12,,Defensive rebound by B. Lopez
6:32.0,,,11-12,,Turnover by K. Caldwell-Pope (lost ball; steal by D. Valentine)
6:16.0,Turnover by J. Holiday (bad pass; steal by B. Ingram),,11-12,,
6:12.0,,,11-12,,Offensive foul by B. Ingram (drawn by L. Markkanen)
6:12.0,,,11-12,,Turnover by B. Ingram (offensive foul)
5:55.0,K. Dunn makes 2-pt shot from 17 ft,2,13-12,,
5:45.0,,,13-15,3,K. Kuzma makes 3-pt shot from 26 ft (assist by L. Ball)
5:36.0,,,13-15,,Personal foul by K. Kuzma (drawn by L. Markkanen)
5:36.0,,,13-15,,J. Randle enters the game for K. Kuzma
5:16.0,J. Holiday misses 3-pt shot from 25 ft,,13-15,,
5:13.0,,,13-15,,Defensive rebound by L. Ball
5:03.0,,,13-17,2,B. Ingram makes 2-pt shot from 1 ft
4:58.0,Chicago full timeout,,13-17,,
4:58.0,A. Blakeney enters the game for J. Holiday,,13-17,,
4:58.0,B. Portis enters the game for L. Markkanen,,13-17,,
4:49.0,R. Lopez makes 2-pt shot from 1 ft (assist by K. Dunn),2,15-17,,
4:39.0,,,15-19,2,L. Ball makes 2-pt shot from 1 ft (assist by B. Ingram)
4:20.0,K. Dunn misses 3-pt shot from 25 ft,,15-19,,
4:14.0,Offensive rebound by R. Lopez,,15-19,,
4:13.0,R. Lopez makes 2-pt shot from 1 ft,2,17-19,,
4:05.0,,,17-19,,B. Ingram misses 2-pt shot from 18 ft
4:05.0,Defensive rebound by B. Portis,,17-19,,
3:53.0,D. Valentine makes 3-pt shot from 25 ft (assist by B. Portis),3,20-19,,
3:30.0,,,20-19,,J. Randle misses 2-pt shot from 19 ft
3:30.0,Defensive rebound by D. Valentine,,20-19,,
3:21.0,K. Dunn misses 2-pt shot from 18 ft,,20-19,,
3:18.0,,,20-19,,Defensive rebound by B. Lopez
3:07.0,,,20-19,,B. Ingram misses 2-pt shot from 1 ft
3:06.0,Defensive rebound by B. Portis,,20-19,,
2:59.0,A. Blakeney misses 3-pt shot from 23 ft,,20-19,,
2:56.0,,,20-19,,Defensive rebound by K. Caldwell-Pope
2:52.0,Personal foul by R. Lopez (drawn by B. Lopez),,20-19,,
2:52.0,,,20-19,,J. Clarkson enters the game for L. Ball
2:52.0,J. Grant enters the game for K. Dunn,,20-19,,
2:52.0,,,20-19,,I. Zubac enters the game for B. Lopez
2:44.0,,,20-19,,Turnover by J. Randle (traveling)
2:31.0,B. Portis misses 3-pt shot from 25 ft,,20-19,,
2:29.0,,,20-19,,Defensive rebound by I. Zubac
2:20.0,,,20-21,2,I. Zubac makes 2-pt shot from 8 ft (assist by J. Clarkson)
2:09.0,A. Blakeney makes 2-pt shot from 11 ft,2,22-21,,
1:57.0,,,22-21,,Offensive foul by I. Zubac (drawn by J. Grant)
1:57.0,,,22-21,,Turnover by I. Zubac (offensive foul)
1:57.0,C. Felicio enters the game for R. Lopez,,22-21,,
1:49.0,D. Valentine makes 3-pt shot from 26 ft (assist by J. Grant),3,25-21,,
1:35.0,,,25-23,2,J. Clarkson makes 2-pt shot at rim (assist by J. Randle)
1:12.0,A. Blakeney misses 2-pt shot from 2 ft,,25-23,,
1:10.0,,,25-23,,Defensive rebound by J. Randle
1:05.0,,,25-23,,J. Randle misses 2-pt shot from 2 ft (block by B. Portis)
1:05.0,Defensive rebound by Team,,25-23,,
0:56.0,J. Grant misses 2-pt shot from 18 ft,,25-23,,
0:53.0,,,25-23,,Defensive rebound by J. Randle
0:44.0,Personal foul by A. Blakeney (drawn by K. Caldwell-Pope),,25-23,,
0:34.0,,,25-23,,J. Clarkson misses 2-pt shot from 2 ft
0:32.0,Defensive rebound by B. Portis,,25-23,,
0:28.0,A. Blakeney makes 2-pt shot from 20 ft (assist by J. Grant),2,27-23,,
0:05.0,,,27-23,,J. Randle misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by A. Blakeney,,27-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,C. Felicio misses 2-pt shot from 9 ft,,27-23,,
11:44.0,,,27-23,,Defensive rebound by J. Randle
11:35.0,,,27-23,,Turnover by J. Randle (bad pass)
11:25.0,A. Blakeney makes 2-pt shot from 20 ft,2,29-23,,
11:09.0,,,29-23,,J. Hart misses 2-pt shot from 21 ft
11:02.0,,,29-23,,Offensive rebound by J. Randle
10:57.0,,,29-23,,Shooting foul by C. Felicio (drawn by K. Kuzma)
10:57.0,,,29-24,1,K. Kuzma makes free throw 1 of 2
10:57.0,,,29-24,,K. Kuzma misses free throw 2 of 2
10:57.0,Defensive rebound by Team,,29-24,,
10:47.0,Shooting foul by J. Randle (drawn by A. Blakeney),,29-24,,
10:47.0,A. Blakeney makes free throw 1 of 3,1,30-24,,
10:47.0,A. Blakeney makes free throw 2 of 3,1,31-24,,
10:47.0,A. Blakeney makes free throw 3 of 3,1,32-24,,
10:28.0,,,32-24,,Turnover by J. Hart (bad pass)
10:13.0,A. Blakeney makes 2-pt shot from 2 ft,2,34-24,,
9:58.0,,,34-26,2,C. Brewer makes 2-pt shot at rim
9:43.0,A. Blakeney makes 2-pt shot from 19 ft,2,36-26,,
9:28.0,,,36-26,,Turnover by C. Brewer (traveling)
9:28.0,,,36-26,,LA Lakers full timeout
9:17.0,A. Blakeney misses 2-pt shot from 17 ft,,36-26,,
9:13.0,Offensive rebound by B. Portis,,36-26,,
9:11.0,B. Portis misses 2-pt shot at rim (block by J. Randle),,36-26,,
9:11.0,,,36-26,,Defensive rebound by C. Brewer
9:05.0,,,36-26,,J. Hart misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by A. Blakeney,,36-26,,
8:57.0,J. Grant makes 3-pt shot from 26 ft (assist by A. Blakeney),3,39-26,,
8:36.0,,,39-26,,Turnover by J. Clarkson (lost ball; steal by B. Portis)
8:32.0,A. Blakeney makes 2-pt shot at rim (assist by J. Grant),2,41-26,,
8:30.0,Technical foul by A. Blakeney,,41-26,,
8:30.0,,,41-26,,LA Lakers full timeout
