time,Milwaukee,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: M. Kleber vs. J. Henson (G. Antetokounmpo gains possession)
11:44.0,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe),2,2-0,,
11:20.0,,,2-2,2,W. Matthews makes 2-pt shot from 8 ft
10:59.0,Turnover by J. Henson (lost ball; steal by W. Matthews),,2-2,,
10:45.0,,,2-2,,Turnover by D. Smith (bad pass; steal by K. Middleton)
10:40.0,T. Snell makes 3-pt shot from 24 ft (assist by K. Middleton),3,5-2,,
10:26.0,Personal foul by G. Antetokounmpo (drawn by D. Nowitzki),,5-2,,
10:20.0,,,5-4,2,M. Kleber makes 2-pt shot from 3 ft (assist by D. Nowitzki)
10:20.0,,,5-4,,Shooting foul by J. Henson (drawn by M. Kleber)
10:20.0,,,5-5,1,M. Kleber makes free throw 1 of 1
10:11.0,T. Snell misses 3-pt shot from 24 ft,,5-5,,
10:06.0,,,5-5,,Defensive rebound by W. Matthews
9:51.0,,,5-5,,H. Barnes misses 2-pt shot from 5 ft (block by T. Snell)
9:47.0,Defensive rebound by E. Bledsoe,,5-5,,
9:44.0,E. Bledsoe misses 2-pt shot from 16 ft,,5-5,,
9:44.0,,,5-5,,Defensive rebound by D. Nowitzki
9:37.0,,,5-5,,D. Smith misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by E. Bledsoe,,5-5,,
9:31.0,Loose ball foul by E. Bledsoe (drawn by D. Smith),,5-5,,
9:22.0,,,5-5,,Turnover by D. Smith (lost ball; steal by E. Bledsoe)
9:16.0,E. Bledsoe makes 2-pt shot from 2 ft,2,7-5,,
8:55.0,,,7-5,,D. Smith misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by T. Snell,,7-5,,
8:46.0,K. Middleton misses 3-pt shot from 24 ft,,7-5,,
8:46.0,,,7-5,,Defensive rebound by Team
8:24.0,,,7-8,3,W. Matthews makes 3-pt shot from 25 ft (assist by M. Kleber)
8:10.0,J. Henson misses 2-pt shot from 4 ft,,7-8,,
8:07.0,,,7-8,,Defensive rebound by D. Nowitzki
7:53.0,,,7-8,,W. Matthews misses 2-pt shot from 21 ft
7:48.0,Defensive rebound by E. Bledsoe,,7-8,,
7:42.0,G. Antetokounmpo makes 2-pt shot from 11 ft,2,9-8,,
7:25.0,,,9-10,2,H. Barnes makes 2-pt shot from 1 ft (assist by W. Matthews)
7:15.0,Shooting foul by M. Kleber (drawn by G. Antetokounmpo),,9-10,,
7:15.0,G. Antetokounmpo makes free throw 1 of 2,1,10-10,,
7:15.0,,,10-10,,Y. Ferrell enters the game for D. Nowitzki
7:15.0,G. Antetokounmpo makes free throw 2 of 2,1,11-10,,
7:04.0,,,11-10,,Offensive foul by M. Kleber (drawn by E. Bledsoe)
7:04.0,,,11-10,,Turnover by M. Kleber (offensive foul)
7:04.0,,,11-10,,D. Powell enters the game for M. Kleber
7:04.0,M. Brogdon enters the game for E. Bledsoe,,11-10,,
6:49.0,K. Middleton makes 2-pt shot from 9 ft,2,13-10,,
6:43.0,,,13-10,,Dallas full timeout
6:32.0,,,13-10,,Turnover by D. Powell (traveling)
6:12.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,13-10,,
6:11.0,,,13-10,,Defensive rebound by Team
6:11.0,Loose ball foul by J. Henson (drawn by D. Powell),,13-10,,
6:11.0,T. Maker enters the game for J. Henson,,13-10,,
5:55.0,,,13-13,3,Y. Ferrell makes 3-pt shot from 26 ft (assist by D. Smith)
5:45.0,Turnover by K. Middleton (bad pass),,13-13,,
5:32.0,D. Liggins enters the game for T. Snell,,13-13,,
5:12.0,,,13-15,2,D. Powell makes 2-pt shot from 1 ft (assist by W. Matthews)
4:57.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,16-15,,
4:36.0,,,16-17,2,H. Barnes makes 2-pt shot from 1 ft (assist by W. Matthews)
4:21.0,D. Liggins misses 3-pt shot from 24 ft,,16-17,,
4:17.0,,,16-17,,Defensive rebound by D. Powell
4:13.0,Personal foul by K. Middleton (drawn by H. Barnes),,16-17,,
4:13.0,,,16-18,1,H. Barnes makes free throw 1 of 2
4:13.0,,,16-19,1,H. Barnes makes free throw 2 of 2
3:57.0,Shooting foul by D. Powell (drawn by G. Antetokounmpo),,16-19,,
3:57.0,G. Antetokounmpo makes free throw 1 of 2,1,17-19,,
3:57.0,,,17-19,,J. Barea enters the game for D. Smith
3:57.0,,,17-19,,D. Harris enters the game for Y. Ferrell
3:57.0,G. Antetokounmpo makes free throw 2 of 2,1,18-19,,
3:41.0,,,18-19,,H. Barnes misses 2-pt shot from 10 ft
3:34.0,,,18-19,,Offensive rebound by D. Powell
3:34.0,,,18-19,,D. Powell misses 2-pt shot at rim
3:33.0,Defensive rebound by T. Maker,,18-19,,
3:24.0,K. Middleton makes 2-pt shot from 7 ft,2,20-19,,
3:07.0,,,20-22,3,W. Matthews makes 3-pt shot from 22 ft (assist by J. Barea)
2:54.0,M. Brogdon misses 3-pt shot from 24 ft,,20-22,,
2:50.0,,,20-22,,Defensive rebound by H. Barnes
2:43.0,,,20-22,,D. Powell misses 3-pt shot from 24 ft
2:41.0,Defensive rebound by G. Antetokounmpo,,20-22,,
2:35.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,20-22,,
2:30.0,Offensive rebound by G. Antetokounmpo,,20-22,,
2:30.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,20-22,,
2:30.0,Offensive rebound by T. Maker,,20-22,,
2:25.0,Turnover by T. Maker (bad pass),,20-22,,
2:25.0,Milwaukee full timeout,,20-22,,
2:25.0,,,20-22,,Y. Ferrell enters the game for W. Matthews
2:25.0,,,20-22,,D. Nowitzki enters the game for H. Barnes
2:25.0,T. Snell enters the game for G. Antetokounmpo,,20-22,,
2:12.0,,,20-24,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris)
1:55.0,Offensive foul by M. Brogdon (drawn by D. Harris),,20-24,,
1:55.0,Turnover by M. Brogdon (offensive foul),,20-24,,
1:48.0,Personal foul by D. Liggins (drawn by J. Barea),,20-24,,
1:48.0,Turnover by D. Liggins (turnover),,20-24,,
1:48.0,,,20-25,1,J. Barea makes free throw 1 of 2
1:48.0,,,20-26,1,J. Barea makes free throw 2 of 2
1:31.0,T. Maker misses 3-pt shot from 26 ft,,20-26,,
1:28.0,,,20-26,,Defensive rebound by D. Harris
1:20.0,,,20-28,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea)
1:00.0,K. Middleton makes 2-pt shot from 6 ft,2,22-28,,
0:41.0,,,22-30,2,D. Powell makes 2-pt shot from 6 ft (assist by J. Barea)
0:41.0,,,22-30,,Shooting foul by K. Middleton (drawn by D. Powell)
0:41.0,,,22-31,1,D. Powell makes free throw 1 of 1
0:31.0,Turnover by K. Middleton (lost ball; steal by D. Harris),,22-31,,
