time,LA Clippers,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: B. Lopez vs. D. Jordan (B. Griffin gains possession)
11:40.0,D. Gallinari misses 2-pt shot from 2 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by B. Ingram
11:18.0,,,0-0,,L. Nance misses 2-pt shot from 15 ft
11:15.0,Defensive rebound by D. Jordan,,0-0,,
11:09.0,B. Griffin misses 3-pt shot from 26 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by B. Ingram
11:00.0,,,0-0,,B. Lopez misses 2-pt shot from 9 ft
10:50.0,,,0-0,,Offensive rebound by L. Nance
10:50.0,,,0-0,,L. Nance misses 2-pt shot at rim
10:49.0,Defensive rebound by D. Jordan,,0-0,,
10:47.0,P. Beverley misses 2-pt shot from 14 ft,,0-0,,
10:44.0,,,0-0,,Defensive rebound by L. Ball
10:39.0,,,0-0,,B. Ingram misses 2-pt shot from 9 ft
10:39.0,Defensive rebound by D. Gallinari,,0-0,,
10:28.0,D. Gallinari misses 2-pt shot from 1 ft,,0-0,,
10:27.0,Offensive rebound by D. Jordan,,0-0,,
10:27.0,D. Jordan misses 2-pt shot at rim,,0-0,,
10:27.0,Offensive rebound by D. Jordan,,0-0,,
10:27.0,Shooting foul by L. Ball (drawn by D. Jordan),,0-0,,
10:27.0,D. Jordan makes free throw 2 of 2,1,1-0,,
10:27.0,D. Jordan makes free throw 1 of 2,1,2-0,,
10:15.0,,,2-0,,B. Lopez misses 2-pt shot from 15 ft
10:07.0,,,2-0,,Offensive rebound by L. Nance
10:07.0,,,2-2,2,L. Nance makes 2-pt shot at rim
10:03.0,Turnover by M. Teodosic (bad pass; steal by L. Deng),,2-2,,
10:00.0,,,2-2,,L. Deng misses 2-pt shot from 4 ft
9:56.0,Defensive rebound by M. Teodosic,,2-2,,
9:42.0,B. Griffin makes 2-pt shot from 2 ft,2,4-2,,
9:28.0,,,4-2,,Turnover by B. Ingram (lost ball; steal by D. Jordan)
9:18.0,B. Griffin makes 2-pt shot at rim,2,6-2,,
9:13.0,,,6-2,,Shooting foul by M. Teodosic (drawn by B. Ingram)
9:13.0,,,6-3,1,B. Ingram makes free throw 1 of 1
9:13.0,,,6-4,1,B. Ingram makes free throw 2 of 2
9:00.0,P. Beverley misses 2-pt shot from 2 ft,,6-4,,
8:58.0,,,6-4,,Defensive rebound by L. Nance
8:57.0,,,6-4,,Turnover by L. Deng (traveling)
8:42.0,Turnover by B. Griffin (traveling),,6-4,,
8:19.0,,,6-4,,B. Ingram misses 2-pt shot from 1 ft
8:16.0,Defensive rebound by D. Jordan,,6-4,,
8:13.0,D. Gallinari makes 2-pt shot from 18 ft,2,8-4,,
7:55.0,,,8-4,,L. Ball misses 2-pt shot from 9 ft
7:53.0,Defensive rebound by D. Jordan,,8-4,,
7:51.0,M. Teodosic makes 3-pt shot from 25 ft (assist by D. Gallinari),3,11-4,,
7:50.0,,,11-4,,LA Lakers full timeout
7:44.0,Personal foul by P. Beverley (drawn by L. Ball),,11-4,,
7:44.0,,,11-4,,Turnover by Team (turnover)
7:23.0,P. Beverley misses 2-pt shot from 4 ft,,11-4,,
7:14.0,Offensive rebound by D. Jordan,,11-4,,
7:14.0,D. Jordan misses 2-pt shot at rim,,11-4,,
7:14.0,,,11-4,,Defensive rebound by B. Lopez
7:12.0,,,11-4,,B. Lopez misses 3-pt shot from 27 ft
7:12.0,Defensive rebound by B. Griffin,,11-4,,
7:00.0,B. Griffin makes 2-pt shot from 2 ft (assist by M. Teodosic),2,13-4,,
6:50.0,,,13-4,,Shooting foul by D. Jordan (drawn by L. Ball)
6:50.0,,,13-4,,L. Ball misses free throw 1 of 2
6:50.0,,,13-4,,Offensive rebound by Team
6:50.0,A. Rivers enters the game for P. Beverley,,13-4,,
6:50.0,,,13-4,,L. Ball misses free throw 2 of 2
6:48.0,Defensive rebound by D. Jordan,,13-4,,
6:40.0,B. Griffin misses 2-pt shot from 21 ft,,13-4,,
6:37.0,,,13-4,,Defensive rebound by L. Ball
6:37.0,Personal foul by B. Griffin (drawn by B. Lopez),,13-4,,
6:37.0,,,13-5,1,B. Lopez makes free throw 1 of 2
6:37.0,,,13-6,1,B. Lopez makes free throw 2 of 2
6:27.0,,,13-6,,B. Ingram misses 2-pt shot from 16 ft
6:24.0,Defensive rebound by D. Gallinari,,13-6,,
6:07.0,M. Teodosic misses 3-pt shot from 30 ft,,13-6,,
6:04.0,,,13-6,,Defensive rebound by L. Nance
5:53.0,,,13-9,3,B. Lopez makes 3-pt shot from 24 ft (assist by B. Ingram)
5:39.0,B. Griffin misses 2-pt shot from 11 ft (block by L. Ball),,13-9,,
5:38.0,Offensive rebound by Team,,13-9,,
5:38.0,,,13-9,,J. Clarkson enters the game for L. Deng
5:32.0,A. Rivers misses 2-pt shot from 11 ft,,13-9,,
5:28.0,,,13-9,,Defensive rebound by L. Ball
5:22.0,,,13-9,,B. Lopez misses 3-pt shot from 26 ft
5:20.0,Defensive rebound by D. Jordan,,13-9,,
5:09.0,Shooting foul by B. Lopez (drawn by D. Gallinari),,13-9,,
5:09.0,D. Gallinari makes free throw 1 of 2,1,14-9,,
5:09.0,D. Gallinari makes free throw 2 of 2,1,15-9,,
4:57.0,,,15-11,2,J. Clarkson makes 2-pt shot from 16 ft
4:44.0,A. Rivers misses 3-pt shot from 25 ft,,15-11,,
4:42.0,,,15-11,,Defensive rebound by L. Nance
4:33.0,,,15-11,,J. Clarkson misses 2-pt shot from 3 ft (block by M. Teodosic)
4:33.0,,,15-11,,Offensive rebound by Team
4:33.0,,,15-11,,A. Bogut enters the game for B. Lopez
4:33.0,L. Williams enters the game for M. Teodosic,,15-11,,
4:33.0,W. Reed enters the game for D. Jordan,,15-11,,
4:27.0,,,15-11,,L. Ball misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by W. Reed,,15-11,,
4:05.0,B. Griffin misses 2-pt shot from 20 ft,,15-11,,
4:02.0,,,15-11,,Defensive rebound by A. Bogut
3:53.0,,,15-11,,J. Clarkson misses 2-pt shot from 7 ft
3:51.0,Defensive rebound by B. Griffin,,15-11,,
3:46.0,Turnover by B. Griffin (lost ball; steal by J. Clarkson),,15-11,,
3:42.0,,,15-13,2,L. Nance makes 2-pt shot from 2 ft (assist by J. Clarkson)
3:29.0,L. Williams misses 2-pt shot from 18 ft,,15-13,,
3:26.0,,,15-13,,Defensive rebound by L. Ball
3:17.0,,,15-15,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
3:17.0,LA Clippers full timeout,,15-15,,
3:17.0,,,15-15,,K. Kuzma enters the game for L. Nance
3:17.0,,,15-15,,J. Randle enters the game for B. Ingram
3:08.0,W. Reed misses 2-pt shot from 3 ft (block by A. Bogut),,15-15,,
3:07.0,,,15-15,,Defensive rebound by J. Clarkson
3:03.0,,,15-15,,J. Clarkson misses 2-pt shot at rim (block by D. Gallinari)
3:02.0,,,15-17,2,J. Randle makes 2-pt shot from 1 ft
3:02.0,,,15-17,,Offensive rebound by J. Randle
2:55.0,L. Williams makes 3-pt shot from 24 ft,3,18-17,,
2:39.0,,,18-17,,Turnover by A. Bogut (lost ball; steal by B. Griffin)
2:33.0,,,18-17,,Personal foul by A. Bogut (drawn by L. Williams)
2:33.0,W. Johnson enters the game for D. Gallinari,,18-17,,
2:20.0,A. Rivers misses 2-pt shot from 2 ft,,18-17,,
2:19.0,Offensive rebound by B. Griffin,,18-17,,
2:12.0,W. Reed misses 2-pt shot from 6 ft,,18-17,,
2:10.0,,,18-17,,Defensive rebound by L. Ball
2:06.0,,,18-17,,L. Ball misses 2-pt shot at rim
2:05.0,Defensive rebound by W. Johnson,,18-17,,
2:01.0,Shooting foul by A. Bogut (drawn by B. Griffin),,18-17,,
2:01.0,B. Griffin makes free throw 1 of 2,1,19-17,,
2:01.0,,,19-17,,A. Caruso enters the game for L. Ball
2:01.0,B. Griffin makes free throw 2 of 2,1,20-17,,
1:43.0,,,20-17,,J. Clarkson misses 2-pt shot from 20 ft
1:36.0,Defensive rebound by B. Griffin,,20-17,,
1:35.0,B. Griffin makes 2-pt shot at rim,2,22-17,,
1:24.0,,,22-17,,J. Randle misses 2-pt shot from 22 ft
1:20.0,,,22-17,,Offensive rebound by J. Randle
1:15.0,,,22-17,,K. Kuzma misses 2-pt shot from 18 ft
1:10.0,Defensive rebound by W. Reed,,22-17,,
0:57.0,B. Griffin makes 3-pt shot from 26 ft,3,25-17,,
0:49.0,,,25-19,2,J. Clarkson makes 2-pt shot from 16 ft (assist by A. Bogut)
0:41.0,Turnover by W. Reed (bad pass; steal by A. Bogut),,25-19,,
0:40.0,,,25-19,,Turnover by A. Bogut (bad pass; steal by L. Williams)
0:39.0,Turnover by L. Williams (bad pass; steal by K. Kuzma),,25-19,,
0:34.0,,,25-19,,Turnover by J. Clarkson (bad pass; steal by A. Rivers)
0:25.0,W. Reed makes 2-pt shot from 2 ft (assist by L. Williams),2,27-19,,
0:02.0,,,27-19,,Turnover by J. Clarkson (bad pass)
0:02.0,,,27-19,,C. Brewer enters the game for J. Randle
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-21,2,J. Clarkson makes 2-pt shot from 2 ft
11:23.0,A. Rivers misses 2-pt shot from 3 ft,,27-21,,
11:23.0,Offensive rebound by Team,,27-21,,
11:17.0,L. Williams misses 3-pt shot from 23 ft,,27-21,,
11:14.0,,,27-21,,Defensive rebound by A. Bogut
11:10.0,,,27-21,,K. Kuzma misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by W. Johnson,,27-21,,
10:59.0,Shooting foul by K. Kuzma (drawn by D. Gallinari),,27-21,,
10:59.0,D. Gallinari misses free throw 1 of 2,,27-21,,
10:59.0,Offensive rebound by Team,,27-21,,
10:59.0,P. Beverley enters the game for A. Rivers,,27-21,,
10:59.0,D. Jordan enters the game for W. Reed,,27-21,,
10:59.0,D. Gallinari makes free throw 2 of 2,1,28-21,,
10:34.0,,,28-24,3,J. Clarkson makes 3-pt shot from 27 ft (assist by K. Kuzma)
10:23.0,L. Williams misses 2-pt shot from 13 ft,,28-24,,
10:21.0,,,28-24,,Defensive rebound by C. Brewer
10:12.0,,,28-24,,Turnover by A. Caruso (bad pass)
10:12.0,,,28-24,,J. Randle enters the game for C. Brewer
10:00.0,D. Gallinari misses 3-pt shot from 25 ft,,28-24,,
9:56.0,Offensive rebound by D. Jordan,,28-24,,
9:55.0,D. Jordan makes 2-pt shot from 2 ft,2,30-24,,
9:36.0,,,30-24,,J. Clarkson misses 2-pt shot from 21 ft
9:34.0,Defensive rebound by L. Williams,,30-24,,
9:27.0,L. Williams makes 2-pt shot from 4 ft (assist by P. Beverley),2,32-24,,
9:16.0,,,32-26,2,J. Randle makes 2-pt shot from 1 ft
9:00.0,P. Beverley makes 2-pt shot from 4 ft,2,34-26,,
8:55.0,,,34-26,,J. Clarkson misses 2-pt shot at rim (block by P. Beverley)
8:51.0,Defensive rebound by D. Jordan,,34-26,,
8:46.0,W. Johnson makes 2-pt shot from 20 ft (assist by D. Jordan),2,36-26,,
8:40.0,,,36-26,,LA Lakers full timeout
8:40.0,,,36-26,,B. Lopez enters the game for A. Caruso
8:40.0,,,36-26,,L. Ball enters the game for A. Bogut
8:36.0,,,36-26,,Offensive charge foul by J. Randle (drawn by D. Gallinari)
8:36.0,,,36-26,,Turnover by J. Randle (offensive foul)
8:20.0,D. Gallinari misses 2-pt shot from 15 ft,,36-26,,
8:14.0,,,36-26,,Defensive rebound by J. Randle
8:06.0,,,36-26,,J. Randle misses 3-pt shot from 26 ft
8:02.0,Defensive rebound by W. Johnson,,36-26,,
7:53.0,L. Williams misses 2-pt shot from 7 ft,,36-26,,
7:48.0,Offensive rebound by D. Jordan,,36-26,,
7:48.0,D. Jordan makes 2-pt shot at rim,2,38-26,,
7:39.0,,,38-26,,Offensive foul by B. Lopez (drawn by P. Beverley)
7:39.0,,,38-26,,Turnover by B. Lopez (offensive foul)
7:23.0,D. Gallinari misses 2-pt shot from 6 ft,,38-26,,
7:20.0,,,38-26,,Defensive rebound by J. Randle
7:15.0,,,38-28,2,K. Kuzma makes 2-pt shot from 9 ft (assist by J. Randle)
