time,Boston,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. A. Horford (N. Jokic gains possession),,,,Jump ball: M. Plumlee vs. A. Horford (N. Jokic gains possession)
11:42.0,,,0-3,3,W. Barton makes 3-pt shot from 22 ft (assist by J. Murray)
11:18.0,A. Baynes misses 2-pt shot from 14 ft,,0-3,,
11:16.0,,,0-3,,Defensive rebound by G. Harris
11:03.0,,,0-3,,Shooting foul by A. Baynes (drawn by J. Murray)
11:03.0,,,0-4,1,J. Murray makes free throw 1 of 2
11:03.0,,,0-5,1,J. Murray makes free throw 2 of 2
10:41.0,A. Horford misses 3-pt shot from 25 ft,,0-5,,
10:34.0,Offensive rebound by J. Tatum,,0-5,,
10:27.0,A. Baynes misses 2-pt shot from 1 ft (block by M. Plumlee),,0-5,,
10:24.0,,,0-5,,Defensive rebound by N. Jokic
10:21.0,,,0-5,,Turnover by W. Barton (lost ball; steal by J. Tatum)
10:14.0,,,0-5,,Personal foul by M. Plumlee (drawn by K. Irving)
10:12.0,K. Irving makes 3-pt shot from 25 ft (assist by J. Brown),3,3-5,,
9:52.0,,,3-5,,Turnover by N. Jokic (bad pass)
9:41.0,A. Horford makes 3-pt shot from 25 ft,3,6-5,,
9:28.0,,,6-8,3,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic)
9:18.0,,,6-8,,Personal foul by J. Murray (drawn by K. Irving)
9:04.0,A. Horford misses 2-pt shot from 8 ft,,6-8,,
9:01.0,,,6-8,,Defensive rebound by W. Barton
8:51.0,,,6-8,,J. Murray misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by J. Tatum,,6-8,,
8:39.0,J. Brown makes 2-pt shot from 2 ft (assist by J. Tatum),2,8-8,,
8:26.0,,,8-10,2,N. Jokic makes 2-pt shot from 20 ft (assist by J. Murray)
8:05.0,A. Horford misses 3-pt shot from 22 ft,,8-10,,
8:02.0,,,8-10,,Defensive rebound by N. Jokic
7:53.0,Personal foul by J. Brown (drawn by J. Murray),,8-10,,
7:53.0,T. Rozier enters the game for J. Tatum,,8-10,,
7:47.0,,,8-10,,J. Murray misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by A. Baynes,,8-10,,
7:36.0,J. Brown misses 3-pt shot from 22 ft,,8-10,,
7:31.0,,,8-10,,Defensive rebound by M. Plumlee
7:25.0,,,8-10,,Turnover by G. Harris (bad pass; steal by T. Rozier)
7:08.0,Turnover by A. Horford (lost ball; steal by G. Harris),,8-10,,
7:02.0,,,8-10,,G. Harris misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by J. Brown,,8-10,,
6:50.0,A. Baynes makes 2-pt shot from 16 ft (assist by J. Brown),2,10-10,,
6:30.0,,,10-10,,W. Barton misses 3-pt shot from 25 ft
6:29.0,,,10-10,,Offensive rebound by Team
6:29.0,Loose ball foul by J. Brown (drawn by N. Jokic),,10-10,,
6:29.0,,,10-10,,Denver full timeout
6:29.0,M. Morris enters the game for A. Horford,,10-10,,
6:26.0,,,10-10,,Turnover by J. Murray (discontinued dribble)
6:09.0,J. Brown misses 2-pt shot from 3 ft,,10-10,,
6:08.0,Offensive rebound by J. Brown,,10-10,,
6:01.0,Turnover by A. Baynes (bad pass),,10-10,,
5:49.0,,,10-12,2,N. Jokic makes 2-pt shot from 10 ft
5:34.0,T. Rozier misses 3-pt shot from 24 ft,,10-12,,
5:31.0,,,10-12,,Defensive rebound by N. Jokic
5:26.0,,,10-12,,W. Barton misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by T. Rozier,,10-12,,
5:16.0,K. Irving makes 3-pt shot from 26 ft (assist by T. Rozier),3,13-12,,
4:58.0,,,13-12,,G. Harris misses 3-pt shot from 24 ft
4:55.0,,,13-12,,Offensive rebound by N. Jokic
4:55.0,,,13-12,,Shooting foul by K. Irving (drawn by N. Jokic)
4:55.0,,,13-12,,N. Jokic misses free throw 1 of 2
4:55.0,,,13-12,,Offensive rebound by Team
4:55.0,,,13-12,,T. Lyles enters the game for W. Barton
