time,Portland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Nurkic (J. Nurkic gains possession),,,,Jump ball: A. Davis vs. J. Nurkic (J. Nurkic gains possession)
11:45.0,A. Aminu misses 3-pt shot from 26 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by Team
11:26.0,,,0-0,,A. Davis misses 2-pt shot from 15 ft
11:22.0,,,0-0,,Offensive rebound by E. Okafor
11:20.0,,,0-0,,E. Moore misses 3-pt shot from 28 ft
11:17.0,Defensive rebound by E. Turner,,0-0,,
11:05.0,J. Nurkic misses 2-pt shot from 7 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by E. Okafor
10:48.0,,,0-0,,I. Clark misses 2-pt shot from 6 ft (block by J. Nurkic)
10:42.0,Defensive rebound by E. Turner,,0-0,,
10:41.0,Offensive foul by J. Nurkic (drawn by J. Holiday),,0-0,,
10:41.0,Turnover by J. Nurkic (offensive foul),,0-0,,
10:29.0,,,0-2,2,J. Holiday makes 2-pt shot from 14 ft
10:10.0,Turnover by C. McCollum (bad pass; steal by A. Davis),,0-2,,
9:59.0,,,0-2,,Turnover by A. Davis (bad pass; steal by A. Aminu)
9:51.0,D. Lillard makes 3-pt shot from 23 ft (assist by C. McCollum),3,3-2,,
9:47.0,,,3-2,,I. Clark misses 2-pt shot from 16 ft
9:45.0,,,3-2,,Offensive rebound by E. Okafor
9:41.0,,,3-2,,I. Clark misses 2-pt shot from 1 ft
9:35.0,Defensive rebound by E. Turner,,3-2,,
9:27.0,A. Aminu misses 3-pt shot from 26 ft,,3-2,,
9:27.0,,,3-2,,Defensive rebound by J. Holiday
9:20.0,,,3-4,2,E. Moore makes 2-pt shot from 6 ft
9:03.0,E. Turner misses 2-pt shot from 8 ft,,3-4,,
9:00.0,,,3-4,,Defensive rebound by A. Davis
8:57.0,,,3-4,,Turnover by A. Davis (lost ball; steal by D. Lillard)
8:52.0,C. McCollum misses 3-pt shot from 26 ft,,3-4,,
8:48.0,,,3-4,,Defensive rebound by A. Davis
8:43.0,,,3-6,2,J. Holiday makes 2-pt shot from 10 ft
8:24.0,J. Nurkic makes 2-pt shot from 12 ft,2,5-6,,
8:06.0,,,5-8,2,A. Davis makes 2-pt shot from 11 ft
7:52.0,D. Lillard misses 3-pt shot from 27 ft,,5-8,,
7:49.0,,,5-8,,Defensive rebound by E. Okafor
7:34.0,,,5-8,,J. Holiday misses 2-pt shot from 4 ft
7:34.0,,,5-8,,Offensive rebound by E. Okafor
7:29.0,,,5-10,2,E. Okafor makes 2-pt shot from 3 ft
7:11.0,E. Turner misses 2-pt shot from 7 ft,,5-10,,
7:11.0,,,5-10,,Defensive rebound by A. Davis
7:01.0,,,5-12,2,E. Okafor makes 2-pt shot from 4 ft (assist by A. Davis)
7:01.0,Portland full timeout,,5-12,,
6:51.0,,,5-12,,Away from play foul by J. Holiday (drawn by J. Nurkic)
6:41.0,J. Nurkic misses 2-pt shot from 10 ft,,5-12,,
6:41.0,,,5-12,,Defensive rebound by E. Okafor
6:27.0,,,5-12,,Turnover by J. Holiday (bad pass; steal by A. Aminu)
6:22.0,D. Lillard makes 2-pt shot from 2 ft (assist by A. Aminu),2,7-12,,
6:06.0,Personal foul by E. Turner (drawn by J. Holiday),,7-12,,
5:57.0,,,7-12,,Turnover by E. Moore (lost ball; steal by D. Lillard)
5:57.0,,,7-12,,Personal foul by E. Moore (drawn by D. Lillard)
5:44.0,C. McCollum misses 3-pt shot from 27 ft,,7-12,,
5:38.0,Offensive rebound by E. Turner,,7-12,,
5:37.0,D. Lillard misses 3-pt shot from 27 ft,,7-12,,
5:34.0,Offensive rebound by A. Aminu,,7-12,,
5:28.0,C. McCollum misses 3-pt shot from 26 ft,,7-12,,
5:25.0,,,7-12,,Defensive rebound by A. Davis
5:09.0,,,7-12,,Turnover by A. Davis (bad pass; steal by J. Nurkic)
5:01.0,E. Turner misses 2-pt shot from 5 ft (block by A. Davis),,7-12,,
4:58.0,,,7-12,,Defensive rebound by J. Holiday
4:53.0,,,7-12,,E. Okafor misses 2-pt shot from 3 ft
4:51.0,,,7-12,,Offensive rebound by E. Okafor
4:51.0,,,7-12,,Shooting foul by J. Nurkic (drawn by E. Okafor)
4:51.0,,,7-13,1,E. Okafor makes free throw 1 of 2
4:51.0,,,7-13,,D. Miller enters the game for J. Holiday
4:51.0,S. Napier enters the game for E. Turner,,7-13,,
4:51.0,E. Davis enters the game for J. Nurkic,,7-13,,
4:51.0,,,7-14,1,E. Okafor makes free throw 2 of 2
4:33.0,A. Aminu misses 2-pt shot from 7 ft (block by A. Davis),,7-14,,
4:27.0,Offensive rebound by A. Aminu,,7-14,,
4:22.0,S. Napier misses 2-pt shot from 16 ft,,7-14,,
4:19.0,,,7-14,,Defensive rebound by E. Okafor
4:13.0,,,7-14,,A. Davis misses 2-pt shot from 12 ft
4:09.0,Defensive rebound by D. Lillard,,7-14,,
4:00.0,A. Aminu misses 3-pt shot from 26 ft,,7-14,,
3:58.0,Offensive rebound by Team,,7-14,,
3:58.0,,,7-14,,S. Hill enters the game for E. Okafor
3:58.0,,,7-14,,N. Mirotic enters the game for E. Moore
3:58.0,Z. Collins enters the game for A. Aminu,,7-14,,
3:54.0,D. Lillard misses 3-pt shot from 25 ft,,7-14,,
3:54.0,,,7-14,,Defensive rebound by N. Mirotic
3:39.0,,,7-16,2,I. Clark makes 2-pt shot from 6 ft (assist by S. Hill)
3:26.0,E. Davis makes 2-pt shot from 4 ft (assist by C. McCollum),2,9-16,,
3:16.0,,,9-18,2,I. Clark makes 2-pt shot from 6 ft
3:04.0,D. Lillard makes 2-pt shot from 5 ft,2,11-18,,
2:45.0,,,11-18,,I. Clark misses 3-pt shot from 24 ft
2:45.0,Defensive rebound by D. Lillard,,11-18,,
2:33.0,,,11-18,,Personal foul by I. Clark (drawn by Z. Collins)
2:33.0,,,11-18,,New Orleans full timeout
2:33.0,,,11-18,,C. Diallo enters the game for I. Clark
2:33.0,,,11-18,,J. Holiday enters the game for A. Davis
2:33.0,P. Connaughton enters the game for C. McCollum,,11-18,,
2:25.0,P. Connaughton misses 3-pt shot from 27 ft,,11-18,,
2:19.0,,,11-18,,Defensive rebound by S. Hill
2:07.0,Personal foul by D. Lillard (drawn by J. Holiday),,11-18,,
2:00.0,,,11-18,,C. Diallo misses 2-pt shot from 12 ft
1:58.0,Defensive rebound by D. Lillard,,11-18,,
1:49.0,D. Lillard makes 2-pt shot from 6 ft,2,13-18,,
1:42.0,,,13-18,,Shooting foul by D. Lillard (drawn by J. Holiday)
1:42.0,,,13-19,1,J. Holiday makes free throw 1 of 2
1:42.0,,,13-20,1,J. Holiday makes free throw 2 of 2
1:20.0,E. Davis makes 2-pt shot from 5 ft (assist by P. Connaughton),2,15-20,,
1:09.0,,,15-22,2,C. Diallo makes 2-pt shot from 6 ft (assist by S. Hill)
0:51.0,Shooting foul by S. Hill (drawn by Z. Collins),,15-22,,
0:51.0,Z. Collins makes free throw 1 of 2,1,16-22,,
0:51.0,E. Turner enters the game for D. Lillard,,16-22,,
0:51.0,Z. Collins makes free throw 2 of 2,1,17-22,,
0:47.0,,,17-22,,D. Miller misses 3-pt shot from 26 ft
0:44.0,Defensive rebound by S. Napier,,17-22,,
