time,Philadelphia,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Johnson (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. A. Johnson (R. Jackson gains possession)
11:39.0,,,0-0,,Turnover by A. Drummond (lost ball; steal by R. Covington)
11:29.0,A. Johnson misses 2-pt shot from 19 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by R. Jackson
11:19.0,,,0-0,,S. Johnson misses 2-pt shot from 6 ft (block by A. Johnson)
11:16.0,Defensive rebound by B. Simmons,,0-0,,
11:12.0,B. Simmons misses 2-pt shot from 5 ft,,0-0,,
11:09.0,Offensive rebound by E. Ilyasova,,0-0,,
11:09.0,E. Ilyasova misses 2-pt shot from 3 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by A. Drummond
11:02.0,,,0-3,3,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Johnson)
10:44.0,J. Redick makes 2-pt shot from 19 ft (assist by A. Johnson),2,2-3,,
10:22.0,,,2-5,2,A. Drummond makes 2-pt shot from 2 ft (assist by R. Jackson)
10:07.0,E. Ilyasova misses 2-pt shot from 15 ft,,2-5,,
10:04.0,,,2-5,,Defensive rebound by S. Johnson
9:47.0,,,2-5,,Shooting foul by J. Redick (drawn by R. Jackson)
9:47.0,,,2-6,1,R. Jackson makes free throw 1 of 2
9:47.0,,,2-7,1,R. Jackson makes free throw 2 of 2
9:38.0,R. Covington misses 3-pt shot from 25 ft,,2-7,,
9:33.0,Offensive rebound by A. Johnson,,2-7,,
9:32.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Johnson),3,5-7,,
9:01.0,,,5-7,,R. Jackson misses 3-pt shot from 42 ft
8:59.0,Defensive rebound by A. Johnson,,5-7,,
8:51.0,Offensive charge foul by R. Covington (drawn by R. Jackson),,5-7,,
8:51.0,Turnover by R. Covington (offensive foul),,5-7,,
8:41.0,,,5-7,,Shooting foul by R. Covington (drawn by R. Jackson)
8:41.0,,,5-8,1,R. Jackson makes free throw 1 of 2
8:41.0,T. McConnell enters the game for R. Covington,,5-8,,
8:41.0,,,5-9,1,R. Jackson makes free throw 2 of 2
8:31.0,Turnover by B. Simmons (lost ball; steal by S. Johnson),,5-9,,
8:25.0,,,5-9,,Shooting foul by T. McConnell (drawn by R. Jackson)
8:25.0,,,5-10,1,R. Jackson makes free throw 1 of 2
8:25.0,,,5-11,1,R. Jackson makes free throw 2 of 2
8:15.0,J. Redick misses 3-pt shot from 25 ft,,5-11,,
8:11.0,Offensive rebound by E. Ilyasova,,5-11,,
8:09.0,J. Redick makes 3-pt shot from 24 ft (assist by T. McConnell),3,8-11,,
7:58.0,,,8-11,,Detroit full timeout
7:56.0,,,8-11,,R. Jackson misses 2-pt shot from 5 ft
7:53.0,Defensive rebound by T. McConnell,,8-11,,
7:37.0,B. Simmons makes 2-pt shot from 1 ft,2,10-11,,
7:19.0,,,10-11,,R. Jackson misses 2-pt shot from 6 ft
7:16.0,Defensive rebound by J. Redick,,10-11,,
7:12.0,B. Simmons makes 2-pt shot from 2 ft,2,12-11,,
6:57.0,,,12-14,3,R. Bullock makes 3-pt shot from 25 ft (assist by A. Tolliver)
6:41.0,A. Johnson misses 2-pt shot from 3 ft,,12-14,,
6:39.0,Offensive rebound by Team,,12-14,,
6:39.0,M. Belinelli enters the game for J. Redick,,12-14,,
6:32.0,B. Simmons makes 2-pt shot from 2 ft,2,14-14,,
6:20.0,,,14-14,,R. Jackson misses 2-pt shot from 14 ft
6:17.0,,,14-14,,Offensive rebound by A. Drummond
6:15.0,,,14-14,,Turnover by A. Drummond (lost ball; steal by B. Simmons)
6:08.0,,,14-14,,Personal foul by A. Drummond (drawn by B. Simmons)
6:08.0,J. Anderson enters the game for E. Ilyasova,,14-14,,
5:58.0,M. Belinelli misses 2-pt shot from 19 ft,,14-14,,
5:55.0,,,14-14,,Defensive rebound by R. Jackson
5:49.0,,,14-14,,S. Johnson misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by B. Simmons,,14-14,,
5:43.0,A. Johnson misses 2-pt shot from 7 ft (block by R. Jackson),,14-14,,
5:43.0,Offensive rebound by Team,,14-14,,
5:43.0,R. Holmes enters the game for A. Johnson,,14-14,,
5:31.0,T. McConnell misses 2-pt shot from 8 ft,,14-14,,
5:31.0,,,14-14,,Defensive rebound by A. Drummond
5:16.0,,,14-16,2,R. Bullock makes 2-pt shot from 3 ft (assist by A. Drummond)
5:16.0,,,14-16,,Shooting foul by R. Holmes (drawn by R. Bullock)
5:16.0,,,14-16,,I. Smith enters the game for R. Jackson
5:16.0,,,14-17,1,R. Bullock makes free throw 1 of 1
5:16.0,Philadelphia full timeout,,14-17,,
5:06.0,R. Holmes makes 2-pt shot from 1 ft (assist by T. McConnell),2,16-17,,
4:48.0,,,16-17,,R. Bullock misses 2-pt shot from 11 ft
4:44.0,,,16-17,,Offensive rebound by R. Bullock
4:43.0,,,16-17,,Turnover by R. Bullock (lost ball; steal by R. Holmes)
4:40.0,R. Holmes makes 2-pt shot from 1 ft (assist by B. Simmons),2,18-17,,
4:40.0,Shooting foul by A. Tolliver (drawn by R. Holmes),,18-17,,
4:40.0,,,18-17,,L. Kennard enters the game for R. Bullock
4:40.0,R. Holmes makes free throw 1 of 1,1,19-17,,
4:30.0,,,19-19,2,A. Drummond makes 2-pt shot from 1 ft (assist by L. Kennard)
4:18.0,T. McConnell makes 2-pt shot from 17 ft,2,21-19,,
3:52.0,,,21-21,2,A. Drummond makes 2-pt shot at rim (assist by S. Johnson)
3:41.0,J. Anderson makes 2-pt shot from 1 ft (assist by T. McConnell),2,23-21,,
3:24.0,,,23-24,3,A. Tolliver makes 3-pt shot from 26 ft (assist by I. Smith)
3:15.0,M. Belinelli makes 2-pt shot from 19 ft (assist by B. Simmons),2,25-24,,
2:55.0,,,25-26,2,S. Johnson makes 2-pt shot from 17 ft
2:38.0,B. Simmons makes 2-pt shot from 5 ft,2,27-26,,
2:32.0,,,27-26,,Detroit full timeout
2:32.0,,,27-26,,H. Ellenson enters the game for A. Tolliver
2:32.0,E. Ilyasova enters the game for J. Anderson,,27-26,,
2:32.0,M. Fultz enters the game for T. McConnell,,27-26,,
2:32.0,J. Redick enters the game for B. Simmons,,27-26,,
2:25.0,,,27-28,2,I. Smith makes 2-pt shot from 19 ft
2:07.0,J. Redick makes 2-pt shot from 20 ft (assist by R. Holmes),2,29-28,,
1:57.0,,,29-28,,I. Smith misses 3-pt shot from 26 ft
1:53.0,Defensive rebound by R. Holmes,,29-28,,
1:49.0,M. Belinelli misses 3-pt shot from 26 ft,,29-28,,
1:46.0,,,29-28,,Defensive rebound by L. Kennard
1:39.0,,,29-28,,Offensive charge foul by S. Johnson (drawn by J. Redick)
1:39.0,,,29-28,,Turnover by S. Johnson (offensive foul)
1:39.0,,,29-28,,R. Bullock enters the game for S. Johnson
1:31.0,J. Redick makes 3-pt shot from 25 ft (assist by M. Fultz),3,32-28,,
1:14.0,,,32-28,,Turnover by A. Drummond (bad pass; steal by M. Belinelli)
1:09.0,M. Belinelli misses 3-pt shot from 26 ft,,32-28,,
1:05.0,Offensive rebound by E. Ilyasova,,32-28,,
1:05.0,E. Ilyasova makes 2-pt shot at rim,2,34-28,,
0:54.0,,,34-28,,Turnover by H. Ellenson (bad pass)
0:35.0,R. Holmes makes 2-pt shot from 1 ft (assist by J. Redick),2,36-28,,
0:28.0,,,36-28,,I. Smith misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by M. Belinelli,,36-28,,
0:05.0,E. Ilyasova misses 3-pt shot from 26 ft,,36-28,,
0:01.0,,,36-28,,Defensive rebound by A. Drummond
0:00.0,,,36-28,,A. Drummond misses 3-pt shot from 51 ft
0:00.0,,,36-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,36-28,,Personal foul by H. Ellenson (drawn by E. Ilyasova)
11:44.0,Offensive foul by J. Redick (drawn by R. Jackson),,36-28,,
11:44.0,Turnover by J. Redick (offensive foul),,36-28,,
11:29.0,,,36-28,,Offensive foul by E. Moreland (drawn by A. Johnson)
