time,Houston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. C. Capela (C. Paul gains possession),,,,Jump ball: D. Powell vs. C. Capela (C. Paul gains possession)
11:43.0,E. Gordon misses 3-pt shot from 25 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by D. Nowitzki
11:21.0,Personal foul by P. Tucker (drawn by Y. Ferrell),,0-0,,
11:06.0,,,0-0,,H. Barnes misses 2-pt shot from 12 ft
11:03.0,Defensive rebound by C. Capela,,0-0,,
10:58.0,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul),3,3-0,,
10:37.0,,,3-3,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Smith)
10:23.0,E. Gordon makes 2-pt shot from 9 ft,2,5-3,,
10:06.0,,,5-3,,H. Barnes misses 2-pt shot from 14 ft
10:04.0,Defensive rebound by C. Capela,,5-3,,
9:54.0,P. Tucker misses 3-pt shot from 25 ft,,5-3,,
9:51.0,,,5-3,,Defensive rebound by D. Nowitzki
9:45.0,,,5-3,,D. Nowitzki misses 3-pt shot from 28 ft
9:42.0,Defensive rebound by C. Paul,,5-3,,
9:35.0,C. Paul makes 2-pt shot from 18 ft,2,7-3,,
9:24.0,,,7-3,,Turnover by D. Smith (bad pass)
9:24.0,,,7-3,,Dallas full timeout
9:09.0,P. Tucker makes 2-pt shot from 19 ft (assist by C. Paul),2,9-3,,
8:58.0,,,9-3,,Y. Ferrell misses 3-pt shot from 25 ft (block by C. Capela)
8:54.0,Defensive rebound by E. Gordon,,9-3,,
8:50.0,E. Gordon makes 3-pt shot from 26 ft (assist by P. Tucker),3,12-3,,
8:34.0,,,12-3,,D. Smith misses 2-pt shot from 21 ft
8:30.0,Defensive rebound by C. Capela,,12-3,,
8:25.0,C. Paul misses 3-pt shot from 24 ft,,12-3,,
8:22.0,Offensive rebound by P. Tucker,,12-3,,
8:20.0,E. Gordon misses 3-pt shot from 22 ft,,12-3,,
8:20.0,Offensive rebound by Team,,12-3,,
8:08.0,C. Paul makes 2-pt shot from 16 ft,2,14-3,,
7:48.0,,,14-3,,D. Nowitzki misses 3-pt shot from 26 ft
7:45.0,,,14-3,,Offensive rebound by Team
7:33.0,,,14-3,,Turnover by D. Smith (bad pass)
7:23.0,E. Gordon makes 3-pt shot from 26 ft (assist by C. Paul),3,17-3,,
7:19.0,,,17-3,,Dallas full timeout
7:19.0,,,17-3,,D. McDermott enters the game for D. Nowitzki
7:19.0,,,17-3,,J. Barea enters the game for Y. Ferrell
7:19.0,L. Mbah a Moute enters the game for P. Tucker,,17-3,,
7:19.0,J. Johnson enters the game for C. Paul,,17-3,,
7:07.0,,,17-3,,D. Smith misses 2-pt shot from 2 ft (block by C. Capela)
7:05.0,,,17-3,,Offensive rebound by D. Smith
7:00.0,,,17-5,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
6:37.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by E. Gordon),3,20-5,,
6:24.0,,,20-7,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
6:11.0,E. Gordon misses 3-pt shot from 28 ft,,20-7,,
6:10.0,,,20-7,,Defensive rebound by Team
5:49.0,,,20-7,,H. Barnes misses 2-pt shot from 8 ft
5:47.0,,,20-7,,Offensive rebound by D. Powell
5:45.0,,,20-7,,J. Barea misses 3-pt shot from 25 ft
5:42.0,,,20-7,,Offensive rebound by D. Powell
5:34.0,,,20-7,,J. Barea misses 2-pt shot from 4 ft
5:32.0,Defensive rebound by C. Capela,,20-7,,
5:19.0,Shooting foul by D. Powell (drawn by C. Capela),,20-7,,
5:19.0,C. Capela misses free throw 1 of 2,,20-7,,
5:19.0,Offensive rebound by Team,,20-7,,
5:19.0,,,20-7,,N. Noel enters the game for D. Powell
5:19.0,C. Capela misses free throw 2 of 2,,20-7,,
5:17.0,,,20-7,,Defensive rebound by N. Noel
4:54.0,,,20-7,,J. Barea misses 2-pt shot from 3 ft
4:51.0,Defensive rebound by J. Johnson,,20-7,,
4:47.0,T. Ariza misses 3-pt shot from 26 ft,,20-7,,
4:45.0,,,20-7,,Defensive rebound by N. Noel
4:36.0,,,20-7,,D. Smith misses 2-pt shot from 21 ft
4:34.0,Defensive rebound by J. Johnson,,20-7,,
4:24.0,J. Johnson misses 2-pt shot from 18 ft,,20-7,,
4:24.0,,,20-7,,Defensive rebound by H. Barnes
4:12.0,,,20-10,3,H. Barnes makes 3-pt shot from 25 ft (assist by J. Barea)
3:51.0,J. Johnson misses 2-pt shot from 4 ft,,20-10,,
3:50.0,,,20-10,,Defensive rebound by N. Noel
3:44.0,Personal foul by J. Johnson (drawn by N. Noel),,20-10,,
3:44.0,G. Green enters the game for T. Ariza,,20-10,,
3:44.0,T. Black enters the game for C. Capela,,20-10,,
3:28.0,,,20-10,,N. Noel misses 2-pt shot from 16 ft
3:24.0,Defensive rebound by G. Green,,20-10,,
3:19.0,Shooting foul by D. McDermott (drawn by T. Black),,20-10,,
3:19.0,T. Black misses free throw 1 of 2,,20-10,,
3:19.0,Offensive rebound by Team,,20-10,,
3:19.0,C. Paul enters the game for E. Gordon,,20-10,,
3:19.0,T. Black makes free throw 2 of 2,1,21-10,,
3:09.0,,,21-10,,D. McDermott misses 2-pt shot from 4 ft
3:06.0,Defensive rebound by G. Green,,21-10,,
2:54.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,21-10,,
2:52.0,,,21-10,,Defensive rebound by H. Barnes
2:47.0,,,21-10,,J. Barea misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by G. Green,,21-10,,
2:33.0,C. Paul misses 2-pt shot from 14 ft,,21-10,,
2:33.0,Offensive rebound by T. Black,,21-10,,
2:33.0,,,21-10,,Loose ball foul by H. Barnes (drawn by T. Black)
2:33.0,,,21-10,,Y. Ferrell enters the game for D. Smith
2:16.0,G. Green misses 2-pt shot from 5 ft,,21-10,,
2:14.0,,,21-10,,Defensive rebound by Y. Ferrell
2:09.0,,,21-10,,H. Barnes misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by T. Black,,21-10,,
1:58.0,Offensive foul by J. Johnson (drawn by J. Barea),,21-10,,
1:58.0,Turnover by J. Johnson (offensive foul),,21-10,,
1:40.0,,,21-12,2,N. Noel makes 2-pt shot from 7 ft (assist by J. Barea)
1:28.0,J. Johnson misses 3-pt shot from 25 ft,,21-12,,
1:28.0,,,21-12,,Defensive rebound by Y. Ferrell
1:18.0,,,21-12,,Turnover by J. Barea (bad pass)
1:09.0,C. Paul misses 2-pt shot from 6 ft,,21-12,,
1:08.0,Offensive rebound by T. Black,,21-12,,
1:07.0,T. Black makes 2-pt shot at rim,2,23-12,,
0:56.0,,,23-14,2,N. Noel makes 2-pt shot from 2 ft (assist by J. Barea)
0:43.0,C. Paul makes 2-pt shot from 10 ft,2,25-14,,
0:31.0,,,25-14,,D. McDermott misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by T. Black,,25-14,,
0:07.0,C. Paul misses 2-pt shot from 18 ft,,25-14,,
0:04.0,,,25-14,,Defensive rebound by H. Barnes
0:02.0,Personal take foul by C. Paul (drawn by J. Barea),,25-14,,
0:00.0,,,25-14,,N. Noel misses 3-pt shot from 27 ft
0:00.0,,,25-14,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-16,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
11:26.0,Turnover by C. Paul (lost ball; steal by D. Powell),,25-16,,
11:18.0,,,25-18,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Nowitzki)
11:00.0,T. Black misses 2-pt shot from 3 ft (block by D. Nowitzki),,25-18,,
10:58.0,Offensive rebound by T. Black,,25-18,,
10:58.0,Turnover by L. Mbah a Moute (step out of bounds),,25-18,,
