time,Minnesota,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Kanter vs. K. Towns (T. Gibson gains possession),,,,Jump ball: E. Kanter vs. K. Towns (T. Gibson gains possession)
11:41.0,K. Towns makes 2-pt shot at rim (assist by J. Teague),2,2-0,,
11:14.0,,,2-0,,C. Lee misses 2-pt shot from 8 ft
11:12.0,Defensive rebound by K. Towns,,2-0,,
10:52.0,K. Towns misses 2-pt shot from 5 ft,,2-0,,
10:52.0,,,2-0,,Defensive rebound by M. Beasley
10:43.0,,,2-0,,M. Beasley misses 2-pt shot from 21 ft
10:39.0,Defensive rebound by T. Gibson,,2-0,,
10:32.0,T. Gibson makes 2-pt shot from 1 ft (assist by N. Bjelica),2,4-0,,
10:20.0,,,4-2,2,M. Beasley makes 2-pt shot at rim (assist by E. Mudiay)
10:01.0,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns),3,7-2,,
9:45.0,,,7-2,,E. Mudiay misses 2-pt shot from 19 ft
9:42.0,Defensive rebound by N. Bjelica,,7-2,,
9:31.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,9-2,,
9:23.0,,,9-2,,New York full timeout
9:04.0,,,9-2,,M. Beasley misses 2-pt shot from 22 ft
9:03.0,,,9-2,,Offensive rebound by Team
9:03.0,,,9-2,,Turnover by Team (shot clock)
8:50.0,T. Gibson misses 3-pt shot from 23 ft,,9-2,,
8:48.0,,,9-2,,Defensive rebound by E. Kanter
8:43.0,,,9-2,,M. Beasley misses 2-pt shot from 14 ft
8:40.0,Defensive rebound by K. Towns,,9-2,,
8:32.0,,,9-2,,Personal foul by E. Mudiay (drawn by T. Gibson)
8:24.0,K. Towns misses 3-pt shot from 22 ft,,9-2,,
8:20.0,,,9-2,,Defensive rebound by E. Kanter
8:13.0,,,9-4,2,T. Hardaway makes 2-pt shot from 2 ft
8:07.0,Shooting foul by T. Hardaway (drawn by J. Teague),,9-4,,
8:07.0,J. Teague makes free throw 1 of 2,1,10-4,,
8:07.0,J. Teague makes free throw 2 of 2,1,11-4,,
7:52.0,,,11-7,3,C. Lee makes 3-pt shot from 25 ft
7:40.0,J. Teague makes 2-pt shot from 4 ft,2,13-7,,
7:24.0,,,13-7,,C. Lee misses 2-pt shot from 15 ft
7:20.0,Defensive rebound by A. Wiggins,,13-7,,
7:14.0,Shooting foul by M. Beasley (drawn by T. Gibson),,13-7,,
7:14.0,T. Gibson makes free throw 1 of 2,1,14-7,,
7:14.0,T. Gibson makes free throw 2 of 2,1,15-7,,
7:06.0,Personal foul by A. Wiggins (drawn by T. Hardaway),,15-7,,
7:06.0,,,15-7,,F. Ntilikina enters the game for E. Mudiay
6:57.0,,,15-7,,T. Hardaway misses 2-pt shot from 1 ft (block by K. Towns)
6:54.0,Defensive rebound by A. Wiggins,,15-7,,
6:54.0,Shooting foul by M. Beasley (drawn by A. Wiggins),,15-7,,
6:54.0,A. Wiggins makes free throw 1 of 2,1,16-7,,
6:54.0,,,16-7,,L. Kornet enters the game for M. Beasley
6:54.0,A. Wiggins makes free throw 2 of 2,1,17-7,,
6:34.0,,,17-9,2,T. Hardaway makes 2-pt shot from 14 ft (assist by L. Kornet)
6:22.0,J. Teague misses 2-pt shot from 9 ft,,17-9,,
6:18.0,,,17-9,,Defensive rebound by F. Ntilikina
6:15.0,,,17-9,,Turnover by T. Hardaway (lost ball; steal by A. Wiggins)
6:05.0,T. Gibson makes 2-pt shot from 20 ft (assist by A. Wiggins),2,19-9,,
5:43.0,,,19-9,,F. Ntilikina misses 2-pt shot from 12 ft
5:41.0,,,19-9,,Offensive rebound by E. Kanter
5:40.0,,,19-11,2,E. Kanter makes 2-pt shot from 1 ft
5:25.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,21-11,,
5:01.0,,,21-11,,C. Lee misses 2-pt shot from 12 ft
4:57.0,Defensive rebound by A. Wiggins,,21-11,,
4:47.0,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague),3,24-11,,
4:25.0,,,24-11,,L. Kornet misses 2-pt shot from 17 ft
4:21.0,Defensive rebound by K. Towns,,24-11,,
4:09.0,T. Gibson makes 2-pt shot from 5 ft (assist by J. Teague),2,26-11,,
4:02.0,,,26-11,,New York full timeout
4:02.0,,,26-11,,T. Williams enters the game for C. Lee
4:02.0,J. Crawford enters the game for N. Bjelica,,26-11,,
3:49.0,,,26-13,2,E. Kanter makes 2-pt shot from 5 ft
3:37.0,K. Towns makes 2-pt shot from 6 ft (assist by J. Teague),2,28-13,,
3:22.0,,,28-15,2,F. Ntilikina makes 2-pt shot from 2 ft
2:57.0,T. Gibson misses 2-pt shot from 1 ft,,28-15,,
2:54.0,,,28-15,,Defensive rebound by L. Kornet
2:49.0,,,28-15,,E. Kanter misses 2-pt shot from 1 ft
2:47.0,Defensive rebound by A. Wiggins,,28-15,,
2:41.0,Turnover by A. Wiggins (lost ball; steal by T. Hardaway),,28-15,,
2:30.0,,,28-17,2,E. Kanter makes 2-pt shot from 2 ft (assist by T. Hardaway)
2:15.0,Turnover by J. Crawford (bad pass; steal by T. Williams),,28-17,,
2:11.0,,,28-19,2,T. Williams makes 2-pt shot at rim (assist by E. Kanter)
1:59.0,Minnesota full timeout,,28-19,,
1:59.0,T. Jones enters the game for K. Towns,,28-19,,
1:59.0,G. Dieng enters the game for J. Teague,,28-19,,
1:52.0,Turnover by G. Dieng (traveling),,28-19,,
1:44.0,,,28-19,,T. Hardaway misses 3-pt shot from 26 ft
1:41.0,Defensive rebound by G. Dieng,,28-19,,
1:35.0,Turnover by T. Jones (bad pass; steal by F. Ntilikina),,28-19,,
1:29.0,,,28-19,,Turnover by F. Ntilikina (bad pass; steal by T. Gibson)
1:24.0,G. Dieng misses 2-pt shot from 11 ft,,28-19,,
1:21.0,,,28-19,,Defensive rebound by E. Kanter
1:00.0,,,28-19,,T. Williams misses 2-pt shot from 1 ft
0:56.0,,,28-19,,Offensive rebound by E. Kanter
0:56.0,,,28-19,,E. Kanter misses 2-pt shot at rim
0:56.0,,,28-19,,Offensive rebound by T. Williams
0:53.0,,,28-21,2,T. Hardaway makes 2-pt shot from 16 ft (assist by T. Williams)
0:33.0,J. Crawford makes 3-pt shot from 25 ft,3,31-21,,
0:29.0,,,31-21,,Shooting foul by G. Dieng (drawn by T. Hardaway)
0:29.0,,,31-22,1,T. Hardaway makes free throw 1 of 2
0:29.0,N. Bjelica enters the game for T. Gibson,,31-22,,
0:29.0,,,31-22,,T. Hardaway misses free throw 2 of 2
0:28.0,,,31-22,,Offensive rebound by Team
0:04.0,,,31-22,,T. Hardaway misses 3-pt shot from 27 ft
0:03.0,Defensive rebound by Team,,31-22,,
0:00.0,A. Wiggins misses 3-pt shot from 32 ft,,31-22,,
0:00.0,Offensive rebound by Team,,31-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,31-25,3,L. Kornet makes 3-pt shot from 26 ft (assist by F. Ntilikina)
11:17.0,K. Towns makes 3-pt shot from 23 ft (assist by T. Jones),3,34-25,,
10:56.0,,,34-25,,K. O'Quinn misses 2-pt shot from 15 ft
10:54.0,Defensive rebound by G. Dieng,,34-25,,
10:36.0,J. Crawford makes 2-pt shot from 6 ft,2,36-25,,
10:21.0,,,36-25,,K. O'Quinn misses 2-pt shot from 1 ft (block by G. Dieng)
10:19.0,Defensive rebound by K. Towns,,36-25,,
10:15.0,N. Bjelica makes 2-pt shot from 1 ft (assist by T. Jones),2,38-25,,
10:14.0,,,38-25,,New York full timeout
9:51.0,,,38-25,,F. Ntilikina misses 2-pt shot from 21 ft
9:49.0,Defensive rebound by K. Towns,,38-25,,
9:45.0,Turnover by J. Crawford (out of bounds lost ball),,38-25,,
9:32.0,,,38-27,2,T. Burke makes 2-pt shot from 20 ft
9:13.0,N. Bjelica misses 3-pt shot from 23 ft,,38-27,,
9:11.0,,,38-27,,Defensive rebound by F. Ntilikina
8:58.0,,,38-27,,T. Williams misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by G. Dieng,,38-27,,
8:57.0,,,38-27,,Personal foul by K. O'Quinn (drawn by T. Jones)
8:49.0,J. Crawford misses 3-pt shot from 26 ft,,38-27,,
8:45.0,,,38-27,,Defensive rebound by T. Williams
8:38.0,,,38-27,,T. Burke misses 2-pt shot from 15 ft
8:36.0,Defensive rebound by K. Towns,,38-27,,
8:26.0,N. Bjelica makes 3-pt shot from 23 ft (assist by K. Towns),3,41-27,,
8:14.0,,,41-27,,Offensive foul by K. O'Quinn (drawn by J. Crawford)
8:14.0,,,41-27,,Turnover by K. O'Quinn (offensive foul)
7:55.0,K. Towns misses 2-pt shot from 12 ft,,41-27,,
7:49.0,Offensive rebound by N. Bjelica,,41-27,,
7:49.0,N. Bjelica makes 2-pt shot at rim,2,43-27,,
7:42.0,,,43-27,,T. Burke misses 2-pt shot from 7 ft
7:35.0,,,43-27,,Offensive rebound by T. Williams
7:35.0,,,43-29,2,T. Williams makes 2-pt shot at rim
7:29.0,,,43-29,,Personal foul by T. Williams (drawn by G. Dieng)
7:29.0,,,43-29,,M. Beasley enters the game for L. Kornet
7:22.0,Turnover by G. Dieng (offensive goaltending),,43-29,,
7:06.0,,,43-29,,T. Williams misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by J. Crawford,,43-29,,
6:54.0,,,43-29,,Personal foul by T. Williams (drawn by K. Towns)
6:54.0,T. Gibson enters the game for T. Jones,,43-29,,
6:54.0,J. Teague enters the game for G. Dieng,,43-29,,
6:49.0,,,43-29,,Personal foul by F. Ntilikina (drawn by T. Gibson)
6:35.0,J. Crawford misses 2-pt shot from 22 ft,,43-29,,
6:33.0,,,43-29,,Defensive rebound by M. Beasley
6:27.0,,,43-29,,T. Williams misses 2-pt shot from 1 ft (block by K. Towns)
6:23.0,,,43-29,,Offensive rebound by K. O'Quinn
6:23.0,,,43-31,2,K. O'Quinn makes 2-pt shot from 2 ft
6:06.0,Turnover by J. Teague (lost ball; steal by T. Williams),,43-31,,
6:02.0,,,43-33,2,T. Burke makes 2-pt shot from 2 ft (assist by T. Williams)
5:41.0,Shooting foul by K. O'Quinn (drawn by T. Gibson),,43-33,,
5:41.0,T. Gibson makes free throw 1 of 2,1,44-33,,
5:41.0,,,44-33,,E. Kanter enters the game for K. O'Quinn
5:41.0,T. Gibson makes free throw 2 of 2,1,45-33,,
5:26.0,,,45-33,,T. Burke misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by K. Towns,,45-33,,
5:19.0,N. Bjelica makes 2-pt shot at rim (assist by J. Crawford),2,47-33,,
5:19.0,,,47-33,,Violation by T. Williams (def goaltending)
