time,Milwaukee,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Henson (B. Simmons gains possession),,,,Jump ball: A. Johnson vs. J. Henson (B. Simmons gains possession)
11:54.0,,,0-3,3,M. Belinelli makes 3-pt shot from 26 ft (assist by B. Simmons)
11:35.0,K. Middleton misses 2-pt shot from 18 ft,,0-3,,
11:32.0,,,0-3,,Defensive rebound by M. Belinelli
11:29.0,,,0-3,,R. Covington misses 3-pt shot from 28 ft
11:27.0,Defensive rebound by Team,,0-3,,
11:22.0,,,0-3,,Personal foul by B. Simmons (drawn by E. Bledsoe)
11:17.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,0-3,,
11:13.0,,,0-3,,Defensive rebound by M. Belinelli
11:10.0,,,0-3,,Turnover by B. Simmons (out of bounds lost ball)
10:47.0,K. Middleton misses 3-pt shot from 25 ft,,0-3,,
10:45.0,,,0-3,,Defensive rebound by R. Covington
10:34.0,,,0-3,,D. Saric misses 2-pt shot from 22 ft
10:32.0,Defensive rebound by J. Henson,,0-3,,
10:24.0,E. Bledsoe makes 2-pt shot from 20 ft,2,2-3,,
10:13.0,,,2-3,,B. Simmons misses 2-pt shot from 1 ft
10:08.0,,,2-3,,Offensive rebound by B. Simmons
10:08.0,,,2-3,,B. Simmons misses 2-pt shot at rim
10:06.0,,,2-3,,Offensive rebound by A. Johnson
10:06.0,,,2-3,,A. Johnson misses 2-pt shot at rim
10:04.0,,,2-3,,Offensive rebound by A. Johnson
10:04.0,,,2-5,2,A. Johnson makes 2-pt shot at rim
10:04.0,Turnover by E. Bledsoe (out of bounds lost ball),,2-5,,
9:51.0,Personal foul by E. Bledsoe (drawn by M. Belinelli),,2-5,,
9:44.0,,,2-5,,M. Belinelli misses 2-pt shot from 19 ft
9:41.0,Defensive rebound by G. Antetokounmpo,,2-5,,
9:35.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,2-5,,
9:34.0,,,2-5,,Defensive rebound by A. Johnson
9:28.0,,,2-5,,M. Belinelli misses 3-pt shot from 25 ft
9:24.0,,,2-5,,Offensive rebound by D. Saric
9:20.0,,,2-8,3,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons)
8:56.0,K. Middleton misses 2-pt shot from 12 ft,,2-8,,
8:53.0,Offensive rebound by K. Middleton,,2-8,,
8:52.0,T. Snell misses 3-pt shot from 25 ft,,2-8,,
8:49.0,,,2-8,,Defensive rebound by A. Johnson
8:41.0,Violation by K. Middleton (kicked ball),,2-8,,
8:31.0,,,2-10,2,D. Saric makes 2-pt shot at rim (assist by A. Johnson)
8:31.0,,,2-10,,Shooting foul by G. Antetokounmpo (drawn by D. Saric)
8:31.0,,,2-10,,D. Saric misses free throw 1 of 1
8:31.0,Defensive rebound by G. Antetokounmpo,,2-10,,
8:21.0,Shooting foul by A. Johnson (drawn by E. Bledsoe),,2-10,,
8:21.0,E. Bledsoe makes free throw 1 of 2,1,3-10,,
8:21.0,E. Bledsoe makes free throw 2 of 2,1,4-10,,
8:12.0,Personal foul by J. Henson (drawn by B. Simmons),,4-10,,
8:05.0,Personal foul by E. Bledsoe (drawn by M. Belinelli),,4-10,,
8:05.0,M. Brogdon enters the game for E. Bledsoe,,4-10,,
7:56.0,,,4-13,3,M. Belinelli makes 3-pt shot from 25 ft
