time,Golden State,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. Z. Pachulia (A. Aminu gains possession),,,,Jump ball: J. Nurkic vs. Z. Pachulia (A. Aminu gains possession)
11:42.0,,,0-0,,C. McCollum misses 2-pt shot from 15 ft
11:39.0,,,0-0,,Offensive rebound by J. Nurkic
11:37.0,,,0-0,,J. Nurkic misses 2-pt shot from 2 ft
11:37.0,,,0-0,,Offensive rebound by J. Nurkic
11:33.0,,,0-2,2,J. Nurkic makes 2-pt shot at rim
11:21.0,K. Thompson makes 2-pt shot from 20 ft (assist by K. Durant),2,2-2,,
11:08.0,,,2-4,2,D. Lillard makes 2-pt shot from 20 ft
11:00.0,D. Green misses 2-pt shot from 3 ft,,2-4,,
10:55.0,Offensive rebound by D. Green,,2-4,,
10:55.0,D. Green makes 2-pt shot at rim,2,4-4,,
10:42.0,,,4-4,,J. Nurkic misses 2-pt shot from 1 ft (block by K. Durant)
10:40.0,Defensive rebound by K. Durant,,4-4,,
10:34.0,K. Durant makes 2-pt shot from 4 ft,2,6-4,,
10:18.0,,,6-6,2,A. Aminu makes 2-pt shot from 1 ft (assist by J. Nurkic)
10:04.0,K. Durant makes 2-pt shot from 14 ft,2,8-6,,
9:49.0,Def 3 sec tech foul by D. Green,,8-6,,
9:49.0,,,8-7,1,D. Lillard makes technical free throw
9:42.0,,,8-7,,M. Harkless misses 3-pt shot from 23 ft
9:38.0,Defensive rebound by D. Green,,8-7,,
9:35.0,Turnover by S. Curry (lost ball; steal by A. Aminu),,8-7,,
9:31.0,,,8-10,3,D. Lillard makes 3-pt shot from 27 ft (assist by C. McCollum)
9:23.0,K. Thompson misses 2-pt shot from 11 ft,,8-10,,
9:21.0,,,8-10,,Defensive rebound by J. Nurkic
9:15.0,,,8-13,3,D. Lillard makes 3-pt shot from 26 ft
8:58.0,S. Curry misses 2-pt shot from 12 ft,,8-13,,
8:55.0,,,8-13,,Defensive rebound by J. Nurkic
8:47.0,,,8-13,,D. Lillard misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by S. Curry,,8-13,,
8:36.0,S. Curry misses 3-pt shot from 24 ft,,8-13,,
8:32.0,,,8-13,,Defensive rebound by A. Aminu
8:23.0,,,8-13,,D. Lillard misses 3-pt shot from 30 ft
8:21.0,,,8-13,,Offensive rebound by A. Aminu
8:18.0,,,8-16,3,C. McCollum makes 3-pt shot from 24 ft
8:16.0,Golden State full timeout,,8-16,,
8:08.0,Offensive foul by Z. Pachulia (drawn by A. Aminu),,8-16,,
8:08.0,Turnover by Z. Pachulia (offensive foul),,8-16,,
7:54.0,,,8-16,,Turnover by M. Harkless (out of bounds lost ball)
7:41.0,Z. Pachulia misses 2-pt shot from 4 ft,,8-16,,
7:36.0,Offensive rebound by D. Green,,8-16,,
7:36.0,D. Green misses 2-pt shot at rim,,8-16,,
7:36.0,,,8-16,,Defensive rebound by M. Harkless
7:31.0,,,8-16,,C. McCollum misses 2-pt shot from 1 ft
7:31.0,,,8-16,,Offensive rebound by J. Nurkic
7:28.0,,,8-16,,J. Nurkic misses 2-pt shot at rim
7:27.0,Defensive rebound by Z. Pachulia,,8-16,,
7:19.0,K. Thompson misses 3-pt shot from 22 ft,,8-16,,
7:16.0,,,8-16,,Defensive rebound by C. McCollum
7:06.0,,,8-19,3,A. Aminu makes 3-pt shot from 23 ft (assist by M. Harkless)
6:51.0,Shooting foul by J. Nurkic (drawn by Z. Pachulia),,8-19,,
6:51.0,Z. Pachulia makes free throw 1 of 2,1,9-19,,
6:51.0,Z. Pachulia misses free throw 2 of 2,,9-19,,
6:48.0,,,9-19,,Defensive rebound by J. Nurkic
6:39.0,,,9-19,,Turnover by C. McCollum (bad pass; steal by Z. Pachulia)
6:32.0,K. Thompson makes 2-pt shot from 1 ft,2,11-19,,
