time,Detroit,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. A. Drummond (K. Bazemore gains possession),,,,Jump ball: M. Plumlee vs. A. Drummond (K. Bazemore gains possession)
11:42.0,,,0-0,,Turnover by M. Plumlee (bad pass; steal by A. Drummond)
11:30.0,A. Drummond misses 2-pt shot from 4 ft,,0-0,,
11:29.0,Offensive rebound by A. Drummond,,0-0,,
11:18.0,R. Bullock makes 3-pt shot from 24 ft (assist by R. Jackson),3,3-0,,
11:00.0,,,3-2,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
10:43.0,R. Jackson misses 2-pt shot at rim (block by K. Bazemore),,3-2,,
10:43.0,Offensive rebound by Team,,3-2,,
10:36.0,R. Bullock misses 2-pt shot from 3 ft,,3-2,,
10:27.0,,,3-2,,Defensive rebound by M. Plumlee
10:25.0,,,3-2,,E. Ilyasova misses 2-pt shot from 11 ft
10:22.0,Defensive rebound by A. Drummond,,3-2,,
10:17.0,R. Jackson makes 2-pt shot from 10 ft,2,5-2,,
9:59.0,,,5-5,3,K. Bazemore makes 3-pt shot from 23 ft (assist by T. Waller-Prince)
9:39.0,A. Bradley misses 2-pt shot from 11 ft,,5-5,,
9:36.0,,,5-5,,Defensive rebound by D. Schroder
9:33.0,Personal block foul by R. Jackson (drawn by D. Schroder),,5-5,,
9:26.0,,,5-5,,K. Bazemore misses 2-pt shot from 4 ft (block by A. Drummond)
9:26.0,Defensive rebound by A. Drummond,,5-5,,
9:26.0,Turnover by A. Drummond (step out of bounds),,5-5,,
9:21.0,,,5-8,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder)
9:04.0,A. Bradley makes 2-pt shot from 18 ft (assist by R. Jackson),2,7-8,,
8:49.0,,,7-10,2,E. Ilyasova makes 2-pt shot from 9 ft (assist by D. Schroder)
8:37.0,R. Bullock makes 2-pt shot from 1 ft (assist by A. Drummond),2,9-10,,
8:14.0,,,9-13,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by D. Schroder)
7:55.0,R. Jackson misses 2-pt shot from 10 ft,,9-13,,
7:53.0,,,9-13,,Defensive rebound by K. Bazemore
7:44.0,,,9-15,2,E. Ilyasova makes 2-pt shot from 13 ft (assist by M. Plumlee)
7:38.0,Detroit full timeout,,9-15,,
7:38.0,,,9-15,,J. Collins enters the game for M. Plumlee
7:24.0,R. Jackson makes 2-pt shot from 15 ft,2,11-15,,
7:10.0,,,11-15,,K. Bazemore misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by T. Harris,,11-15,,
7:00.0,Turnover by T. Harris (bad pass),,11-15,,
6:41.0,,,11-18,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by J. Collins)
6:26.0,T. Harris makes 2-pt shot from 19 ft,2,13-18,,
6:12.0,,,13-20,2,J. Collins makes 2-pt shot from 2 ft (assist by K. Bazemore)
6:12.0,,,13-20,,Shooting foul by A. Drummond (drawn by J. Collins)
6:12.0,,,13-20,,J. Collins misses free throw 1 of 1
6:12.0,I. Smith enters the game for R. Jackson,,13-20,,
6:12.0,Offensive rebound by A. Drummond,,13-20,,
5:55.0,R. Bullock misses 3-pt shot from 24 ft,,13-20,,
5:52.0,Offensive rebound by A. Drummond,,13-20,,
5:49.0,A. Bradley misses 2-pt shot from 1 ft (block by K. Bazemore),,13-20,,
5:43.0,Offensive rebound by A. Drummond,,13-20,,
5:41.0,A. Drummond makes 2-pt shot from 1 ft,2,15-20,,
5:32.0,,,15-20,,Shooting foul by I. Smith (drawn by D. Schroder)
5:32.0,,,15-20,,D. Schroder misses free throw 2 of 2
5:32.0,Defensive rebound by A. Drummond,,15-20,,
5:32.0,,,15-21,1,D. Schroder makes free throw 1 of 2
5:32.0,,,15-21,,M. Belinelli enters the game for K. Bazemore
5:20.0,R. Bullock misses 2-pt shot from 6 ft,,15-21,,
5:20.0,,,15-21,,Defensive rebound by E. Ilyasova
5:11.0,Personal foul by I. Smith (drawn by E. Ilyasova),,15-21,,
5:04.0,,,15-21,,D. Schroder misses 2-pt shot from 1 ft
5:00.0,,,15-21,,Offensive rebound by J. Collins
4:59.0,,,15-23,2,J. Collins makes 2-pt shot from 2 ft
4:50.0,Shooting foul by J. Collins (drawn by A. Drummond),,15-23,,
4:42.0,T. Harris makes 2-pt shot from 14 ft (assist by I. Smith),2,17-23,,
4:29.0,,,17-23,,Shooting foul by I. Smith (drawn by D. Schroder)
4:29.0,,,17-23,,D. Schroder misses free throw 1 of 2
4:29.0,,,17-23,,Offensive rebound by Team
4:29.0,,,17-23,,D. Bembry enters the game for T. Waller-Prince
4:29.0,R. Jackson enters the game for I. Smith,,17-23,,
4:29.0,,,17-24,1,D. Schroder makes free throw 2 of 2
4:18.0,R. Jackson makes 2-pt shot from 1 ft,2,19-24,,
4:02.0,,,19-26,2,J. Collins makes 2-pt shot from 2 ft (assist by D. Schroder)
3:47.0,R. Jackson misses 3-pt shot from 25 ft,,19-26,,
3:44.0,,,19-26,,Defensive rebound by J. Collins
3:29.0,,,19-26,,J. Collins misses 2-pt shot from 17 ft
3:26.0,Defensive rebound by A. Drummond,,19-26,,
3:19.0,A. Bradley misses 2-pt shot from 3 ft (block by D. Bembry),,19-26,,
3:19.0,Offensive rebound by Team,,19-26,,
3:19.0,,,19-26,,L. Babbitt enters the game for E. Ilyasova
3:19.0,,,19-26,,I. Taylor enters the game for J. Collins
3:19.0,L. Kennard enters the game for R. Bullock,,19-26,,
3:19.0,,,19-26,,M. Plumlee enters the game for D. Schroder
3:15.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Bradley),3,22-26,,
3:05.0,,,22-26,,Atlanta full timeout
3:05.0,L. Galloway enters the game for A. Bradley,,22-26,,
2:59.0,,,22-28,2,M. Belinelli makes 2-pt shot from 21 ft (assist by I. Taylor)
2:43.0,T. Harris makes 2-pt shot from 15 ft (assist by L. Kennard),2,24-28,,
2:21.0,,,24-28,,Turnover by D. Bembry (bad pass)
2:06.0,L. Galloway makes 3-pt shot from 23 ft (assist by R. Jackson),3,27-28,,
1:44.0,,,27-28,,Turnover by D. Bembry (bad pass; steal by A. Drummond)
1:31.0,Turnover by L. Kennard (out of bounds lost ball),,27-28,,
1:11.0,,,27-28,,D. Bembry misses 2-pt shot from 11 ft (block by L. Kennard)
1:08.0,,,27-28,,Offensive rebound by I. Taylor
1:07.0,,,27-28,,Turnover by Team (shot clock)
1:07.0,S. Johnson enters the game for L. Kennard,,27-28,,
0:58.0,R. Jackson makes 3-pt shot from 25 ft,3,30-28,,
0:44.0,Personal foul by T. Harris (drawn by M. Plumlee),,30-28,,
0:44.0,,,30-28,,M. Plumlee misses free throw 1 of 2
0:44.0,,,30-28,,Offensive rebound by Team
0:44.0,A. Tolliver enters the game for T. Harris,,30-28,,
0:44.0,,,30-28,,M. Plumlee misses free throw 2 of 2
0:40.0,Defensive rebound by L. Galloway,,30-28,,
0:25.0,Turnover by R. Jackson (bad pass; steal by I. Taylor),,30-28,,
0:03.0,,,30-31,3,M. Belinelli makes 3-pt shot from 22 ft (assist by I. Taylor)
0:02.0,Turnover by A. Tolliver (bad pass),,30-31,,
0:00.0,,,30-31,,L. Babbitt misses 2-pt shot from 14 ft
0:00.0,,,30-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,S. Johnson misses 3-pt shot from 24 ft,,30-31,,
11:33.0,,,30-31,,Defensive rebound by Team
11:25.0,,,30-31,,Offensive charge foul by I. Taylor (drawn by E. Moreland)
11:25.0,,,30-31,,Turnover by I. Taylor (offensive foul)
11:10.0,L. Galloway makes 3-pt shot from 25 ft (assist by E. Moreland),3,33-31,,
10:58.0,Personal foul by A. Tolliver (drawn by M. Plumlee),,33-31,,
10:58.0,,,33-31,,J. Collins enters the game for M. Belinelli
10:58.0,,,33-31,,K. Bazemore enters the game for M. Plumlee
10:45.0,,,33-31,,D. Bembry misses 2-pt shot from 11 ft
10:41.0,Defensive rebound by S. Johnson,,33-31,,
10:28.0,L. Galloway misses 2-pt shot from 18 ft,,33-31,,
10:25.0,,,33-31,,Defensive rebound by J. Collins
10:16.0,,,33-31,,L. Babbitt misses 3-pt shot from 23 ft
10:13.0,Defensive rebound by A. Tolliver,,33-31,,
10:05.0,A. Tolliver makes 3-pt shot from 25 ft (assist by L. Galloway),3,36-31,,
9:39.0,,,36-31,,J. Collins misses 2-pt shot from 12 ft
9:36.0,Defensive rebound by E. Moreland,,36-31,,
9:26.0,L. Kennard misses 2-pt shot from 16 ft,,36-31,,
9:23.0,Offensive rebound by Team,,36-31,,
9:23.0,,,36-31,,D. Schroder enters the game for D. Bembry
9:16.0,S. Johnson makes 2-pt shot from 11 ft,2,38-31,,
9:14.0,,,38-31,,Atlanta full timeout
9:14.0,,,38-31,,T. Waller-Prince enters the game for L. Babbitt
9:03.0,,,38-31,,K. Bazemore misses 2-pt shot from 3 ft
9:02.0,Defensive rebound by Team,,38-31,,
8:44.0,A. Tolliver misses 2-pt shot from 1 ft,,38-31,,
8:44.0,Offensive rebound by E. Moreland,,38-31,,
