time,Minnesota,pts.away,score,pts.home,Sacramento
2:00.0,G. Dieng enters the game for K. Towns,,117-98,,
2:00.0,J. Teague makes free throw 2 of 2,1,118-98,,
1:42.0,,,118-98,,B. Hield misses 2-pt shot from 15 ft
1:40.0,,,118-98,,Offensive rebound by B. Hield
1:40.0,T. Jones enters the game for J. Teague,,118-98,,
1:35.0,,,118-98,,B. Caboclo misses 2-pt shot from 9 ft
1:32.0,Defensive rebound by N. Bjelica,,118-98,,
1:16.0,Turnover by T. Jones (lost ball; steal by J. Jackson),,118-98,,
1:16.0,Personal foul by G. Dieng (drawn by J. Jackson),,118-98,,
1:16.0,C. Aldrich enters the game for T. Gibson,,118-98,,
1:05.0,Violation by C. Aldrich (kicked ball),,118-98,,
1:05.0,A. Brooks enters the game for J. Crawford,,118-98,,
0:54.0,Personal foul by A. Brooks (drawn by B. Bogdanovic),,118-98,,
0:54.0,,,118-99,1,B. Bogdanovic makes free throw 1 of 2
0:54.0,,,118-100,1,B. Bogdanovic makes free throw 2 of 2
0:34.0,G. Dieng misses 2-pt shot from 7 ft,,118-100,,
0:30.0,,,118-100,,Defensive rebound by J. Jackson
0:25.0,,,118-100,,S. Labissiere misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by C. Aldrich,,118-100,,
