time,Minnesota,pts.away,score,pts.home,Sacramento
11:03.0,,,29-29,,Offensive foul by F. Mason (drawn by T. Jones)
11:03.0,,,29-29,,Turnover by F. Mason (offensive foul)
10:41.0,T. Jones makes 3-pt shot from 25 ft (assist by J. Crawford),3,32-29,,
10:25.0,,,32-29,,Turnover by F. Mason (bad pass; steal by N. Bjelica)
10:21.0,N. Bjelica makes 2-pt shot from 1 ft (assist by J. Crawford),2,34-29,,
10:07.0,,,34-31,2,F. Mason makes 2-pt shot from 5 ft
10:07.0,Shooting block foul by G. Dieng (drawn by F. Mason),,34-31,,
10:07.0,,,34-32,1,F. Mason makes free throw 1 of 1
9:56.0,Shooting foul by K. Koufos (drawn by K. Towns),,34-32,,
9:56.0,K. Towns makes free throw 1 of 2,1,35-32,,
9:56.0,K. Towns makes free throw 2 of 2,1,36-32,,
9:44.0,,,36-34,2,F. Mason makes 2-pt shot from 20 ft (assist by K. Koufos)
9:27.0,K. Towns makes 2-pt shot from 20 ft,2,38-34,,
9:16.0,,,38-34,,Shooting foul by K. Towns (drawn by K. Koufos)
9:16.0,,,38-35,1,K. Koufos makes free throw 1 of 2
9:16.0,,,38-35,,K. Koufos misses free throw 2 of 2
9:14.0,Defensive rebound by G. Dieng,,38-35,,
8:51.0,G. Dieng misses 2-pt shot from 16 ft,,38-35,,
8:47.0,,,38-35,,Defensive rebound by B. Hield
8:41.0,,,38-35,,B. Hield misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by K. Towns,,38-35,,
8:33.0,Shooting foul by K. Koufos (drawn by G. Dieng),,38-35,,
8:33.0,G. Dieng makes free throw 1 of 2,1,39-35,,
8:33.0,G. Dieng makes free throw 2 of 2,1,40-35,,
8:20.0,,,40-37,2,B. Hield makes 2-pt shot from 3 ft
8:03.0,,,40-37,,Personal foul by B. Caboclo (drawn by K. Towns)
8:03.0,J. Teague enters the game for T. Jones,,40-37,,
7:53.0,K. Towns misses 2-pt shot from 5 ft,,40-37,,
7:48.0,Offensive rebound by G. Dieng,,40-37,,
7:48.0,G. Dieng makes 2-pt shot at rim,2,42-37,,
7:42.0,,,42-37,,F. Mason misses 2-pt shot from 23 ft
7:40.0,,,42-37,,Offensive rebound by Team
7:40.0,,,42-37,,Sacramento full timeout
7:32.0,,,42-37,,K. Koufos misses 2-pt shot from 9 ft
7:28.0,Defensive rebound by G. Dieng,,42-37,,
7:13.0,Shooting foul by F. Mason (drawn by J. Teague),,42-37,,
7:13.0,J. Teague makes free throw 1 of 2,1,43-37,,
7:13.0,J. Teague makes free throw 2 of 2,1,44-37,,
6:56.0,,,44-39,2,B. Hield makes 2-pt shot from 18 ft
6:50.0,J. Teague misses 2-pt shot from 6 ft (block by F. Mason),,44-39,,
6:49.0,Offensive rebound by Team,,44-39,,
6:49.0,,,44-39,,S. Labissiere enters the game for B. Caboclo
6:47.0,K. Towns makes 2-pt shot from 2 ft (assist by N. Bjelica),2,46-39,,
6:29.0,,,46-39,,J. Jackson misses 2-pt shot from 18 ft
6:26.0,Defensive rebound by K. Towns,,46-39,,
6:20.0,J. Crawford makes 3-pt shot from 25 ft (assist by J. Teague),3,49-39,,
6:12.0,,,49-42,3,B. Hield makes 3-pt shot from 25 ft (assist by K. Koufos)
5:54.0,J. Crawford misses 3-pt shot from 25 ft,,49-42,,
5:50.0,Offensive rebound by K. Towns,,49-42,,
5:48.0,K. Towns makes 2-pt shot from 5 ft,2,51-42,,
5:30.0,,,51-44,2,F. Mason makes 2-pt shot from 1 ft
5:19.0,Turnover by J. Teague (lost ball; steal by J. Jackson),,51-44,,
5:15.0,,,51-46,2,B. Hield makes 2-pt shot from 1 ft (assist by J. Jackson)
5:02.0,Minnesota full timeout,,51-46,,
5:02.0,,,51-46,,W. Cauley-Stein enters the game for F. Mason
5:02.0,,,51-46,,D. Fox enters the game for K. Koufos
5:02.0,A. Wiggins enters the game for G. Dieng,,51-46,,
5:02.0,T. Gibson enters the game for J. Crawford,,51-46,,
4:49.0,Shooting foul by W. Cauley-Stein (drawn by K. Towns),,51-46,,
4:49.0,K. Towns makes free throw 1 of 2,1,52-46,,
4:49.0,K. Towns makes free throw 2 of 2,1,53-46,,
4:35.0,,,53-46,,B. Hield misses 2-pt shot from 19 ft
4:32.0,,,53-46,,Offensive rebound by B. Hield
4:30.0,,,53-46,,B. Hield misses 3-pt shot from 23 ft
4:25.0,Defensive rebound by N. Bjelica,,53-46,,
4:21.0,K. Towns makes 2-pt shot from 1 ft (assist by N. Bjelica),2,55-46,,
4:07.0,,,55-48,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Hield)
4:07.0,,,55-48,,Shooting foul by N. Bjelica (drawn by W. Cauley-Stein)
4:07.0,,,55-48,,B. Bogdanovic enters the game for B. Hield
4:07.0,,,55-49,1,W. Cauley-Stein makes free throw 1 of 1
3:55.0,A. Wiggins misses 2-pt shot from 12 ft,,55-49,,
3:52.0,,,55-49,,Defensive rebound by S. Labissiere
3:48.0,,,55-51,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox)
3:30.0,J. Teague misses 2-pt shot from 11 ft,,55-51,,
3:28.0,,,55-51,,Defensive rebound by S. Labissiere
3:21.0,,,55-51,,Offensive foul by W. Cauley-Stein (drawn by K. Towns)
3:21.0,,,55-51,,Turnover by W. Cauley-Stein (offensive foul)
3:00.0,Turnover by N. Bjelica (bad pass; steal by S. Labissiere),,55-51,,
2:48.0,,,55-51,,W. Cauley-Stein misses 2-pt shot from 4 ft
2:45.0,Defensive rebound by K. Towns,,55-51,,
2:41.0,A. Wiggins makes 2-pt shot from 3 ft,2,57-51,,
2:27.0,,,57-51,,W. Cauley-Stein misses 2-pt shot from 15 ft
2:24.0,Defensive rebound by K. Towns,,57-51,,
2:13.0,J. Teague misses 2-pt shot from 2 ft,,57-51,,
2:08.0,Offensive rebound by T. Gibson,,57-51,,
2:08.0,T. Gibson makes 2-pt shot at rim,2,59-51,,
1:46.0,,,59-51,,Turnover by Team (shot clock)
1:46.0,,,59-51,,B. Hield enters the game for J. Jackson
1:33.0,A. Wiggins misses 2-pt shot from 7 ft (block by B. Hield),,59-51,,
1:33.0,Offensive rebound by Team,,59-51,,
1:30.0,K. Towns makes 2-pt shot from 11 ft (assist by J. Teague),2,61-51,,
1:16.0,,,61-51,,S. Labissiere misses 2-pt shot from 3 ft (block by T. Gibson)
1:16.0,,,61-51,,Offensive rebound by S. Labissiere
1:16.0,,,61-53,2,S. Labissiere makes 2-pt shot from 3 ft
1:16.0,,,61-53,,Shooting foul by T. Gibson (drawn by S. Labissiere)
1:16.0,,,61-54,1,S. Labissiere makes free throw 1 of 1
0:58.0,A. Wiggins misses 2-pt shot from 15 ft,,61-54,,
0:57.0,,,61-54,,Defensive rebound by Team
0:57.0,Loose ball foul by T. Gibson (drawn by S. Labissiere),,61-54,,
0:57.0,,,61-55,1,S. Labissiere makes free throw 1 of 2
0:57.0,,,61-56,1,S. Labissiere makes free throw 2 of 2
0:33.0,N. Bjelica misses 2-pt shot from 6 ft,,61-56,,
0:31.0,,,61-56,,Defensive rebound by B. Hield
0:28.0,,,61-58,2,B. Hield makes 2-pt shot from 12 ft
0:07.0,Shooting foul by W. Cauley-Stein (drawn by A. Wiggins),,61-58,,
0:07.0,A. Wiggins makes free throw 1 of 2,1,62-58,,
0:07.0,A. Wiggins makes free throw 2 of 2,1,63-58,,
0:02.0,,,63-60,2,D. Fox makes 2-pt shot from 1 ft
0:00.0,A. Wiggins misses 3-pt shot from 33 ft,,63-60,,
0:00.0,Offensive rebound by Team,,63-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Offensive foul by K. Towns (drawn by W. Cauley-Stein),,63-60,,
11:43.0,Turnover by K. Towns (offensive foul),,63-60,,
11:23.0,,,63-60,,W. Cauley-Stein misses 2-pt shot from 1 ft (block by K. Towns)
11:20.0,Defensive rebound by N. Bjelica,,63-60,,
11:08.0,T. Gibson misses 2-pt shot from 6 ft (block by B. Bogdanovic),,63-60,,
11:04.0,,,63-60,,Defensive rebound by D. Fox
10:59.0,,,63-60,,Turnover by W. Cauley-Stein (bad pass; steal by N. Bjelica)
10:53.0,N. Bjelica makes 3-pt shot from 25 ft (assist by J. Teague),3,66-60,,
10:38.0,,,66-62,2,S. Labissiere makes 2-pt shot from 16 ft (assist by D. Fox)
10:13.0,J. Teague makes 3-pt shot from 25 ft,3,69-62,,
9:59.0,,,69-64,2,S. Labissiere makes 2-pt shot from 1 ft
9:47.0,J. Teague misses 2-pt shot from 2 ft,,69-64,,
9:45.0,Offensive rebound by K. Towns,,69-64,,
9:43.0,K. Towns makes 2-pt shot from 1 ft,2,71-64,,
