time,Milwaukee,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. J. Henson (D. Collison gains possession),,,,Jump ball: M. Turner vs. J. Henson (D. Collison gains possession)
11:45.0,Shooting block foul by G. Antetokounmpo (drawn by M. Turner),,0-0,,
11:45.0,,,0-0,,M. Turner misses free throw 1 of 2
11:45.0,,,0-0,,Offensive rebound by Team
11:45.0,,,0-0,,M. Turner misses free throw 2 of 2
11:43.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:24.0,Shooting foul by V. Oladipo (drawn by J. Henson),,0-0,,
11:24.0,J. Henson makes free throw 1 of 2,1,1-0,,
11:24.0,J. Henson makes free throw 2 of 2,1,2-0,,
11:09.0,,,2-2,2,V. Oladipo makes 2-pt shot from 13 ft
10:57.0,Turnover by K. Middleton (bad pass; steal by M. Turner),,2-2,,
10:51.0,,,2-2,,V. Oladipo misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by G. Antetokounmpo,,2-2,,
10:39.0,K. Middleton makes 3-pt shot from 26 ft (assist by M. Brogdon),3,5-2,,
10:24.0,,,5-4,2,D. Collison makes 2-pt shot from 18 ft (assist by M. Turner)
10:11.0,E. Bledsoe misses 2-pt shot at rim (block by M. Turner),,5-4,,
10:09.0,,,5-4,,Defensive rebound by T. Young
9:53.0,,,5-6,2,T. Young makes 2-pt shot from 1 ft (assist by D. Collison)
9:35.0,J. Henson misses 2-pt shot from 18 ft,,5-6,,
9:33.0,Offensive rebound by G. Antetokounmpo,,5-6,,
9:26.0,K. Middleton makes 2-pt shot from 7 ft (assist by G. Antetokounmpo),2,7-6,,
9:11.0,,,7-6,,T. Young misses 3-pt shot from 22 ft
9:08.0,Defensive rebound by J. Henson,,7-6,,
9:03.0,G. Antetokounmpo misses 2-pt shot at rim (block by M. Turner),,7-6,,
9:03.0,Offensive rebound by Team,,7-6,,
8:54.0,J. Henson misses 2-pt shot from 1 ft (block by M. Turner),,7-6,,
8:54.0,,,7-6,,Defensive rebound by M. Turner
8:45.0,,,7-6,,D. Collison misses 2-pt shot from 1 ft
8:42.0,Defensive rebound by G. Antetokounmpo,,7-6,,
8:38.0,Shooting foul by T. Young (drawn by G. Antetokounmpo),,7-6,,
8:38.0,G. Antetokounmpo misses free throw 1 of 2,,7-6,,
8:38.0,Offensive rebound by Team,,7-6,,
8:38.0,G. Antetokounmpo makes free throw 2 of 2,1,8-6,,
8:16.0,,,8-8,2,T. Young makes 2-pt shot at rim (assist by D. Collison)
7:55.0,K. Middleton misses 2-pt shot from 17 ft,,8-8,,
7:51.0,Offensive rebound by J. Henson,,8-8,,
7:51.0,J. Henson makes 2-pt shot at rim,2,10-8,,
7:45.0,,,10-10,2,M. Turner makes 2-pt shot at rim (assist by B. Bogdanovic)
7:28.0,Turnover by E. Bledsoe (bad pass; steal by V. Oladipo),,10-10,,
7:24.0,,,10-13,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Collison)
7:11.0,Turnover by G. Antetokounmpo (bad pass; steal by M. Turner),,10-13,,
7:07.0,,,10-15,2,M. Turner makes 2-pt shot from 2 ft
7:07.0,Milwaukee full timeout,,10-15,,
7:01.0,,,10-15,,Personal foul by D. Collison (drawn by E. Bledsoe)
7:01.0,T. Snell enters the game for G. Antetokounmpo,,10-15,,
6:59.0,E. Bledsoe makes 2-pt shot from 13 ft (assist by K. Middleton),2,12-15,,
6:38.0,,,12-15,,V. Oladipo misses 3-pt shot from 26 ft
6:35.0,Defensive rebound by M. Brogdon,,12-15,,
6:27.0,M. Brogdon misses 2-pt shot from 11 ft,,12-15,,
6:24.0,,,12-15,,Defensive rebound by T. Young
6:21.0,,,12-15,,B. Bogdanovic misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by E. Bledsoe,,12-15,,
6:08.0,K. Middleton makes 2-pt shot from 8 ft (assist by E. Bledsoe),2,14-15,,
5:46.0,,,14-17,2,M. Turner makes 2-pt shot at rim (assist by D. Collison)
5:30.0,Offensive foul by J. Henson (drawn by D. Collison),,14-17,,
5:30.0,Turnover by J. Henson (offensive foul),,14-17,,
5:30.0,,,14-17,,D. Sabonis enters the game for M. Turner
5:30.0,T. Maker enters the game for J. Henson,,14-17,,
5:16.0,,,14-19,2,D. Collison makes 2-pt shot from 10 ft
5:02.0,M. Brogdon misses 2-pt shot from 4 ft (block by D. Collison),,14-19,,
5:01.0,,,14-19,,Defensive rebound by D. Sabonis
4:59.0,,,14-21,2,T. Young makes 2-pt shot at rim (assist by V. Oladipo)
4:36.0,T. Maker misses 2-pt shot from 4 ft,,14-21,,
4:35.0,,,14-21,,Defensive rebound by D. Sabonis
4:31.0,,,14-21,,Turnover by T. Young (bad pass; steal by T. Snell)
4:27.0,Turnover by K. Middleton (bad pass),,14-21,,
4:27.0,,,14-21,,C. Joseph enters the game for B. Bogdanovic
4:27.0,M. Dellavedova enters the game for M. Brogdon,,14-21,,
4:11.0,,,14-23,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sabonis)
4:11.0,Violation by T. Maker (def goaltending),,14-23,,
4:01.0,Turnover by M. Dellavedova (bad pass),,14-23,,
3:49.0,,,14-23,,Turnover by T. Young (bad pass; steal by T. Maker)
3:41.0,E. Bledsoe misses 3-pt shot from 28 ft,,14-23,,
3:35.0,,,14-23,,Defensive rebound by D. Sabonis
3:31.0,,,14-23,,C. Joseph misses 3-pt shot from 22 ft
3:26.0,Defensive rebound by E. Bledsoe,,14-23,,
3:17.0,K. Middleton misses 2-pt shot from 16 ft (block by V. Oladipo),,14-23,,
3:15.0,,,14-23,,Defensive rebound by D. Sabonis
3:15.0,Personal take foul by E. Bledsoe (drawn by V. Oladipo),,14-23,,
3:15.0,,,14-23,,Indiana full timeout
3:15.0,,,14-23,,L. Stephenson enters the game for D. Collison
3:15.0,,,14-23,,T. Leaf enters the game for T. Young
3:15.0,G. Antetokounmpo enters the game for E. Bledsoe,,14-23,,
3:15.0,J. Terry enters the game for K. Middleton,,14-23,,
3:05.0,,,14-26,3,V. Oladipo makes 3-pt shot from 26 ft (assist by C. Joseph)
2:44.0,Turnover by G. Antetokounmpo (bad pass; steal by V. Oladipo),,14-26,,
2:44.0,Personal take foul by M. Dellavedova (drawn by V. Oladipo),,14-26,,
2:24.0,,,14-26,,L. Stephenson misses 3-pt shot from 24 ft
2:21.0,,,14-26,,Offensive rebound by D. Sabonis
2:18.0,,,14-28,2,L. Stephenson makes 2-pt shot from 2 ft
1:59.0,M. Dellavedova misses 3-pt shot from 21 ft,,14-28,,
1:57.0,,,14-28,,Defensive rebound by Team
1:44.0,,,14-30,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
1:24.0,Turnover by T. Snell (lost ball; steal by L. Stephenson),,14-30,,
1:21.0,,,14-32,2,T. Leaf makes 2-pt shot from 1 ft (assist by L. Stephenson)
1:18.0,Milwaukee full timeout,,14-32,,
1:18.0,,,14-32,,J. Young enters the game for V. Oladipo
1:04.0,T. Snell misses 3-pt shot from 27 ft,,14-32,,
1:02.0,,,14-32,,Defensive rebound by Team
1:02.0,Loose ball foul by M. Dellavedova (drawn by C. Joseph),,14-32,,
0:37.0,,,14-35,3,J. Young makes 3-pt shot from 27 ft (assist by D. Sabonis)
0:27.0,,,14-35,,Personal foul by T. Leaf (drawn by T. Maker)
0:25.0,,,14-35,,Personal foul by T. Leaf (drawn by G. Antetokounmpo)
0:25.0,G. Antetokounmpo makes free throw 1 of 2,1,15-35,,
0:25.0,G. Antetokounmpo makes free throw 2 of 2,1,16-35,,
0:06.0,,,16-37,2,D. Sabonis makes 2-pt shot from 7 ft (assist by C. Joseph)
0:00.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,16-37,,
0:00.0,Offensive rebound by Team,,16-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,19-37,,
11:39.0,Shooting foul by D. Sabonis (drawn by K. Middleton),,19-37,,
11:39.0,K. Middleton makes free throw 1 of 1,1,20-37,,
11:16.0,,,20-37,,Shooting foul by T. Snell (drawn by L. Stephenson)
11:16.0,,,20-39,1,L. Stephenson makes free throw 1 of 2
11:16.0,,,20-39,,T. Young enters the game for T. Leaf
11:16.0,,,20-39,1,L. Stephenson makes free throw 2 of 2
11:08.0,,,20-39,,Personal foul by L. Stephenson (drawn by K. Middleton)
11:03.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Sabonis),,20-39,,
11:01.0,,,20-41,2,D. Sabonis makes 2-pt shot at rim
11:01.0,Violation by G. Antetokounmpo (def goaltending),,20-41,,
10:49.0,K. Middleton misses 3-pt shot from 26 ft,,20-41,,
10:45.0,,,20-41,,Defensive rebound by T. Young
10:42.0,,,20-43,2,L. Stephenson makes 2-pt shot at rim (assist by C. Joseph)
10:41.0,Milwaukee full timeout,,20-43,,
10:41.0,M. Brogdon enters the game for J. Terry,,20-43,,
10:27.0,M. Brogdon misses 3-pt shot from 25 ft,,20-43,,
10:22.0,,,20-43,,Defensive rebound by D. Sabonis
10:10.0,Personal foul by K. Middleton (drawn by T. Young),,20-43,,
9:57.0,,,20-45,2,D. Sabonis makes 2-pt shot at rim (assist by L. Stephenson)
9:47.0,K. Middleton misses 2-pt shot from 2 ft,,20-45,,
9:46.0,,,20-45,,Defensive rebound by J. Young
9:46.0,Personal take foul by K. Middleton (drawn by J. Young),,20-45,,
9:27.0,,,20-45,,J. Young misses 2-pt shot from 10 ft
9:24.0,Defensive rebound by K. Middleton,,20-45,,
9:15.0,G. Antetokounmpo misses 3-pt shot from 28 ft,,20-45,,
9:13.0,,,20-45,,Defensive rebound by L. Stephenson
9:05.0,,,20-45,,D. Sabonis misses 2-pt shot at rim
9:02.0,Defensive rebound by T. Snell,,20-45,,
8:49.0,Shooting foul by D. Sabonis (drawn by G. Antetokounmpo),,20-45,,
8:49.0,G. Antetokounmpo misses free throw 1 of 2,,20-45,,
8:49.0,Offensive rebound by Team,,20-45,,
8:49.0,E. Bledsoe enters the game for M. Dellavedova,,20-45,,
8:49.0,G. Antetokounmpo misses free throw 2 of 2,,20-45,,
8:47.0,,,20-45,,Defensive rebound by T. Young
8:28.0,,,20-45,,Turnover by D. Sabonis (lost ball; steal by G. Antetokounmpo)
8:27.0,,,20-45,,Personal take foul by C. Joseph (drawn by G. Antetokounmpo)
8:27.0,,,20-45,,V. Oladipo enters the game for J. Young
8:14.0,,,20-45,,Technical foul by T. Young (drawn by E. Bledsoe)
8:14.0,K. Middleton makes free throw 1 of 1,1,21-45,,
8:12.0,Turnover by K. Middleton (bad pass),,21-45,,
7:58.0,,,21-45,,L. Stephenson misses 2-pt shot from 1 ft (block by E. Bledsoe)
7:58.0,,,21-45,,Offensive rebound by T. Young
7:58.0,Personal block foul by E. Bledsoe (drawn by T. Young),,21-45,,
7:52.0,,,21-45,,Turnover by L. Stephenson (bad pass; steal by E. Bledsoe)
7:50.0,Turnover by E. Bledsoe (out of bounds lost ball),,21-45,,
7:35.0,,,21-48,3,C. Joseph makes 3-pt shot from 28 ft (assist by D. Sabonis)
7:16.0,T. Snell misses 3-pt shot from 27 ft,,21-48,,
7:12.0,,,21-48,,Defensive rebound by T. Young
7:04.0,,,21-48,,Turnover by D. Sabonis (bad pass; steal by K. Middleton)
6:56.0,M. Brogdon makes 2-pt shot from 1 ft (assist by K. Middleton),2,23-48,,
6:50.0,,,23-48,,Indiana full timeout
6:50.0,,,23-48,,M. Turner enters the game for D. Sabonis
6:50.0,J. Henson enters the game for T. Snell,,23-48,,
6:36.0,,,23-48,,Turnover by T. Young (bad pass)
6:16.0,,,23-48,,D. Collison enters the game for L. Stephenson
6:16.0,,,23-48,,B. Bogdanovic enters the game for C. Joseph
6:13.0,Shooting foul by M. Turner (drawn by K. Middleton),,23-48,,
6:13.0,K. Middleton makes free throw 1 of 3,1,24-48,,
6:13.0,K. Middleton makes free throw 2 of 3,1,25-48,,
6:13.0,K. Middleton makes free throw 3 of 3,1,26-48,,
5:59.0,,,26-48,,Turnover by V. Oladipo (bad pass)
5:51.0,E. Bledsoe makes 2-pt shot from 18 ft,2,28-48,,
5:32.0,,,28-48,,T. Young misses 2-pt shot from 1 ft
5:31.0,,,28-48,,Offensive rebound by M. Turner
5:31.0,,,28-48,,Shooting foul by M. Brogdon (drawn by M. Turner)
5:31.0,,,28-48,,M. Turner misses free throw 1 of 2
5:31.0,,,28-48,,Offensive rebound by Team
5:31.0,,,28-49,1,M. Turner makes free throw 2 of 2
5:20.0,E. Bledsoe misses 2-pt shot from 1 ft,,28-49,,
5:19.0,Offensive rebound by J. Henson,,28-49,,
5:19.0,J. Henson makes 2-pt shot at rim,2,30-49,,
5:06.0,,,30-51,2,V. Oladipo makes 2-pt shot from 19 ft
4:52.0,E. Bledsoe misses 3-pt shot from 28 ft,,30-51,,
4:49.0,,,30-51,,Defensive rebound by B. Bogdanovic
4:46.0,,,30-54,3,T. Young makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
4:18.0,Turnover by Team (shot clock),,30-54,,
3:51.0,Jump ball: V. Oladipo vs. E. Bledsoe (G. Antetokounmpo gains possession),,,,Jump ball: V. Oladipo vs. E. Bledsoe (G. Antetokounmpo gains possession)
3:51.0,,,30-54,,Turnover by V. Oladipo (turnover; steal by E. Bledsoe)
3:45.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,30-54,,
