time,Philadelphia,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. A. Johnson (J. Redick gains possession),,,,Jump ball: D. Dedmon vs. A. Johnson (J. Redick gains possession)
11:47.0,J. Redick makes 2-pt shot from 17 ft,2,2-0,,
11:21.0,,,2-0,,I. Taylor misses 2-pt shot from 3 ft
11:16.0,Defensive rebound by B. Simmons,,2-0,,
11:14.0,R. Covington makes 2-pt shot from 1 ft (assist by B. Simmons),2,4-0,,
10:56.0,,,4-0,,D. Lee misses 2-pt shot from 3 ft
10:55.0,,,4-0,,Offensive rebound by J. Collins
10:51.0,Jump ball: J. Collins vs. D. Saric (D. Dedmon gains possession),,,,Jump ball: J. Collins vs. D. Saric (D. Dedmon gains possession)
10:49.0,,,4-0,,T. Waller-Prince misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by J. Redick,,4-0,,
10:41.0,J. Redick misses 3-pt shot from 25 ft,,4-0,,
10:38.0,,,4-0,,Defensive rebound by D. Lee
10:30.0,,,4-0,,D. Lee misses 3-pt shot from 24 ft
10:27.0,Defensive rebound by B. Simmons,,4-0,,
10:19.0,Turnover by B. Simmons (bad pass),,4-0,,
10:06.0,,,4-2,2,T. Waller-Prince makes 2-pt shot from 8 ft (assist by J. Collins)
9:56.0,D. Saric misses 3-pt shot from 25 ft,,4-2,,
9:53.0,,,4-2,,Defensive rebound by D. Dedmon
9:48.0,,,4-2,,T. Waller-Prince misses 3-pt shot from 27 ft
9:45.0,Defensive rebound by Team,,4-2,,
9:29.0,B. Simmons misses 2-pt shot from 8 ft,,4-2,,
9:24.0,Offensive rebound by A. Johnson,,4-2,,
9:23.0,R. Covington misses 3-pt shot from 25 ft,,4-2,,
9:20.0,,,4-2,,Defensive rebound by J. Collins
9:16.0,,,4-4,2,D. Lee makes 2-pt shot from 2 ft
9:16.0,,,4-4,,Shooting foul by D. Saric (drawn by D. Lee)
9:16.0,,,4-5,1,D. Lee makes free throw 1 of 1
9:05.0,J. Redick makes 2-pt shot from 1 ft (assist by B. Simmons),2,6-5,,
