time,Houston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Capela (C. Anthony gains possession),,,,Jump ball: S. Adams vs. C. Capela (C. Anthony gains possession)
11:46.0,,,0-0,,Turnover by C. Anthony (traveling)
11:22.0,J. Harden misses 2-pt shot from 7 ft (block by R. Westbrook),,0-0,,
11:21.0,Offensive rebound by Team,,0-0,,
11:21.0,Turnover by Team (shot clock),,0-0,,
11:09.0,,,0-0,,Turnover by R. Westbrook (bad pass; steal by C. Paul)
10:52.0,Turnover by C. Paul (bad pass; steal by S. Adams),,0-0,,
10:49.0,,,0-0,,Turnover by S. Adams (bad pass; steal by J. Harden)
10:43.0,P. Tucker makes 3-pt shot from 23 ft (assist by T. Ariza),3,3-0,,
10:16.0,,,3-0,,P. George misses 2-pt shot from 6 ft
10:14.0,Defensive rebound by C. Paul,,3-0,,
10:09.0,J. Harden misses 2-pt shot from 2 ft (block by J. Huestis),,3-0,,
10:05.0,Offensive rebound by P. Tucker,,3-0,,
9:58.0,,,3-0,,Personal foul by C. Anthony (drawn by C. Paul)
9:52.0,,,3-0,,Personal foul by P. George (drawn by J. Harden)
9:44.0,P. Tucker misses 3-pt shot from 22 ft,,3-0,,
9:42.0,,,3-0,,Defensive rebound by R. Westbrook
9:38.0,,,3-2,2,R. Westbrook makes 2-pt shot from 14 ft
9:18.0,T. Ariza misses 2-pt shot at rim,,3-2,,
9:15.0,,,3-2,,Defensive rebound by S. Adams
9:10.0,,,3-2,,Turnover by P. George (bad pass; steal by T. Ariza)
9:03.0,T. Ariza misses 3-pt shot from 25 ft,,3-2,,
9:01.0,,,3-2,,Defensive rebound by P. George
8:56.0,,,3-4,2,R. Westbrook makes 2-pt shot from 16 ft
8:43.0,P. Tucker misses 3-pt shot from 23 ft,,3-4,,
8:40.0,,,3-4,,Defensive rebound by S. Adams
8:30.0,,,3-4,,P. George misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by P. Tucker,,3-4,,
8:23.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,5-4,,
7:55.0,,,5-4,,P. George misses 3-pt shot from 23 ft (block by T. Ariza)
7:55.0,,,5-4,,Offensive rebound by P. George
7:55.0,,,5-4,,Turnover by Team (shot clock)
7:47.0,C. Paul makes 3-pt shot from 24 ft,3,8-4,,
7:44.0,,,8-4,,Oklahoma City full timeout
7:30.0,,,8-4,,Turnover by R. Westbrook (bad pass; steal by C. Paul)
7:19.0,C. Paul misses 2-pt shot from 12 ft,,8-4,,
7:15.0,,,8-4,,Defensive rebound by J. Huestis
7:10.0,,,8-7,3,C. Anthony makes 3-pt shot from 25 ft
6:51.0,C. Capela misses 2-pt shot from 2 ft,,8-7,,
6:50.0,,,8-7,,Defensive rebound by Team
6:50.0,E. Gordon enters the game for C. Paul,,8-7,,
6:50.0,L. Mbah a Moute enters the game for P. Tucker,,8-7,,
6:41.0,,,8-9,2,R. Westbrook makes 2-pt shot from 9 ft
6:30.0,E. Gordon misses 3-pt shot from 24 ft,,8-9,,
6:28.0,,,8-9,,Defensive rebound by J. Huestis
6:17.0,,,8-9,,C. Anthony misses 2-pt shot from 22 ft
6:14.0,Defensive rebound by J. Harden,,8-9,,
6:10.0,Offensive charge foul by J. Harden (drawn by P. George),,8-9,,
6:10.0,Turnover by J. Harden (offensive foul),,8-9,,
5:59.0,,,8-12,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
5:47.0,Turnover by J. Harden (bad pass; steal by P. George),,8-12,,
5:40.0,,,8-12,,Shooting foul by C. Capela (drawn by C. Anthony)
5:40.0,,,8-13,1,C. Anthony makes free throw 1 of 2
5:40.0,,,8-14,1,C. Anthony makes free throw 2 of 2
5:22.0,E. Gordon misses 2-pt shot from 11 ft,,8-14,,
5:20.0,,,8-14,,Defensive rebound by Team
5:10.0,,,8-17,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Huestis)
5:03.0,,,8-17,,Personal block foul by J. Huestis (drawn by T. Ariza)
4:52.0,,,8-17,,Personal foul by C. Anthony (drawn by J. Harden)
4:52.0,,,8-17,,C. Brewer enters the game for J. Huestis
4:52.0,N. Hilario enters the game for T. Ariza,,8-17,,
4:52.0,G. Green enters the game for C. Capela,,8-17,,
4:43.0,J. Harden makes 2-pt shot from 9 ft,2,10-17,,
4:43.0,Shooting foul by S. Adams (drawn by J. Harden),,10-17,,
4:43.0,J. Harden makes free throw 1 of 1,1,11-17,,
4:32.0,,,11-17,,R. Westbrook misses 2-pt shot from 17 ft
4:28.0,Defensive rebound by N. Hilario,,11-17,,
4:20.0,Turnover by J. Harden (bad pass; steal by S. Adams),,11-17,,
4:08.0,,,11-17,,C. Anthony misses 3-pt shot from 24 ft
4:05.0,,,11-17,,Offensive rebound by R. Westbrook
3:58.0,,,11-19,2,R. Westbrook makes 2-pt shot from 13 ft
3:50.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden),2,13-19,,
3:31.0,,,13-19,,Turnover by S. Adams (turnover)
3:24.0,J. Harden makes 2-pt shot from 6 ft,2,15-19,,
3:11.0,,,15-19,,S. Adams misses 2-pt shot from 1 ft
3:09.0,Defensive rebound by J. Harden,,15-19,,
3:06.0,Shooting foul by C. Brewer (drawn by J. Harden),,15-19,,
3:06.0,J. Harden misses free throw 1 of 2,,15-19,,
3:06.0,Offensive rebound by Team,,15-19,,
3:06.0,,,15-19,,J. Grant enters the game for C. Anthony
3:06.0,J. Harden makes free throw 2 of 2,1,16-19,,
2:57.0,,,16-21,2,R. Westbrook makes 2-pt shot from 15 ft
2:46.0,J. Harden makes 3-pt shot from 26 ft,3,19-21,,
2:29.0,,,19-21,,R. Westbrook misses 2-pt shot at rim (block by N. Hilario)
2:26.0,Defensive rebound by G. Green,,19-21,,
2:22.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,21-21,,
2:05.0,,,21-21,,R. Westbrook misses 2-pt shot from 16 ft
