time,San Antonio,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. P. Gasol (T. Parker gains possession),,,,Jump ball: M. Kleber vs. P. Gasol (T. Parker gains possession)
11:43.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol),2,2-0,,
11:26.0,,,2-0,,W. Matthews misses 2-pt shot from 8 ft
11:24.0,Defensive rebound by K. Leonard,,2-0,,
11:05.0,Turnover by T. Parker (lost ball; steal by Y. Ferrell),,2-0,,
10:55.0,,,2-2,2,Y. Ferrell makes 2-pt shot from 12 ft (assist by D. Nowitzki)
10:37.0,L. Aldridge misses 2-pt shot from 6 ft,,2-2,,
10:35.0,,,2-2,,Defensive rebound by D. Nowitzki
10:24.0,,,2-5,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by W. Matthews)
10:05.0,D. Green misses 2-pt shot from 1 ft,,2-5,,
10:05.0,,,2-5,,Defensive rebound by W. Matthews
9:57.0,,,2-5,,M. Kleber misses 3-pt shot from 22 ft
9:54.0,Defensive rebound by P. Gasol,,2-5,,
9:46.0,T. Parker misses 2-pt shot from 18 ft,,2-5,,
9:44.0,,,2-5,,Defensive rebound by H. Barnes
9:36.0,,,2-8,3,H. Barnes makes 3-pt shot from 25 ft
9:17.0,K. Leonard makes 2-pt shot from 13 ft,2,4-8,,
8:56.0,,,4-8,,Shooting foul by D. Green (drawn by D. Nowitzki)
8:56.0,,,4-9,1,D. Nowitzki makes free throw 1 of 2
8:56.0,,,4-10,1,D. Nowitzki makes free throw 2 of 2
8:35.0,K. Leonard makes 2-pt shot from 7 ft,2,6-10,,
8:17.0,,,6-10,,H. Barnes misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by D. Green,,6-10,,
8:02.0,L. Aldridge misses 2-pt shot from 7 ft,,6-10,,
7:58.0,,,6-10,,Defensive rebound by Y. Ferrell
7:54.0,,,6-10,,Y. Ferrell misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by T. Parker,,6-10,,
7:40.0,T. Parker misses 3-pt shot from 23 ft,,6-10,,
7:36.0,,,6-10,,Defensive rebound by Team
7:36.0,,,6-10,,S. Mejri enters the game for D. Nowitzki
7:23.0,,,6-10,,Y. Ferrell misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by K. Leonard,,6-10,,
7:14.0,K. Leonard makes 2-pt shot from 20 ft,2,8-10,,
7:13.0,,,8-10,,Dallas full timeout
7:13.0,M. Ginobili enters the game for K. Leonard,,8-10,,
6:58.0,,,8-12,2,W. Matthews makes 2-pt shot from 11 ft
6:40.0,L. Aldridge misses 2-pt shot from 17 ft,,8-12,,
6:36.0,,,8-12,,Defensive rebound by W. Matthews
6:30.0,,,8-12,,H. Barnes misses 2-pt shot at rim
6:28.0,Defensive rebound by D. Green,,8-12,,
6:15.0,D. Green misses 3-pt shot from 26 ft,,8-12,,
6:12.0,,,8-12,,Defensive rebound by Y. Ferrell
6:11.0,Personal take foul by M. Ginobili (drawn by Y. Ferrell),,8-12,,
5:58.0,,,8-12,,H. Barnes misses 2-pt shot from 13 ft
5:55.0,Defensive rebound by P. Gasol,,8-12,,
5:45.0,Shooting foul by S. Mejri (drawn by M. Ginobili),,8-12,,
5:45.0,M. Ginobili misses free throw 1 of 2,,8-12,,
5:45.0,Offensive rebound by Team,,8-12,,
5:45.0,P. Mills enters the game for T. Parker,,8-12,,
5:45.0,B. Forbes enters the game for D. Green,,8-12,,
5:45.0,R. Gay enters the game for P. Gasol,,8-12,,
5:45.0,M. Ginobili makes free throw 2 of 2,1,9-12,,
5:21.0,,,9-14,2,Y. Ferrell makes 2-pt shot from 16 ft
5:03.0,B. Forbes misses 2-pt shot from 10 ft,,9-14,,
5:03.0,,,9-14,,Defensive rebound by Y. Ferrell
4:55.0,,,9-16,2,H. Barnes makes 2-pt shot from 1 ft (assist by Y. Ferrell)
4:33.0,R. Gay makes 2-pt shot from 9 ft,2,11-16,,
4:13.0,,,11-18,2,Y. Ferrell makes 2-pt shot from 18 ft (assist by W. Matthews)
3:59.0,R. Gay makes 2-pt shot from 19 ft (assist by B. Forbes),2,13-18,,
3:38.0,,,13-18,,Y. Ferrell misses 2-pt shot from 1 ft
3:36.0,Defensive rebound by M. Ginobili,,13-18,,
3:26.0,P. Mills makes 2-pt shot from 20 ft (assist by L. Aldridge),2,15-18,,
3:02.0,,,15-21,3,M. Kleber makes 3-pt shot from 22 ft (assist by W. Matthews)
2:57.0,San Antonio full timeout,,15-21,,
2:57.0,,,15-21,,D. Harris enters the game for Y. Ferrell
2:57.0,,,15-21,,J. Barea enters the game for W. Matthews
2:57.0,,,15-21,,D. Powell enters the game for M. Kleber
2:57.0,,,15-21,,D. Nowitzki enters the game for S. Mejri
2:57.0,J. Lauvergne enters the game for L. Aldridge,,15-21,,
2:36.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by B. Forbes),2,17-21,,
2:13.0,,,17-23,2,H. Barnes makes 2-pt shot from 21 ft (assist by D. Harris)
2:01.0,M. Ginobili misses 3-pt shot from 24 ft,,17-23,,
1:58.0,Offensive rebound by J. Lauvergne,,17-23,,
1:49.0,R. Gay makes 3-pt shot from 23 ft (assist by P. Mills),3,20-23,,
1:29.0,,,20-26,3,D. Harris makes 3-pt shot from 23 ft (assist by D. Nowitzki)
1:15.0,P. Mills misses 3-pt shot from 22 ft,,20-26,,
1:12.0,,,20-26,,Defensive rebound by D. Powell
1:06.0,,,20-26,,D. Nowitzki misses 2-pt shot from 20 ft
1:02.0,,,20-26,,Offensive rebound by D. Powell
0:54.0,,,20-26,,D. Harris misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by R. Gay,,20-26,,
0:37.0,P. Mills makes 3-pt shot from 26 ft,3,23-26,,
0:33.0,,,23-28,2,J. Barea makes 2-pt shot from 3 ft
0:12.0,P. Mills misses 2-pt shot from 17 ft (block by D. Harris),,23-28,,
0:12.0,,,23-28,,Defensive rebound by D. Powell
0:03.0,,,23-28,,Shooting foul by M. Ginobili (drawn by D. Harris)
0:03.0,,,23-29,1,D. Harris makes free throw 1 of 2
0:03.0,,,23-29,,A. Cleveland enters the game for D. Nowitzki
0:03.0,,,23-30,1,D. Harris makes free throw 2 of 2
0:00.0,M. Ginobili misses 3-pt shot from 40 ft,,23-30,,
0:00.0,Offensive rebound by Team,,23-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,23-32,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
11:27.0,Turnover by B. Paul (lost ball; steal by D. Harris),,23-32,,
11:23.0,,,23-32,,A. Cleveland misses 2-pt shot from 1 ft (block by R. Gay)
11:19.0,Defensive rebound by K. Leonard,,23-32,,
11:09.0,J. Lauvergne makes 2-pt shot at rim (assist by R. Gay),2,25-32,,
10:53.0,,,25-34,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Harris)
10:37.0,K. Leonard misses 2-pt shot from 13 ft (block by A. Cleveland),,25-34,,
10:37.0,,,25-34,,Defensive rebound by D. Powell
10:34.0,,,25-34,,Offensive charge foul by D. Powell (drawn by B. Paul)
10:34.0,,,25-34,,Turnover by D. Powell (offensive foul)
10:17.0,T. Parker makes 2-pt shot from 8 ft (assist by K. Leonard),2,27-34,,
10:03.0,,,27-34,,A. Cleveland misses 3-pt shot from 24 ft
10:00.0,,,27-34,,Offensive rebound by D. Nowitzki
9:58.0,,,27-34,,D. Nowitzki misses 2-pt shot from 4 ft
9:57.0,,,27-34,,Offensive rebound by D. Powell
9:57.0,,,27-36,2,D. Powell makes 2-pt shot from 1 ft
9:37.0,R. Gay misses 2-pt shot from 14 ft,,27-36,,
9:35.0,,,27-36,,Defensive rebound by D. Powell
9:28.0,,,27-36,,Turnover by J. Barea (bad pass; steal by K. Leonard)
9:26.0,Shooting foul by J. Barea (drawn by B. Paul),,27-36,,
9:26.0,B. Paul misses free throw 1 of 2,,27-36,,
9:26.0,Offensive rebound by Team,,27-36,,
9:26.0,L. Aldridge enters the game for R. Gay,,27-36,,
9:26.0,P. Gasol enters the game for J. Lauvergne,,27-36,,
9:26.0,B. Paul misses free throw 2 of 2,,27-36,,
9:24.0,,,27-36,,Defensive rebound by D. Powell
9:13.0,,,27-36,,Turnover by A. Cleveland (step out of bounds)
8:55.0,Turnover by L. Aldridge (lost ball; steal by D. Powell),,27-36,,
8:50.0,,,27-36,,D. Nowitzki misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by P. Gasol,,27-36,,
8:34.0,T. Parker misses 3-pt shot from 22 ft,,27-36,,
8:32.0,Offensive rebound by L. Aldridge,,27-36,,
