time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Sabonis vs. K. Love (L. James gains possession),,,,Jump ball: D. Sabonis vs. K. Love (L. James gains possession)
11:46.0,J. Smith misses 2-pt shot from 7 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Sabonis
11:26.0,,,0-2,2,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison)
11:10.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,2-2,,
11:10.0,,,2-2,,Violation by T. Young (def goaltending)
10:54.0,,,2-2,,Turnover by B. Bogdanovic (bad pass; steal by K. Love)
10:50.0,J. Calderon makes 2-pt shot from 1 ft,2,4-2,,
10:36.0,,,4-2,,T. Young misses 2-pt shot from 8 ft
10:35.0,,,4-2,,Offensive rebound by Team
10:21.0,,,4-4,2,V. Oladipo makes 2-pt shot from 17 ft (assist by D. Sabonis)
9:53.0,J. Smith misses 2-pt shot from 20 ft,,4-4,,
9:50.0,,,4-4,,Defensive rebound by D. Sabonis
9:46.0,,,4-6,2,V. Oladipo makes 2-pt shot from 17 ft
9:26.0,Shooting foul by V. Oladipo (drawn by K. Love),,4-6,,
9:26.0,K. Love makes free throw 1 of 2,1,5-6,,
9:26.0,K. Love makes free throw 2 of 2,1,6-6,,
9:09.0,,,6-6,,V. Oladipo misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by J. Smith,,6-6,,
9:01.0,L. James makes 2-pt shot from 1 ft (assist by J. Smith),2,8-6,,
8:35.0,,,8-6,,Turnover by B. Bogdanovic (bad pass; steal by J. Crowder)
8:29.0,K. Love makes 2-pt shot at rim (assist by J. Crowder),2,10-6,,
8:06.0,,,10-6,,B. Bogdanovic misses 3-pt shot from 23 ft
8:03.0,Defensive rebound by Team,,10-6,,
7:51.0,J. Smith misses 3-pt shot from 25 ft,,10-6,,
7:48.0,,,10-6,,Defensive rebound by D. Sabonis
7:43.0,,,10-6,,Turnover by D. Collison (lost ball; steal by L. James)
7:38.0,L. James makes 2-pt shot at rim,2,12-6,,
7:38.0,,,12-6,,Indiana full timeout
7:16.0,,,12-6,,D. Sabonis misses 2-pt shot from 2 ft (block by K. Love)
7:14.0,Defensive rebound by L. James,,12-6,,
7:11.0,L. James makes 2-pt shot from 1 ft,2,14-6,,
6:49.0,,,14-6,,T. Young misses 2-pt shot from 12 ft
6:48.0,,,14-6,,Offensive rebound by D. Collison
6:48.0,Personal foul by L. James (drawn by D. Collison),,14-6,,
6:32.0,,,14-6,,T. Young misses 2-pt shot from 6 ft
6:30.0,Defensive rebound by K. Love,,14-6,,
6:14.0,J. Smith makes 2-pt shot from 7 ft (assist by L. James),2,16-6,,
5:58.0,,,16-6,,V. Oladipo misses 3-pt shot from 29 ft
5:56.0,Defensive rebound by J. Crowder,,16-6,,
5:50.0,K. Love misses 3-pt shot from 25 ft,,16-6,,
5:47.0,Offensive rebound by J. Smith,,16-6,,
5:42.0,J. Crowder makes 2-pt shot from 1 ft,2,18-6,,
5:28.0,,,18-6,,T. Young misses 2-pt shot at rim
5:27.0,Defensive rebound by L. James,,18-6,,
5:21.0,J. Calderon makes 3-pt shot from 25 ft (assist by L. James),3,21-6,,
4:54.0,,,21-6,,Turnover by D. Sabonis (bad pass; steal by J. Smith)
4:48.0,J. Crowder makes 3-pt shot from 25 ft (assist by J. Calderon),3,24-6,,
4:47.0,,,24-6,,Indiana full timeout
4:47.0,,,24-6,,C. Joseph enters the game for D. Collison
4:34.0,,,24-6,,Offensive charge foul by D. Sabonis (drawn by J. Calderon)
4:34.0,,,24-6,,Turnover by D. Sabonis (offensive foul)
4:20.0,J. Calderon misses 3-pt shot from 25 ft,,24-6,,
4:17.0,,,24-6,,Defensive rebound by D. Sabonis
4:01.0,,,24-6,,D. Sabonis misses 2-pt shot at rim
4:00.0,Defensive rebound by K. Love,,24-6,,
3:50.0,L. James makes 2-pt shot from 1 ft,2,26-6,,
3:39.0,,,26-6,,D. Sabonis misses 2-pt shot from 20 ft
3:37.0,Defensive rebound by J. Crowder,,26-6,,
3:22.0,,,26-6,,L. Stephenson enters the game for B. Bogdanovic
3:22.0,J. Green enters the game for L. James,,26-6,,
3:15.0,J. Smith misses 2-pt shot from 17 ft,,26-6,,
3:11.0,,,26-6,,Defensive rebound by T. Young
3:08.0,,,26-6,,V. Oladipo misses 2-pt shot from 1 ft
3:06.0,,,26-6,,Offensive rebound by D. Sabonis
3:06.0,,,26-6,,D. Sabonis misses 2-pt shot at rim
3:05.0,Defensive rebound by J. Smith,,26-6,,
3:00.0,K. Love misses 3-pt shot from 22 ft,,26-6,,
2:58.0,,,26-6,,Defensive rebound by L. Stephenson
2:50.0,,,26-8,2,L. Stephenson makes 2-pt shot from 19 ft
2:48.0,Cleveland full timeout,,26-8,,
2:48.0,C. Osman enters the game for K. Love,,26-8,,
2:48.0,K. Korver enters the game for J. Smith,,26-8,,
2:48.0,T. Thompson enters the game for J. Crowder,,26-8,,
2:48.0,,,26-8,,A. Jefferson enters the game for D. Sabonis
2:24.0,K. Korver misses 3-pt shot from 23 ft (block by V. Oladipo),,26-8,,
2:21.0,,,26-8,,Defensive rebound by C. Joseph
2:14.0,,,26-10,2,T. Young makes 2-pt shot from 3 ft (assist by L. Stephenson)
1:56.0,J. Calderon misses 2-pt shot from 18 ft,,26-10,,
1:54.0,,,26-10,,Defensive rebound by L. Stephenson
1:44.0,,,26-10,,C. Joseph misses 2-pt shot from 20 ft
1:41.0,Defensive rebound by C. Osman,,26-10,,
1:35.0,,,26-10,,Personal foul by A. Jefferson (drawn by C. Osman)
1:35.0,,,26-10,,T. Leaf enters the game for T. Young
1:23.0,J. Green makes 2-pt shot from 17 ft,2,28-10,,
1:06.0,,,28-10,,Turnover by A. Jefferson (lost ball; steal by K. Korver)
1:02.0,C. Osman makes 2-pt shot at rim (assist by K. Korver),2,30-10,,
0:56.0,,,30-10,,C. Joseph misses 2-pt shot at rim
0:53.0,Defensive rebound by T. Thompson,,30-10,,
0:50.0,,,30-10,,Shooting block foul by T. Leaf (drawn by J. Green)
0:50.0,J. Green makes free throw 1 of 2,1,31-10,,
0:50.0,J. Green makes free throw 2 of 2,1,32-10,,
0:28.0,,,32-10,,T. Leaf misses 2-pt shot from 4 ft
0:27.0,,,32-10,,Offensive rebound by Team
0:27.0,Loose ball foul by J. Calderon (drawn by A. Jefferson),,32-10,,
0:06.0,,,32-12,2,V. Oladipo makes 2-pt shot at rim
0:02.0,,,32-12,,Personal foul by T. Leaf (drawn by J. Green)
0:02.0,J. Green makes free throw 1 of 2,1,33-12,,
0:02.0,J. Green makes free throw 2 of 2,1,34-12,,
0:00.0,,,34-12,,L. Stephenson misses 3-pt shot from 64 ft
0:00.0,,,34-12,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,34-14,2,A. Jefferson makes 2-pt shot from 7 ft
11:28.0,Offensive foul by L. James (drawn by C. Joseph),,34-14,,
11:28.0,Turnover by L. James (offensive foul),,34-14,,
11:11.0,,,34-16,2,A. Jefferson makes 2-pt shot from 15 ft (assist by L. Stephenson)
10:52.0,L. James misses 2-pt shot from 13 ft (block by A. Jefferson),,34-16,,
10:49.0,Offensive rebound by L. James,,34-16,,
10:47.0,L. James misses 3-pt shot from 27 ft,,34-16,,
10:46.0,,,34-16,,Defensive rebound by Team
10:46.0,Loose ball foul by T. Thompson (drawn by B. Bogdanovic),,34-16,,
10:38.0,Personal foul by T. Thompson (drawn by C. Joseph),,34-16,,
10:23.0,,,34-18,2,A. Jefferson makes 2-pt shot from 12 ft
10:09.0,C. Osman misses 3-pt shot from 26 ft,,34-18,,
10:06.0,Offensive rebound by Team,,34-18,,
10:04.0,K. Korver makes 2-pt shot from 19 ft (assist by L. James),2,36-18,,
9:49.0,,,36-18,,Turnover by C. Joseph (lost ball; steal by C. Osman)
9:44.0,J. Green makes 2-pt shot at rim (assist by L. James),2,38-18,,
9:31.0,,,38-20,2,L. Stephenson makes 2-pt shot from 1 ft
9:21.0,K. Korver misses 3-pt shot from 26 ft,,38-20,,
9:17.0,Offensive rebound by T. Thompson,,38-20,,
9:17.0,T. Thompson misses 2-pt shot at rim,,38-20,,
9:16.0,,,38-20,,Defensive rebound by A. Jefferson
9:13.0,,,38-22,2,C. Joseph makes 2-pt shot at rim
8:57.0,L. James misses 2-pt shot from 4 ft,,38-22,,
8:54.0,Offensive rebound by K. Korver,,38-22,,
8:49.0,J. Green misses 3-pt shot from 24 ft,,38-22,,
8:45.0,,,38-22,,Defensive rebound by B. Bogdanovic
8:35.0,,,38-22,,B. Bogdanovic misses 2-pt shot from 7 ft
8:31.0,Defensive rebound by T. Thompson,,38-22,,
8:28.0,,,38-22,,Shooting block foul by A. Jefferson (drawn by L. James)
8:28.0,L. James makes free throw 1 of 2,1,39-22,,
8:28.0,L. James makes free throw 2 of 2,1,40-22,,
8:10.0,,,40-24,2,A. Jefferson makes 2-pt shot from 12 ft (assist by C. Joseph)
8:10.0,,,40-24,,Shooting foul by T. Thompson (drawn by A. Jefferson)
8:10.0,,,40-24,,T. Young enters the game for T. Leaf
8:10.0,K. Love enters the game for T. Thompson,,40-24,,
8:10.0,,,40-24,,A. Jefferson misses free throw 1 of 1
8:08.0,Defensive rebound by L. James,,40-24,,
8:04.0,J. Green makes 2-pt shot from 2 ft (assist by L. James),2,42-24,,
8:04.0,,,42-24,,Shooting block foul by A. Jefferson (drawn by J. Green)
8:04.0,,,42-24,,D. Sabonis enters the game for A. Jefferson
8:04.0,J. Green makes free throw 1 of 1,1,43-24,,
7:52.0,,,43-24,,Turnover by B. Bogdanovic (bad pass; steal by K. Love)
7:46.0,L. James makes 3-pt shot from 25 ft,3,46-24,,
7:25.0,,,46-27,3,T. Young makes 3-pt shot from 23 ft (assist by C. Joseph)
7:19.0,,,46-27,,V. Oladipo enters the game for C. Joseph
7:12.0,J. Green makes 2-pt shot from 1 ft (assist by L. James),2,48-27,,
6:53.0,,,48-27,,Turnover by V. Oladipo (lost ball; steal by K. Love)
6:48.0,Turnover by K. Korver (bad pass),,48-27,,
6:48.0,,,48-27,,Indiana full timeout
6:48.0,,,48-27,,D. Collison enters the game for B. Bogdanovic
6:48.0,J. Smith enters the game for C. Osman,,48-27,,
6:38.0,,,48-27,,Turnover by L. Stephenson (bad pass; steal by L. James)
6:35.0,,,48-27,,Shooting block foul by T. Young (drawn by L. James)
6:35.0,L. James makes free throw 1 of 2,1,49-27,,
6:35.0,L. James misses free throw 2 of 2,,49-27,,
6:33.0,,,49-27,,Defensive rebound by D. Sabonis
6:13.0,,,49-29,2,D. Collison makes 2-pt shot from 20 ft
5:54.0,,,49-29,,Personal foul by D. Sabonis (drawn by K. Love)
5:48.0,K. Love misses 2-pt shot from 1 ft,,49-29,,
5:46.0,,,49-29,,Defensive rebound by L. Stephenson
5:40.0,,,49-29,,L. Stephenson misses 2-pt shot from 6 ft
5:36.0,Defensive rebound by J. Green,,49-29,,
5:30.0,J. Smith makes 2-pt shot from 2 ft,2,51-29,,
5:09.0,,,51-32,3,T. Young makes 3-pt shot from 26 ft (assist by L. Stephenson)
4:55.0,Turnover by L. James (bad pass; steal by L. Stephenson),,51-32,,
4:49.0,,,51-32,,L. Stephenson misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by K. Love,,51-32,,
4:28.0,L. James misses 3-pt shot from 28 ft,,51-32,,
4:23.0,,,51-32,,Defensive rebound by D. Sabonis
4:14.0,,,51-34,2,D. Collison makes 2-pt shot from 20 ft
4:12.0,Cleveland full timeout,,51-34,,
4:12.0,,,51-34,,B. Bogdanovic enters the game for L. Stephenson
4:12.0,J. Calderon enters the game for K. Korver,,51-34,,
4:12.0,J. Crowder enters the game for J. Green,,51-34,,
3:46.0,K. Love makes 2-pt shot from 1 ft,2,53-34,,
3:28.0,,,53-36,2,V. Oladipo makes 2-pt shot from 17 ft
3:15.0,J. Calderon makes 2-pt shot at rim (assist by L. James),2,55-36,,
2:54.0,,,55-36,,Turnover by D. Collison (bad pass; steal by L. James)
2:48.0,K. Love misses 3-pt shot from 28 ft,,55-36,,
2:46.0,,,55-36,,Defensive rebound by D. Sabonis
2:41.0,,,55-36,,V. Oladipo misses 2-pt shot from 1 ft
2:38.0,Defensive rebound by J. Calderon,,55-36,,
