time,Philadelphia,pts.away,score,pts.home,Oklahoma City
6:04.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Anderson),2,18-15,,
5:45.0,T. McConnell enters the game for T. Luwawu-Cabarrot,,18-15,,
5:45.0,Personal foul by D. Saric (drawn by S. Adams),,18-15,,
5:45.0,T. Booker enters the game for D. Saric,,18-15,,
5:43.0,Personal foul by T. McConnell (drawn by R. Westbrook),,18-15,,
5:38.0,,,18-15,,R. Westbrook misses 2-pt shot from 1 ft
5:38.0,,,18-15,,Offensive rebound by R. Westbrook
5:38.0,,,18-15,,Shooting foul by J. Embiid (drawn by R. Westbrook)
5:38.0,,,18-16,1,R. Westbrook makes free throw 1 of 2
5:38.0,,,18-17,1,R. Westbrook makes free throw 2 of 2
5:27.0,,,18-17,,Personal foul by R. Westbrook (drawn by J. Embiid)
5:13.0,J. Anderson misses 3-pt shot from 22 ft,,18-17,,
5:09.0,,,18-17,,Defensive rebound by T. Ferguson
5:00.0,,,18-17,,C. Anthony misses 3-pt shot from 25 ft
4:57.0,,,18-17,,Offensive rebound by R. Westbrook
4:55.0,,,18-19,2,R. Westbrook makes 2-pt shot from 5 ft
4:29.0,Turnover by Team (shot clock),,18-19,,
4:29.0,A. Johnson enters the game for J. Embiid,,18-19,,
4:15.0,,,18-21,2,R. Westbrook makes 2-pt shot from 13 ft
3:54.0,A. Johnson misses 2-pt shot from 6 ft,,18-21,,
3:51.0,,,18-21,,Defensive rebound by T. Ferguson
3:46.0,,,18-21,,R. Westbrook misses 2-pt shot from 12 ft
3:46.0,,,18-21,,Offensive rebound by S. Adams
3:41.0,,,18-23,2,S. Adams makes 2-pt shot from 1 ft
3:18.0,B. Simmons misses 2-pt shot from 1 ft,,18-23,,
3:15.0,,,18-23,,Defensive rebound by R. Westbrook
3:09.0,,,18-23,,P. George misses 3-pt shot from 22 ft
3:04.0,Defensive rebound by T. Booker,,18-23,,
2:58.0,J. Anderson misses 2-pt shot from 1 ft,,18-23,,
2:57.0,,,18-23,,Defensive rebound by S. Adams
2:50.0,,,18-25,2,P. George makes 2-pt shot at rim (assist by R. Westbrook)
2:26.0,B. Simmons misses 2-pt shot from 13 ft,,18-25,,
2:25.0,Offensive rebound by A. Johnson,,18-25,,
2:24.0,A. Johnson misses 2-pt shot from 3 ft,,18-25,,
2:23.0,Offensive rebound by T. Booker,,18-25,,
2:22.0,Shooting foul by S. Adams (drawn by T. Booker),,18-25,,
2:22.0,T. Booker makes free throw 1 of 2,1,19-25,,
2:22.0,,,19-25,,J. Grant enters the game for C. Anthony
2:22.0,,,19-25,,P. Patterson enters the game for S. Adams
2:22.0,R. Covington enters the game for J. Anderson,,19-25,,
