time,Philadelphia,pts.away,score,pts.home,Oklahoma City
7:34.0,Defensive rebound by T. Luwawu-Cabarrot,,97-99,,
7:17.0,R. Covington misses 3-pt shot from 24 ft,,97-99,,
7:12.0,Offensive rebound by R. Holmes,,97-99,,
7:11.0,R. Covington misses 2-pt shot at rim,,97-99,,
7:09.0,,,97-99,,Defensive rebound by S. Adams
7:00.0,,,97-99,,R. Felton misses 3-pt shot from 25 ft
6:59.0,,,97-99,,Offensive rebound by S. Adams
6:59.0,,,97-101,2,S. Adams makes 2-pt shot at rim
6:39.0,B. Simmons makes 2-pt shot from 12 ft,2,99-101,,
6:25.0,Personal foul by A. Johnson (drawn by S. Adams),,99-101,,
6:25.0,,,99-101,,P. George enters the game for R. Felton
6:22.0,,,99-101,,Turnover by S. Adams (bad pass; steal by B. Simmons)
6:18.0,B. Simmons makes 2-pt shot at rim,2,101-101,,
5:57.0,,,101-104,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
5:47.0,Shooting foul by J. Grant (drawn by A. Johnson),,101-104,,
5:47.0,A. Johnson misses free throw 1 of 2,,101-104,,
5:47.0,Offensive rebound by Team,,101-104,,
5:47.0,D. Saric enters the game for R. Holmes,,101-104,,
5:47.0,A. Johnson makes free throw 2 of 2,1,102-104,,
5:37.0,,,102-106,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:36.0,Philadelphia full timeout,,102-106,,
5:36.0,J. Embiid enters the game for A. Johnson,,102-106,,
5:22.0,T. Luwawu-Cabarrot misses 3-pt shot from 22 ft,,102-106,,
5:19.0,,,102-106,,Defensive rebound by S. Adams
5:06.0,,,102-108,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:44.0,R. Covington misses 3-pt shot from 24 ft,,102-108,,
4:40.0,,,102-108,,Defensive rebound by C. Anthony
4:22.0,,,102-108,,R. Westbrook misses 3-pt shot from 26 ft
4:18.0,,,102-108,,Offensive rebound by S. Adams
4:17.0,,,102-108,,C. Anthony misses 3-pt shot from 25 ft
4:14.0,,,102-108,,Offensive rebound by P. George
4:10.0,,,102-108,,Shooting foul by T. Luwawu-Cabarrot (drawn by P. George)
4:10.0,,,102-108,,P. George misses free throw 1 of 2
4:10.0,,,102-108,,Offensive rebound by Team
4:10.0,,,102-109,1,P. George makes free throw 2 of 2
3:57.0,D. Saric makes 2-pt shot from 5 ft (assist by B. Simmons),2,104-109,,
3:42.0,,,104-109,,R. Westbrook misses 2-pt shot from 1 ft (block by J. Embiid)
3:40.0,,,104-109,,Offensive rebound by S. Adams
3:40.0,,,104-111,2,S. Adams makes 2-pt shot from 1 ft
3:37.0,,,104-111,,Technical foul by R. Westbrook
3:37.0,D. Saric makes technical free throw,1,105-111,,
3:26.0,J. Embiid makes 2-pt shot from 5 ft (assist by D. Saric),2,107-111,,
3:04.0,,,107-111,,Oklahoma City full timeout
3:00.0,,,107-111,,C. Anthony misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by D. Saric,,107-111,,
2:45.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by P. George),,107-111,,
2:40.0,,,107-114,3,R. Westbrook makes 3-pt shot from 24 ft (assist by C. Anthony)
2:23.0,R. Covington misses 3-pt shot from 24 ft,,107-114,,
2:21.0,,,107-114,,Defensive rebound by R. Westbrook
2:05.0,,,107-116,2,R. Westbrook makes 2-pt shot from 14 ft
2:03.0,Philadelphia full timeout,,107-116,,
1:47.0,J. Embiid makes 3-pt shot from 24 ft (assist by B. Simmons),3,110-116,,
1:25.0,,,110-118,2,J. Grant makes 2-pt shot from 2 ft
1:14.0,R. Covington misses 2-pt shot from 2 ft,,110-118,,
1:11.0,Offensive rebound by J. Embiid,,110-118,,
1:10.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,110-118,,
1:06.0,,,110-118,,Defensive rebound by R. Westbrook
0:48.0,,,110-120,2,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook)
0:48.0,Philadelphia full timeout,,110-120,,
0:44.0,D. Saric misses 3-pt shot from 25 ft,,110-120,,
0:41.0,,,110-120,,Defensive rebound by Team
0:40.0,Personal foul by J. Embiid (drawn by C. Anthony),,110-120,,
0:40.0,J. Anderson enters the game for J. Embiid,,110-120,,
0:32.0,Personal foul by T. Luwawu-Cabarrot (drawn by R. Westbrook),,110-120,,
0:32.0,,,110-121,1,R. Westbrook makes free throw 1 of 2
0:32.0,T. McConnell enters the game for B. Simmons,,110-121,,
0:32.0,J. Young enters the game for R. Covington,,110-121,,
0:32.0,,,110-122,1,R. Westbrook makes free throw 2 of 2
0:26.0,T. McConnell makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,112-122,,
0:02.0,,,112-122,,Turnover by Team (shot clock)
