time,Portland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Nurkic (N. Vonleh gains possession),,,,Jump ball: M. Gortat vs. J. Nurkic (N. Vonleh gains possession)
11:40.0,J. Nurkic makes 2-pt shot at rim (assist by C. McCollum),2,2-0,,
11:33.0,Personal foul by P. Connaughton (drawn by B. Beal),,2-0,,
11:26.0,,,2-0,,O. Porter misses 2-pt shot from 18 ft
11:23.0,Defensive rebound by P. Connaughton,,2-0,,
11:14.0,N. Vonleh makes 2-pt shot at rim (assist by J. Nurkic),2,4-0,,
10:56.0,,,4-2,2,B. Beal makes 2-pt shot from 15 ft (assist by M. Gortat)
10:47.0,C. McCollum misses 2-pt shot from 10 ft,,4-2,,
10:45.0,,,4-2,,Defensive rebound by M. Gortat
10:35.0,,,4-2,,M. Morris misses 3-pt shot from 23 ft
10:32.0,Defensive rebound by D. Lillard,,4-2,,
10:10.0,J. Nurkic makes 2-pt shot from 1 ft (assist by N. Vonleh),2,6-2,,
9:55.0,,,6-2,,T. Frazier misses 3-pt shot from 29 ft
9:51.0,Defensive rebound by J. Nurkic,,6-2,,
9:45.0,D. Lillard misses 3-pt shot from 28 ft,,6-2,,
9:43.0,,,6-2,,Defensive rebound by Team
9:27.0,,,6-2,,T. Frazier misses 2-pt shot from 18 ft
9:25.0,,,6-2,,Offensive rebound by Team
9:18.0,,,6-4,2,M. Morris makes 2-pt shot from 18 ft
8:59.0,P. Connaughton makes 3-pt shot from 27 ft (assist by C. McCollum),3,9-4,,
8:44.0,,,9-4,,Turnover by B. Beal (out of bounds lost ball)
8:30.0,P. Connaughton makes 2-pt shot at rim (assist by J. Nurkic),2,11-4,,
8:15.0,Personal foul by N. Vonleh (drawn by M. Morris),,11-4,,
8:08.0,,,11-4,,O. Porter misses 2-pt shot from 10 ft
8:04.0,Defensive rebound by C. McCollum,,11-4,,
8:03.0,Turnover by C. McCollum (out of bounds lost ball),,11-4,,
7:52.0,,,11-6,2,M. Gortat makes 2-pt shot from 12 ft
7:32.0,Turnover by D. Lillard (lost ball; steal by B. Beal),,11-6,,
7:21.0,,,11-6,,B. Beal misses 3-pt shot from 23 ft
7:19.0,Defensive rebound by J. Nurkic,,11-6,,
7:09.0,D. Lillard misses 3-pt shot from 26 ft,,11-6,,
7:05.0,,,11-6,,Defensive rebound by O. Porter
6:54.0,,,11-8,2,M. Morris makes 2-pt shot from 16 ft (assist by T. Frazier)
6:38.0,C. McCollum misses 3-pt shot from 27 ft,,11-8,,
6:33.0,,,11-8,,Defensive rebound by M. Morris
6:32.0,,,11-8,,Shooting foul by C. McCollum (drawn by B. Beal)
6:32.0,,,11-8,,Washington full timeout
6:32.0,,,11-9,1,B. Beal makes free throw 1 of 2
6:32.0,,,11-10,1,B. Beal makes free throw 2 of 2
6:19.0,D. Lillard misses 3-pt shot from 27 ft,,11-10,,
6:16.0,,,11-10,,Defensive rebound by M. Morris
6:02.0,,,11-10,,M. Gortat misses 2-pt shot from 11 ft
5:59.0,Defensive rebound by N. Vonleh,,11-10,,
5:51.0,Turnover by J. Nurkic (bad pass; steal by T. Frazier),,11-10,,
5:47.0,,,11-12,2,T. Frazier makes 2-pt shot from 1 ft
5:31.0,J. Nurkic makes 2-pt shot from 19 ft (assist by P. Connaughton),2,13-12,,
5:14.0,,,13-14,2,B. Beal makes 2-pt shot from 18 ft (assist by M. Gortat)
5:04.0,J. Nurkic misses 2-pt shot from 1 ft,,13-14,,
5:02.0,,,13-14,,Defensive rebound by M. Morris
4:49.0,,,13-16,2,O. Porter makes 2-pt shot from 9 ft
4:22.0,J. Nurkic makes 2-pt shot from 11 ft,2,15-16,,
4:10.0,,,15-16,,Shooting foul by P. Connaughton (drawn by T. Frazier)
4:10.0,,,15-17,1,T. Frazier makes free throw 1 of 2
4:10.0,E. Turner enters the game for C. McCollum,,15-17,,
4:10.0,J. Layman enters the game for P. Connaughton,,15-17,,
4:10.0,,,15-18,1,T. Frazier makes free throw 2 of 2
3:58.0,Turnover by E. Turner (bad pass; steal by T. Frazier),,15-18,,
3:52.0,,,15-21,3,B. Beal makes 3-pt shot from 26 ft (assist by O. Porter)
3:52.0,Portland full timeout,,15-21,,
3:52.0,,,15-21,,K. Oubre enters the game for M. Gortat
3:52.0,,,15-21,,I. Mahinmi enters the game for O. Porter
3:52.0,M. Harkless enters the game for N. Vonleh,,15-21,,
3:52.0,E. Davis enters the game for J. Nurkic,,15-21,,
3:34.0,E. Turner makes 3-pt shot from 26 ft (assist by D. Lillard),3,18-21,,
3:13.0,,,18-24,3,K. Oubre makes 3-pt shot from 26 ft (assist by B. Beal)
2:49.0,Turnover by M. Harkless (bad pass; steal by K. Oubre),,18-24,,
2:38.0,,,18-27,3,B. Beal makes 3-pt shot from 27 ft (assist by M. Morris)
2:14.0,E. Davis makes 2-pt shot from 10 ft,2,20-27,,
1:58.0,,,20-27,,M. Morris misses 2-pt shot from 7 ft
1:57.0,Defensive rebound by E. Davis,,20-27,,
1:51.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,22-27,,
1:33.0,,,22-27,,K. Oubre misses 2-pt shot from 19 ft
1:30.0,Defensive rebound by E. Davis,,22-27,,
1:20.0,J. Layman misses 3-pt shot from 25 ft,,22-27,,
1:16.0,,,22-27,,Defensive rebound by K. Oubre
0:58.0,,,22-30,3,T. Frazier makes 3-pt shot from 26 ft (assist by B. Beal)
0:38.0,D. Lillard makes 3-pt shot from 29 ft,3,25-30,,
0:17.0,,,25-30,,B. Beal misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by J. Layman,,25-30,,
0:06.0,D. Lillard makes 2-pt shot at rim,2,27-30,,
0:06.0,,,27-30,,Turnover by T. Frazier (traveling)
0:06.0,C. McCollum enters the game for M. Harkless,,27-30,,
0:01.0,E. Turner misses 3-pt shot from 24 ft,,27-30,,
0:01.0,Offensive rebound by Team,,27-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,27-32,2,J. Smith makes 2-pt shot from 17 ft
11:17.0,S. Napier misses 2-pt shot from 21 ft,,27-32,,
11:14.0,,,27-32,,Defensive rebound by K. Oubre
11:10.0,,,27-34,2,K. Oubre makes 2-pt shot from 19 ft
10:47.0,E. Turner misses 2-pt shot from 13 ft,,27-34,,
10:44.0,Offensive rebound by E. Davis,,27-34,,
10:43.0,E. Davis makes 2-pt shot from 1 ft,2,29-34,,
10:26.0,,,29-34,,Offensive foul by I. Mahinmi (drawn by E. Davis)
10:26.0,,,29-34,,Turnover by I. Mahinmi (offensive foul)
10:10.0,E. Turner misses 2-pt shot from 13 ft,,29-34,,
10:02.0,Offensive rebound by E. Davis,,29-34,,
10:02.0,E. Davis makes 2-pt shot at rim,2,31-34,,
9:56.0,,,31-36,2,J. Meeks makes 2-pt shot from 18 ft
9:39.0,C. McCollum makes 2-pt shot from 18 ft,2,33-36,,
9:21.0,,,33-36,,J. Smith misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by E. Davis,,33-36,,
9:11.0,,,33-36,,Personal foul by I. Mahinmi (drawn by E. Turner)
9:02.0,C. McCollum misses 3-pt shot from 24 ft,,33-36,,
8:56.0,,,33-36,,Defensive rebound by I. Mahinmi
8:54.0,,,33-36,,K. Oubre misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by M. Harkless,,33-36,,
8:42.0,Turnover by C. McCollum (bad pass; steal by K. Oubre),,33-36,,
8:40.0,Personal foul by C. McCollum (drawn by K. Oubre),,33-36,,
8:34.0,,,33-38,2,T. Satoransky makes 2-pt shot from 17 ft
8:17.0,E. Turner misses 3-pt shot from 23 ft,,33-38,,
8:14.0,,,33-38,,Defensive rebound by K. Oubre
8:05.0,,,33-38,,Shooting foul by C. McCollum (drawn by J. Meeks)
8:05.0,,,33-39,1,J. Meeks makes free throw 1 of 2
8:05.0,P. Connaughton enters the game for C. McCollum,,33-39,,
8:05.0,,,33-40,1,J. Meeks makes free throw 2 of 2
7:49.0,Turnover by E. Turner (bad pass),,33-40,,
7:35.0,,,33-40,,K. Oubre misses 2-pt shot from 18 ft
7:33.0,,,33-40,,Offensive rebound by K. Oubre
7:32.0,,,33-40,,K. Oubre misses 2-pt shot from 1 ft (block by E. Davis)
7:32.0,Defensive rebound by E. Davis,,33-40,,
7:24.0,,,33-40,,Personal foul by I. Mahinmi (drawn by S. Napier)
7:24.0,,,33-40,,O. Porter enters the game for I. Mahinmi
7:11.0,Turnover by S. Napier (traveling),,33-40,,
7:02.0,,,33-42,2,K. Oubre makes 2-pt shot from 4 ft
7:02.0,,,33-42,,Shooting foul by E. Davis (drawn by K. Oubre)
7:02.0,Portland full timeout,,33-42,,
7:02.0,D. Lillard enters the game for E. Turner,,33-42,,
7:02.0,J. Nurkic enters the game for E. Davis,,33-42,,
7:02.0,,,33-43,1,K. Oubre makes free throw 1 of 1
6:44.0,J. Nurkic misses 2-pt shot from 1 ft (block by J. Smith),,33-43,,
6:41.0,Offensive rebound by J. Nurkic,,33-43,,
6:40.0,J. Nurkic misses 2-pt shot from 2 ft,,33-43,,
6:40.0,,,33-43,,Defensive rebound by T. Satoransky
6:30.0,,,33-43,,J. Smith misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by J. Nurkic,,33-43,,
6:11.0,J. Nurkic misses 2-pt shot from 14 ft,,33-43,,
6:08.0,,,33-43,,Defensive rebound by T. Satoransky
5:59.0,,,33-43,,J. Meeks misses 2-pt shot from 17 ft
5:54.0,Defensive rebound by M. Harkless,,33-43,,
5:43.0,D. Lillard misses 3-pt shot from 27 ft,,33-43,,
5:39.0,,,33-43,,Defensive rebound by O. Porter
5:27.0,,,33-43,,T. Satoransky misses 2-pt shot from 5 ft
5:23.0,Defensive rebound by M. Harkless,,33-43,,
5:16.0,S. Napier misses 3-pt shot from 24 ft,,33-43,,
5:15.0,,,33-43,,Defensive rebound by Team
5:15.0,Loose ball foul by J. Nurkic (drawn by O. Porter),,33-43,,
5:15.0,,,33-43,,B. Beal enters the game for T. Satoransky
5:15.0,N. Vonleh enters the game for M. Harkless,,33-43,,
5:03.0,,,33-43,,Turnover by J. Meeks (out of bounds lost ball)
4:54.0,D. Lillard makes 2-pt shot at rim,2,35-43,,
4:29.0,,,35-43,,O. Porter misses 2-pt shot from 19 ft
4:27.0,Defensive rebound by N. Vonleh,,35-43,,
4:20.0,Shooting foul by K. Oubre (drawn by D. Lillard),,35-43,,
4:20.0,D. Lillard makes free throw 1 of 3,1,36-43,,
4:20.0,D. Lillard makes free throw 2 of 3,1,37-43,,
4:20.0,,,37-43,,M. Gortat enters the game for J. Smith
4:20.0,D. Lillard misses free throw 3 of 3,,37-43,,
4:18.0,,,37-43,,Defensive rebound by K. Oubre
4:06.0,,,37-43,,B. Beal misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by D. Lillard,,37-43,,
3:54.0,D. Lillard makes 2-pt shot from 16 ft,2,39-43,,
3:35.0,,,39-43,,B. Beal misses 2-pt shot from 18 ft
3:31.0,Defensive rebound by N. Vonleh,,39-43,,
3:23.0,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard),2,41-43,,
3:01.0,,,41-43,,Turnover by K. Oubre (traveling)
3:01.0,,,41-43,,M. Morris enters the game for K. Oubre
2:50.0,P. Connaughton misses 3-pt shot from 27 ft,,41-43,,
2:46.0,,,41-43,,Defensive rebound by M. Morris
2:41.0,,,41-43,,Washington full timeout
2:41.0,,,41-43,,T. Frazier enters the game for J. Meeks
2:28.0,,,41-45,2,O. Porter makes 2-pt shot from 19 ft
2:07.0,S. Napier misses 3-pt shot from 24 ft,,41-45,,
2:03.0,,,41-45,,Defensive rebound by T. Frazier
1:55.0,,,41-47,2,O. Porter makes 2-pt shot from 14 ft
1:31.0,J. Nurkic misses 2-pt shot from 19 ft,,41-47,,
1:30.0,,,41-47,,Defensive rebound by Team
1:16.0,,,41-49,2,B. Beal makes 2-pt shot from 15 ft (assist by O. Porter)
0:56.0,J. Nurkic misses 2-pt shot from 3 ft,,41-49,,
0:54.0,,,41-49,,Defensive rebound by M. Gortat
0:45.0,,,41-52,3,M. Morris makes 3-pt shot from 26 ft (assist by B. Beal)
0:32.0,J. Nurkic misses 2-pt shot at rim (block by B. Beal),,41-52,,
0:29.0,,,41-52,,Defensive rebound by M. Morris
0:27.0,,,41-52,,T. Frazier misses 2-pt shot from 2 ft (block by D. Lillard)
0:27.0,Defensive rebound by N. Vonleh,,41-52,,
0:06.0,J. Nurkic misses 2-pt shot from 17 ft,,41-52,,
0:02.0,,,41-52,,Defensive rebound by T. Frazier
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,D. Lillard makes technical free throw,1,42-52,,
11:46.0,,,42-54,2,M. Gortat makes 2-pt shot from 18 ft (assist by B. Beal)
11:28.0,C. McCollum makes 3-pt shot from 28 ft,3,45-54,,
11:12.0,,,45-54,,Offensive foul by M. Morris (drawn by C. McCollum)
11:12.0,,,45-54,,Turnover by M. Morris (offensive foul)
10:58.0,P. Connaughton misses 2-pt shot from 7 ft (block by B. Beal),,45-54,,
10:57.0,Offensive rebound by Team,,45-54,,
10:53.0,C. McCollum misses 2-pt shot from 19 ft,,45-54,,
10:53.0,,,45-54,,Defensive rebound by M. Morris
10:44.0,,,45-56,2,O. Porter makes 2-pt shot from 1 ft
10:25.0,Turnover by C. McCollum (lost ball; steal by O. Porter),,45-56,,
10:13.0,,,45-58,2,O. Porter makes 2-pt shot from 19 ft
9:51.0,Turnover by D. Lillard (bad pass; steal by B. Beal),,45-58,,
9:47.0,,,45-60,2,T. Frazier makes 2-pt shot from 2 ft (assist by B. Beal)
9:47.0,Portland full timeout,,45-60,,
9:29.0,Turnover by C. McCollum (bad pass),,45-60,,
9:08.0,,,45-60,,M. Morris misses 2-pt shot from 15 ft
9:04.0,Defensive rebound by N. Vonleh,,45-60,,
8:58.0,D. Lillard makes 3-pt shot from 28 ft,3,48-60,,
8:38.0,,,48-60,,O. Porter misses 2-pt shot from 22 ft (block by P. Connaughton)
8:37.0,,,48-60,,Offensive rebound by Team
8:35.0,,,48-60,,M. Morris misses 2-pt shot from 13 ft
8:33.0,Defensive rebound by N. Vonleh,,48-60,,
8:24.0,J. Nurkic misses 2-pt shot from 3 ft,,48-60,,
8:20.0,Offensive rebound by N. Vonleh,,48-60,,
8:20.0,N. Vonleh makes 2-pt shot at rim,2,50-60,,
7:58.0,,,50-60,,T. Frazier misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by D. Lillard,,50-60,,
7:39.0,C. McCollum makes 2-pt shot from 17 ft (assist by N. Vonleh),2,52-60,,
7:24.0,,,52-60,,B. Beal misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by D. Lillard,,52-60,,
7:15.0,D. Lillard misses 3-pt shot from 25 ft,,52-60,,
7:12.0,,,52-60,,Defensive rebound by O. Porter
7:07.0,,,52-60,,Shooting foul by N. Vonleh (drawn by O. Porter)
7:07.0,,,52-61,1,O. Porter makes free throw 1 of 2
7:07.0,,,52-62,1,O. Porter makes free throw 2 of 2
6:54.0,P. Connaughton makes 3-pt shot from 26 ft (assist by J. Nurkic),3,55-62,,
6:45.0,,,55-62,,Offensive foul by M. Gortat
6:45.0,,,55-62,,Turnover by M. Gortat (offensive foul)
6:45.0,,,55-62,,Technical foul by M. Gortat
6:45.0,D. Lillard makes technical free throw,1,56-62,,
6:29.0,C. McCollum makes 3-pt shot from 26 ft (assist by P. Connaughton),3,59-62,,
6:24.0,,,59-62,,Washington full timeout
6:06.0,,,59-64,2,B. Beal makes 2-pt shot from 9 ft
5:46.0,D. Lillard makes 2-pt shot from 21 ft,2,61-64,,
5:31.0,,,61-66,2,B. Beal makes 2-pt shot from 20 ft (assist by T. Frazier)
5:19.0,C. McCollum misses 2-pt shot from 8 ft,,61-66,,
5:15.0,Offensive rebound by C. McCollum,,61-66,,
5:08.0,J. Nurkic misses 2-pt shot from 14 ft,,61-66,,
5:06.0,,,61-66,,Defensive rebound by M. Gortat
4:57.0,,,61-68,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
4:41.0,C. McCollum misses 2-pt shot from 6 ft,,61-68,,
4:37.0,Offensive rebound by N. Vonleh,,61-68,,
4:31.0,N. Vonleh makes 2-pt shot at rim,2,63-68,,
4:28.0,,,63-70,2,T. Frazier makes 2-pt shot from 17 ft
4:01.0,D. Lillard misses 2-pt shot from 2 ft (block by O. Porter),,63-70,,
3:58.0,,,63-70,,Defensive rebound by T. Frazier
3:55.0,,,63-70,,Turnover by T. Frazier (bad pass)
3:55.0,,,63-70,,K. Oubre enters the game for M. Morris
3:55.0,E. Turner enters the game for P. Connaughton,,63-70,,
3:45.0,C. McCollum makes 3-pt shot from 25 ft (assist by J. Nurkic),3,66-70,,
3:27.0,,,66-72,2,O. Porter makes 2-pt shot from 19 ft
3:22.0,Offensive foul by D. Lillard (drawn by T. Frazier),,66-72,,
3:22.0,Turnover by D. Lillard (offensive foul),,66-72,,
3:22.0,,,66-72,,I. Mahinmi enters the game for T. Frazier
3:22.0,,,66-72,,T. Satoransky enters the game for M. Gortat
3:22.0,E. Davis enters the game for N. Vonleh,,66-72,,
3:22.0,M. Harkless enters the game for J. Nurkic,,66-72,,
3:17.0,,,66-72,,Shooting foul by C. McCollum (drawn by B. Beal)
3:17.0,,,66-72,,B. Beal misses free throw 1 of 2
3:17.0,,,66-72,,Offensive rebound by Team
3:17.0,P. Connaughton enters the game for C. McCollum,,66-72,,
3:17.0,,,66-73,1,B. Beal makes free throw 2 of 2
3:05.0,P. Connaughton makes 2-pt shot from 2 ft (assist by D. Lillard),2,68-73,,
2:42.0,,,68-76,3,K. Oubre makes 3-pt shot from 24 ft (assist by B. Beal)
2:19.0,E. Davis makes 2-pt shot from 5 ft,2,70-76,,
2:01.0,,,70-76,,O. Porter misses 2-pt shot from 12 ft
1:57.0,,,70-76,,Offensive rebound by T. Satoransky
1:49.0,,,70-76,,K. Oubre misses 3-pt shot from 25 ft
1:46.0,,,70-76,,Offensive rebound by O. Porter
