time,Minnesota,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. K. Towns (J. Jerebko gains possession),,,,Jump ball: D. Favors vs. K. Towns (J. Jerebko gains possession)
11:49.0,Def 3 sec tech foul by T. Gibson,,0-0,,
11:49.0,,,0-1,1,R. Rubio makes technical free throw
11:40.0,,,0-1,,Turnover by R. Rubio (traveling)
11:18.0,K. Towns makes 2-pt shot from 7 ft,2,2-1,,
10:58.0,,,2-1,,D. Mitchell misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by K. Towns,,2-1,,
10:48.0,J. Teague makes 2-pt shot from 17 ft,2,4-1,,
10:28.0,,,4-1,,J. Ingles misses 2-pt shot from 2 ft (block by K. Towns)
10:25.0,Defensive rebound by K. Towns,,4-1,,
10:18.0,J. Butler misses 3-pt shot from 25 ft,,4-1,,
10:15.0,Offensive rebound by T. Gibson,,4-1,,
10:12.0,Turnover by J. Teague (bad pass),,4-1,,
10:01.0,Personal foul by J. Teague (drawn by D. Favors),,4-1,,
9:59.0,,,4-1,,J. Ingles misses 2-pt shot from 2 ft (block by T. Gibson)
9:57.0,Defensive rebound by T. Gibson,,4-1,,
9:50.0,A. Wiggins misses 2-pt shot from 14 ft,,4-1,,
9:47.0,,,4-1,,Defensive rebound by D. Favors
9:42.0,,,4-3,2,R. Rubio makes 2-pt shot from 9 ft
9:19.0,T. Gibson makes 3-pt shot from 22 ft (assist by J. Butler),3,7-3,,
9:05.0,,,7-3,,Turnover by R. Rubio (bad pass; steal by J. Butler)
8:53.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler),2,9-3,,
8:33.0,,,9-3,,D. Favors misses 2-pt shot from 12 ft
8:31.0,Defensive rebound by T. Gibson,,9-3,,
8:25.0,Shooting foul by J. Jerebko (drawn by T. Gibson),,9-3,,
8:25.0,T. Gibson makes free throw 1 of 2,1,10-3,,
8:25.0,T. Gibson makes free throw 2 of 2,1,11-3,,
8:18.0,,,11-3,,D. Mitchell misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by Team,,11-3,,
7:51.0,J. Teague misses 2-pt shot from 9 ft (block by D. Favors),,11-3,,
7:47.0,Offensive rebound by J. Butler,,11-3,,
7:47.0,J. Butler misses 3-pt shot from 25 ft,,11-3,,
7:47.0,,,11-3,,Defensive rebound by Team
7:27.0,,,11-3,,D. Mitchell misses 2-pt shot from 7 ft (block by J. Butler)
7:24.0,Defensive rebound by K. Towns,,11-3,,
7:15.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,13-3,,
7:14.0,,,13-3,,Utah full timeout
7:14.0,,,13-3,,T. Sefolosha enters the game for J. Jerebko
6:56.0,,,13-3,,R. Rubio misses 3-pt shot from 24 ft
6:52.0,,,13-3,,Offensive rebound by D. Favors
6:44.0,,,13-3,,Turnover by T. Sefolosha (bad pass; steal by A. Wiggins)
6:28.0,A. Wiggins misses 2-pt shot from 10 ft,,13-3,,
6:24.0,,,13-3,,Defensive rebound by D. Favors
6:18.0,,,13-3,,Turnover by T. Sefolosha (lost ball; steal by K. Towns)
6:13.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Butler),2,15-3,,
5:57.0,,,15-5,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
5:57.0,,,15-5,,Shooting foul by T. Gibson (drawn by D. Favors)
5:57.0,,,15-5,,R. Hood enters the game for R. Rubio
5:57.0,,,15-6,1,D. Favors makes free throw 1 of 1
5:43.0,A. Wiggins misses 3-pt shot from 23 ft,,15-6,,
5:39.0,,,15-6,,Defensive rebound by D. Mitchell
5:26.0,,,15-6,,D. Mitchell misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by T. Gibson,,15-6,,
5:14.0,K. Towns makes 3-pt shot from 27 ft (assist by J. Butler),3,18-6,,
4:53.0,,,18-6,,J. Ingles misses 3-pt shot from 23 ft
4:50.0,Defensive rebound by T. Gibson,,18-6,,
4:43.0,J. Teague makes 2-pt shot from 2 ft,2,20-6,,
4:43.0,,,20-6,,Violation by D. Mitchell (def goaltending)
4:21.0,,,20-8,2,D. Mitchell makes 2-pt shot from 1 ft
4:05.0,A. Wiggins makes 2-pt shot from 1 ft,2,22-8,,
3:51.0,,,22-8,,D. Favors misses 2-pt shot from 13 ft
3:48.0,Defensive rebound by K. Towns,,22-8,,
3:36.0,A. Wiggins misses 2-pt shot from 4 ft,,22-8,,
3:34.0,,,22-8,,Defensive rebound by D. Mitchell
3:27.0,,,22-10,2,R. Hood makes 2-pt shot from 7 ft
3:09.0,J. Teague misses 3-pt shot from 26 ft,,22-10,,
3:06.0,,,22-10,,Defensive rebound by R. Hood
3:03.0,,,22-10,,E. Udoh enters the game for D. Favors
3:03.0,,,22-10,,R. Neto enters the game for D. Mitchell
3:03.0,N. Bjelica enters the game for J. Butler,,22-10,,
3:03.0,J. Crawford enters the game for K. Towns,,22-10,,
3:02.0,,,22-10,,Turnover by T. Sefolosha (bad pass)
2:45.0,T. Gibson misses 2-pt shot from 5 ft (block by E. Udoh),,22-10,,
2:42.0,,,22-10,,Defensive rebound by R. Neto
2:38.0,,,22-12,2,T. Sefolosha makes 2-pt shot from 2 ft
2:22.0,Shooting foul by T. Sefolosha (drawn by T. Gibson),,22-12,,
2:22.0,Minnesota full timeout,,22-12,,
2:22.0,T. Jones enters the game for J. Teague,,22-12,,
2:22.0,T. Gibson misses free throw 1 of 2,,22-12,,
2:22.0,Offensive rebound by Team,,22-12,,
2:22.0,T. Gibson makes free throw 2 of 2,1,23-12,,
2:00.0,,,23-12,,R. Hood misses 2-pt shot from 15 ft
1:57.0,Defensive rebound by N. Bjelica,,23-12,,
1:47.0,N. Bjelica makes 3-pt shot from 25 ft (assist by A. Wiggins),3,26-12,,
1:35.0,,,26-12,,T. Sefolosha misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by N. Bjelica,,26-12,,
1:25.0,T. Jones makes 2-pt shot from 2 ft,2,28-12,,
1:13.0,,,28-12,,E. Udoh misses 2-pt shot from 6 ft
1:13.0,Defensive rebound by Team,,28-12,,
1:13.0,,,28-12,,A. Burks enters the game for J. Ingles
0:58.0,T. Gibson makes 2-pt shot from 5 ft (assist by J. Crawford),2,30-12,,
0:58.0,Shooting foul by R. Hood (drawn by T. Gibson),,30-12,,
0:58.0,T. Gibson makes free throw 1 of 1,1,31-12,,
0:45.0,,,31-12,,R. Neto misses 2-pt shot from 4 ft (block by A. Wiggins)
0:41.0,Defensive rebound by T. Jones,,31-12,,
0:38.0,Turnover by T. Gibson (bad pass; steal by A. Burks),,31-12,,
0:35.0,,,31-14,2,A. Burks makes 2-pt shot from 2 ft
0:31.0,Shooting foul by A. Burks (drawn by J. Crawford),,31-14,,
0:31.0,J. Crawford makes free throw 1 of 2,1,32-14,,
0:31.0,J. Crawford makes free throw 2 of 2,1,33-14,,
0:13.0,,,33-14,,R. Hood misses 2-pt shot from 14 ft
0:10.0,Defensive rebound by N. Bjelica,,33-14,,
0:01.0,T. Jones misses 2-pt shot from 11 ft,,33-14,,
0:01.0,Offensive rebound by Team,,33-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,33-14,,Personal foul by A. Burks (drawn by J. Crawford)
11:40.0,K. Towns misses 2-pt shot from 6 ft,,33-14,,
11:38.0,,,33-14,,Defensive rebound by E. Udoh
11:31.0,,,33-14,,Turnover by R. Neto (bad pass; steal by J. Crawford)
11:23.0,Turnover by N. Bjelica (traveling),,33-14,,
11:10.0,,,33-16,2,A. Burks makes 2-pt shot at rim
10:48.0,N. Bjelica misses 2-pt shot from 7 ft,,33-16,,
10:46.0,,,33-16,,Defensive rebound by T. Sefolosha
10:44.0,,,33-16,,Turnover by T. Sefolosha (bad pass)
10:44.0,,,33-16,,R. Rubio enters the game for R. Hood
10:44.0,,,33-16,,D. Mitchell enters the game for R. Neto
10:24.0,S. Muhammad makes 2-pt shot from 9 ft,2,35-16,,
10:06.0,,,35-19,3,T. Sefolosha makes 3-pt shot from 26 ft (assist by D. Mitchell)
9:51.0,J. Crawford misses 2-pt shot from 19 ft,,35-19,,
9:51.0,,,35-19,,Defensive rebound by Team
9:51.0,Loose ball foul by K. Towns (drawn by E. Udoh),,35-19,,
9:51.0,J. Butler enters the game for N. Bjelica,,35-19,,
9:51.0,,,35-19,,J. Jerebko enters the game for T. Sefolosha
9:36.0,,,35-21,2,D. Mitchell makes 2-pt shot from 10 ft
9:17.0,,,35-21,,Personal block foul by J. Jerebko (drawn by K. Towns)
9:03.0,T. Jones makes 2-pt shot from 3 ft (assist by J. Crawford),2,37-21,,
8:54.0,,,37-23,2,J. Jerebko makes 2-pt shot from 3 ft
8:41.0,S. Muhammad misses 2-pt shot from 2 ft,,37-23,,
8:34.0,,,37-23,,Defensive rebound by D. Mitchell
8:24.0,,,37-23,,J. Jerebko misses 3-pt shot from 25 ft
8:19.0,,,37-23,,Offensive rebound by D. Mitchell
8:17.0,,,37-23,,A. Burks misses 2-pt shot from 8 ft
8:17.0,,,37-23,,Offensive rebound by E. Udoh
8:09.0,,,37-25,2,E. Udoh makes 2-pt shot at rim
8:07.0,Minnesota full timeout,,37-25,,
8:07.0,J. Teague enters the game for T. Jones,,37-25,,
8:07.0,A. Wiggins enters the game for S. Muhammad,,37-25,,
