time,Minnesota,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. K. Towns (T. Gibson gains possession),,,,Jump ball: T. Zeller vs. K. Towns (T. Gibson gains possession)
11:39.0,J. Butler misses 2-pt shot from 6 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by T. Zeller
11:33.0,,,0-0,,Turnover by D. Carroll (lost ball; steal by J. Butler)
11:25.0,Shooting foul by S. Dinwiddie (drawn by T. Jones),,0-0,,
11:25.0,T. Jones makes free throw 1 of 2,1,1-0,,
11:25.0,T. Jones makes free throw 2 of 2,1,2-0,,
11:06.0,,,2-0,,S. Dinwiddie misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by T. Gibson,,2-0,,
10:52.0,K. Towns misses 2-pt shot from 19 ft (block by R. Hollis-Jefferson),,2-0,,
10:49.0,,,2-0,,Defensive rebound by A. Crabbe
10:44.0,,,2-2,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
10:32.0,A. Wiggins misses 2-pt shot from 9 ft,,2-2,,
10:28.0,,,2-2,,Defensive rebound by T. Zeller
10:24.0,Shooting block foul by K. Towns (drawn by R. Hollis-Jefferson),,2-2,,
10:24.0,,,2-3,1,R. Hollis-Jefferson makes free throw 1 of 2
10:24.0,,,2-4,1,R. Hollis-Jefferson makes free throw 2 of 2
10:12.0,A. Wiggins makes 2-pt shot from 3 ft (assist by J. Butler),2,4-4,,
10:02.0,,,4-7,3,A. Crabbe makes 3-pt shot from 25 ft (assist by T. Zeller)
9:46.0,J. Butler makes 2-pt shot from 11 ft,2,6-7,,
9:20.0,,,6-7,,A. Crabbe misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by K. Towns,,6-7,,
9:05.0,,,6-7,,Personal foul by R. Hollis-Jefferson (drawn by K. Towns)
8:51.0,J. Butler misses 2-pt shot from 13 ft,,6-7,,
8:47.0,,,6-7,,Defensive rebound by A. Crabbe
8:44.0,,,6-9,2,T. Zeller makes 2-pt shot at rim (assist by A. Crabbe)
8:34.0,T. Jones misses 2-pt shot from 15 ft,,6-9,,
8:34.0,,,6-9,,Defensive rebound by T. Zeller
8:27.0,,,6-9,,Turnover by A. Crabbe (step out of bounds)
8:11.0,A. Wiggins misses 2-pt shot from 19 ft,,6-9,,
8:09.0,,,6-9,,Defensive rebound by A. Crabbe
8:01.0,,,6-9,,D. Carroll misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by Team,,6-9,,
7:45.0,K. Towns makes 2-pt shot from 5 ft,2,8-9,,
7:29.0,,,8-11,2,R. Hollis-Jefferson makes 2-pt shot from 11 ft (assist by S. Dinwiddie)
7:13.0,T. Gibson misses 2-pt shot from 13 ft,,8-11,,
7:09.0,,,8-11,,Defensive rebound by D. Carroll
6:58.0,,,8-13,2,R. Hollis-Jefferson makes 2-pt shot from 16 ft
6:41.0,K. Towns makes 2-pt shot from 1 ft,2,10-13,,
6:41.0,Shooting foul by T. Zeller (drawn by K. Towns),,10-13,,
