time,Phoenix,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Chandler (M. Teodosic gains possession),,,,Jump ball: D. Jordan vs. T. Chandler (M. Teodosic gains possession)
11:41.0,,,0-0,,C. Williams misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by J. Jackson,,0-0,,
11:22.0,T. Warren misses 2-pt shot from 1 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by D. Jordan
11:10.0,,,0-0,,A. Rivers misses 3-pt shot from 23 ft
11:06.0,Defensive rebound by M. Chriss,,0-0,,
10:50.0,J. Jackson misses 2-pt shot from 1 ft,,0-0,,
10:47.0,,,0-0,,Defensive rebound by D. Jordan
10:38.0,,,0-0,,M. Teodosic misses 2-pt shot from 21 ft
10:35.0,Defensive rebound by T. Warren,,0-0,,
10:30.0,T. Ulis misses 2-pt shot from 17 ft,,0-0,,
10:26.0,,,0-0,,Defensive rebound by A. Rivers
10:19.0,,,0-0,,J. Wilson misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by T. Warren,,0-0,,
9:58.0,J. Jackson misses 2-pt shot from 7 ft (block by A. Rivers),,0-0,,
9:58.0,Offensive rebound by Team,,0-0,,
9:54.0,M. Chriss misses 3-pt shot from 22 ft,,0-0,,
9:54.0,,,0-0,,Defensive rebound by D. Jordan
9:49.0,,,0-2,2,J. Wilson makes 2-pt shot at rim (assist by C. Williams)
9:26.0,Turnover by T. Ulis (out of bounds lost ball),,0-2,,
9:11.0,,,0-2,,M. Teodosic misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by T. Warren,,0-2,,
9:01.0,Shooting foul by D. Jordan (drawn by T. Chandler),,0-2,,
9:01.0,T. Chandler misses free throw 1 of 2,,0-2,,
9:01.0,Offensive rebound by Team,,0-2,,
9:01.0,T. Chandler makes free throw 2 of 2,1,1-2,,
8:48.0,,,1-2,,J. Wilson misses 3-pt shot from 25 ft
8:41.0,,,1-2,,Offensive rebound by D. Jordan
8:29.0,,,1-2,,A. Rivers misses 2-pt shot from 10 ft
8:27.0,Defensive rebound by J. Jackson,,1-2,,
8:22.0,T. Warren misses 2-pt shot from 2 ft (block by J. Wilson),,1-2,,
8:16.0,,,1-2,,Defensive rebound by D. Jordan
8:15.0,,,1-5,3,A. Rivers makes 3-pt shot from 24 ft (assist by M. Teodosic)
7:57.0,,,1-5,,Personal foul by A. Rivers (drawn by J. Jackson)
7:57.0,Offensive foul by M. Chriss (drawn by M. Teodosic),,1-5,,
7:57.0,Turnover by M. Chriss (offensive foul),,1-5,,
7:39.0,,,1-7,2,C. Williams makes 2-pt shot from 1 ft (assist by M. Teodosic)
7:30.0,,,1-7,,Violation by D. Jordan (kicked ball)
7:20.0,M. Chriss makes 3-pt shot from 24 ft (assist by T. Ulis),3,4-7,,
7:13.0,Personal foul by J. Jackson (drawn by A. Rivers),,4-7,,
7:03.0,,,4-7,,Turnover by C. Williams (out of bounds lost ball)
6:48.0,J. Jackson misses 3-pt shot from 24 ft,,4-7,,
6:45.0,,,4-7,,Defensive rebound by D. Jordan
6:38.0,,,4-9,2,A. Rivers makes 2-pt shot from 21 ft
6:19.0,T. Warren misses 2-pt shot from 10 ft,,4-9,,
6:16.0,,,4-9,,Defensive rebound by D. Jordan
6:12.0,,,4-11,2,D. Jordan makes 2-pt shot at rim (assist by M. Teodosic)
6:11.0,Phoenix full timeout,,4-11,,
5:55.0,J. Jackson misses 2-pt shot from 4 ft (block by C. Williams),,4-11,,
5:55.0,Offensive rebound by Team,,4-11,,
5:50.0,J. Jackson makes 2-pt shot from 7 ft (assist by T. Chandler),2,6-11,,
5:34.0,,,6-13,2,A. Rivers makes 2-pt shot from 1 ft
5:18.0,J. Jackson makes 3-pt shot from 24 ft (assist by T. Ulis),3,9-13,,
5:03.0,,,9-13,,C. Williams misses 2-pt shot from 1 ft (block by T. Warren)
5:01.0,Defensive rebound by M. Chriss,,9-13,,
4:52.0,J. Jackson makes 2-pt shot from 11 ft (assist by T. Warren),2,11-13,,
4:34.0,,,11-16,3,A. Rivers makes 3-pt shot from 25 ft
4:15.0,T. Ulis misses 3-pt shot from 22 ft,,11-16,,
4:12.0,,,11-16,,Defensive rebound by J. Wilson
4:07.0,,,11-16,,C. Williams misses 2-pt shot from 3 ft
4:03.0,Defensive rebound by T. Chandler,,11-16,,
4:00.0,A. Len enters the game for M. Chriss,,11-16,,
4:00.0,T. Daniels enters the game for T. Chandler,,11-16,,
4:00.0,D. Bender enters the game for J. Jackson,,11-16,,
4:00.0,I. Canaan enters the game for T. Ulis,,11-16,,
4:00.0,,,11-16,,L. Williams enters the game for M. Teodosic
3:54.0,Jump ball: J. Wilson vs. T. Daniels (A. Len gains possession),,,,Jump ball: J. Wilson vs. T. Daniels (A. Len gains possession)
3:40.0,I. Canaan misses 3-pt shot from 27 ft,,11-16,,
3:36.0,Offensive rebound by A. Len,,11-16,,
3:32.0,I. Canaan misses 3-pt shot from 26 ft,,11-16,,
3:28.0,,,11-16,,Defensive rebound by D. Jordan
3:21.0,,,11-16,,A. Rivers misses 2-pt shot from 22 ft
3:18.0,Defensive rebound by A. Len,,11-16,,
3:12.0,Offensive charge foul by A. Len (drawn by J. Wilson),,11-16,,
3:12.0,Turnover by A. Len (offensive foul),,11-16,,
3:12.0,,,11-16,,LA Clippers full timeout
3:01.0,,,11-16,,D. Jordan misses 2-pt shot from 3 ft
3:01.0,Defensive rebound by Team,,11-16,,
2:39.0,I. Canaan misses 2-pt shot from 2 ft,,11-16,,
2:36.0,,,11-16,,Defensive rebound by D. Jordan
2:31.0,,,11-16,,L. Williams misses 2-pt shot from 1 ft
2:29.0,Defensive rebound by T. Warren,,11-16,,
2:21.0,D. Bender misses 3-pt shot from 23 ft,,11-16,,
2:19.0,,,11-16,,Defensive rebound by D. Jordan
2:11.0,,,11-18,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
1:51.0,,,11-18,,J. Evans enters the game for C. Williams
1:51.0,,,11-18,,S. Dekker enters the game for A. Rivers
1:51.0,J. Jackson enters the game for T. Warren,,11-18,,
1:43.0,I. Canaan misses 2-pt shot from 1 ft,,11-18,,
1:42.0,,,11-18,,Defensive rebound by S. Dekker
1:36.0,,,11-20,2,L. Williams makes 2-pt shot from 14 ft
1:21.0,,,11-20,,Personal foul by L. Williams (drawn by T. Daniels)
1:21.0,,,11-20,,M. Harrell enters the game for J. Wilson
1:12.0,A. Len makes 2-pt shot from 12 ft (assist by T. Daniels),2,13-20,,
0:55.0,,,13-20,,L. Williams misses 2-pt shot from 12 ft
0:54.0,Defensive rebound by A. Len,,13-20,,
0:49.0,J. Jackson misses 2-pt shot from 10 ft,,13-20,,
0:47.0,Offensive rebound by J. Jackson,,13-20,,
0:47.0,J. Jackson makes 2-pt shot at rim,2,15-20,,
0:33.0,Personal foul by T. Daniels (drawn by L. Williams),,15-20,,
0:33.0,,,15-20,,W. Reed enters the game for D. Jordan
0:30.0,Personal foul by I. Canaan (drawn by J. Evans),,15-20,,
0:30.0,,,15-20,,J. Evans misses free throw 1 of 2
0:30.0,,,15-20,,Offensive rebound by Team
0:30.0,,,15-21,1,J. Evans makes free throw 2 of 2
0:09.0,T. Daniels misses 3-pt shot from 27 ft,,15-21,,
0:05.0,,,15-21,,Defensive rebound by W. Reed
0:00.0,,,15-23,2,S. Dekker makes 2-pt shot from 7 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,T. Daniels misses 3-pt shot from 26 ft,,15-23,,
11:39.0,,,15-23,,Defensive rebound by M. Harrell
11:21.0,,,15-23,,S. Dekker misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by I. Canaan,,15-23,,
11:12.0,J. Jackson misses 2-pt shot at rim,,15-23,,
11:06.0,,,15-23,,Defensive rebound by J. Evans
11:01.0,,,15-23,,L. Williams misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by A. Len,,15-23,,
10:53.0,I. Canaan misses 3-pt shot from 27 ft,,15-23,,
10:50.0,Offensive rebound by A. Len,,15-23,,
10:48.0,A. Len misses 2-pt shot from 5 ft,,15-23,,
10:48.0,,,15-23,,Defensive rebound by S. Dekker
10:36.0,,,15-25,2,L. Williams makes 2-pt shot from 1 ft
10:14.0,I. Canaan misses 2-pt shot from 1 ft,,15-25,,
10:10.0,,,15-25,,Defensive rebound by M. Harrell
10:09.0,,,15-27,2,M. Harrell makes 2-pt shot from 1 ft
10:09.0,,,15-27,,Shooting foul by T. Daniels (drawn by M. Harrell)
10:09.0,T. Ulis enters the game for I. Canaan,,15-27,,
10:09.0,T. Warren enters the game for T. Daniels,,15-27,,
10:09.0,,,15-27,,M. Harrell misses free throw 1 of 1
10:07.0,Defensive rebound by A. Len,,15-27,,
9:55.0,,,15-27,,Personal foul by S. Dekker (drawn by T. Warren)
9:48.0,J. Jackson makes 2-pt shot from 9 ft (assist by T. Warren),2,17-27,,
9:40.0,,,17-27,,Turnover by L. Williams (bad pass; steal by A. Len)
9:28.0,T. Warren misses 2-pt shot from 11 ft,,17-27,,
9:28.0,Offensive rebound by Team,,17-27,,
9:26.0,J. Jackson makes 2-pt shot from 15 ft (assist by T. Ulis),2,19-27,,
9:01.0,,,19-27,,W. Reed misses 2-pt shot from 16 ft
8:58.0,Defensive rebound by T. Warren,,19-27,,
8:49.0,D. Bender makes 3-pt shot from 24 ft (assist by T. Warren),3,22-27,,
8:32.0,,,22-27,,J. Evans misses 2-pt shot from 2 ft
8:25.0,,,22-27,,Offensive rebound by W. Reed
8:25.0,,,22-29,2,W. Reed makes 2-pt shot at rim
8:15.0,J. Jackson misses 2-pt shot from 21 ft,,22-29,,
8:15.0,,,22-29,,Defensive rebound by S. Dekker
8:11.0,,,22-31,2,M. Harrell makes 2-pt shot from 1 ft (assist by S. Dekker)
7:58.0,T. Ulis misses 3-pt shot from 25 ft,,22-31,,
7:58.0,,,22-31,,Defensive rebound by M. Harrell
7:44.0,,,22-33,2,M. Harrell makes 2-pt shot from 9 ft
7:44.0,Phoenix full timeout,,22-33,,
7:44.0,T. Chandler enters the game for A. Len,,22-33,,
7:28.0,T. Warren makes 2-pt shot at rim (assist by D. Bender),2,24-33,,
7:13.0,,,24-33,,L. Williams misses 3-pt shot from 25 ft
7:07.0,,,24-33,,Offensive rebound by W. Reed
7:07.0,,,24-33,,W. Reed misses 2-pt shot at rim
7:05.0,Defensive rebound by T. Chandler,,24-33,,
7:02.0,T. Warren misses 2-pt shot from 16 ft,,24-33,,
7:00.0,,,24-33,,Defensive rebound by S. Dekker
6:53.0,,,24-35,2,L. Williams makes 2-pt shot from 18 ft
6:34.0,Turnover by D. Bender (bad pass),,24-35,,
6:34.0,Loose ball foul by T. Warren (drawn by S. Dekker),,24-35,,
6:34.0,,,24-35,,A. Rivers enters the game for J. Evans
6:34.0,,,24-35,,M. Teodosic enters the game for S. Dekker
6:34.0,M. Chriss enters the game for D. Bender,,24-35,,
6:34.0,T. Daniels enters the game for J. Jackson,,24-35,,
6:10.0,,,24-35,,M. Harrell misses 2-pt shot from 9 ft
6:02.0,Defensive rebound by M. Chriss,,24-35,,
6:01.0,T. Warren makes 2-pt shot at rim,2,26-35,,
5:46.0,,,26-35,,A. Rivers misses 3-pt shot from 27 ft
5:41.0,Defensive rebound by M. Chriss,,26-35,,
5:33.0,,,26-35,,J. Wilson enters the game for M. Harrell
5:33.0,,,26-35,,D. Jordan enters the game for W. Reed
5:30.0,Jump ball: L. Williams vs. T. Warren (M. Chriss gains possession),,,,Jump ball: L. Williams vs. T. Warren (M. Chriss gains possession)
5:22.0,T. Warren misses 3-pt shot from 22 ft,,26-35,,
5:18.0,,,26-35,,Defensive rebound by J. Wilson
5:18.0,Personal foul by M. Chriss (drawn by J. Wilson),,26-35,,
4:54.0,,,26-35,,L. Williams misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by T. Chandler,,26-35,,
4:47.0,T. Warren misses 2-pt shot from 10 ft,,26-35,,
4:43.0,,,26-35,,Defensive rebound by D. Jordan
4:25.0,,,26-35,,M. Teodosic misses 2-pt shot from 12 ft
4:23.0,,,26-35,,Offensive rebound by M. Teodosic
4:20.0,,,26-35,,Shooting foul by T. Ulis (drawn by L. Williams)
4:20.0,,,26-36,1,L. Williams makes free throw 1 of 2
4:20.0,I. Canaan enters the game for T. Ulis,,26-36,,
4:20.0,,,26-37,1,L. Williams makes free throw 2 of 2
4:01.0,M. Chriss makes 2-pt shot from 6 ft (assist by T. Warren),2,28-37,,
3:47.0,,,28-37,,D. Jordan misses 2-pt shot from 5 ft
3:45.0,Defensive rebound by I. Canaan,,28-37,,
3:42.0,T. Daniels misses 3-pt shot from 28 ft,,28-37,,
3:42.0,,,28-37,,Defensive rebound by Team
3:40.0,,,28-37,,C. Williams enters the game for L. Williams
3:40.0,M. James enters the game for T. Warren,,28-37,,
3:27.0,,,28-40,3,M. Teodosic makes 3-pt shot from 25 ft
3:13.0,M. James makes 2-pt shot from 17 ft,2,30-40,,
3:01.0,,,30-43,3,C. Williams makes 3-pt shot from 23 ft (assist by A. Rivers)
2:47.0,M. Chriss makes 3-pt shot from 24 ft (assist by M. James),3,33-43,,
2:33.0,,,33-46,3,J. Wilson makes 3-pt shot from 26 ft (assist by M. Teodosic)
2:06.0,I. Canaan misses 3-pt shot from 30 ft,,33-46,,
2:05.0,Offensive rebound by T. Chandler,,33-46,,
2:05.0,,,33-46,,Personal foul by M. Teodosic (drawn by T. Chandler)
2:05.0,D. Bender enters the game for M. Chriss,,33-46,,
1:48.0,M. James misses 3-pt shot from 25 ft,,33-46,,
1:43.0,,,33-46,,Defensive rebound by M. Teodosic
1:43.0,,,33-46,,Shooting foul by M. James (drawn by C. Williams)
1:43.0,,,33-47,1,C. Williams makes free throw 1 of 2
1:43.0,,,33-48,1,C. Williams makes free throw 2 of 2
1:19.0,I. Canaan misses 2-pt shot from 7 ft,,33-48,,
1:11.0,,,33-48,,Defensive rebound by C. Williams
1:01.0,,,33-48,,C. Williams misses 3-pt shot from 23 ft
0:57.0,,,33-48,,Offensive rebound by M. Teodosic
0:55.0,,,33-50,2,C. Williams makes 2-pt shot from 1 ft (assist by M. Teodosic)
0:37.0,D. Bender makes 2-pt shot from 1 ft (assist by I. Canaan),2,35-50,,
0:35.0,,,35-53,3,M. Teodosic makes 3-pt shot from 27 ft
0:28.0,Turnover by I. Canaan (bad pass),,35-53,,
0:28.0,T. Warren enters the game for M. James,,35-53,,
0:09.0,,,35-53,,M. Teodosic misses 3-pt shot from 24 ft
0:06.0,Defensive rebound by T. Warren,,35-53,,
0:04.0,Turnover by T. Warren (bad pass),,35-53,,
0:04.0,,,35-53,,L. Williams enters the game for D. Jordan
0:04.0,,,35-53,,J. Evans enters the game for C. Williams
0:04.0,J. Jackson enters the game for T. Chandler,,35-53,,
0:01.0,,,35-53,,J. Wilson misses 3-pt shot from 25 ft
0:01.0,,,35-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
