time,Utah,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. R. Gobert (D. Bertans gains possession),,,,Jump ball: L. Aldridge vs. R. Gobert (D. Bertans gains possession)
11:46.0,,,0-0,,D. Murray misses 2-pt shot from 12 ft
11:46.0,,,0-0,,Offensive rebound by Team
11:39.0,,,0-2,2,L. Aldridge makes 2-pt shot from 11 ft
11:12.0,D. Favors misses 3-pt shot from 23 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by K. Anderson
11:00.0,,,0-4,2,K. Anderson makes 2-pt shot from 11 ft (assist by L. Aldridge)
10:44.0,Turnover by J. Ingles (bad pass; steal by L. Aldridge),,0-4,,
10:43.0,Personal foul by R. Rubio (drawn by D. Murray),,0-4,,
10:32.0,,,0-6,2,D. Murray makes 2-pt shot from 5 ft (assist by L. Aldridge)
10:17.0,Shooting foul by D. Green (drawn by A. Burks),,0-6,,
10:17.0,A. Burks misses free throw 1 of 2,,0-6,,
10:17.0,Offensive rebound by Team,,0-6,,
10:17.0,A. Burks makes free throw 2 of 2,1,1-6,,
10:03.0,,,1-6,,L. Aldridge misses 2-pt shot from 12 ft
10:00.0,Defensive rebound by A. Burks,,1-6,,
9:50.0,Turnover by J. Ingles (step out of bounds),,1-6,,
9:40.0,,,1-6,,Turnover by L. Aldridge (traveling)
9:26.0,R. Rubio makes 2-pt shot from 20 ft (assist by J. Ingles),2,3-6,,
9:07.0,,,3-8,2,D. Murray makes 2-pt shot from 17 ft (assist by L. Aldridge)
8:49.0,D. Favors misses 2-pt shot from 3 ft (block by D. Green),,3-8,,
8:48.0,,,3-8,,Defensive rebound by L. Aldridge
8:41.0,,,3-8,,D. Bertans misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by Team,,3-8,,
8:28.0,,,3-8,,Personal foul by D. Bertans (drawn by D. Favors)
8:21.0,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio),3,6-8,,
8:19.0,,,6-8,,San Antonio full timeout
8:10.0,,,6-10,2,K. Anderson makes 2-pt shot from 10 ft (assist by D. Murray)
7:53.0,R. Rubio makes 2-pt shot from 16 ft (assist by R. Gobert),2,8-10,,
7:37.0,,,8-10,,D. Bertans misses 2-pt shot from 5 ft
7:34.0,Defensive rebound by R. Gobert,,8-10,,
7:26.0,,,8-10,,Personal foul by D. Murray (drawn by D. Favors)
7:20.0,Turnover by J. Ingles (bad pass; steal by K. Anderson),,8-10,,
7:16.0,,,8-12,2,D. Murray makes 2-pt shot from 1 ft (assist by K. Anderson)
7:00.0,R. Rubio makes 2-pt shot from 16 ft,2,10-12,,
6:45.0,,,10-12,,D. Murray misses 2-pt shot from 19 ft
6:40.0,Defensive rebound by J. Ingles,,10-12,,
6:31.0,R. Gobert misses 2-pt shot from 7 ft,,10-12,,
6:31.0,,,10-12,,Defensive rebound by D. Green
6:27.0,,,10-12,,Turnover by D. Green (bad pass)
6:10.0,A. Burks misses 2-pt shot from 2 ft,,10-12,,
6:08.0,Offensive rebound by A. Burks,,10-12,,
6:06.0,R. Rubio makes 3-pt shot from 26 ft (assist by A. Burks),3,13-12,,
5:47.0,,,13-12,,L. Aldridge misses 2-pt shot from 18 ft
5:43.0,Defensive rebound by A. Burks,,13-12,,
5:27.0,R. Rubio makes 3-pt shot from 25 ft,3,16-12,,
5:08.0,,,16-12,,D. Murray misses 2-pt shot from 2 ft
5:06.0,Defensive rebound by R. Gobert,,16-12,,
5:02.0,R. Rubio makes 2-pt shot at rim,2,18-12,,
4:59.0,,,18-12,,San Antonio full timeout
4:59.0,,,18-12,,M. Ginobili enters the game for K. Anderson
4:59.0,,,18-12,,T. Parker enters the game for D. Murray
4:59.0,,,18-12,,P. Mills enters the game for D. Green
4:59.0,,,18-12,,P. Gasol enters the game for D. Bertans
4:59.0,R. O'Neale enters the game for J. Ingles,,18-12,,
4:59.0,R. Hood enters the game for A. Burks,,18-12,,
4:44.0,,,18-14,2,L. Aldridge makes 2-pt shot from 9 ft
4:30.0,Shooting foul by L. Aldridge (drawn by D. Favors),,18-14,,
4:30.0,D. Favors makes free throw 1 of 2,1,19-14,,
4:30.0,D. Favors makes free throw 2 of 2,1,20-14,,
4:13.0,,,20-14,,M. Ginobili misses 2-pt shot from 14 ft
4:10.0,Defensive rebound by R. Gobert,,20-14,,
3:59.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio),2,22-14,,
3:48.0,,,22-14,,P. Gasol misses 2-pt shot from 18 ft
3:44.0,Defensive rebound by D. Favors,,22-14,,
3:37.0,R. Gobert makes 2-pt shot at rim (assist by R. Rubio),2,24-14,,
3:23.0,,,24-14,,Shooting foul by R. Gobert (drawn by L. Aldridge)
3:23.0,,,24-14,,L. Aldridge misses free throw 1 of 2
3:23.0,,,24-14,,Offensive rebound by Team
3:23.0,J. Jerebko enters the game for D. Favors,,24-14,,
3:23.0,,,24-15,1,L. Aldridge makes free throw 2 of 2
3:12.0,R. Hood misses 2-pt shot from 20 ft,,24-15,,
3:08.0,,,24-15,,Defensive rebound by L. Aldridge
2:55.0,,,24-17,2,L. Aldridge makes 2-pt shot from 12 ft
2:40.0,J. Jerebko makes 3-pt shot from 28 ft (assist by R. Rubio),3,27-17,,
2:15.0,Personal foul by R. O'Neale (drawn by P. Gasol),,27-17,,
2:15.0,,,27-17,,D. Bertans enters the game for L. Aldridge
2:15.0,R. Neto enters the game for R. Rubio,,27-17,,
2:15.0,E. Udoh enters the game for R. Gobert,,27-17,,
2:07.0,,,27-19,2,P. Gasol makes 2-pt shot at rim (assist by T. Parker)
1:42.0,R. Neto misses 3-pt shot from 25 ft,,27-19,,
1:38.0,Offensive rebound by E. Udoh,,27-19,,
1:22.0,Shooting foul by D. Bertans (drawn by J. Jerebko),,27-19,,
1:22.0,J. Jerebko makes free throw 1 of 2,1,28-19,,
1:22.0,J. Jerebko misses free throw 2 of 2,,28-19,,
1:20.0,,,28-19,,Defensive rebound by P. Gasol
1:14.0,,,28-19,,Turnover by T. Parker (out of bounds lost ball)
1:02.0,R. Neto makes 2-pt shot from 9 ft,2,30-19,,
0:49.0,,,30-21,2,P. Gasol makes 2-pt shot from 1 ft (assist by T. Parker)
0:31.0,R. Hood misses 2-pt shot from 13 ft,,30-21,,
0:29.0,,,30-21,,Defensive rebound by P. Gasol
