time,Charlotte,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. D. Howard (M. Williams gains possession),,,,Jump ball: B. Lopez vs. D. Howard (M. Williams gains possession)
11:48.0,Turnover by D. Howard (traveling),,0-0,,
11:34.0,,,0-0,,L. Ball misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by M. Kidd-Gilchrist,,0-0,,
11:25.0,K. Walker misses 3-pt shot from 25 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by L. Ball
11:14.0,,,0-0,,B. Ingram misses 2-pt shot from 10 ft
11:09.0,Defensive rebound by M. Williams,,0-0,,
11:02.0,Turnover by D. Howard (step out of bounds),,0-0,,
10:52.0,,,0-0,,K. Caldwell-Pope misses 3-pt shot from 24 ft
10:47.0,,,0-0,,Offensive rebound by J. Randle
10:44.0,,,0-2,2,J. Randle makes 2-pt shot from 8 ft
10:27.0,M. Kidd-Gilchrist makes 2-pt shot from 7 ft,2,2-2,,
10:08.0,,,2-2,,Turnover by J. Randle (lost ball; steal by M. Kidd-Gilchrist)
10:03.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum),2,4-2,,
9:51.0,,,4-4,2,B. Ingram makes 2-pt shot from 16 ft (assist by J. Randle)
9:29.0,M. Williams makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,7-4,,
9:16.0,,,7-7,3,B. Lopez makes 3-pt shot from 27 ft (assist by L. Ball)
9:01.0,D. Howard makes 2-pt shot from 2 ft (assist by N. Batum),2,9-7,,
9:01.0,Shooting foul by K. Caldwell-Pope (drawn by D. Howard),,9-7,,
9:01.0,D. Howard makes free throw 1 of 1,1,10-7,,
8:51.0,,,10-9,2,J. Randle makes 2-pt shot from 8 ft (assist by B. Lopez)
8:31.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,13-9,,
8:14.0,,,13-9,,J. Randle misses 2-pt shot from 2 ft
8:10.0,Defensive rebound by M. Kidd-Gilchrist,,13-9,,
8:07.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams),2,15-9,,
8:06.0,,,15-9,,LA Lakers full timeout
7:56.0,,,15-9,,L. Ball misses 3-pt shot from 27 ft
7:53.0,Defensive rebound by D. Howard,,15-9,,
7:44.0,M. Kidd-Gilchrist misses 2-pt shot from 9 ft,,15-9,,
7:40.0,,,15-9,,Defensive rebound by J. Randle
7:35.0,,,15-9,,B. Ingram misses 2-pt shot from 14 ft
7:32.0,Defensive rebound by Team,,15-9,,
7:19.0,Turnover by N. Batum (bad pass; steal by L. Ball),,15-9,,
7:15.0,,,15-9,,Turnover by K. Caldwell-Pope (out of bounds lost ball)
7:07.0,K. Walker misses 2-pt shot from 9 ft,,15-9,,
7:01.0,Offensive rebound by N. Batum,,15-9,,
6:54.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,15-9,,
6:50.0,,,15-9,,Defensive rebound by B. Ingram
6:45.0,,,15-9,,B. Lopez misses 3-pt shot from 26 ft
6:41.0,,,15-9,,Offensive rebound by J. Randle
6:35.0,,,15-11,2,J. Randle makes 2-pt shot from 4 ft
6:22.0,M. Williams makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,18-11,,
6:02.0,,,18-14,3,B. Lopez makes 3-pt shot from 23 ft (assist by B. Ingram)
5:48.0,N. Batum misses 3-pt shot from 25 ft,,18-14,,
5:43.0,,,18-14,,Defensive rebound by B. Ingram
5:40.0,,,18-14,,B. Ingram misses 2-pt shot from 1 ft
5:40.0,Defensive rebound by Team,,18-14,,
5:28.0,D. Howard misses 2-pt shot from 4 ft,,18-14,,
5:24.0,,,18-14,,Defensive rebound by L. Ball
5:22.0,,,18-16,2,B. Ingram makes 2-pt shot from 1 ft (assist by L. Ball)
5:10.0,K. Walker makes 2-pt shot from 16 ft,2,20-16,,
5:02.0,,,20-18,2,L. Ball makes 2-pt shot from 1 ft
4:49.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker),2,22-18,,
4:38.0,Personal foul by M. Williams (drawn by J. Randle),,22-18,,
4:38.0,,,22-18,,L. Nance enters the game for J. Randle
4:38.0,,,22-18,,J. Clarkson enters the game for B. Lopez
4:38.0,,,22-18,,K. Kuzma enters the game for L. Ball
4:38.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,22-18,,
4:38.0,J. Lamb enters the game for M. Williams,,22-18,,
4:27.0,,,22-20,2,B. Ingram makes 2-pt shot from 3 ft
4:04.0,F. Kaminsky misses 2-pt shot from 12 ft,,22-20,,
4:03.0,,,22-20,,Defensive rebound by Team
3:47.0,,,22-20,,L. Nance misses 2-pt shot from 12 ft
3:43.0,Defensive rebound by D. Howard,,22-20,,
3:37.0,N. Batum misses 3-pt shot from 25 ft,,22-20,,
3:34.0,Offensive rebound by D. Howard,,22-20,,
3:34.0,Shooting foul by L. Nance (drawn by D. Howard),,22-20,,
3:34.0,D. Howard misses free throw 1 of 2,,22-20,,
3:34.0,Offensive rebound by Team,,22-20,,
3:34.0,D. Howard makes free throw 2 of 2,1,23-20,,
3:19.0,,,23-22,2,J. Clarkson makes 2-pt shot from 17 ft (assist by L. Nance)
3:04.0,,,23-22,,Personal foul by K. Kuzma (drawn by D. Howard)
2:58.0,Turnover by N. Batum (bad pass; steal by K. Caldwell-Pope),,23-22,,
2:49.0,,,23-22,,B. Ingram misses 2-pt shot from 20 ft
2:43.0,Defensive rebound by K. Walker,,23-22,,
2:41.0,K. Walker misses 2-pt shot from 1 ft (block by K. Kuzma),,23-22,,
2:41.0,Offensive rebound by Team,,23-22,,
2:41.0,Charlotte full timeout,,23-22,,
2:41.0,,,23-22,,J. Hart enters the game for K. Caldwell-Pope
2:41.0,M. Carter-Williams enters the game for K. Walker,,23-22,,
2:38.0,J. Lamb makes 2-pt shot from 14 ft (assist by F. Kaminsky),2,25-22,,
2:38.0,Shooting foul by J. Hart (drawn by J. Lamb),,25-22,,
2:38.0,J. Lamb makes free throw 1 of 1,1,26-22,,
2:28.0,,,26-22,,Turnover by K. Kuzma (traveling)
2:12.0,J. Lamb makes 2-pt shot from 13 ft (assist by M. Carter-Williams),2,28-22,,
2:02.0,Personal foul by M. Carter-Williams (drawn by J. Clarkson),,28-22,,
2:02.0,J. O'Bryant enters the game for N. Batum,,28-22,,
2:02.0,T. Graham enters the game for D. Howard,,28-22,,
1:46.0,,,28-22,,J. Clarkson misses 2-pt shot from 17 ft
1:42.0,,,28-22,,Offensive rebound by B. Ingram
1:40.0,,,28-22,,J. Clarkson misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by T. Graham,,28-22,,
1:31.0,J. O'Bryant misses 3-pt shot from 25 ft,,28-22,,
1:28.0,,,28-22,,Defensive rebound by B. Ingram
1:22.0,,,28-22,,K. Kuzma misses 3-pt shot from 24 ft
1:18.0,Defensive rebound by J. O'Bryant,,28-22,,
1:10.0,Turnover by M. Carter-Williams (bad pass; steal by J. Clarkson),,28-22,,
0:57.0,,,28-22,,J. Hart misses 3-pt shot from 26 ft
0:54.0,,,28-22,,Offensive rebound by B. Ingram
0:51.0,,,28-22,,K. Kuzma misses 2-pt shot from 1 ft
0:47.0,,,28-22,,Offensive rebound by J. Hart
0:47.0,,,28-22,,J. Hart misses 2-pt shot at rim
0:46.0,,,28-22,,Offensive rebound by L. Nance
0:44.0,,,28-22,,L. Nance misses 2-pt shot from 4 ft
0:41.0,Defensive rebound by J. O'Bryant,,28-22,,
0:36.0,J. O'Bryant misses 2-pt shot from 19 ft,,28-22,,
0:36.0,,,28-22,,Defensive rebound by J. Hart
0:27.0,,,28-24,2,B. Ingram makes 2-pt shot from 1 ft (assist by J. Clarkson)
0:06.0,F. Kaminsky misses 2-pt shot from 10 ft,,28-24,,
0:06.0,,,28-24,,Defensive rebound by Team
0:02.0,,,28-24,,J. Clarkson misses 2-pt shot from 18 ft
0:00.0,,,28-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,28-24,,Turnover by L. Ball (lost ball; steal by M. Carter-Williams)
11:43.0,J. Lamb makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,31-24,,
11:31.0,,,31-24,,K. Kuzma misses 3-pt shot from 26 ft
11:26.0,Defensive rebound by T. Graham,,31-24,,
11:19.0,M. Carter-Williams makes 3-pt shot from 25 ft,3,34-24,,
11:09.0,Violation by F. Kaminsky (kicked ball),,34-24,,
11:01.0,,,34-24,,L. Nance misses 2-pt shot from 19 ft
10:57.0,Defensive rebound by F. Kaminsky,,34-24,,
10:56.0,,,34-24,,Personal foul by L. Nance (drawn by J. O'Bryant)
10:51.0,J. Lamb misses 3-pt shot from 24 ft,,34-24,,
10:47.0,,,34-24,,Defensive rebound by L. Nance
10:38.0,,,34-24,,K. Kuzma misses 2-pt shot from 17 ft
10:32.0,,,34-24,,Offensive rebound by L. Nance
10:32.0,,,34-24,,L. Nance misses 2-pt shot at rim
10:32.0,Defensive rebound by F. Kaminsky,,34-24,,
10:18.0,J. O'Bryant misses 2-pt shot from 16 ft,,34-24,,
10:13.0,Offensive rebound by J. Lamb,,34-24,,
10:11.0,Turnover by J. O'Bryant (traveling),,34-24,,
9:59.0,,,34-26,2,K. Kuzma makes 2-pt shot from 6 ft (assist by L. Nance)
9:36.0,F. Kaminsky makes 2-pt shot from 12 ft,2,36-26,,
9:26.0,,,36-26,,Turnover by J. Clarkson (lost ball; steal by M. Carter-Williams)
9:23.0,,,36-26,,Shooting block foul by K. Kuzma (drawn by F. Kaminsky)
9:23.0,F. Kaminsky makes free throw 1 of 2,1,37-26,,
9:23.0,F. Kaminsky makes free throw 2 of 2,1,38-26,,
9:00.0,,,38-26,,J. Hart misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by Team,,38-26,,
8:51.0,,,38-26,,Personal foul by J. Clarkson (drawn by M. Carter-Williams)
8:38.0,J. Lamb misses 3-pt shot from 24 ft,,38-26,,
8:35.0,Offensive rebound by J. O'Bryant,,38-26,,
8:18.0,F. Kaminsky misses 2-pt shot from 14 ft,,38-26,,
8:17.0,,,38-26,,Defensive rebound by J. Clarkson
8:17.0,Personal foul by M. Carter-Williams (drawn by J. Clarkson),,38-26,,
8:05.0,,,38-29,3,L. Ball makes 3-pt shot from 25 ft (assist by L. Nance)
7:42.0,F. Kaminsky misses 2-pt shot from 3 ft (block by K. Kuzma),,38-29,,
7:42.0,Offensive rebound by Team,,38-29,,
7:42.0,,,38-29,,J. Randle enters the game for J. Clarkson
7:42.0,,,38-29,,K. Caldwell-Pope enters the game for L. Nance
7:42.0,K. Walker enters the game for M. Carter-Williams,,38-29,,
7:40.0,Turnover by K. Walker (bad pass; steal by J. Hart),,38-29,,
7:39.0,Personal foul by J. Lamb (drawn by J. Hart),,38-29,,
7:39.0,,,38-29,,J. Hart misses clear path free throw 1 of 2
7:39.0,,,38-29,,Offensive rebound by Team
7:39.0,,,38-30,1,J. Hart makes clear path free throw 2 of 2
7:31.0,,,38-30,,J. Randle misses 2-pt shot from 4 ft
7:27.0,Defensive rebound by T. Graham,,38-30,,
7:24.0,J. Lamb makes 2-pt shot from 4 ft (assist by K. Walker),2,40-30,,
7:04.0,,,40-30,,Turnover by K. Kuzma (lost ball; steal by J. Lamb)
6:58.0,T. Graham makes 2-pt shot from 15 ft (assist by K. Walker),2,42-30,,
6:57.0,,,42-30,,LA Lakers full timeout
6:57.0,,,42-30,,B. Ingram enters the game for K. Kuzma
6:42.0,,,42-33,3,J. Hart makes 3-pt shot from 24 ft (assist by L. Ball)
6:18.0,J. O'Bryant misses 2-pt shot from 9 ft,,42-33,,
6:13.0,,,42-33,,Defensive rebound by B. Ingram
6:01.0,,,42-33,,K. Caldwell-Pope misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by J. O'Bryant,,42-33,,
5:52.0,J. Lamb makes 2-pt shot at rim,2,44-33,,
5:35.0,Personal foul by T. Graham (drawn by B. Ingram),,44-33,,
5:35.0,,,44-33,,B. Lopez enters the game for J. Hart
5:35.0,D. Howard enters the game for J. O'Bryant,,44-33,,
5:35.0,N. Batum enters the game for T. Graham,,44-33,,
5:32.0,,,44-35,2,B. Ingram makes 2-pt shot at rim (assist by B. Lopez)
5:14.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker),3,47-35,,
