time,Washington,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. M. Gortat (A. Wiggins gains possession),,,,Jump ball: K. Towns vs. M. Gortat (A. Wiggins gains possession)
11:42.0,,,0-0,,T. Gibson misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by M. Morris,,0-0,,
11:25.0,O. Porter misses 2-pt shot from 12 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by A. Wiggins
11:03.0,,,0-3,3,J. Butler makes 3-pt shot from 23 ft (assist by T. Jones)
10:38.0,M. Gortat makes 2-pt shot from 10 ft (assist by T. Frazier),2,2-3,,
10:12.0,,,2-5,2,T. Gibson makes 2-pt shot from 8 ft (assist by J. Butler)
9:58.0,B. Beal makes 2-pt shot from 17 ft (assist by T. Frazier),2,4-5,,
9:35.0,,,4-8,3,K. Towns makes 3-pt shot from 24 ft (assist by T. Jones)
9:14.0,M. Gortat misses 2-pt shot from 9 ft,,4-8,,
9:11.0,,,4-8,,Defensive rebound by K. Towns
8:56.0,,,4-10,2,K. Towns makes 2-pt shot from 3 ft (assist by A. Wiggins)
8:42.0,M. Morris misses 2-pt shot from 9 ft,,4-10,,
8:39.0,,,4-10,,Defensive rebound by T. Jones
8:34.0,,,4-12,2,T. Gibson makes 2-pt shot at rim (assist by T. Jones)
8:33.0,Washington full timeout,,4-12,,
8:12.0,M. Morris misses 3-pt shot from 25 ft,,4-12,,
8:08.0,Offensive rebound by M. Gortat,,4-12,,
8:08.0,M. Gortat makes 2-pt shot from 6 ft,2,6-12,,
7:50.0,,,6-14,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Butler)
7:33.0,O. Porter misses 3-pt shot from 25 ft,,6-14,,
7:31.0,,,6-14,,Defensive rebound by Team
7:17.0,,,6-17,3,A. Wiggins makes 3-pt shot from 25 ft
7:08.0,,,6-17,,Personal foul by A. Wiggins (drawn by O. Porter)
6:56.0,O. Porter misses 2-pt shot from 21 ft,,6-17,,
6:53.0,Offensive rebound by Team,,6-17,,
6:36.0,M. Morris misses 3-pt shot from 25 ft,,6-17,,
6:32.0,,,6-17,,Defensive rebound by A. Wiggins
6:15.0,,,6-17,,T. Gibson misses 2-pt shot from 10 ft
6:13.0,Defensive rebound by O. Porter,,6-17,,
6:03.0,M. Gortat makes 2-pt shot from 6 ft,2,8-17,,
5:40.0,,,8-17,,J. Butler misses 3-pt shot from 24 ft
5:36.0,,,8-17,,Offensive rebound by K. Towns
5:35.0,,,8-17,,K. Towns misses 2-pt shot from 5 ft
5:32.0,Defensive rebound by O. Porter,,8-17,,
5:23.0,O. Porter misses 2-pt shot from 4 ft,,8-17,,
5:21.0,,,8-17,,Defensive rebound by T. Gibson
5:19.0,Shooting block foul by T. Frazier (drawn by T. Jones),,8-17,,
5:19.0,,,8-18,1,T. Jones makes free throw 1 of 2
5:19.0,,,8-19,1,T. Jones makes free throw 2 of 2
5:10.0,B. Beal misses 2-pt shot at rim,,8-19,,
5:07.0,,,8-19,,Defensive rebound by K. Towns
4:52.0,,,8-19,,T. Jones misses 3-pt shot from 23 ft
4:49.0,Defensive rebound by M. Morris,,8-19,,
4:41.0,B. Beal misses 2-pt shot from 16 ft,,8-19,,
4:37.0,,,8-19,,Defensive rebound by K. Towns
4:28.0,,,8-19,,Shooting foul by M. Gortat (drawn by T. Gibson)
4:28.0,,,8-19,,T. Gibson misses free throw 1 of 2
4:28.0,,,8-19,,Offensive rebound by Team
4:28.0,,,8-19,,G. Dieng enters the game for K. Towns
4:28.0,K. Oubre enters the game for M. Gortat,,8-19,,
4:28.0,I. Mahinmi enters the game for M. Morris,,8-19,,
4:28.0,,,8-19,,T. Gibson misses free throw 2 of 2
4:25.0,Defensive rebound by O. Porter,,8-19,,
4:12.0,K. Oubre misses 2-pt shot from 17 ft,,8-19,,
4:06.0,Offensive rebound by I. Mahinmi,,8-19,,
4:06.0,I. Mahinmi misses 2-pt shot at rim,,8-19,,
4:06.0,,,8-19,,Defensive rebound by T. Gibson
3:59.0,,,8-19,,A. Wiggins misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by Team,,8-19,,
3:58.0,,,8-19,,Loose ball foul by G. Dieng (drawn by I. Mahinmi)
3:58.0,,,8-19,,J. Crawford enters the game for J. Butler
3:58.0,T. Satoransky enters the game for T. Frazier,,8-19,,
3:42.0,K. Oubre makes 2-pt shot from 1 ft (assist by T. Satoransky),2,10-19,,
3:20.0,,,10-21,2,A. Wiggins makes 2-pt shot from 6 ft
3:04.0,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal),3,13-21,,
2:45.0,,,13-23,2,A. Wiggins makes 2-pt shot from 11 ft (assist by T. Jones)
2:32.0,T. Satoransky misses 3-pt shot from 22 ft,,13-23,,
2:29.0,Offensive rebound by I. Mahinmi,,13-23,,
2:20.0,O. Porter makes 2-pt shot from 1 ft,2,15-23,,
1:59.0,,,15-25,2,A. Wiggins makes 2-pt shot at rim
1:59.0,,,15-25,,Shooting foul by K. Oubre (drawn by A. Wiggins)
1:59.0,,,15-25,,Minnesota full timeout
1:59.0,J. Meeks enters the game for B. Beal,,15-25,,
1:59.0,M. Scott enters the game for O. Porter,,15-25,,
1:59.0,,,15-26,1,A. Wiggins makes free throw 1 of 1
1:41.0,Shooting foul by G. Dieng (drawn by M. Scott),,15-26,,
1:41.0,M. Scott misses free throw 1 of 2,,15-26,,
1:41.0,Offensive rebound by Team,,15-26,,
1:41.0,M. Scott makes free throw 2 of 2,1,16-26,,
1:29.0,,,16-26,,G. Dieng misses 3-pt shot from 22 ft
1:26.0,Defensive rebound by K. Oubre,,16-26,,
1:23.0,K. Oubre makes 2-pt shot from 1 ft,2,18-26,,
1:06.0,,,18-29,3,J. Crawford makes 3-pt shot from 25 ft (assist by T. Jones)
0:46.0,I. Mahinmi misses 2-pt shot from 4 ft,,18-29,,
0:44.0,,,18-29,,Defensive rebound by G. Dieng
0:41.0,,,18-29,,Shooting foul by J. Meeks (drawn by A. Wiggins)
0:41.0,,,18-29,,A. Wiggins misses free throw 1 of 2
0:41.0,,,18-29,,Offensive rebound by Team
0:41.0,,,18-30,1,A. Wiggins makes free throw 2 of 2
0:30.0,K. Oubre makes 2-pt shot from 1 ft,2,20-30,,
0:07.0,,,20-30,,J. Crawford misses 2-pt shot from 16 ft
0:05.0,Defensive rebound by M. Scott,,20-30,,
0:00.0,J. Meeks makes 3-pt shot from 26 ft (assist by T. Satoransky),3,23-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Meeks makes 3-pt shot from 25 ft (assist by T. Satoransky),3,26-30,,
11:25.0,,,26-30,,Turnover by J. Crawford (bad pass; steal by M. Scott)
11:21.0,M. Scott makes 2-pt shot from 1 ft (assist by K. Oubre),2,28-30,,
11:05.0,,,28-32,2,K. Towns makes 2-pt shot from 2 ft (assist by A. Brooks)
10:49.0,K. Oubre misses 2-pt shot from 21 ft,,28-32,,
10:45.0,Offensive rebound by T. Satoransky,,28-32,,
10:44.0,T. Satoransky misses 2-pt shot from 3 ft,,28-32,,
10:41.0,,,28-32,,Defensive rebound by G. Dieng
10:33.0,Personal foul by I. Mahinmi (drawn by K. Towns),,28-32,,
10:23.0,,,28-32,,Turnover by K. Towns (lost ball; steal by M. Scott)
10:17.0,T. Satoransky makes 3-pt shot from 25 ft (assist by M. Scott),3,31-32,,
9:57.0,,,31-32,,S. Muhammad misses 2-pt shot from 2 ft
9:57.0,Defensive rebound by M. Scott,,31-32,,
9:57.0,,,31-32,,Personal foul by K. Towns (drawn by M. Scott)
9:45.0,K. Oubre misses 2-pt shot from 5 ft,,31-32,,
9:42.0,,,31-32,,Defensive rebound by K. Towns
9:37.0,,,31-32,,Turnover by S. Muhammad (lost ball; steal by T. Satoransky)
9:33.0,J. Meeks makes 3-pt shot from 25 ft (assist by T. Satoransky),3,34-32,,
9:23.0,,,34-32,,Minnesota full timeout
9:17.0,,,34-32,,K. Towns misses 2-pt shot from 13 ft
9:12.0,Defensive rebound by T. Satoransky,,34-32,,
8:57.0,M. Scott misses 3-pt shot from 26 ft,,34-32,,
8:53.0,,,34-32,,Defensive rebound by S. Muhammad
8:36.0,,,34-32,,Turnover by K. Towns (bad pass)
8:30.0,,,34-32,,Personal foul by S. Muhammad (drawn by K. Oubre)
8:26.0,,,34-32,,Personal foul by A. Brooks (drawn by K. Oubre)
8:18.0,K. Oubre misses 3-pt shot from 24 ft,,34-32,,
8:15.0,,,34-32,,Defensive rebound by G. Dieng
8:06.0,,,34-32,,J. Crawford misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by I. Mahinmi,,34-32,,
7:57.0,,,34-32,,Violation by K. Towns (kicked ball)
7:57.0,,,34-32,,J. Butler enters the game for G. Dieng
7:57.0,,,34-32,,A. Wiggins enters the game for J. Crawford
7:57.0,,,34-32,,T. Jones enters the game for S. Muhammad
7:57.0,,,34-32,,G. Dieng enters the game for A. Brooks
7:49.0,T. Satoransky makes 2-pt shot from 7 ft,2,36-32,,
7:44.0,Personal foul by J. Meeks (drawn by J. Butler),,36-32,,
7:25.0,,,36-35,3,J. Butler makes 3-pt shot from 22 ft (assist by G. Dieng)
7:06.0,M. Scott misses 3-pt shot from 25 ft,,36-35,,
7:05.0,,,36-35,,Defensive rebound by G. Dieng
6:51.0,,,36-35,,Shooting foul by I. Mahinmi (drawn by G. Dieng)
6:51.0,,,36-36,1,G. Dieng makes free throw 1 of 2
6:51.0,B. Beal enters the game for T. Satoransky,,36-36,,
6:51.0,,,36-36,,G. Dieng misses free throw 2 of 2
6:49.0,Defensive rebound by I. Mahinmi,,36-36,,
6:37.0,Turnover by B. Beal (bad pass),,36-36,,
6:37.0,,,36-36,,T. Gibson enters the game for G. Dieng
6:25.0,,,36-36,,K. Towns misses 2-pt shot from 2 ft
6:22.0,Defensive rebound by M. Scott,,36-36,,
6:19.0,K. Oubre makes 2-pt shot from 1 ft (assist by B. Beal),2,38-36,,
6:00.0,,,38-36,,A. Wiggins misses 2-pt shot from 9 ft
5:56.0,Defensive rebound by M. Scott,,38-36,,
5:51.0,J. Meeks misses 3-pt shot from 26 ft,,38-36,,
5:48.0,,,38-36,,Defensive rebound by K. Towns
5:40.0,,,38-38,2,T. Gibson makes 2-pt shot from 2 ft (assist by T. Jones)
5:38.0,Washington full timeout,,38-38,,
5:38.0,M. Morris enters the game for I. Mahinmi,,38-38,,
5:17.0,Turnover by M. Morris (bad pass; steal by K. Towns),,38-38,,
5:05.0,,,38-38,,J. Butler misses 3-pt shot from 23 ft
5:04.0,Defensive rebound by Team,,38-38,,
5:04.0,O. Porter enters the game for J. Meeks,,38-38,,
4:45.0,K. Oubre misses 3-pt shot from 24 ft,,38-38,,
4:43.0,,,38-38,,Defensive rebound by Team
4:29.0,,,38-38,,J. Butler misses 2-pt shot from 1 ft
4:24.0,,,38-38,,Offensive rebound by T. Gibson
4:24.0,,,38-40,2,T. Gibson makes 2-pt shot at rim
4:16.0,Offensive foul by M. Morris (drawn by K. Towns),,38-40,,
4:16.0,Turnover by M. Morris (offensive foul),,38-40,,
4:16.0,M. Gortat enters the game for M. Scott,,38-40,,
3:54.0,,,38-40,,A. Wiggins misses 2-pt shot from 19 ft
3:49.0,,,38-40,,Offensive rebound by T. Gibson
3:41.0,,,38-40,,J. Butler misses 3-pt shot from 23 ft
3:38.0,Defensive rebound by O. Porter,,38-40,,
3:33.0,B. Beal misses 2-pt shot from 1 ft,,38-40,,
3:33.0,Offensive rebound by M. Gortat,,38-40,,
3:31.0,Shooting foul by K. Towns (drawn by M. Gortat),,38-40,,
3:31.0,M. Gortat misses free throw 1 of 2,,38-40,,
3:31.0,Offensive rebound by Team,,38-40,,
3:31.0,M. Gortat makes free throw 2 of 2,1,39-40,,
3:19.0,,,39-40,,J. Butler misses 2-pt shot from 1 ft
3:17.0,,,39-40,,Offensive rebound by J. Butler
3:15.0,,,39-42,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
2:54.0,M. Gortat makes 2-pt shot at rim (assist by M. Morris),2,41-42,,
2:35.0,,,41-44,2,K. Towns makes 2-pt shot at rim (assist by J. Butler)
2:18.0,B. Beal misses 2-pt shot from 3 ft,,41-44,,
2:15.0,,,41-44,,Defensive rebound by K. Towns
2:07.0,,,41-44,,A. Wiggins misses 2-pt shot from 19 ft
2:05.0,Defensive rebound by M. Gortat,,41-44,,
1:55.0,O. Porter misses 2-pt shot from 5 ft,,41-44,,
1:53.0,,,41-44,,Defensive rebound by K. Towns
1:48.0,,,41-47,3,T. Jones makes 3-pt shot from 25 ft (assist by J. Butler)
1:34.0,B. Beal makes 2-pt shot at rim (assist by M. Gortat),2,43-47,,
1:29.0,,,43-47,,Shooting foul by K. Oubre (drawn by J. Butler)
1:29.0,,,43-48,1,J. Butler makes free throw 1 of 2
1:29.0,T. Satoransky enters the game for K. Oubre,,43-48,,
1:29.0,,,43-49,1,J. Butler makes free throw 2 of 2
1:15.0,O. Porter misses 3-pt shot from 23 ft,,43-49,,
1:12.0,,,43-49,,Defensive rebound by K. Towns
0:54.0,,,43-49,,A. Wiggins misses 2-pt shot from 18 ft
0:52.0,Defensive rebound by T. Satoransky,,43-49,,
0:45.0,M. Gortat misses 2-pt shot from 10 ft,,43-49,,
0:42.0,,,43-49,,Defensive rebound by T. Jones
0:28.0,,,43-51,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
0:07.0,O. Porter misses 3-pt shot from 24 ft,,43-51,,
0:03.0,Offensive rebound by M. Morris,,43-51,,
0:02.0,Offensive foul by M. Morris (drawn by K. Towns),,43-51,,
0:02.0,Turnover by M. Morris (offensive foul),,43-51,,
0:02.0,M. Scott enters the game for M. Morris,,43-51,,
0:00.0,,,43-51,,J. Butler misses 3-pt shot from 40 ft
0:00.0,,,43-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,M. Morris misses 3-pt shot from 22 ft,,43-51,,
11:44.0,,,43-51,,Defensive rebound by K. Towns
11:25.0,,,43-51,,T. Jones misses 3-pt shot from 27 ft
11:22.0,Defensive rebound by B. Beal,,43-51,,
11:19.0,B. Beal misses 2-pt shot from 14 ft,,43-51,,
11:16.0,,,43-51,,Defensive rebound by J. Butler
11:04.0,,,43-54,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Butler)
10:46.0,M. Gortat misses 2-pt shot from 3 ft,,43-54,,
10:44.0,,,43-54,,Defensive rebound by K. Towns
10:29.0,,,43-54,,T. Gibson misses 2-pt shot from 8 ft
10:26.0,Defensive rebound by M. Morris,,43-54,,
10:20.0,Turnover by O. Porter (bad pass; steal by J. Butler),,43-54,,
10:15.0,,,43-54,,A. Wiggins misses 2-pt shot from 1 ft
10:12.0,,,43-54,,Offensive rebound by K. Towns
10:12.0,,,43-54,,K. Towns misses 2-pt shot from 1 ft (block by B. Beal)
10:12.0,Defensive rebound by M. Gortat,,43-54,,
10:06.0,T. Frazier misses 2-pt shot from 4 ft (block by A. Wiggins),,43-54,,
10:03.0,,,43-54,,Defensive rebound by T. Jones
10:01.0,Personal foul by O. Porter (drawn by T. Jones),,43-54,,
9:51.0,,,43-54,,Shooting foul by B. Beal (drawn by J. Butler)
9:51.0,,,43-55,1,J. Butler makes free throw 2 of 2
9:51.0,,,43-56,1,J. Butler makes free throw 1 of 2
9:42.0,O. Porter makes 3-pt shot from 24 ft (assist by T. Frazier),3,46-56,,
9:20.0,,,46-56,,T. Jones misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by M. Gortat,,46-56,,
9:00.0,M. Morris makes 2-pt shot from 4 ft,2,48-56,,
8:36.0,,,48-56,,K. Towns misses 2-pt shot from 1 ft
8:34.0,Defensive rebound by T. Frazier,,48-56,,
8:31.0,O. Porter makes 3-pt shot from 25 ft (assist by T. Frazier),3,51-56,,
8:29.0,,,51-56,,Minnesota full timeout
