time,Utah,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. R. Gobert (D. Favors gains possession),,,,Jump ball: B. Lopez vs. R. Gobert (D. Favors gains possession)
11:44.0,J. Ingles makes 2-pt shot from 1 ft (assist by R. Gobert),2,2-0,,
11:28.0,,,2-0,,J. Hart misses 3-pt shot from 26 ft
11:25.0,Defensive rebound by R. Rubio,,2-0,,
11:18.0,D. Favors makes 2-pt shot from 21 ft (assist by J. Ingles),2,4-0,,
11:09.0,,,4-0,,A. Caruso misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by D. Mitchell,,4-0,,
10:55.0,R. Rubio makes 3-pt shot from 25 ft (assist by D. Favors),3,7-0,,
10:39.0,,,7-0,,J. Randle misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by R. Rubio,,7-0,,
10:35.0,Offensive charge foul by R. Gobert (drawn by J. Hart),,7-0,,
10:35.0,Turnover by R. Gobert (offensive foul),,7-0,,
10:20.0,,,7-0,,J. Randle misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by J. Ingles,,7-0,,
10:08.0,Turnover by R. Gobert (lost ball; steal by J. Hart),,7-0,,
10:03.0,,,7-2,2,J. Hart makes 2-pt shot from 1 ft
9:44.0,R. Rubio misses 3-pt shot from 26 ft,,7-2,,
9:41.0,,,7-2,,Defensive rebound by A. Caruso
9:38.0,,,7-4,2,J. Hart makes 2-pt shot at rim (assist by A. Caruso)
9:20.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles),2,9-4,,
9:08.0,,,9-4,,B. Lopez misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by D. Favors,,9-4,,
8:57.0,D. Mitchell makes 3-pt shot from 26 ft (assist by R. Rubio),3,12-4,,
8:44.0,,,12-4,,Turnover by A. Caruso (bad pass; steal by D. Mitchell)
8:31.0,D. Favors misses 2-pt shot at rim,,12-4,,
8:31.0,Offensive rebound by D. Favors,,12-4,,
8:31.0,D. Favors misses 2-pt shot at rim,,12-4,,
8:31.0,Offensive rebound by Team,,12-4,,
8:31.0,,,12-4,,Loose ball foul by J. Randle (drawn by D. Favors)
8:25.0,J. Ingles misses 3-pt shot from 25 ft,,12-4,,
8:21.0,,,12-4,,Defensive rebound by K. Caldwell-Pope
8:04.0,,,12-4,,Turnover by J. Hart (bad pass; steal by R. Rubio)
7:59.0,D. Mitchell misses 2-pt shot from 1 ft (block by J. Hart),,12-4,,
7:58.0,Offensive rebound by Team,,12-4,,
7:47.0,,,12-4,,Personal block foul by K. Caldwell-Pope (drawn by D. Mitchell)
7:35.0,J. Ingles makes 2-pt shot from 1 ft,2,14-4,,
