time,New Orleans,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. A. Davis (D. Cousins gains possession),,,,Jump ball: J. Nurkic vs. A. Davis (D. Cousins gains possession)
11:46.0,,,0-0,,Personal foul by M. Harkless (drawn by A. Davis)
11:32.0,Turnover by J. Holiday (lost ball; steal by J. Nurkic),,0-0,,
11:13.0,Shooting block foul by D. Cunningham (drawn by M. Harkless),,0-0,,
11:13.0,,,0-1,1,M. Harkless makes free throw 1 of 2
11:13.0,,,0-2,1,M. Harkless makes free throw 2 of 2
11:06.0,D. Cousins makes 2-pt shot at rim (assist by J. Holiday),2,2-2,,
10:47.0,,,2-4,2,J. Nurkic makes 2-pt shot from 10 ft (assist by A. Aminu)
10:30.0,J. Holiday makes 2-pt shot from 3 ft,2,4-4,,
10:19.0,,,4-4,,D. Lillard misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by A. Davis,,4-4,,
10:11.0,J. Holiday misses 2-pt shot from 16 ft,,4-4,,
10:06.0,,,4-4,,Defensive rebound by M. Harkless
9:57.0,,,4-7,3,C. McCollum makes 3-pt shot from 24 ft
9:39.0,D. Cousins misses 3-pt shot from 25 ft,,4-7,,
9:37.0,,,4-7,,Defensive rebound by J. Nurkic
9:22.0,,,4-7,,C. McCollum misses 2-pt shot from 10 ft
9:19.0,,,4-7,,Offensive rebound by J. Nurkic
9:19.0,,,4-9,2,J. Nurkic makes 2-pt shot at rim
9:11.0,A. Davis misses 2-pt shot from 7 ft,,4-9,,
9:09.0,,,4-9,,Defensive rebound by C. McCollum
9:00.0,,,4-9,,Turnover by M. Harkless (step out of bounds)
8:50.0,D. Cunningham misses 3-pt shot from 22 ft,,4-9,,
8:47.0,,,4-9,,Defensive rebound by J. Nurkic
8:35.0,,,4-9,,D. Lillard misses 3-pt shot from 25 ft
8:33.0,,,4-9,,Offensive rebound by A. Aminu
8:32.0,,,4-9,,Turnover by J. Nurkic (turnover)
8:20.0,J. Holiday misses 2-pt shot from 1 ft (block by M. Harkless),,4-9,,
8:20.0,,,4-9,,Turnover by J. Nurkic (bad pass; steal by E. Moore)
8:17.0,,,4-9,,Offensive rebound by J. Nurkic
8:14.0,A. Davis makes 2-pt shot from 1 ft (assist by E. Moore),2,6-9,,
7:51.0,,,6-9,,C. McCollum misses 2-pt shot from 22 ft (block by A. Davis)
7:49.0,Defensive rebound by D. Cousins,,6-9,,
7:49.0,Turnover by D. Cousins (bad pass),,6-9,,
7:35.0,Violation by J. Holiday (kicked ball),,6-9,,
7:24.0,Loose ball foul by D. Cunningham (drawn by J. Nurkic),,6-9,,
