time,New Orleans,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Nance vs. A. Davis (R. Rondo gains possession),,,,Jump ball: L. Nance vs. A. Davis (R. Rondo gains possession)
11:34.0,A. Davis misses 2-pt shot from 15 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by L. Nance
11:20.0,,,0-0,,K. Love misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by J. Holiday,,0-0,,
11:16.0,Turnover by J. Holiday (bad pass),,0-0,,
11:02.0,,,0-0,,K. Love misses 2-pt shot from 17 ft
10:59.0,,,0-0,,Offensive rebound by Team
10:44.0,,,0-2,2,L. James makes 2-pt shot at rim
10:32.0,R. Rondo makes 2-pt shot from 14 ft (assist by E. Moore),2,2-2,,
10:24.0,,,2-4,2,R. Hood makes 2-pt shot at rim
10:15.0,R. Rondo misses 2-pt shot at rim,,2-4,,
10:12.0,,,2-4,,Defensive rebound by K. Love
10:09.0,,,2-6,2,L. James makes 2-pt shot at rim (assist by K. Love)
10:00.0,J. Holiday makes 2-pt shot from 14 ft,2,4-6,,
9:55.0,Personal foul by J. Holiday (drawn by L. Nance),,4-6,,
9:43.0,Def 3 sec tech foul by E. Moore,,4-6,,
9:43.0,,,4-7,1,K. Love makes technical free throw
9:43.0,S. Hill enters the game for E. Moore,,4-7,,
9:39.0,,,4-7,,Turnover by L. Nance (bad pass; steal by A. Davis)
9:34.0,Turnover by R. Rondo (bad pass; steal by L. James),,4-7,,
9:27.0,,,4-9,2,R. Hood makes 2-pt shot from 1 ft (assist by L. James)
9:19.0,New Orleans full timeout,,4-9,,
9:08.0,J. Holiday misses 2-pt shot from 12 ft,,4-9,,
9:03.0,Offensive rebound by E. Okafor,,4-9,,
9:03.0,E. Okafor misses 2-pt shot at rim,,4-9,,
9:03.0,Offensive rebound by E. Okafor,,4-9,,
8:59.0,E. Okafor makes 2-pt shot at rim,2,6-9,,
8:51.0,,,6-9,,Turnover by K. Love (bad pass; steal by J. Holiday)
8:41.0,Turnover by R. Rondo (bad pass; steal by L. Nance),,6-9,,
8:38.0,Personal foul by E. Okafor (drawn by K. Love),,6-9,,
8:38.0,N. Mirotic enters the game for E. Okafor,,6-9,,
8:35.0,,,6-12,3,R. Hood makes 3-pt shot from 25 ft (assist by L. Nance)
8:16.0,A. Davis misses 2-pt shot from 11 ft,,6-12,,
8:16.0,,,6-12,,Defensive rebound by Team
8:16.0,Loose ball foul by J. Holiday (drawn by K. Love),,6-12,,
8:16.0,E. Moore enters the game for J. Holiday,,6-12,,
8:02.0,,,6-14,2,R. Hood makes 2-pt shot from 10 ft
8:00.0,,,6-14,,Personal foul by K. Love (drawn by R. Rondo)
7:48.0,E. Moore makes 3-pt shot from 23 ft (assist by S. Hill),3,9-14,,
7:33.0,,,9-14,,K. Love misses 3-pt shot from 23 ft
7:31.0,Defensive rebound by A. Davis,,9-14,,
7:16.0,A. Davis misses 2-pt shot from 1 ft,,9-14,,
7:11.0,Offensive rebound by N. Mirotic,,9-14,,
7:11.0,N. Mirotic misses 2-pt shot at rim,,9-14,,
7:10.0,,,9-14,,Defensive rebound by K. Love
7:07.0,,,9-16,2,L. James makes 2-pt shot at rim
7:07.0,,,9-16,,Shooting foul by S. Hill (drawn by L. James)
7:07.0,,,9-17,1,L. James makes free throw 1 of 1
6:53.0,N. Mirotic makes 3-pt shot from 23 ft (assist by S. Hill),3,12-17,,
6:48.0,,,12-19,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
6:41.0,New Orleans full timeout,,12-19,,
6:26.0,S. Hill makes 3-pt shot from 25 ft (assist by R. Rondo),3,15-19,,
5:59.0,,,15-21,2,L. James makes 2-pt shot from 1 ft
5:43.0,A. Davis misses 2-pt shot from 15 ft,,15-21,,
5:40.0,,,15-21,,Defensive rebound by K. Love
5:28.0,,,15-21,,K. Love misses 3-pt shot from 23 ft
5:25.0,Defensive rebound by S. Hill,,15-21,,
5:22.0,E. Moore misses 3-pt shot from 26 ft,,15-21,,
5:19.0,,,15-21,,Defensive rebound by L. Nance
4:55.0,,,15-21,,L. Nance misses 2-pt shot from 2 ft
4:53.0,Defensive rebound by S. Hill,,15-21,,
4:49.0,,,15-21,,Personal foul by L. Nance (drawn by A. Davis)
4:49.0,,,15-21,,J. Green enters the game for K. Love
4:49.0,,,15-21,,J. Clarkson enters the game for G. Hill
4:38.0,N. Mirotic makes 2-pt shot from 16 ft (assist by R. Rondo),2,17-21,,
4:24.0,,,17-21,,R. Hood misses 2-pt shot from 9 ft
4:22.0,Defensive rebound by Team,,17-21,,
4:22.0,,,17-21,,Loose ball foul by L. Nance (drawn by E. Moore)
4:22.0,,,17-21,,J. Smith enters the game for R. Hood
4:22.0,,,17-21,,T. Thompson enters the game for L. Nance
4:10.0,A. Davis misses 2-pt shot from 14 ft,,17-21,,
4:08.0,,,17-21,,Defensive rebound by J. Clarkson
3:59.0,,,17-21,,J. Clarkson misses 2-pt shot from 14 ft
3:57.0,Defensive rebound by R. Rondo,,17-21,,
3:54.0,R. Rondo makes 2-pt shot from 2 ft,2,19-21,,
3:38.0,Personal foul by R. Rondo (drawn by J. Smith),,19-21,,
3:38.0,,,19-21,,J. Smith misses free throw 1 of 2
3:38.0,,,19-21,,Offensive rebound by Team
3:38.0,,,19-22,1,J. Smith makes free throw 2 of 2
3:28.0,Shooting foul by J. Clarkson (drawn by R. Rondo),,19-22,,
3:28.0,R. Rondo makes free throw 1 of 2,1,20-22,,
3:28.0,D. Miller enters the game for S. Hill,,20-22,,
3:28.0,R. Rondo misses free throw 2 of 2,,20-22,,
3:25.0,,,20-22,,Defensive rebound by T. Thompson
3:14.0,I. Clark enters the game for R. Rondo,,20-22,,
3:05.0,,,20-22,,J. Smith misses 2-pt shot from 11 ft
3:03.0,,,20-22,,Offensive rebound by T. Thompson
2:55.0,,,20-22,,L. James misses 2-pt shot from 6 ft
2:51.0,Defensive rebound by N. Mirotic,,20-22,,
2:39.0,,,20-22,,Personal foul by J. Green (drawn by A. Davis)
2:39.0,A. Davis makes free throw 1 of 2,1,21-22,,
2:39.0,A. Davis makes free throw 2 of 2,1,22-22,,
2:23.0,,,22-22,,T. Thompson misses 2-pt shot from 9 ft
2:21.0,Defensive rebound by A. Davis,,22-22,,
2:16.0,I. Clark makes 3-pt shot from 24 ft,3,25-22,,
1:57.0,,,25-24,2,J. Clarkson makes 2-pt shot from 13 ft
1:45.0,E. Moore misses 2-pt shot from 11 ft,,25-24,,
1:42.0,,,25-24,,Defensive rebound by T. Thompson
1:41.0,,,25-24,,Turnover by L. James (bad pass)
