time,Sacramento,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. K. Koufos (W. Cauley-Stein gains possession),,,,Jump ball: J. Valanciunas vs. K. Koufos (W. Cauley-Stein gains possession)
11:38.0,G. Temple makes 2-pt shot from 15 ft,2,2-0,,
11:23.0,,,2-3,3,C. Miles makes 3-pt shot from 28 ft (assist by D. DeRozan)
10:58.0,V. Carter makes 2-pt shot from 17 ft (assist by K. Koufos),2,4-3,,
10:38.0,,,4-6,3,O. Anunoby makes 3-pt shot from 26 ft (assist by J. Valanciunas)
10:20.0,V. Carter misses 2-pt shot from 16 ft,,4-6,,
10:18.0,,,4-6,,Defensive rebound by J. Valanciunas
10:07.0,,,4-6,,J. Valanciunas misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by W. Cauley-Stein,,4-6,,
9:57.0,G. Temple makes 2-pt shot from 5 ft (assist by K. Koufos),2,6-6,,
9:31.0,,,6-6,,C. Miles misses 3-pt shot from 25 ft
9:28.0,,,6-6,,Offensive rebound by J. Valanciunas
9:28.0,,,6-6,,J. Valanciunas misses 2-pt shot at rim (block by W. Cauley-Stein)
9:28.0,,,6-6,,Offensive rebound by Team
9:23.0,,,6-9,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
9:03.0,G. Hill makes 2-pt shot at rim,2,8-9,,
8:50.0,,,8-9,,Shooting foul by V. Carter (drawn by C. Miles)
8:50.0,,,8-10,1,C. Miles makes free throw 1 of 2
8:50.0,,,8-11,1,C. Miles makes free throw 2 of 2
8:43.0,G. Temple misses 3-pt shot from 30 ft,,8-11,,
8:39.0,Offensive rebound by K. Koufos,,8-11,,
8:32.0,Turnover by G. Temple (bad pass; steal by K. Lowry),,8-11,,
8:27.0,,,8-11,,D. DeRozan misses 2-pt shot from 3 ft (block by V. Carter)
8:24.0,Defensive rebound by K. Koufos,,8-11,,
8:21.0,W. Cauley-Stein makes 2-pt shot at rim (assist by G. Temple),2,10-11,,
8:01.0,,,10-14,3,O. Anunoby makes 3-pt shot from 26 ft (assist by J. Valanciunas)
7:50.0,,,10-14,,Personal foul by C. Miles (drawn by V. Carter)
7:41.0,Shooting foul by O. Anunoby (drawn by W. Cauley-Stein),,10-14,,
7:41.0,W. Cauley-Stein makes free throw 1 of 2,1,11-14,,
7:41.0,W. Cauley-Stein makes free throw 2 of 2,1,12-14,,
7:22.0,,,12-14,,J. Valanciunas misses 2-pt shot from 3 ft
7:22.0,,,12-14,,Offensive rebound by J. Valanciunas
7:22.0,,,12-14,,Shooting foul by W. Cauley-Stein (drawn by J. Valanciunas)
7:22.0,,,12-15,1,J. Valanciunas makes free throw 1 of 2
7:22.0,,,12-16,1,J. Valanciunas makes free throw 2 of 2
7:11.0,G. Temple makes 2-pt shot from 18 ft (assist by K. Koufos),2,14-16,,
6:58.0,Personal foul by V. Carter (drawn by O. Anunoby),,14-16,,
6:58.0,,,14-16,,Toronto full timeout
6:47.0,,,14-16,,K. Lowry misses 3-pt shot from 30 ft
6:43.0,Defensive rebound by W. Cauley-Stein,,14-16,,
6:27.0,Shooting foul by O. Anunoby (drawn by G. Temple),,14-16,,
6:27.0,G. Temple makes free throw 1 of 2,1,15-16,,
6:27.0,,,15-16,,P. Siakam enters the game for O. Anunoby
6:27.0,G. Temple makes free throw 2 of 2,1,16-16,,
6:16.0,,,16-18,2,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry)
6:04.0,K. Koufos makes 2-pt shot from 1 ft (assist by G. Hill),2,18-18,,
5:53.0,,,18-18,,Turnover by D. DeRozan (bad pass)
5:53.0,B. Bogdanovic enters the game for V. Carter,,18-18,,
5:38.0,Shooting foul by C. Miles (drawn by G. Hill),,18-18,,
5:38.0,G. Hill misses free throw 1 of 2,,18-18,,
5:38.0,Offensive rebound by Team,,18-18,,
5:38.0,,,18-18,,N. Powell enters the game for C. Miles
5:38.0,G. Hill misses free throw 2 of 2,,18-18,,
5:34.0,,,18-18,,Defensive rebound by P. Siakam
5:19.0,,,18-20,2,J. Valanciunas makes 2-pt shot from 4 ft
4:58.0,K. Koufos makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,20-20,,
4:48.0,,,20-22,2,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry)
4:30.0,G. Hill misses 2-pt shot from 6 ft,,20-22,,
4:26.0,,,20-22,,Defensive rebound by K. Lowry
4:19.0,,,20-22,,Shooting foul by G. Temple (drawn by D. DeRozan)
4:19.0,,,20-22,,D. DeRozan misses free throw 1 of 2
4:19.0,,,20-22,,Offensive rebound by Team
4:19.0,,,20-22,,J. Poeltl enters the game for J. Valanciunas
4:19.0,G. Papagiannis enters the game for K. Koufos,,20-22,,
4:19.0,,,20-23,1,D. DeRozan makes free throw 2 of 2
3:59.0,G. Temple makes 2-pt shot from 13 ft (assist by W. Cauley-Stein),2,22-23,,
3:40.0,Personal foul by G. Temple (drawn by N. Powell),,22-23,,
3:40.0,,,22-24,1,N. Powell makes free throw 1 of 2
3:40.0,,,22-25,1,N. Powell makes free throw 2 of 2
3:21.0,G. Papagiannis makes 2-pt shot from 10 ft,2,24-25,,
3:04.0,,,24-27,2,D. DeRozan makes 2-pt shot from 11 ft
2:44.0,B. Bogdanovic makes 2-pt shot from 12 ft,2,26-27,,
2:26.0,,,26-29,2,J. Poeltl makes 2-pt shot from 1 ft (assist by D. DeRozan)
2:18.0,Sacramento full timeout,,26-29,,
2:18.0,,,26-29,,F. VanVleet enters the game for K. Lowry
