time,Sacramento,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Rabb vs. W. Cauley-Stein (J. Sampson gains possession),,,,Jump ball: I. Rabb vs. W. Cauley-Stein (J. Sampson gains possession)
11:45.0,J. Jackson makes 2-pt shot from 14 ft (assist by B. Bogdanovic),2,2-0,,
11:17.0,,,2-0,,D. Brooks misses 2-pt shot from 13 ft
11:17.0,,,2-0,,Offensive rebound by Team
11:14.0,,,2-0,,M. Brooks misses 2-pt shot from 16 ft
11:12.0,,,2-0,,Offensive rebound by I. Rabb
11:07.0,,,2-3,3,D. Brooks makes 3-pt shot from 23 ft (assist by K. Simmons)
10:43.0,J. Sampson makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,4-3,,
10:16.0,,,4-3,,B. McLemore misses 2-pt shot from 18 ft
10:14.0,Defensive rebound by D. Fox,,4-3,,
10:07.0,D. Fox misses 2-pt shot from 6 ft,,4-3,,
10:06.0,,,4-3,,Defensive rebound by I. Rabb
10:01.0,,,4-3,,Turnover by M. Brooks (lost ball; steal by W. Cauley-Stein)
9:57.0,D. Fox makes 2-pt shot at rim (assist by W. Cauley-Stein),2,6-3,,
9:31.0,,,6-3,,K. Simmons misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
9:28.0,Defensive rebound by J. Sampson,,6-3,,
9:19.0,Turnover by B. Bogdanovic (bad pass),,6-3,,
9:00.0,,,6-5,2,M. Brooks makes 2-pt shot from 20 ft
8:42.0,W. Cauley-Stein makes 2-pt shot at rim,2,8-5,,
8:24.0,Personal foul by J. Jackson (drawn by M. Brooks),,8-5,,
8:18.0,,,8-5,,B. McLemore misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by W. Cauley-Stein,,8-5,,
8:04.0,J. Sampson makes 2-pt shot at rim (assist by W. Cauley-Stein),2,10-5,,
7:52.0,,,10-8,3,D. Brooks makes 3-pt shot from 25 ft (assist by K. Simmons)
7:41.0,J. Sampson misses 2-pt shot from 20 ft,,10-8,,
7:39.0,,,10-8,,Defensive rebound by I. Rabb
7:27.0,,,10-10,2,M. Brooks makes 2-pt shot from 7 ft (assist by D. Brooks)
7:08.0,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Bogdanovic),2,12-10,,
6:47.0,,,12-10,,Turnover by K. Simmons (offensive goaltending)
6:47.0,,,12-10,,Memphis full timeout
6:47.0,,,12-10,,D. Davis enters the game for I. Rabb
6:29.0,J. Sampson misses 2-pt shot from 7 ft,,12-10,,
6:26.0,,,12-10,,Defensive rebound by D. Davis
6:17.0,,,12-10,,M. Brooks misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by D. Fox,,12-10,,
6:11.0,D. Fox misses 2-pt shot from 1 ft (block by M. Brooks),,12-10,,
6:11.0,Offensive rebound by Team,,12-10,,
6:00.0,B. Bogdanovic makes 2-pt shot from 12 ft (assist by D. Fox),2,14-10,,
5:45.0,,,14-10,,Shooting foul by B. Bogdanovic (drawn by D. Brooks)
5:45.0,,,14-10,,D. Brooks misses free throw 1 of 2
5:45.0,,,14-10,,Offensive rebound by Team
5:45.0,,,14-10,,M. Henry enters the game for B. McLemore
5:45.0,,,14-10,,D. Brooks misses free throw 2 of 2
5:43.0,Defensive rebound by J. Jackson,,14-10,,
5:32.0,B. Bogdanovic misses 2-pt shot from 1 ft,,14-10,,
5:30.0,,,14-10,,Defensive rebound by M. Brooks
5:22.0,,,14-10,,M. Brooks misses 2-pt shot from 22 ft
5:20.0,Defensive rebound by J. Sampson,,14-10,,
5:08.0,J. Jackson misses 3-pt shot from 22 ft,,14-10,,
5:05.0,,,14-10,,Defensive rebound by D. Brooks
4:55.0,Violation by W. Cauley-Stein (kicked ball),,14-10,,
4:55.0,B. Hield enters the game for B. Bogdanovic,,14-10,,
4:55.0,N. Hayes enters the game for J. Sampson,,14-10,,
4:48.0,,,14-12,2,M. Brooks makes 2-pt shot at rim (assist by D. Brooks)
4:38.0,,,14-12,,Personal foul by K. Simmons (drawn by D. Fox)
4:25.0,D. Fox misses 2-pt shot from 9 ft,,14-12,,
4:23.0,,,14-12,,Defensive rebound by D. Davis
4:15.0,,,14-12,,D. Brooks misses 3-pt shot from 27 ft
4:11.0,Defensive rebound by D. Fox,,14-12,,
3:58.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,16-12,,
3:47.0,,,16-12,,K. Simmons misses 2-pt shot from 1 ft
3:45.0,Defensive rebound by W. Cauley-Stein,,16-12,,
