time,Utah,pts.away,score,pts.home,Minnesota
0:06.0,J. Crowder makes 2-pt shot from 1 ft (assist by D. Exum),2,28-24,,
0:04.0,Personal take foul by D. Exum (drawn by T. Jones),,28-24,,
0:04.0,,,28-24,,A. Brooks enters the game for T. Jones
0:00.0,,,28-26,2,A. Brooks makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Crowder misses 3-pt shot from 24 ft,,28-26,,
11:38.0,,,28-26,,Defensive rebound by G. Dieng
11:23.0,,,28-28,2,A. Brooks makes 2-pt shot from 1 ft
11:06.0,J. Jerebko makes 2-pt shot from 1 ft (assist by J. Ingles),2,30-28,,
10:52.0,,,30-28,,A. Brooks misses 3-pt shot from 27 ft
10:50.0,Defensive rebound by J. Crowder,,30-28,,
10:38.0,,,30-28,,Personal foul by A. Brooks (drawn by D. Exum)
10:32.0,J. Ingles makes 3-pt shot from 25 ft,3,33-28,,
10:13.0,,,33-30,2,K. Towns makes 2-pt shot at rim (assist by A. Brooks)
9:58.0,D. Favors makes 2-pt shot from 15 ft (assist by J. Ingles),2,35-30,,
9:40.0,,,35-30,,Turnover by N. Bjelica (lost ball; steal by J. Crowder)
9:38.0,,,35-30,,Personal take foul by G. Dieng (drawn by J. Crowder)
9:38.0,R. O'Neale enters the game for J. Crowder,,35-30,,
9:32.0,D. Exum makes 2-pt shot from 1 ft,2,37-30,,
9:20.0,,,37-30,,K. Towns misses 3-pt shot from 26 ft
9:17.0,Defensive rebound by R. O'Neale,,37-30,,
9:04.0,J. Jerebko misses 3-pt shot from 24 ft,,37-30,,
9:00.0,,,37-30,,Defensive rebound by N. Bjelica
8:53.0,,,37-30,,J. Crawford misses 2-pt shot from 16 ft
8:49.0,Defensive rebound by R. O'Neale,,37-30,,
8:35.0,J. Jerebko makes 2-pt shot from 20 ft (assist by J. Ingles),2,39-30,,
8:09.0,,,39-30,,A. Brooks misses 3-pt shot from 27 ft
8:03.0,Defensive rebound by J. Jerebko,,39-30,,
7:55.0,J. Jerebko makes 2-pt shot at rim (assist by J. Ingles),2,41-30,,
7:55.0,,,41-30,,Minnesota full timeout
7:55.0,,,41-30,,T. Jones enters the game for G. Dieng
7:55.0,,,41-30,,T. Gibson enters the game for N. Bjelica
7:55.0,,,41-30,,A. Wiggins enters the game for A. Brooks
7:55.0,R. Gobert enters the game for D. Favors,,41-30,,
7:38.0,,,41-32,2,K. Towns makes 2-pt shot from 7 ft
7:21.0,D. Exum makes 2-pt shot from 7 ft,2,43-32,,
7:06.0,,,43-34,2,K. Towns makes 2-pt shot from 2 ft (assist by T. Jones)
7:06.0,Shooting block foul by J. Jerebko (drawn by K. Towns),,43-34,,
7:06.0,,,43-35,1,K. Towns makes free throw 1 of 1
6:53.0,J. Jerebko makes 2-pt shot from 2 ft (assist by R. Gobert),2,45-35,,
6:38.0,,,45-37,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
6:36.0,Utah full timeout,,45-37,,
6:36.0,R. Rubio enters the game for J. Ingles,,45-37,,
6:36.0,D. Mitchell enters the game for J. Jerebko,,45-37,,
6:36.0,J. Crowder enters the game for D. Exum,,45-37,,
6:23.0,R. Rubio makes 3-pt shot from 25 ft (assist by D. Mitchell),3,48-37,,
6:06.0,,,48-37,,Turnover by T. Jones (bad pass; steal by D. Mitchell)
5:53.0,J. Crowder misses 3-pt shot from 22 ft,,48-37,,
5:51.0,,,48-37,,Defensive rebound by K. Towns
5:51.0,,,48-37,,Turnover by K. Towns (bad pass)
5:39.0,J. Crowder misses 2-pt shot from 3 ft,,48-37,,
5:36.0,Offensive rebound by R. Gobert,,48-37,,
5:35.0,R. Gobert makes 2-pt shot at rim,2,50-37,,
5:11.0,,,50-37,,A. Wiggins misses 2-pt shot from 20 ft
5:10.0,,,50-37,,Offensive rebound by Team
5:10.0,Loose ball foul by R. O'Neale (drawn by T. Gibson),,50-37,,
5:00.0,,,50-39,2,T. Jones makes 2-pt shot at rim
5:00.0,,,50-39,,Shooting foul by R. Rubio (drawn by T. Jones)
5:00.0,D. Favors enters the game for R. O'Neale,,50-39,,
5:00.0,,,50-40,1,T. Jones makes free throw 1 of 1
4:51.0,D. Mitchell misses 3-pt shot from 26 ft,,50-40,,
4:49.0,,,50-40,,Defensive rebound by J. Crawford
4:43.0,,,50-42,2,J. Crawford makes 2-pt shot from 12 ft
4:28.0,R. Rubio misses 2-pt shot from 16 ft,,50-42,,
4:26.0,,,50-42,,Defensive rebound by K. Towns
4:21.0,,,50-42,,T. Gibson misses 2-pt shot from 5 ft
4:20.0,,,50-42,,Offensive rebound by K. Towns
4:19.0,,,50-42,,Shooting foul by R. Rubio (drawn by K. Towns)
4:19.0,,,50-43,1,K. Towns makes free throw 1 of 2
4:19.0,,,50-44,1,K. Towns makes free throw 2 of 2
4:09.0,Turnover by D. Mitchell (traveling),,50-44,,
3:53.0,,,50-44,,A. Wiggins misses 3-pt shot from 27 ft
3:51.0,Defensive rebound by R. Rubio,,50-44,,
3:45.0,Shooting foul by T. Gibson (drawn by R. Gobert),,50-44,,
3:45.0,R. Gobert misses free throw 1 of 2,,50-44,,
3:45.0,Offensive rebound by Team,,50-44,,
3:45.0,J. Ingles enters the game for J. Crowder,,50-44,,
3:45.0,R. Gobert misses free throw 2 of 2,,50-44,,
3:43.0,,,50-44,,Defensive rebound by T. Gibson
3:34.0,,,50-44,,K. Towns misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by R. Gobert,,50-44,,
3:20.0,R. Rubio makes 3-pt shot from 22 ft (assist by J. Ingles),3,53-44,,
2:57.0,,,53-44,,T. Gibson misses 2-pt shot from 11 ft
2:53.0,Defensive rebound by R. Gobert,,53-44,,
2:50.0,Turnover by R. Gobert (bad pass; steal by A. Wiggins),,53-44,,
2:43.0,,,53-46,2,K. Towns makes 2-pt shot at rim (assist by T. Jones)
2:19.0,J. Ingles misses 3-pt shot from 23 ft,,53-46,,
2:16.0,Offensive rebound by D. Favors,,53-46,,
2:14.0,R. Rubio makes 3-pt shot from 25 ft (assist by D. Favors),3,56-46,,
1:59.0,,,56-48,2,A. Wiggins makes 2-pt shot at rim
1:59.0,,,56-48,,Shooting foul by R. Gobert (drawn by A. Wiggins)
1:59.0,,,56-48,,A. Wiggins misses free throw 1 of 1
1:59.0,Defensive rebound by R. Gobert,,56-48,,
1:43.0,Turnover by D. Mitchell (traveling),,56-48,,
1:30.0,,,56-50,2,A. Wiggins makes 2-pt shot from 7 ft
1:12.0,Turnover by D. Mitchell (bad pass; steal by T. Jones),,56-50,,
1:11.0,,,56-50,,T. Jones misses 2-pt shot at rim
1:10.0,Defensive rebound by Team,,56-50,,
0:52.0,D. Mitchell makes 2-pt shot from 9 ft,2,58-50,,
0:42.0,,,58-50,,J. Crawford misses 2-pt shot from 19 ft
0:39.0,Defensive rebound by D. Favors,,58-50,,
0:33.0,R. Rubio makes 3-pt shot from 27 ft (assist by J. Ingles),3,61-50,,
0:25.0,,,61-50,,T. Jones misses 2-pt shot from 1 ft (block by R. Rubio)
0:23.0,,,61-50,,Offensive rebound by Team
0:12.0,,,61-50,,T. Jones misses 2-pt shot from 3 ft
0:09.0,Defensive rebound by R. Gobert,,61-50,,
0:01.0,D. Mitchell misses 2-pt shot from 12 ft,,61-50,,
0:01.0,,,61-50,,Defensive rebound by T. Gibson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Mitchell makes 2-pt shot from 7 ft (assist by R. Rubio),2,63-50,,
11:24.0,,,63-53,3,T. Jones makes 3-pt shot from 22 ft (assist by A. Wiggins)
11:11.0,D. Mitchell makes 2-pt shot from 1 ft (assist by D. Favors),2,65-53,,
10:47.0,,,65-53,,T. Jones misses 3-pt shot from 28 ft
10:45.0,Defensive rebound by J. Ingles,,65-53,,
10:37.0,R. Rubio makes 2-pt shot from 2 ft,2,67-53,,
10:15.0,,,67-53,,N. Bjelica misses 2-pt shot from 14 ft
10:12.0,,,67-53,,Offensive rebound by T. Gibson
10:00.0,,,67-53,,A. Wiggins misses 2-pt shot from 16 ft
9:58.0,Defensive rebound by R. Rubio,,67-53,,
9:53.0,Shooting foul by T. Gibson (drawn by R. Gobert),,67-53,,
9:53.0,R. Gobert makes free throw 1 of 2,1,68-53,,
9:53.0,R. Gobert makes free throw 2 of 2,1,69-53,,
9:36.0,,,69-55,2,K. Towns makes 2-pt shot from 10 ft (assist by N. Bjelica)
9:15.0,D. Mitchell makes 2-pt shot from 8 ft,2,71-55,,
9:00.0,,,71-55,,T. Gibson misses 2-pt shot from 7 ft (block by R. Gobert)
8:58.0,Defensive rebound by R. Gobert,,71-55,,
8:42.0,D. Favors misses 3-pt shot from 23 ft,,71-55,,
8:38.0,,,71-55,,Defensive rebound by A. Wiggins
8:32.0,,,71-55,,A. Wiggins misses 2-pt shot from 7 ft (block by D. Favors)
8:31.0,,,71-55,,Offensive rebound by Team
8:18.0,,,71-55,,Minnesota full timeout
8:15.0,,,71-55,,N. Bjelica misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by J. Ingles,,71-55,,
8:03.0,R. Rubio misses 3-pt shot from 24 ft,,71-55,,
7:59.0,,,71-55,,Defensive rebound by N. Bjelica
7:53.0,,,71-55,,T. Jones misses 2-pt shot from 6 ft
7:52.0,Defensive rebound by Team,,71-55,,
7:41.0,Turnover by R. Rubio (bad pass; steal by T. Jones),,71-55,,
7:37.0,,,71-57,2,T. Jones makes 2-pt shot at rim
7:20.0,D. Mitchell makes 2-pt shot from 15 ft,2,73-57,,
7:05.0,,,73-57,,T. Gibson misses 2-pt shot from 17 ft
7:02.0,Defensive rebound by J. Ingles,,73-57,,
6:46.0,J. Ingles misses 3-pt shot from 25 ft,,73-57,,
6:44.0,,,73-57,,Defensive rebound by K. Towns
6:26.0,,,73-57,,A. Wiggins misses 2-pt shot from 13 ft
6:22.0,Defensive rebound by J. Ingles,,73-57,,
6:07.0,R. Rubio makes 3-pt shot from 22 ft (assist by J. Ingles),3,76-57,,
5:59.0,,,76-57,,Minnesota full timeout
5:59.0,J. Crowder enters the game for R. Gobert,,76-57,,
5:45.0,,,76-59,2,T. Jones makes 2-pt shot at rim
5:32.0,D. Favors misses 2-pt shot from 17 ft,,76-59,,
5:30.0,Offensive rebound by R. Rubio,,76-59,,
5:27.0,,,76-59,,Personal foul by N. Bjelica (drawn by J. Ingles)
5:23.0,J. Crowder makes 2-pt shot from 18 ft (assist by J. Ingles),2,78-59,,
5:08.0,,,78-62,3,T. Jones makes 3-pt shot from 22 ft (assist by A. Wiggins)
5:00.0,,,78-62,,Personal foul by N. Bjelica (drawn by D. Favors)
5:00.0,,,78-62,,J. Crawford enters the game for N. Bjelica
5:00.0,R. O'Neale enters the game for J. Ingles,,78-62,,
