time,Utah,pts.away,score,pts.home,Minnesota
2:10.0,G. Niang misses 3-pt shot from 23 ft,,116-90,,
2:06.0,,,116-90,,Defensive rebound by G. Dieng
1:58.0,,,116-92,2,J. Patton makes 2-pt shot from 10 ft (assist by A. Brooks)
1:43.0,Turnover by A. Burks (bad pass; steal by J. Patton),,116-92,,
1:34.0,,,116-92,,J. Patton misses 2-pt shot from 4 ft
1:32.0,Defensive rebound by A. Burks,,116-92,,
1:27.0,A. Burks makes 2-pt shot from 23 ft,2,118-92,,
1:19.0,,,118-92,,A. Brooks misses 2-pt shot from 10 ft
1:18.0,Defensive rebound by A. Burks,,118-92,,
1:16.0,Turnover by A. Burks (lost ball; steal by G. Dieng),,118-92,,
1:12.0,,,118-95,3,A. Brown makes 3-pt shot from 22 ft (assist by G. Dieng)
1:06.0,D. Stockton makes 3-pt shot from 27 ft,3,121-95,,
0:54.0,,,121-97,2,G. Dieng makes 2-pt shot from 1 ft (assist by A. Brown)
0:35.0,G. Niang misses 3-pt shot from 26 ft,,121-97,,
0:31.0,,,121-97,,Defensive rebound by A. Brooks
0:27.0,,,121-97,,A. Brooks misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by G. Niang,,121-97,,
0:01.0,Turnover by Team (shot clock),,121-97,,
