time,LA Clippers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. D. Jordan (M. Harrell gains possession),,,,Jump ball: M. Kleber vs. D. Jordan (M. Harrell gains possession)
11:33.0,A. Rivers misses 2-pt shot from 5 ft (block by D. Smith),,0-0,,
11:30.0,,,0-0,,Defensive rebound by M. Kleber
11:29.0,,,0-0,,Turnover by D. Smith (out of bounds lost ball)
11:11.0,Turnover by D. Jordan (bad pass),,0-0,,
10:56.0,,,0-0,,H. Barnes misses 2-pt shot from 9 ft
10:53.0,Defensive rebound by D. Jordan,,0-0,,
10:46.0,W. Johnson misses 2-pt shot from 16 ft,,0-0,,
10:44.0,,,0-0,,Defensive rebound by Team
10:44.0,Loose ball foul by M. Harrell (drawn by D. Nowitzki),,0-0,,
10:26.0,,,0-3,3,D. Nowitzki makes 3-pt shot from 27 ft (assist by H. Barnes)
10:17.0,L. Williams misses 2-pt shot from 15 ft,,0-3,,
10:16.0,Offensive rebound by Team,,0-3,,
10:07.0,D. Jordan misses 2-pt shot from 4 ft,,0-3,,
10:06.0,Offensive rebound by M. Harrell,,0-3,,
10:04.0,M. Harrell misses 2-pt shot at rim,,0-3,,
10:02.0,,,0-3,,Defensive rebound by H. Barnes
9:54.0,,,0-6,3,D. Smith makes 3-pt shot from 22 ft (assist by W. Matthews)
9:36.0,W. Johnson misses 2-pt shot from 20 ft,,0-6,,
9:36.0,,,0-6,,Defensive rebound by D. Smith
9:22.0,,,0-6,,H. Barnes misses 2-pt shot from 1 ft
9:22.0,,,0-6,,Offensive rebound by M. Kleber
9:19.0,,,0-6,,M. Kleber misses 2-pt shot from 4 ft
9:19.0,,,0-6,,Offensive rebound by H. Barnes
9:19.0,,,0-6,,Shooting foul by D. Jordan (drawn by H. Barnes)
9:19.0,,,0-7,1,H. Barnes makes free throw 1 of 2
9:19.0,,,0-8,1,H. Barnes makes free throw 2 of 2
9:01.0,Shooting foul by D. Smith (drawn by L. Williams),,0-8,,
9:01.0,L. Williams makes free throw 1 of 3,1,1-8,,
9:01.0,L. Williams makes free throw 2 of 3,1,2-8,,
8:49.0,,,2-10,2,H. Barnes makes 2-pt shot from 2 ft (assist by W. Matthews)
8:36.0,Turnover by W. Johnson (out of bounds lost ball),,2-10,,
8:20.0,,,2-10,,W. Matthews misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by M. Harrell,,2-10,,
8:05.0,L. Williams misses 2-pt shot from 1 ft (block by W. Matthews),,2-10,,
8:05.0,Offensive rebound by Team,,2-10,,
8:05.0,S. Dekker enters the game for M. Harrell,,2-10,,
7:57.0,W. Johnson makes 2-pt shot from 19 ft,2,4-10,,
7:36.0,,,4-10,,D. Smith misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by D. Jordan,,4-10,,
7:25.0,S. Dekker misses 3-pt shot from 23 ft,,4-10,,
7:22.0,Offensive rebound by D. Jordan,,4-10,,
7:22.0,D. Jordan makes 2-pt shot at rim,2,6-10,,
6:57.0,,,6-10,,W. Matthews misses 2-pt shot from 16 ft
6:55.0,,,6-10,,Offensive rebound by M. Kleber
6:51.0,,,6-12,2,W. Matthews makes 2-pt shot from 17 ft (assist by M. Kleber)
6:43.0,,,6-12,,Personal foul by M. Kleber (drawn by D. Jordan)
6:43.0,,,6-12,,Dallas full timeout
6:43.0,,,6-12,,Y. Ferrell enters the game for D. Smith
6:43.0,,,6-12,,S. Mejri enters the game for D. Nowitzki
6:38.0,A. Rivers misses 2-pt shot from 11 ft,,6-12,,
6:35.0,Offensive rebound by D. Jordan,,6-12,,
6:35.0,D. Jordan makes 2-pt shot at rim,2,8-12,,
6:20.0,,,8-12,,Y. Ferrell misses 3-pt shot from 26 ft
6:20.0,,,8-12,,Offensive rebound by Team
6:04.0,,,8-12,,H. Barnes misses 2-pt shot from 5 ft (block by D. Jordan)
6:02.0,,,8-12,,Offensive rebound by S. Mejri
6:01.0,,,8-12,,W. Matthews misses 3-pt shot from 26 ft
6:01.0,,,8-12,,Offensive rebound by M. Kleber
5:55.0,,,8-12,,H. Barnes misses 2-pt shot from 17 ft
5:53.0,Defensive rebound by D. Jordan,,8-12,,
5:43.0,L. Williams misses 2-pt shot from 15 ft,,8-12,,
