time,Portland,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. J. Nurkic (A. Aminu gains possession),,,,Jump ball: A. Len vs. J. Nurkic (A. Aminu gains possession)
11:45.0,M. Harkless makes 2-pt shot from 1 ft (assist by J. Nurkic),2,2-0,,
11:43.0,,,2-0,,Turnover by E. Payton (bad pass; steal by M. Harkless)
11:35.0,A. Aminu makes 2-pt shot at rim (assist by M. Harkless),2,4-0,,
11:25.0,,,4-0,,Shooting foul by C. McCollum (drawn by T. Warren)
11:25.0,,,4-0,,T. Warren misses free throw 1 of 2
11:25.0,,,4-0,,Offensive rebound by Team
11:25.0,,,4-1,1,T. Warren makes free throw 2 of 2
11:09.0,C. McCollum makes 2-pt shot from 11 ft,2,6-1,,
10:49.0,,,6-1,,Turnover by D. Booker (bad pass; steal by J. Nurkic)
10:42.0,Turnover by J. Nurkic (bad pass),,6-1,,
10:23.0,,,6-3,2,E. Payton makes 2-pt shot at rim
10:06.0,J. Nurkic makes 2-pt shot from 20 ft (assist by C. McCollum),2,8-3,,
10:00.0,,,8-6,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Payton)
9:52.0,,,8-6,,Personal foul by E. Payton (drawn by M. Harkless)
9:44.0,J. Nurkic misses 2-pt shot from 2 ft,,8-6,,
9:40.0,,,8-6,,Defensive rebound by A. Len
9:36.0,,,8-6,,Turnover by D. Bender (offensive goaltending)
9:24.0,J. Nurkic misses 2-pt shot from 6 ft,,8-6,,
9:22.0,,,8-6,,Defensive rebound by E. Payton
9:19.0,,,8-8,2,T. Warren makes 2-pt shot from 3 ft (assist by E. Payton)
8:51.0,A. Aminu misses 2-pt shot from 6 ft,,8-8,,
8:49.0,,,8-8,,Defensive rebound by D. Bender
8:45.0,,,8-11,3,D. Booker makes 3-pt shot from 25 ft
8:25.0,D. Lillard misses 3-pt shot from 26 ft,,8-11,,
8:23.0,,,8-11,,Defensive rebound by A. Len
8:15.0,,,8-11,,T. Warren misses 2-pt shot from 12 ft
8:13.0,Defensive rebound by D. Lillard,,8-11,,
8:05.0,D. Lillard misses 3-pt shot from 25 ft,,8-11,,
8:02.0,Offensive rebound by A. Aminu,,8-11,,
7:59.0,J. Nurkic misses 2-pt shot from 8 ft,,8-11,,
7:59.0,,,8-11,,Defensive rebound by E. Payton
7:51.0,,,8-13,2,E. Payton makes 2-pt shot from 7 ft
7:36.0,,,8-13,,Shooting block foul by D. Bender (drawn by C. McCollum)
7:36.0,C. McCollum makes free throw 1 of 2,1,9-13,,
7:36.0,C. McCollum makes free throw 2 of 2,1,10-13,,
