time,Atlanta,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. M. Plumlee (D. Augustin gains possession),,,,Jump ball: B. Biyombo vs. M. Plumlee (D. Augustin gains possession)
11:37.0,,,0-0,,M. Hezonja misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by D. Schroder,,0-0,,
11:22.0,E. Ilyasova makes 2-pt shot from 4 ft (assist by K. Bazemore),2,2-0,,
11:14.0,,,2-0,,D. Augustin misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by K. Bazemore,,2-0,,
11:05.0,Turnover by E. Ilyasova (traveling),,2-0,,
10:56.0,Personal block foul by K. Bazemore (drawn by E. Fournier),,2-0,,
10:49.0,,,2-0,,Turnover by M. Hezonja (out of bounds lost ball)
10:37.0,D. Schroder makes 3-pt shot from 25 ft,3,5-0,,
10:21.0,,,5-0,,M. Hezonja misses 3-pt shot from 26 ft
10:18.0,Defensive rebound by D. Schroder,,5-0,,
10:05.0,T. Waller-Prince misses 3-pt shot from 26 ft,,5-0,,
10:02.0,,,5-0,,Defensive rebound by D. Augustin
9:55.0,,,5-2,2,E. Fournier makes 2-pt shot from 7 ft (assist by D. Augustin)
9:39.0,Turnover by T. Waller-Prince (lost ball; steal by M. Hezonja),,5-2,,
9:37.0,,,5-2,,Shooting foul by D. Schroder (drawn by M. Hezonja)
9:37.0,,,5-3,1,M. Hezonja makes free throw 1 of 2
9:37.0,,,5-4,1,M. Hezonja makes free throw 2 of 2
9:26.0,K. Bazemore misses 3-pt shot from 27 ft,,5-4,,
9:20.0,,,5-4,,Defensive rebound by M. Hezonja
9:10.0,,,5-6,2,B. Biyombo makes 2-pt shot from 2 ft (assist by J. Simmons)
8:55.0,D. Schroder makes 3-pt shot from 26 ft (assist by M. Plumlee),3,8-6,,
8:41.0,,,8-8,2,D. Augustin makes 2-pt shot from 2 ft
8:33.0,Shooting foul by D. Augustin (drawn by D. Schroder),,8-8,,
8:33.0,D. Schroder makes free throw 1 of 2,1,9-8,,
8:33.0,D. Schroder makes free throw 2 of 2,1,10-8,,
8:21.0,,,10-10,2,J. Simmons makes 2-pt shot from 8 ft
8:05.0,K. Bazemore misses 2-pt shot from 9 ft,,10-10,,
8:02.0,,,10-10,,Defensive rebound by E. Fournier
7:54.0,,,10-12,2,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Fournier)
7:54.0,Atlanta full timeout,,10-12,,
7:41.0,Turnover by K. Bazemore (bad pass; steal by M. Hezonja),,10-12,,
7:38.0,,,10-12,,Shooting foul by E. Ilyasova (drawn by M. Hezonja)
7:38.0,,,10-13,1,M. Hezonja makes free throw 1 of 2
7:38.0,,,10-13,,M. Hezonja misses free throw 2 of 2
7:35.0,Defensive rebound by E. Ilyasova,,10-13,,
7:23.0,Turnover by D. Schroder (bad pass; steal by B. Biyombo),,10-13,,
7:15.0,,,10-13,,B. Biyombo misses 2-pt shot from 3 ft
7:13.0,Defensive rebound by D. Schroder,,10-13,,
7:09.0,D. Schroder misses 2-pt shot from 5 ft,,10-13,,
7:08.0,,,10-13,,Defensive rebound by Team
6:52.0,,,10-13,,J. Simmons misses 2-pt shot from 3 ft
6:50.0,Defensive rebound by M. Plumlee,,10-13,,
6:41.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. Waller-Prince),2,12-13,,
6:31.0,,,12-13,,J. Simmons misses 2-pt shot from 16 ft
6:28.0,Defensive rebound by E. Ilyasova,,12-13,,
6:15.0,T. Waller-Prince misses 3-pt shot from 22 ft,,12-13,,
6:14.0,,,12-13,,Defensive rebound by Team
6:14.0,T. Dorsey enters the game for T. Waller-Prince,,12-13,,
5:58.0,,,12-15,2,J. Simmons makes 2-pt shot from 7 ft
5:42.0,,,12-15,,Personal foul by J. Simmons (drawn by T. Dorsey)
5:36.0,K. Bazemore misses 2-pt shot from 5 ft,,12-15,,
5:33.0,,,12-15,,Defensive rebound by M. Hezonja
5:31.0,,,12-15,,Shooting foul by M. Plumlee (drawn by E. Fournier)
5:31.0,,,12-16,1,E. Fournier makes free throw 1 of 2
5:31.0,M. Delaney enters the game for E. Ilyasova,,12-16,,
5:31.0,D. Dedmon enters the game for M. Plumlee,,12-16,,
5:31.0,J. Collins enters the game for K. Bazemore,,12-16,,
5:31.0,,,12-17,1,E. Fournier makes free throw 2 of 2
5:20.0,T. Dorsey misses 3-pt shot from 27 ft,,12-17,,
5:17.0,,,12-17,,Defensive rebound by B. Biyombo
5:06.0,,,12-17,,E. Fournier misses 2-pt shot from 8 ft
5:03.0,Defensive rebound by T. Dorsey,,12-17,,
4:59.0,D. Schroder misses 2-pt shot from 11 ft,,12-17,,
4:57.0,,,12-17,,Defensive rebound by B. Biyombo
4:51.0,,,12-17,,Shooting foul by D. Schroder (drawn by D. Augustin)
4:51.0,,,12-18,1,D. Augustin makes free throw 1 of 2
4:51.0,,,12-19,1,D. Augustin makes free throw 2 of 2
4:39.0,D. Dedmon misses 2-pt shot from 7 ft,,12-19,,
4:36.0,,,12-19,,Defensive rebound by M. Hezonja
4:28.0,,,12-19,,D. Augustin misses 2-pt shot from 8 ft
4:26.0,,,12-19,,Offensive rebound by B. Biyombo
4:13.0,,,12-21,2,B. Biyombo makes 2-pt shot from 5 ft (assist by M. Hezonja)
3:55.0,M. Delaney makes 3-pt shot from 23 ft (assist by D. Schroder),3,15-21,,
3:39.0,,,15-21,,B. Biyombo misses 2-pt shot from 5 ft (block by J. Collins)
3:39.0,Defensive rebound by T. Dorsey,,15-21,,
3:39.0,,,15-21,,Personal foul by D. Augustin (drawn by T. Dorsey)
3:39.0,,,15-21,,M. Speights enters the game for M. Hezonja
3:39.0,,,15-21,,S. Mack enters the game for D. Augustin
