time,Minnesota,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. K. Towns (T. Gibson gains possession),,,,Jump ball: B. Lopez vs. K. Towns (T. Gibson gains possession)
11:39.0,K. Towns misses 2-pt shot from 16 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by K. Kuzma
11:31.0,,,0-0,,J. Randle misses 2-pt shot from 2 ft (block by T. Gibson)
11:31.0,Defensive rebound by K. Towns,,0-0,,
11:28.0,Shooting foul by B. Lopez (drawn by J. Butler),,0-0,,
11:28.0,J. Butler misses free throw 1 of 2,,0-0,,
11:28.0,Offensive rebound by Team,,0-0,,
11:28.0,J. Butler makes free throw 2 of 2,1,1-0,,
11:07.0,,,1-0,,Turnover by J. Randle (bad pass; steal by J. Butler)
11:04.0,A. Wiggins makes 2-pt shot from 1 ft,2,3-0,,
10:58.0,,,3-0,,Turnover by A. Caruso (bad pass; steal by J. Butler)
10:52.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler),2,5-0,,
10:35.0,,,5-2,2,B. Lopez makes 2-pt shot from 3 ft
10:35.0,,,5-2,,Shooting foul by K. Towns (drawn by B. Lopez)
10:35.0,,,5-3,1,B. Lopez makes free throw 1 of 1
10:15.0,A. Wiggins misses 2-pt shot from 14 ft,,5-3,,
10:11.0,,,5-3,,Defensive rebound by K. Caldwell-Pope
10:06.0,,,5-5,2,B. Lopez makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
9:47.0,Turnover by J. Butler (bad pass; steal by A. Caruso),,5-5,,
9:47.0,Personal take foul by T. Gibson (drawn by A. Caruso),,5-5,,
9:28.0,,,5-5,,B. Lopez misses 2-pt shot from 6 ft (block by K. Towns)
9:25.0,Defensive rebound by T. Gibson,,5-5,,
9:10.0,J. Teague makes 2-pt shot from 2 ft,2,7-5,,
8:52.0,,,7-7,2,B. Lopez makes 2-pt shot from 14 ft
8:37.0,A. Wiggins misses 2-pt shot from 21 ft,,7-7,,
8:34.0,,,7-7,,Defensive rebound by J. Randle
8:30.0,,,7-7,,J. Randle misses 2-pt shot from 1 ft
8:26.0,Defensive rebound by T. Gibson,,7-7,,
8:18.0,J. Butler makes 2-pt shot from 2 ft,2,9-7,,
8:03.0,,,9-10,3,B. Lopez makes 3-pt shot from 25 ft
7:40.0,K. Towns misses 2-pt shot from 10 ft,,9-10,,
7:38.0,,,9-10,,Defensive rebound by B. Lopez
7:35.0,,,9-10,,Turnover by K. Kuzma (lost ball; steal by J. Teague)
7:31.0,J. Teague makes 2-pt shot from 1 ft,2,11-10,,
7:14.0,,,11-13,3,B. Lopez makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope)
6:57.0,J. Butler misses 3-pt shot from 24 ft,,11-13,,
6:51.0,Offensive rebound by A. Wiggins,,11-13,,
6:49.0,J. Teague makes 3-pt shot from 27 ft (assist by A. Wiggins),3,14-13,,
