time,LA Clippers,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. D. Jordan (T. Harris gains possession),,,,Jump ball: A. Baynes vs. D. Jordan (T. Harris gains possession)
11:48.0,,,0-0,,Personal foul by J. Brown (drawn by A. Bradley)
11:37.0,T. Harris makes 3-pt shot from 27 ft (assist by A. Rivers),3,3-0,,
11:21.0,,,3-2,2,A. Baynes makes 2-pt shot from 1 ft (assist by J. Tatum)
11:05.0,A. Bradley makes 2-pt shot from 21 ft (assist by D. Jordan),2,5-2,,
10:51.0,,,5-2,,J. Brown misses 2-pt shot from 17 ft
10:49.0,Defensive rebound by D. Gallinari,,5-2,,
10:42.0,D. Gallinari makes 3-pt shot from 26 ft,3,8-2,,
10:27.0,Personal foul by A. Bradley (drawn by K. Irving),,8-2,,
10:18.0,,,8-2,,J. Brown misses 2-pt shot from 3 ft
10:17.0,,,8-2,,Offensive rebound by A. Baynes
10:17.0,,,8-2,,A. Baynes misses 2-pt shot at rim
10:16.0,Defensive rebound by T. Harris,,8-2,,
10:10.0,T. Harris misses 2-pt shot from 2 ft,,8-2,,
10:10.0,,,8-2,,Defensive rebound by A. Baynes
10:04.0,,,8-5,3,J. Brown makes 3-pt shot from 22 ft (assist by K. Irving)
9:47.0,A. Rivers misses 2-pt shot from 13 ft,,8-5,,
9:47.0,,,8-5,,Defensive rebound by J. Brown
9:32.0,,,8-7,2,A. Horford makes 2-pt shot from 6 ft
9:10.0,Turnover by D. Gallinari (bad pass),,8-7,,
8:53.0,,,8-7,,J. Tatum misses 2-pt shot from 20 ft
8:50.0,,,8-7,,Offensive rebound by Team
8:47.0,Personal foul by A. Rivers (drawn by J. Brown),,8-7,,
8:39.0,Personal foul by T. Harris (drawn by A. Horford),,8-7,,
8:27.0,,,8-7,,A. Baynes misses 2-pt shot from 19 ft
8:23.0,Defensive rebound by D. Jordan,,8-7,,
8:17.0,A. Bradley makes 2-pt shot from 6 ft,2,10-7,,
8:04.0,,,10-7,,A. Horford misses 2-pt shot from 9 ft
8:02.0,Defensive rebound by D. Gallinari,,10-7,,
7:59.0,Shooting foul by A. Horford (drawn by D. Gallinari),,10-7,,
7:59.0,D. Gallinari makes free throw 1 of 2,1,11-7,,
7:59.0,D. Gallinari makes free throw 2 of 2,1,12-7,,
7:45.0,,,12-7,,Turnover by K. Irving (lost ball; steal by D. Jordan)
7:42.0,D. Jordan makes 2-pt shot from 1 ft,2,14-7,,
7:20.0,,,14-7,,J. Tatum misses 2-pt shot from 14 ft
7:17.0,Defensive rebound by D. Gallinari,,14-7,,
7:08.0,A. Bradley misses 2-pt shot from 9 ft,,14-7,,
7:06.0,,,14-7,,Defensive rebound by J. Tatum
6:56.0,,,14-7,,K. Irving misses 3-pt shot from 27 ft
6:54.0,Defensive rebound by D. Jordan,,14-7,,
6:49.0,,,14-7,,Personal foul by K. Irving (drawn by D. Gallinari)
6:49.0,,,14-7,,Boston full timeout
6:49.0,,,14-7,,M. Morris enters the game for J. Tatum
6:43.0,A. Rivers misses 2-pt shot from 2 ft (block by A. Baynes),,14-7,,
6:42.0,,,14-7,,Defensive rebound by M. Morris
6:36.0,,,14-10,3,M. Morris makes 3-pt shot from 24 ft (assist by K. Irving)
