time,Miami,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. O'Quinn vs. H. Whiteside (T. Burke gains possession),,,,Jump ball: K. O'Quinn vs. H. Whiteside (T. Burke gains possession)
11:42.0,,,0-0,,New York full timeout
11:42.0,,,0-0,,I. Hicks enters the game for M. Beasley
11:40.0,,,0-2,2,I. Hicks makes 2-pt shot from 1 ft (assist by F. Ntilikina)
11:17.0,Offensive charge foul by H. Whiteside (drawn by T. Hardaway),,0-2,,
11:17.0,Turnover by H. Whiteside (offensive foul),,0-2,,
11:03.0,,,0-2,,I. Hicks misses 2-pt shot from 1 ft
10:59.0,,,0-2,,Offensive rebound by K. O'Quinn
10:59.0,,,0-4,2,K. O'Quinn makes 2-pt shot at rim
10:47.0,J. Johnson makes 2-pt shot from 1 ft,2,2-4,,
10:30.0,,,2-4,,K. O'Quinn misses 2-pt shot from 10 ft
10:28.0,Defensive rebound by J. Johnson,,2-4,,
10:23.0,J. Johnson misses 2-pt shot from 9 ft,,2-4,,
10:21.0,Offensive rebound by Team,,2-4,,
10:19.0,H. Whiteside misses 2-pt shot from 10 ft,,2-4,,
10:16.0,,,2-4,,Defensive rebound by K. O'Quinn
10:04.0,,,2-4,,K. O'Quinn misses 2-pt shot from 5 ft
10:02.0,,,2-4,,Offensive rebound by K. O'Quinn
10:00.0,,,2-4,,K. O'Quinn misses 2-pt shot from 5 ft
9:57.0,Defensive rebound by G. Dragic,,2-4,,
9:54.0,G. Dragic makes 2-pt shot from 1 ft,2,4-4,,
9:42.0,,,4-4,,Shooting foul by J. Richardson (drawn by I. Hicks)
9:42.0,,,4-5,1,I. Hicks makes free throw 1 of 2
9:42.0,,,4-6,1,I. Hicks makes free throw 2 of 2
9:32.0,T. Johnson makes 2-pt shot at rim (assist by J. Johnson),2,6-6,,
9:19.0,,,6-8,2,T. Burke makes 2-pt shot at rim
