time,Denver,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Jokic (J. Martin gains possession),,,,Jump ball: M. Gasol vs. N. Jokic (J. Martin gains possession)
11:44.0,,,0-0,,J. Green misses 2-pt shot at rim (block by W. Barton)
11:44.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-3,3,J. Martin makes 3-pt shot from 25 ft (assist by M. Gasol)
11:09.0,J. Murray misses 3-pt shot from 26 ft,,0-3,,
11:06.0,,,0-3,,Defensive rebound by M. Gasol
10:55.0,,,0-3,,D. Brooks misses 3-pt shot from 23 ft
10:50.0,,,0-3,,Offensive rebound by J. Green
10:44.0,,,0-6,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans)
10:26.0,W. Chandler makes 3-pt shot from 22 ft (assist by W. Barton),3,3-6,,
10:11.0,,,3-6,,M. Gasol misses 2-pt shot from 13 ft (block by N. Jokic)
10:08.0,Defensive rebound by N. Jokic,,3-6,,
9:47.0,Turnover by Team (shot clock),,3-6,,
9:27.0,,,3-6,,M. Gasol misses 2-pt shot from 11 ft
9:23.0,Defensive rebound by P. Millsap,,3-6,,
9:17.0,W. Barton misses 3-pt shot from 26 ft,,3-6,,
9:15.0,,,3-6,,Defensive rebound by Team
9:07.0,Personal foul by W. Barton (drawn by T. Evans),,3-6,,
9:04.0,,,3-8,2,T. Evans makes 2-pt shot from 2 ft (assist by J. Martin)
9:04.0,Violation by P. Millsap (def goaltending),,3-8,,
8:56.0,W. Chandler misses 3-pt shot from 26 ft,,3-8,,
8:53.0,Offensive rebound by P. Millsap,,3-8,,
8:48.0,P. Millsap misses 2-pt shot from 18 ft,,3-8,,
8:44.0,,,3-8,,Defensive rebound by D. Brooks
8:30.0,,,3-8,,Shooting foul by P. Millsap (drawn by D. Brooks)
8:30.0,,,3-9,1,D. Brooks makes free throw 1 of 2
8:30.0,,,3-10,1,D. Brooks makes free throw 2 of 2
8:18.0,N. Jokic misses 2-pt shot from 10 ft (block by M. Gasol),,3-10,,
8:18.0,,,3-10,,Defensive rebound by M. Gasol
8:18.0,,,3-10,,Turnover by M. Gasol (bad pass; steal by N. Jokic)
8:13.0,N. Jokic makes 2-pt shot from 6 ft,2,5-10,,
7:58.0,,,5-13,3,T. Evans makes 3-pt shot from 25 ft
7:41.0,N. Jokic misses 2-pt shot from 9 ft (block by J. Martin),,5-13,,
7:39.0,Offensive rebound by W. Barton,,5-13,,
7:39.0,,,5-13,,Personal foul by T. Evans (drawn by W. Barton)
7:33.0,J. Murray misses 3-pt shot from 25 ft,,5-13,,
7:29.0,,,5-13,,Defensive rebound by J. Martin
7:16.0,,,5-15,2,D. Brooks makes 2-pt shot at rim (assist by T. Evans)
7:16.0,Denver full timeout,,5-15,,
7:16.0,,,5-15,,B. Weber enters the game for T. Evans
7:05.0,Shooting foul by D. Brooks (drawn by N. Jokic),,5-15,,
7:05.0,N. Jokic makes free throw 1 of 2,1,6-15,,
7:05.0,N. Jokic makes free throw 2 of 2,1,7-15,,
6:47.0,,,7-17,2,M. Gasol makes 2-pt shot from 17 ft
6:34.0,Shooting foul by J. Green (drawn by P. Millsap),,7-17,,
6:34.0,P. Millsap misses free throw 1 of 2,,7-17,,
6:34.0,Offensive rebound by Team,,7-17,,
6:34.0,,,7-17,,W. Selden enters the game for J. Martin
6:34.0,P. Millsap makes free throw 2 of 2,1,8-17,,
6:12.0,Personal foul by N. Jokic (drawn by J. Green),,8-17,,
6:12.0,M. Plumlee enters the game for N. Jokic,,8-17,,
6:03.0,,,8-17,,D. Brooks misses 3-pt shot from 22 ft
6:00.0,,,8-17,,Offensive rebound by B. Weber
5:56.0,,,8-17,,D. Brooks misses 2-pt shot at rim
5:53.0,,,8-17,,Offensive rebound by J. Green
5:43.0,,,8-19,2,W. Selden makes 2-pt shot from 15 ft
5:24.0,P. Millsap misses 3-pt shot from 24 ft (block by J. Green),,8-19,,
5:20.0,Offensive rebound by W. Chandler,,8-19,,
5:13.0,W. Barton misses 2-pt shot from 20 ft,,8-19,,
5:13.0,Offensive rebound by Team,,8-19,,
5:13.0,Turnover by Team (shot clock),,8-19,,
5:13.0,D. Harris enters the game for J. Murray,,8-19,,
4:52.0,,,8-19,,D. Brooks misses 3-pt shot from 26 ft
4:48.0,,,8-19,,Offensive rebound by B. Weber
4:44.0,,,8-21,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
4:43.0,Denver full timeout,,8-21,,
4:43.0,,,8-21,,T. Evans enters the game for D. Brooks
4:43.0,T. Lyles enters the game for P. Millsap,,8-21,,
4:37.0,M. Plumlee misses 2-pt shot at rim,,8-21,,
4:33.0,,,8-21,,Defensive rebound by J. Green
4:32.0,,,8-23,2,B. Weber makes 2-pt shot from 15 ft
4:09.0,W. Chandler misses 2-pt shot from 13 ft,,8-23,,
4:05.0,,,8-23,,Defensive rebound by J. Green
4:03.0,,,8-23,,T. Evans misses 2-pt shot from 3 ft
4:03.0,Defensive rebound by Team,,8-23,,
4:03.0,,,8-23,,Loose ball foul by B. Weber (drawn by W. Chandler)
4:03.0,,,8-23,,J. Martin enters the game for J. Green
3:51.0,T. Lyles misses 3-pt shot from 25 ft,,8-23,,
3:46.0,,,8-23,,Defensive rebound by M. Gasol
3:44.0,,,8-23,,J. Martin misses 2-pt shot at rim
3:43.0,Defensive rebound by T. Lyles,,8-23,,
3:38.0,W. Barton makes 2-pt shot at rim,2,10-23,,
3:09.0,,,10-26,3,W. Selden makes 3-pt shot from 24 ft (assist by T. Evans)
2:53.0,T. Lyles misses 2-pt shot from 4 ft,,10-26,,
2:50.0,Offensive rebound by M. Plumlee,,10-26,,
2:50.0,M. Plumlee misses 2-pt shot at rim,,10-26,,
2:50.0,,,10-26,,Defensive rebound by J. Martin
2:32.0,,,10-26,,T. Evans misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by W. Barton,,10-26,,
2:24.0,Shooting foul by W. Selden (drawn by W. Barton),,10-26,,
2:24.0,W. Barton makes free throw 1 of 2,1,11-26,,
2:24.0,,,11-26,,D. Davis enters the game for M. Gasol
2:24.0,T. Craig enters the game for W. Chandler,,11-26,,
2:24.0,W. Barton makes free throw 2 of 2,1,12-26,,
2:09.0,,,12-26,,Turnover by W. Selden (bad pass; steal by M. Plumlee)
2:04.0,T. Craig misses 2-pt shot at rim,,12-26,,
2:00.0,,,12-26,,Defensive rebound by B. Weber
1:58.0,,,12-26,,Shooting foul by M. Plumlee (drawn by D. Davis)
1:58.0,,,12-26,,D. Davis misses free throw 1 of 2
1:58.0,,,12-26,,Offensive rebound by Team
1:58.0,J. Murray enters the game for W. Barton,,12-26,,
1:58.0,,,12-27,1,D. Davis makes free throw 2 of 2
1:35.0,D. Harris misses 3-pt shot from 23 ft,,12-27,,
1:32.0,Offensive rebound by M. Plumlee,,12-27,,
1:25.0,T. Lyles makes 2-pt shot from 11 ft (assist by M. Plumlee),2,14-27,,
1:14.0,,,14-30,3,W. Selden makes 3-pt shot from 24 ft (assist by J. Martin)
0:58.0,J. Murray misses 2-pt shot from 10 ft (block by T. Evans),,14-30,,
0:56.0,,,14-30,,Defensive rebound by T. Evans
0:52.0,,,14-32,2,J. Martin makes 2-pt shot at rim (assist by W. Selden)
0:52.0,Denver full timeout,,14-32,,
0:36.0,J. Murray misses 2-pt shot from 2 ft (block by B. Weber),,14-32,,
0:34.0,,,14-32,,Defensive rebound by B. Weber
0:21.0,,,14-34,2,D. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
0:03.0,,,14-34,,Violation by W. Selden (kicked ball)
0:00.0,T. Lyles makes 3-pt shot from 25 ft (assist by M. Plumlee),3,17-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,T. Lyles misses 3-pt shot from 25 ft,,17-34,,
11:42.0,,,17-34,,Defensive rebound by W. Selden
11:24.0,,,17-34,,T. Evans misses 2-pt shot from 1 ft (block by N. Jokic)
11:19.0,,,17-34,,Turnover by T. Evans (bad pass; steal by D. Harris)
11:19.0,,,17-34,,Offensive rebound by T. Evans
11:17.0,,,17-34,,Violation by B. Weber (kicked ball)
11:17.0,,,17-34,,D. Brooks enters the game for T. Evans
11:11.0,N. Jokic misses 3-pt shot from 25 ft,,17-34,,
11:08.0,,,17-34,,Defensive rebound by J. Martin
11:00.0,,,17-36,2,D. Brooks makes 2-pt shot from 6 ft
10:46.0,T. Craig misses 3-pt shot from 25 ft,,17-36,,
10:43.0,,,17-36,,Defensive rebound by B. Weber
10:35.0,,,17-36,,D. Davis misses 2-pt shot from 2 ft (block by T. Craig)
10:35.0,,,17-36,,Offensive rebound by Team
10:35.0,,,17-36,,M. Chalmers enters the game for B. Weber
10:26.0,,,17-36,,J. Martin misses 2-pt shot from 21 ft
10:23.0,Defensive rebound by J. Murray,,17-36,,
10:14.0,J. Murray misses 2-pt shot from 14 ft,,17-36,,
10:12.0,,,17-36,,Defensive rebound by J. Martin
10:01.0,,,17-36,,Shooting foul by T. Lyles (drawn by J. Martin)
10:01.0,,,17-37,1,J. Martin makes free throw 1 of 2
10:01.0,,,17-37,,J. Green enters the game for W. Selden
10:01.0,,,17-37,,J. Martin misses free throw 2 of 2
9:59.0,Defensive rebound by T. Craig,,17-37,,
9:36.0,T. Lyles misses 2-pt shot at rim,,17-37,,
9:36.0,Offensive rebound by N. Jokic,,17-37,,
9:36.0,Shooting foul by J. Martin (drawn by N. Jokic),,17-37,,
9:36.0,N. Jokic misses free throw 1 of 2,,17-37,,
