time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. M. Turner (O. Anunoby gains possession),,,,Jump ball: J. Valanciunas vs. M. Turner (O. Anunoby gains possession)
11:37.0,,,0-0,,Turnover by D. DeRozan (bad pass)
11:19.0,M. Turner misses 2-pt shot from 17 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by O. Anunoby
11:02.0,,,0-0,,J. Valanciunas misses 2-pt shot from 15 ft
11:00.0,Defensive rebound by T. Young,,0-0,,
10:51.0,T. Young misses 2-pt shot from 16 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by K. Lowry
10:43.0,,,0-3,3,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry)
10:28.0,V. Oladipo makes 2-pt shot from 11 ft (assist by D. Collison),2,2-3,,
10:17.0,,,2-3,,Offensive charge foul by S. Ibaka (drawn by T. Young)
10:17.0,,,2-3,,Turnover by S. Ibaka (offensive foul)
10:04.0,Turnover by B. Bogdanovic (bad pass; steal by K. Lowry),,2-3,,
9:56.0,,,2-3,,S. Ibaka misses 2-pt shot from 7 ft
9:54.0,Defensive rebound by V. Oladipo,,2-3,,
9:48.0,B. Bogdanovic misses 3-pt shot from 23 ft,,2-3,,
9:45.0,,,2-3,,Defensive rebound by J. Valanciunas
9:36.0,,,2-3,,J. Valanciunas misses 2-pt shot from 6 ft (block by M. Turner)
9:33.0,Defensive rebound by M. Turner,,2-3,,
9:30.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by D. DeRozan),,2-3,,
9:26.0,,,2-3,,Defensive rebound by D. DeRozan
9:23.0,,,2-5,2,D. DeRozan makes 2-pt shot from 14 ft
9:23.0,,,2-5,,Shooting foul by T. Young (drawn by D. DeRozan)
9:23.0,,,2-5,,D. DeRozan misses free throw 1 of 1
9:18.0,Defensive rebound by T. Young,,2-5,,
9:11.0,Turnover by V. Oladipo (lost ball; steal by O. Anunoby),,2-5,,
9:08.0,,,2-7,2,O. Anunoby makes 2-pt shot from 1 ft
8:55.0,V. Oladipo misses 2-pt shot at rim (block by J. Valanciunas),,2-7,,
8:53.0,,,2-7,,Defensive rebound by D. DeRozan
8:44.0,,,2-7,,D. DeRozan misses 2-pt shot from 2 ft
8:39.0,Defensive rebound by D. Collison,,2-7,,
8:28.0,B. Bogdanovic makes 2-pt shot from 17 ft (assist by D. Collison),2,4-7,,
8:12.0,,,4-9,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
7:54.0,T. Young misses 2-pt shot from 5 ft,,4-9,,
7:52.0,,,4-9,,Defensive rebound by S. Ibaka
7:45.0,,,4-9,,S. Ibaka misses 3-pt shot from 23 ft
7:40.0,,,4-9,,Offensive rebound by J. Valanciunas
7:38.0,,,4-11,2,S. Ibaka makes 2-pt shot from 14 ft (assist by K. Lowry)
7:31.0,Indiana full timeout,,4-11,,
7:10.0,T. Young misses 2-pt shot from 10 ft,,4-11,,
7:04.0,Offensive rebound by M. Turner,,4-11,,
7:04.0,M. Turner misses 2-pt shot at rim,,4-11,,
7:04.0,,,4-11,,Defensive rebound by K. Lowry
6:57.0,,,4-11,,Turnover by K. Lowry (bad pass; steal by V. Oladipo)
6:57.0,,,4-11,,Personal foul by K. Lowry (drawn by V. Oladipo)
6:41.0,M. Turner misses 2-pt shot from 18 ft,,4-11,,
6:38.0,,,4-11,,Defensive rebound by J. Valanciunas
6:31.0,,,4-13,2,S. Ibaka makes 2-pt shot from 1 ft (assist by D. DeRozan)
6:15.0,T. Young misses 2-pt shot from 8 ft,,4-13,,
6:11.0,Offensive rebound by T. Young,,4-13,,
6:11.0,T. Young misses 2-pt shot at rim,,4-13,,
6:11.0,,,4-13,,Defensive rebound by K. Lowry
6:07.0,,,4-13,,K. Lowry misses 3-pt shot from 25 ft
6:05.0,,,4-13,,Offensive rebound by S. Ibaka
5:58.0,,,4-13,,Turnover by K. Lowry (turnover)
5:41.0,D. Collison misses 2-pt shot from 6 ft,,4-13,,
5:38.0,,,4-13,,Defensive rebound by S. Ibaka
5:34.0,,,4-13,,O. Anunoby misses 2-pt shot from 3 ft (block by M. Turner)
5:31.0,,,4-13,,Offensive rebound by O. Anunoby
5:28.0,,,4-16,3,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry)
5:11.0,M. Turner misses 3-pt shot from 25 ft,,4-16,,
5:08.0,,,4-16,,Defensive rebound by J. Valanciunas
4:54.0,,,4-16,,J. Valanciunas misses 2-pt shot from 3 ft
4:51.0,Defensive rebound by V. Oladipo,,4-16,,
4:47.0,D. Collison misses 2-pt shot from 22 ft,,4-16,,
4:45.0,,,4-16,,Defensive rebound by J. Valanciunas
4:36.0,Personal foul by B. Bogdanovic (drawn by D. DeRozan),,4-16,,
4:36.0,,,4-16,,J. Poeltl enters the game for J. Valanciunas
4:36.0,C. Joseph enters the game for D. Collison,,4-16,,
4:36.0,D. Sabonis enters the game for T. Young,,4-16,,
4:27.0,,,4-16,,S. Ibaka misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by M. Turner,,4-16,,
4:12.0,Offensive charge foul by D. Sabonis (drawn by K. Lowry),,4-16,,
4:12.0,Turnover by D. Sabonis (offensive foul),,4-16,,
4:12.0,,,4-16,,N. Powell enters the game for O. Anunoby
4:12.0,,,4-16,,P. Siakam enters the game for S. Ibaka
4:12.0,G. Robinson enters the game for B. Bogdanovic,,4-16,,
3:59.0,,,4-16,,D. DeRozan misses 2-pt shot from 17 ft
3:55.0,Defensive rebound by V. Oladipo,,4-16,,
3:53.0,Turnover by V. Oladipo (bad pass; steal by N. Powell),,4-16,,
3:40.0,,,4-16,,D. DeRozan misses 3-pt shot from 22 ft
3:38.0,Defensive rebound by C. Joseph,,4-16,,
3:32.0,G. Robinson misses 3-pt shot from 23 ft,,4-16,,
3:27.0,,,4-16,,Defensive rebound by P. Siakam
3:21.0,,,4-18,2,N. Powell makes 2-pt shot from 2 ft (assist by D. DeRozan)
