time,Phoenix,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Lyles vs. T. Chandler (T. Ulis gains possession),,,,Jump ball: T. Lyles vs. T. Chandler (T. Ulis gains possession)
11:41.0,T. Chandler misses 2-pt shot from 4 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by W. Chandler
11:31.0,,,0-0,,Shooting foul by T. Ulis (drawn by J. Murray)
11:31.0,,,0-1,1,J. Murray makes free throw 1 of 2
11:31.0,,,0-2,1,J. Murray makes free throw 2 of 2
11:16.0,Turnover by D. Booker (lost ball; steal by G. Harris),,0-2,,
11:12.0,,,0-5,3,G. Harris makes 3-pt shot from 24 ft (assist by W. Chandler)
10:49.0,D. Bender misses 2-pt shot from 5 ft,,0-5,,
10:46.0,,,0-5,,Defensive rebound by G. Harris
10:44.0,,,0-8,3,J. Murray makes 3-pt shot from 24 ft (assist by G. Harris)
10:26.0,T. Warren misses 2-pt shot from 4 ft,,0-8,,
10:24.0,,,0-8,,Defensive rebound by N. Jokic
10:15.0,,,0-8,,W. Chandler misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by T. Chandler,,0-8,,
10:03.0,Turnover by D. Bender (bad pass; steal by G. Harris),,0-8,,
9:59.0,,,0-8,,G. Harris misses 2-pt shot from 2 ft (block by D. Booker)
9:57.0,Defensive rebound by T. Ulis,,0-8,,
9:53.0,,,0-8,,Personal foul by J. Murray (drawn by T. Ulis)
9:41.0,D. Booker makes 2-pt shot from 16 ft,2,2-8,,
9:22.0,,,2-8,,N. Jokic misses 2-pt shot from 7 ft
9:19.0,Defensive rebound by T. Chandler,,2-8,,
9:15.0,T. Warren makes 2-pt shot from 3 ft (assist by T. Ulis),2,4-8,,
8:53.0,,,4-8,,J. Murray misses 2-pt shot from 17 ft
8:50.0,,,4-8,,Offensive rebound by N. Jokic
8:45.0,,,4-10,2,T. Lyles makes 2-pt shot from 6 ft
8:24.0,T. Warren makes 2-pt shot from 2 ft (assist by D. Bender),2,6-10,,
7:57.0,,,6-12,2,N. Jokic makes 2-pt shot from 11 ft (assist by W. Chandler)
7:35.0,D. Booker makes 3-pt shot from 24 ft (assist by D. Bender),3,9-12,,
7:23.0,,,9-12,,Offensive foul by W. Chandler (drawn by T. Ulis)
7:23.0,,,9-12,,Turnover by W. Chandler (offensive foul)
7:12.0,T. Ulis misses 3-pt shot from 24 ft,,9-12,,
7:08.0,,,9-12,,Defensive rebound by T. Lyles
7:01.0,,,9-12,,N. Jokic misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by T. Warren,,9-12,,
6:54.0,T. Warren makes 2-pt shot from 1 ft,2,11-12,,
6:54.0,,,11-12,,Denver full timeout
6:37.0,,,11-14,2,T. Lyles makes 2-pt shot from 10 ft (assist by G. Harris)
6:12.0,D. Bender makes 3-pt shot from 24 ft (assist by D. Booker),3,14-14,,
5:50.0,,,14-16,2,J. Murray makes 2-pt shot from 4 ft (assist by N. Jokic)
5:26.0,T. Ulis misses 2-pt shot from 2 ft (block by J. Murray),,14-16,,
5:26.0,,,14-16,,Defensive rebound by Team
5:26.0,A. Len enters the game for T. Chandler,,14-16,,
5:17.0,Personal foul by T. Warren (drawn by W. Chandler),,14-16,,
5:03.0,,,14-19,3,J. Murray makes 3-pt shot from 24 ft (assist by N. Jokic)
4:53.0,D. Booker misses 2-pt shot from 3 ft (block by W. Chandler),,14-19,,
4:53.0,Offensive rebound by Team,,14-19,,
4:53.0,I. Canaan enters the game for T. Ulis,,14-19,,
4:47.0,T. Warren misses 2-pt shot from 13 ft,,14-19,,
4:44.0,,,14-19,,Defensive rebound by N. Jokic
4:38.0,,,14-19,,G. Harris misses 2-pt shot from 10 ft
4:35.0,,,14-19,,Offensive rebound by G. Harris
4:35.0,Personal foul by I. Canaan (drawn by G. Harris),,14-19,,
4:27.0,,,14-19,,T. Lyles misses 3-pt shot from 23 ft
4:23.0,Defensive rebound by T. Warren,,14-19,,
4:09.0,D. Booker misses 2-pt shot from 2 ft,,14-19,,
4:07.0,,,14-19,,Defensive rebound by N. Jokic
4:03.0,,,14-19,,G. Harris misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by A. Len,,14-19,,
3:54.0,I. Canaan misses 3-pt shot from 25 ft,,14-19,,
3:50.0,,,14-19,,Defensive rebound by G. Harris
3:42.0,,,14-21,2,T. Lyles makes 2-pt shot from 3 ft (assist by G. Harris)
3:42.0,Phoenix full timeout,,14-21,,
3:42.0,,,14-21,,W. Barton enters the game for J. Murray
3:42.0,J. Dudley enters the game for D. Booker,,14-21,,
3:42.0,T. Daniels enters the game for D. Bender,,14-21,,
3:34.0,A. Len misses 2-pt shot from 3 ft,,14-21,,
3:32.0,,,14-21,,Defensive rebound by N. Jokic
3:29.0,,,14-21,,Turnover by N. Jokic (bad pass; steal by J. Dudley)
3:23.0,T. Warren makes 2-pt shot from 1 ft (assist by I. Canaan),2,16-21,,
3:02.0,,,16-21,,N. Jokic misses 2-pt shot from 4 ft
3:02.0,Defensive rebound by J. Dudley,,16-21,,
3:02.0,,,16-21,,Personal foul by N. Jokic (drawn by J. Dudley)
3:02.0,,,16-21,,M. Beasley enters the game for T. Lyles
3:02.0,,,16-21,,R. Jefferson enters the game for G. Harris
2:46.0,T. Warren makes 2-pt shot from 21 ft (assist by J. Dudley),2,18-21,,
2:36.0,,,18-21,,W. Barton misses 2-pt shot from 2 ft (block by J. Dudley)
2:36.0,Defensive rebound by Team,,18-21,,
2:17.0,T. Daniels makes 3-pt shot from 22 ft (assist by A. Len),3,21-21,,
1:46.0,,,21-23,2,N. Jokic makes 2-pt shot from 21 ft
