time,Boston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. A. Baynes (B. Simmons gains possession),,,,Jump ball: J. Embiid vs. A. Baynes (B. Simmons gains possession)
11:47.0,,,0-2,2,J. Embiid makes 2-pt shot from 13 ft (assist by D. Saric)
11:27.0,A. Baynes misses 3-pt shot from 23 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by D. Saric
11:16.0,,,0-4,2,B. Simmons makes 2-pt shot from 1 ft
11:00.0,T. Rozier misses 3-pt shot from 25 ft,,0-4,,
10:58.0,,,0-4,,Defensive rebound by J. Embiid
10:42.0,,,0-4,,J. Redick misses 2-pt shot from 17 ft
10:39.0,Defensive rebound by A. Baynes,,0-4,,
10:34.0,,,0-4,,Personal foul by B. Simmons (drawn by A. Baynes)
10:27.0,M. Smart makes 3-pt shot from 25 ft (assist by J. Tatum),3,3-4,,
10:14.0,,,3-6,2,J. Embiid makes 2-pt shot from 2 ft
9:59.0,J. Tatum misses 3-pt shot from 26 ft,,3-6,,
9:55.0,Offensive rebound by T. Rozier,,3-6,,
9:53.0,T. Rozier misses 2-pt shot from 14 ft,,3-6,,
9:51.0,,,3-6,,Defensive rebound by D. Saric
9:40.0,,,3-6,,J. Redick misses 2-pt shot from 16 ft
9:33.0,,,3-6,,Offensive rebound by R. Covington
9:33.0,,,3-6,,R. Covington misses 2-pt shot at rim
9:32.0,Defensive rebound by A. Horford,,3-6,,
9:29.0,Turnover by J. Tatum (lost ball; steal by B. Simmons),,3-6,,
9:22.0,,,3-6,,R. Covington misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by M. Smart,,3-6,,
8:58.0,M. Smart misses 3-pt shot from 27 ft,,3-6,,
8:54.0,,,3-6,,Defensive rebound by J. Embiid
8:48.0,Personal foul by M. Smart (drawn by D. Saric),,3-6,,
8:42.0,,,3-6,,Turnover by R. Covington (bad pass)
8:30.0,J. Tatum makes 2-pt shot at rim (assist by A. Horford),2,5-6,,
8:01.0,,,5-6,,J. Embiid misses 2-pt shot from 3 ft
8:00.0,Defensive rebound by A. Baynes,,5-6,,
7:53.0,,,5-6,,Personal foul by D. Saric (drawn by A. Horford)
7:39.0,J. Tatum makes 3-pt shot from 26 ft,3,8-6,,
7:17.0,,,8-6,,B. Simmons misses 2-pt shot from 15 ft
7:15.0,Defensive rebound by T. Rozier,,8-6,,
7:09.0,,,8-6,,Personal foul by R. Covington (drawn by T. Rozier)
7:09.0,,,8-6,,A. Johnson enters the game for J. Embiid
7:09.0,,,8-6,,M. Belinelli enters the game for J. Redick
6:57.0,J. Tatum makes 2-pt shot from 16 ft,2,10-6,,
6:41.0,,,10-6,,R. Covington misses 3-pt shot from 27 ft
6:38.0,Defensive rebound by Team,,10-6,,
6:38.0,,,10-6,,Philadelphia full timeout
6:38.0,J. Brown enters the game for M. Smart,,10-6,,
6:38.0,M. Morris enters the game for A. Baynes,,10-6,,
6:12.0,Turnover by J. Tatum (lost ball; steal by R. Covington),,10-6,,
6:08.0,,,10-6,,R. Covington misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by J. Brown,,10-6,,
5:53.0,M. Morris makes 2-pt shot from 16 ft,2,12-6,,
5:41.0,,,12-8,2,B. Simmons makes 2-pt shot from 2 ft
5:16.0,J. Brown makes 2-pt shot from 1 ft (assist by J. Tatum),2,14-8,,
4:56.0,,,14-8,,D. Saric misses 2-pt shot from 16 ft
4:53.0,Defensive rebound by J. Tatum,,14-8,,
4:49.0,,,14-8,,E. Ilyasova enters the game for D. Saric
4:34.0,J. Tatum makes 2-pt shot from 9 ft (assist by T. Rozier),2,16-8,,
4:16.0,,,16-8,,R. Covington misses 3-pt shot from 25 ft
4:12.0,,,16-8,,Offensive rebound by A. Johnson
4:06.0,,,16-8,,B. Simmons misses 2-pt shot from 5 ft
4:04.0,Defensive rebound by J. Brown,,16-8,,
4:00.0,Shooting foul by M. Belinelli (drawn by J. Brown),,16-8,,
4:00.0,,,16-8,,J. Embiid enters the game for A. Johnson
4:00.0,J. Brown misses free throw 1 of 2,,16-8,,
4:00.0,Offensive rebound by Team,,16-8,,
4:00.0,J. Brown makes free throw 2 of 2,1,17-8,,
3:48.0,,,17-8,,M. Belinelli misses 3-pt shot from 25 ft
3:45.0,,,17-8,,Offensive rebound by J. Embiid
3:30.0,,,17-10,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by J. Embiid)
3:12.0,A. Horford misses 3-pt shot from 26 ft,,17-10,,
3:10.0,,,17-10,,Defensive rebound by J. Embiid
3:02.0,,,17-12,2,J. Embiid makes 2-pt shot from 8 ft (assist by B. Simmons)
3:00.0,Boston full timeout,,17-12,,
3:00.0,,,17-12,,T. McConnell enters the game for B. Simmons
3:00.0,,,17-12,,J. Redick enters the game for R. Covington
3:00.0,M. Smart enters the game for J. Tatum,,17-12,,
2:47.0,M. Morris misses 3-pt shot from 25 ft,,17-12,,
2:44.0,,,17-12,,Defensive rebound by T. McConnell
2:34.0,,,17-12,,J. Redick misses 3-pt shot from 26 ft
2:29.0,,,17-12,,Offensive rebound by J. Embiid
2:29.0,,,17-12,,J. Embiid misses 2-pt shot at rim
2:28.0,,,17-12,,Offensive rebound by J. Embiid
2:25.0,,,17-14,2,J. Embiid makes 2-pt shot from 6 ft
2:00.0,M. Morris misses 2-pt shot from 13 ft,,17-14,,
1:58.0,,,17-14,,Defensive rebound by J. Redick
1:42.0,,,17-14,,J. Embiid misses 2-pt shot from 11 ft (block by M. Morris)
1:41.0,,,17-14,,Offensive rebound by Team
1:41.0,A. Baynes enters the game for A. Horford,,17-14,,
1:39.0,,,17-14,,J. Redick misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by M. Morris,,17-14,,
1:21.0,T. Rozier misses 3-pt shot from 24 ft,,17-14,,
1:17.0,,,17-14,,Defensive rebound by M. Belinelli
1:00.0,,,17-14,,J. Embiid misses 2-pt shot from 10 ft
0:59.0,Defensive rebound by T. Rozier,,17-14,,
0:48.0,J. Brown misses 2-pt shot from 5 ft (block by J. Embiid),,17-14,,
0:44.0,,,17-14,,Defensive rebound by T. McConnell
0:42.0,,,17-17,3,M. Belinelli makes 3-pt shot from 27 ft (assist by T. McConnell)
0:29.0,M. Morris misses 2-pt shot from 14 ft,,17-17,,
0:26.0,,,17-17,,Defensive rebound by M. Belinelli
0:22.0,,,17-20,3,J. Redick makes 3-pt shot from 25 ft (assist by M. Belinelli)
0:05.0,M. Smart makes 2-pt shot from 22 ft,2,19-20,,
0:03.0,Personal foul by J. Brown (drawn by T. McConnell),,19-20,,
0:02.0,,,19-20,,Turnover by J. Embiid (lost ball; steal by M. Smart)
0:01.0,M. Smart misses 3-pt shot from 32 ft,,19-20,,
0:01.0,Offensive rebound by Team,,19-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Smart misses 3-pt shot from 24 ft,,19-20,,
11:43.0,Offensive rebound by A. Baynes,,19-20,,
11:41.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Baynes),3,22-20,,
11:14.0,,,22-20,,J. Embiid misses 2-pt shot from 7 ft
11:12.0,,,22-20,,Offensive rebound by D. Saric
11:04.0,,,22-20,,M. Belinelli misses 3-pt shot from 26 ft
11:02.0,Defensive rebound by S. Larkin,,22-20,,
10:52.0,M. Smart makes 2-pt shot from 12 ft,2,24-20,,
10:23.0,,,24-20,,D. Saric misses 2-pt shot from 8 ft
10:21.0,Defensive rebound by J. Tatum,,24-20,,
10:11.0,Offensive foul by J. Tatum (drawn by T. McConnell),,24-20,,
10:11.0,Turnover by J. Tatum (offensive foul),,24-20,,
10:11.0,,,24-20,,R. Covington enters the game for M. Belinelli
10:11.0,,,24-20,,B. Simmons enters the game for T. McConnell
9:57.0,,,24-20,,Shooting foul by M. Morris (drawn by J. Redick)
9:57.0,,,24-21,1,J. Redick makes free throw 1 of 2
9:57.0,,,24-22,1,J. Redick makes free throw 2 of 2
9:44.0,M. Morris makes 2-pt shot from 16 ft,2,26-22,,
9:33.0,,,26-22,,Turnover by B. Simmons (out of bounds lost ball)
9:25.0,M. Morris misses 3-pt shot from 26 ft,,26-22,,
9:23.0,Offensive rebound by A. Baynes,,26-22,,
9:23.0,A. Baynes makes 2-pt shot at rim,2,28-22,,
9:23.0,,,28-22,,Philadelphia full timeout
9:14.0,,,28-22,,R. Covington misses 2-pt shot from 3 ft
9:10.0,Defensive rebound by M. Morris,,28-22,,
8:58.0,Turnover by M. Smart (bad pass; steal by D. Saric),,28-22,,
8:57.0,Personal foul by J. Tatum (drawn by J. Redick),,28-22,,
8:53.0,,,28-25,3,D. Saric makes 3-pt shot from 27 ft (assist by B. Simmons)
8:39.0,M. Smart misses 2-pt shot from 1 ft (block by B. Simmons),,28-25,,
8:39.0,,,28-25,,Defensive rebound by Team
8:30.0,,,28-25,,J. Redick misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by J. Tatum,,28-25,,
8:23.0,Offensive charge foul by J. Tatum (drawn by J. Redick),,28-25,,
8:23.0,Turnover by J. Tatum (offensive foul),,28-25,,
8:10.0,,,28-25,,J. Embiid misses 2-pt shot from 7 ft
8:08.0,Defensive rebound by M. Morris,,28-25,,
7:56.0,A. Baynes makes 2-pt shot from 1 ft (assist by M. Smart),2,30-25,,
7:39.0,,,30-25,,J. Embiid misses 2-pt shot from 11 ft
7:37.0,Defensive rebound by A. Baynes,,30-25,,
7:28.0,J. Tatum makes 2-pt shot at rim,2,32-25,,
7:20.0,,,32-25,,D. Saric misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by A. Baynes,,32-25,,
7:12.0,,,32-25,,Personal foul by J. Redick (drawn by A. Baynes)
7:12.0,,,32-25,,E. Ilyasova enters the game for J. Redick
7:12.0,,,32-25,,M. Belinelli enters the game for J. Embiid
7:12.0,J. Brown enters the game for J. Tatum,,32-25,,
7:12.0,T. Rozier enters the game for M. Smart,,32-25,,
7:12.0,A. Horford enters the game for A. Baynes,,32-25,,
6:56.0,M. Morris misses 3-pt shot from 26 ft,,32-25,,
6:56.0,,,32-25,,Defensive rebound by Team
6:40.0,,,32-25,,D. Saric misses 2-pt shot from 7 ft (block by J. Brown)
6:37.0,Defensive rebound by J. Brown,,32-25,,
6:34.0,T. Rozier makes 3-pt shot from 23 ft (assist by S. Larkin),3,35-25,,
6:33.0,,,35-25,,Philadelphia full timeout
6:19.0,,,35-28,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by M. Belinelli)
6:01.0,J. Brown makes 3-pt shot from 26 ft (assist by M. Morris),3,38-28,,
5:53.0,Personal foul by J. Brown (drawn by D. Saric),,38-28,,
5:46.0,,,38-31,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by M. Belinelli)
5:20.0,A. Horford misses 2-pt shot from 4 ft (block by E. Ilyasova),,38-31,,
5:17.0,Offensive rebound by A. Horford,,38-31,,
5:16.0,A. Horford misses 2-pt shot from 2 ft (block by D. Saric),,38-31,,
5:14.0,,,38-31,,Defensive rebound by R. Covington
5:14.0,,,38-31,,Shooting foul by J. Brown (drawn by R. Covington)
5:14.0,,,38-31,,R. Covington misses free throw 1 of 2
5:14.0,,,38-31,,Offensive rebound by Team
5:14.0,M. Smart enters the game for M. Morris,,38-31,,
5:14.0,,,38-32,1,R. Covington makes free throw 2 of 2
5:02.0,M. Smart misses 3-pt shot from 25 ft,,38-32,,
5:00.0,,,38-32,,Defensive rebound by D. Saric
4:55.0,,,38-35,3,D. Saric makes 3-pt shot from 27 ft (assist by B. Simmons)
4:54.0,Boston full timeout,,38-35,,
4:54.0,S. Ojeleye enters the game for S. Larkin,,38-35,,
4:42.0,Turnover by J. Brown (bad pass; steal by D. Saric),,38-35,,
4:33.0,,,38-35,,E. Ilyasova misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by T. Rozier,,38-35,,
4:23.0,T. Rozier makes 2-pt shot from 19 ft,2,40-35,,
4:04.0,,,40-37,2,D. Saric makes 2-pt shot from 1 ft (assist by E. Ilyasova)
4:04.0,,,40-37,,Shooting foul by M. Smart (drawn by D. Saric)
4:04.0,,,40-37,,J. Redick enters the game for R. Covington
4:04.0,,,40-37,,D. Saric misses free throw 1 of 1
4:04.0,Defensive rebound by J. Brown,,40-37,,
3:47.0,S. Ojeleye makes 3-pt shot from 24 ft (assist by A. Horford),3,43-37,,
3:38.0,,,43-39,2,B. Simmons makes 2-pt shot from 1 ft
3:17.0,M. Smart misses 3-pt shot from 25 ft,,43-39,,
3:15.0,,,43-39,,Defensive rebound by B. Simmons
3:06.0,,,43-39,,Philadelphia full timeout
3:06.0,,,43-39,,J. Embiid enters the game for E. Ilyasova
3:06.0,A. Baynes enters the game for J. Brown,,43-39,,
3:04.0,,,43-42,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Simmons)
2:44.0,Turnover by A. Horford (lost ball; steal by D. Saric),,43-42,,
2:41.0,,,43-44,2,J. Embiid makes 2-pt shot at rim (assist by B. Simmons)
2:41.0,,,43-44,,Shooting foul by A. Baynes (drawn by J. Embiid)
2:41.0,,,43-45,1,J. Embiid makes free throw 1 of 1
2:24.0,Turnover by M. Smart (bad pass; steal by J. Embiid),,43-45,,
2:14.0,,,43-47,2,B. Simmons makes 2-pt shot from 2 ft
1:54.0,A. Baynes misses 2-pt shot from 21 ft,,43-47,,
1:51.0,,,43-47,,Defensive rebound by D. Saric
1:45.0,,,43-50,3,M. Belinelli makes 3-pt shot from 26 ft (assist by D. Saric)
1:45.0,Boston full timeout,,43-50,,
1:45.0,S. Larkin enters the game for S. Ojeleye,,43-50,,
1:45.0,J. Brown enters the game for A. Baynes,,43-50,,
1:45.0,M. Morris enters the game for M. Smart,,43-50,,
1:30.0,J. Brown misses 3-pt shot from 25 ft,,43-50,,
1:26.0,,,43-50,,Defensive rebound by J. Embiid
1:10.0,,,43-50,,J. Embiid misses 2-pt shot from 3 ft (block by J. Brown)
1:10.0,,,43-50,,Offensive rebound by Team
1:08.0,,,43-50,,Turnover by B. Simmons (bad pass; steal by J. Brown)
1:07.0,,,43-50,,Personal foul by J. Embiid (drawn by J. Brown)
0:56.0,M. Morris misses 3-pt shot from 24 ft,,43-50,,
0:54.0,,,43-50,,Defensive rebound by J. Embiid
