time,Atlanta,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. J. Collins (G. Dragic gains possession),,,,Jump ball: H. Whiteside vs. J. Collins (G. Dragic gains possession)
11:39.0,,,0-0,,T. Johnson misses 3-pt shot from 27 ft
11:36.0,,,0-0,,Offensive rebound by H. Whiteside
11:31.0,,,0-0,,H. Whiteside misses 2-pt shot from 10 ft
11:28.0,Defensive rebound by M. Plumlee,,0-0,,
11:19.0,Shooting foul by G. Dragic (drawn by J. Collins),,0-0,,
11:19.0,J. Collins makes free throw 1 of 2,1,1-0,,
11:19.0,J. Collins misses free throw 2 of 2,,1-0,,
11:18.0,Offensive rebound by I. Taylor,,1-0,,
11:06.0,T. Waller-Prince misses 2-pt shot from 18 ft,,1-0,,
11:03.0,,,1-0,,Defensive rebound by H. Whiteside
10:58.0,,,1-0,,J. Johnson misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by D. Lee,,1-0,,
10:47.0,D. Lee misses 2-pt shot from 4 ft (block by H. Whiteside),,1-0,,
10:43.0,,,1-0,,Defensive rebound by J. Richardson
10:38.0,,,1-0,,H. Whiteside misses 2-pt shot from 5 ft
10:35.0,,,1-0,,Offensive rebound by H. Whiteside
10:32.0,,,1-0,,H. Whiteside misses 2-pt shot from 11 ft
10:29.0,Defensive rebound by J. Collins,,1-0,,
10:14.0,Turnover by I. Taylor (lost ball; steal by J. Richardson),,1-0,,
10:12.0,,,1-0,,Shooting foul by I. Taylor (drawn by G. Dragic)
10:12.0,,,1-0,,G. Dragic misses free throw 1 of 2
10:12.0,,,1-0,,Offensive rebound by Team
10:12.0,,,1-1,1,G. Dragic makes free throw 2 of 2
10:09.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,3-1,,
10:09.0,Shooting foul by H. Whiteside (drawn by T. Waller-Prince),,3-1,,
10:09.0,T. Waller-Prince makes free throw 1 of 1,1,4-1,,
9:58.0,,,4-1,,Shooting foul by M. Plumlee (drawn by H. Whiteside)
9:58.0,,,4-2,1,H. Whiteside makes free throw 1 of 2
9:58.0,,,4-3,1,H. Whiteside makes free throw 2 of 2
9:36.0,I. Taylor makes 3-pt shot from 25 ft (assist by M. Plumlee),3,7-3,,
9:21.0,,,7-3,,J. Richardson misses 2-pt shot from 13 ft
9:18.0,Defensive rebound by T. Waller-Prince,,7-3,,
9:16.0,T. Waller-Prince misses 2-pt shot from 11 ft,,7-3,,
9:16.0,,,7-3,,Defensive rebound by Team
9:06.0,,,7-3,,G. Dragic misses 2-pt shot from 12 ft
9:03.0,Defensive rebound by J. Collins,,7-3,,
8:54.0,J. Collins misses 2-pt shot from 4 ft,,7-3,,
8:54.0,,,7-3,,Defensive rebound by G. Dragic
8:54.0,Personal foul by J. Collins (drawn by G. Dragic),,7-3,,
8:54.0,T. Dorsey enters the game for I. Taylor,,7-3,,
8:43.0,,,7-5,2,G. Dragic makes 2-pt shot from 2 ft (assist by J. Johnson)
8:27.0,J. Collins misses 2-pt shot from 3 ft,,7-5,,
8:23.0,Offensive rebound by D. Lee,,7-5,,
8:22.0,D. Lee misses 3-pt shot from 22 ft,,7-5,,
8:19.0,,,7-5,,Defensive rebound by G. Dragic
8:16.0,,,7-5,,Turnover by G. Dragic (lost ball; steal by M. Plumlee)
8:07.0,J. Collins makes 2-pt shot from 11 ft (assist by D. Lee),2,9-5,,
7:52.0,,,9-5,,J. Johnson misses 2-pt shot from 13 ft
7:48.0,Defensive rebound by D. Lee,,9-5,,
7:48.0,Offensive foul by J. Collins (drawn by T. Johnson),,9-5,,
7:48.0,Turnover by J. Collins (offensive foul),,9-5,,
7:48.0,M. Muscala enters the game for J. Collins,,9-5,,
7:32.0,,,9-5,,Turnover by J. Johnson (lost ball; steal by D. Lee)
