time,Miami,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: A. Davis vs. H. Whiteside (G. Dragic gains possession)
11:40.0,T. Johnson makes 2-pt shot from 8 ft (assist by J. Winslow),2,2-0,,
11:28.0,,,2-2,2,E. Moore makes 2-pt shot from 3 ft (assist by R. Rondo)
11:12.0,Shooting foul by E. Moore (drawn by G. Dragic),,2-2,,
11:12.0,G. Dragic makes free throw 1 of 2,1,3-2,,
11:12.0,G. Dragic makes free throw 2 of 2,1,4-2,,
11:07.0,,,4-2,,Turnover by E. Okafor (lost ball; steal by H. Whiteside)
11:02.0,J. Richardson makes 2-pt shot from 1 ft (assist by G. Dragic),2,6-2,,
10:51.0,,,6-2,,R. Rondo misses 2-pt shot from 5 ft
10:51.0,Defensive rebound by H. Whiteside,,6-2,,
10:45.0,G. Dragic misses 3-pt shot from 26 ft,,6-2,,
10:45.0,Offensive rebound by J. Richardson,,6-2,,
10:31.0,T. Johnson makes 2-pt shot at rim (assist by J. Richardson),2,8-2,,
10:22.0,Personal foul by J. Winslow (drawn by A. Davis),,8-2,,
10:16.0,,,8-2,,E. Okafor misses 2-pt shot from 14 ft
10:11.0,Defensive rebound by H. Whiteside,,8-2,,
10:01.0,T. Johnson makes 2-pt shot from 9 ft,2,10-2,,
9:52.0,,,10-2,,Shooting foul by H. Whiteside (drawn by J. Holiday)
9:52.0,,,10-3,1,J. Holiday makes free throw 1 of 2
9:52.0,,,10-4,1,J. Holiday makes free throw 2 of 2
9:44.0,G. Dragic makes 2-pt shot from 2 ft,2,12-4,,
9:37.0,,,12-6,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
9:15.0,T. Johnson misses 2-pt shot from 8 ft,,12-6,,
9:12.0,Offensive rebound by J. Richardson,,12-6,,
9:10.0,Turnover by H. Whiteside (lost ball; steal by J. Holiday),,12-6,,
9:05.0,Personal foul by J. Winslow (drawn by A. Davis),,12-6,,
9:05.0,J. Johnson enters the game for J. Winslow,,12-6,,
8:57.0,,,12-6,,J. Holiday misses 2-pt shot at rim (block by H. Whiteside)
8:52.0,,,12-6,,Offensive rebound by J. Holiday
8:47.0,,,12-6,,A. Davis misses 2-pt shot from 13 ft
8:43.0,Defensive rebound by J. Richardson,,12-6,,
8:40.0,J. Johnson misses 2-pt shot from 7 ft,,12-6,,
8:36.0,,,12-6,,Defensive rebound by A. Davis
8:34.0,Violation by J. Richardson (kicked ball),,12-6,,
8:29.0,,,12-6,,E. Moore misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by H. Whiteside,,12-6,,
8:17.0,J. Johnson misses 2-pt shot from 6 ft,,12-6,,
8:13.0,,,12-6,,Defensive rebound by A. Davis
8:08.0,,,12-9,3,J. Holiday makes 3-pt shot from 26 ft (assist by E. Moore)
7:48.0,Turnover by H. Whiteside (traveling),,12-9,,
7:33.0,,,12-11,2,A. Davis makes 2-pt shot from 14 ft (assist by R. Rondo)
7:17.0,G. Dragic misses 2-pt shot from 1 ft,,12-11,,
7:13.0,,,12-11,,Defensive rebound by A. Davis
7:08.0,,,12-14,3,A. Davis makes 3-pt shot from 25 ft
6:50.0,J. Richardson makes 2-pt shot from 13 ft,2,14-14,,
6:40.0,,,14-14,,Turnover by R. Rondo (bad pass; steal by J. Johnson)
6:32.0,Turnover by G. Dragic (out of bounds lost ball),,14-14,,
6:32.0,,,14-14,,New Orleans full timeout
6:32.0,W. Ellington enters the game for J. Richardson,,14-14,,
6:23.0,Personal foul by J. Johnson (drawn by A. Davis),,14-14,,
6:10.0,,,14-14,,A. Davis misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by H. Whiteside,,14-14,,
5:55.0,J. Johnson misses 3-pt shot from 26 ft,,14-14,,
5:50.0,,,14-14,,Defensive rebound by E. Okafor
5:42.0,,,14-14,,A. Davis misses 2-pt shot from 12 ft
5:37.0,Defensive rebound by G. Dragic,,14-14,,
5:35.0,G. Dragic makes 2-pt shot from 1 ft,2,16-14,,
5:17.0,,,16-14,,E. Okafor misses 2-pt shot from 13 ft
5:14.0,Defensive rebound by H. Whiteside,,16-14,,
5:02.0,,,16-14,,N. Mirotic enters the game for R. Rondo
5:02.0,,,16-14,,D. Miller enters the game for E. Okafor
5:02.0,D. Wade enters the game for T. Johnson,,16-14,,
4:52.0,Shooting foul by D. Miller (drawn by H. Whiteside),,16-14,,
4:52.0,H. Whiteside misses free throw 1 of 2,,16-14,,
4:52.0,Offensive rebound by Team,,16-14,,
4:52.0,H. Whiteside misses free throw 2 of 2,,16-14,,
4:49.0,,,16-14,,Defensive rebound by N. Mirotic
4:45.0,Personal foul by W. Ellington (drawn by A. Davis),,16-14,,
4:45.0,,,16-15,1,A. Davis makes free throw 1 of 2
4:45.0,,,16-16,1,A. Davis makes free throw 2 of 2
4:27.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,18-16,,
4:20.0,Personal foul by G. Dragic (drawn by J. Holiday),,18-16,,
4:20.0,,,18-17,1,J. Holiday makes free throw 1 of 2
4:20.0,,,18-17,,I. Clark enters the game for E. Moore
4:20.0,,,18-18,1,J. Holiday makes free throw 2 of 2
4:09.0,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic),2,20-18,,
4:09.0,Shooting foul by J. Holiday (drawn by H. Whiteside),,20-18,,
4:09.0,H. Whiteside misses free throw 1 of 1,,20-18,,
4:03.0,,,20-18,,Defensive rebound by J. Holiday
4:00.0,,,20-18,,A. Davis misses 2-pt shot from 5 ft
3:56.0,Defensive rebound by D. Wade,,20-18,,
3:54.0,G. Dragic makes 2-pt shot from 1 ft,2,22-18,,
3:44.0,,,22-18,,J. Holiday misses 2-pt shot from 1 ft
3:39.0,,,22-18,,Offensive rebound by J. Holiday
3:39.0,,,22-18,,J. Holiday misses 2-pt shot at rim
3:39.0,,,22-18,,Offensive rebound by I. Clark
3:39.0,B. Adebayo enters the game for H. Whiteside,,22-18,,
3:37.0,,,22-20,2,I. Clark makes 2-pt shot from 1 ft (assist by J. Holiday)
3:18.0,W. Ellington misses 3-pt shot from 26 ft,,22-20,,
3:15.0,,,22-20,,Defensive rebound by A. Davis
3:12.0,,,22-20,,N. Mirotic misses 3-pt shot from 25 ft
3:12.0,,,22-20,,Offensive rebound by J. Holiday
3:05.0,,,22-20,,D. Miller misses 3-pt shot from 26 ft
3:05.0,Defensive rebound by G. Dragic,,22-20,,
2:55.0,Turnover by B. Adebayo (lost ball; steal by A. Davis),,22-20,,
2:41.0,,,22-20,,A. Davis misses 2-pt shot from 1 ft
2:41.0,,,22-20,,Offensive rebound by Team
2:41.0,Miami full timeout,,22-20,,
2:41.0,,,22-20,,C. Diallo enters the game for J. Holiday
2:41.0,,,22-20,,R. Rondo enters the game for A. Davis
2:41.0,J. Richardson enters the game for G. Dragic,,22-20,,
2:25.0,,,22-20,,Turnover by I. Clark (bad pass)
2:15.0,D. Wade makes 2-pt shot from 19 ft (assist by J. Johnson),2,24-20,,
2:00.0,,,24-20,,N. Mirotic misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by B. Adebayo,,24-20,,
1:49.0,Shooting foul by I. Clark (drawn by J. Johnson),,24-20,,
1:49.0,J. Johnson makes free throw 1 of 2,1,25-20,,
1:49.0,J. Johnson misses free throw 2 of 2,,25-20,,
1:46.0,,,25-20,,Defensive rebound by R. Rondo
1:34.0,,,25-22,2,I. Clark makes 2-pt shot from 19 ft (assist by D. Miller)
