time,Dallas,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. H. Barnes (J. Randle gains possession),,,,Jump ball: B. Lopez vs. H. Barnes (J. Randle gains possession)
11:40.0,,,0-2,2,B. Lopez makes 2-pt shot from 4 ft
11:23.0,D. Nowitzki misses 2-pt shot from 20 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by B. Ingram
11:13.0,,,0-2,,Shooting foul by D. Nowitzki (drawn by B. Lopez)
11:13.0,,,0-3,1,B. Lopez makes free throw 1 of 2
11:13.0,,,0-3,,B. Lopez misses free throw 2 of 2
11:10.0,Defensive rebound by D. Nowitzki,,0-3,,
10:52.0,H. Barnes misses 2-pt shot from 15 ft,,0-3,,
10:50.0,,,0-3,,Defensive rebound by J. Randle
10:42.0,,,0-3,,Shooting foul by D. Nowitzki (drawn by B. Lopez)
10:42.0,,,0-3,,B. Lopez misses free throw 1 of 2
10:42.0,,,0-3,,Offensive rebound by Team
10:42.0,S. Mejri enters the game for D. Nowitzki,,0-3,,
10:42.0,,,0-3,,B. Lopez misses free throw 2 of 2
10:39.0,Defensive rebound by H. Barnes,,0-3,,
10:19.0,J. Barea misses 3-pt shot from 24 ft,,0-3,,
10:15.0,,,0-3,,Defensive rebound by B. Ingram
10:08.0,,,0-6,3,J. Hart makes 3-pt shot from 23 ft (assist by J. Randle)
9:58.0,,,0-6,,Personal foul by B. Lopez (drawn by D. Smith)
9:51.0,D. Smith misses 2-pt shot from 20 ft,,0-6,,
9:51.0,Offensive rebound by Team,,0-6,,
9:46.0,Turnover by W. Matthews (bad pass; steal by J. Hart),,0-6,,
9:43.0,,,0-8,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by J. Hart)
9:42.0,Dallas full timeout,,0-8,,
9:22.0,D. Smith makes 2-pt shot from 19 ft (assist by J. Barea),2,2-8,,
9:00.0,,,2-10,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Randle)
8:49.0,D. Smith misses 3-pt shot from 22 ft,,2-10,,
8:45.0,Offensive rebound by W. Matthews,,2-10,,
8:43.0,W. Matthews makes 3-pt shot from 26 ft,3,5-10,,
8:31.0,,,5-10,,J. Hart misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by S. Mejri,,5-10,,
8:22.0,Turnover by D. Smith (bad pass; steal by K. Caldwell-Pope),,5-10,,
8:20.0,,,5-12,2,J. Randle makes 2-pt shot from 2 ft
8:20.0,,,5-12,,Shooting foul by J. Barea (drawn by J. Randle)
8:20.0,Y. Ferrell enters the game for J. Barea,,5-12,,
8:20.0,D. Powell enters the game for S. Mejri,,5-12,,
8:20.0,,,5-12,,J. Randle misses free throw 1 of 1
8:17.0,Defensive rebound by H. Barnes,,5-12,,
8:05.0,H. Barnes misses 3-pt shot from 25 ft,,5-12,,
8:02.0,,,5-12,,Defensive rebound by K. Caldwell-Pope
7:51.0,,,5-14,2,K. Caldwell-Pope makes 2-pt shot from 2 ft
7:38.0,H. Barnes misses 2-pt shot from 17 ft,,5-14,,
7:36.0,,,5-14,,Defensive rebound by J. Hart
7:28.0,,,5-14,,B. Ingram misses 2-pt shot from 1 ft
7:28.0,,,5-14,,Offensive rebound by Team
7:25.0,,,5-16,2,B. Ingram makes 2-pt shot from 10 ft (assist by K. Caldwell-Pope)
7:15.0,,,5-16,,Personal foul by J. Hart (drawn by W. Matthews)
7:07.0,Turnover by W. Matthews (bad pass; steal by K. Caldwell-Pope),,5-16,,
7:04.0,,,5-18,2,K. Caldwell-Pope makes 2-pt shot at rim
6:46.0,H. Barnes misses 2-pt shot from 21 ft,,5-18,,
6:42.0,,,5-18,,Defensive rebound by B. Lopez
6:39.0,Violation by D. Smith (kicked ball),,5-18,,
6:34.0,Personal foul by W. Matthews (drawn by J. Randle),,5-18,,
6:27.0,,,5-20,2,J. Randle makes 2-pt shot from 2 ft
6:19.0,D. Smith misses 2-pt shot from 15 ft (block by B. Ingram),,5-20,,
6:19.0,,,5-20,,Defensive rebound by J. Hart
6:13.0,,,5-20,,Turnover by J. Hart (bad pass; steal by Y. Ferrell)
