time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Baynes (M. Morris gains possession),,,,Jump ball: M. Gortat vs. A. Baynes (M. Morris gains possession)
11:42.0,,,0-0,,O. Porter misses 2-pt shot from 19 ft
11:39.0,Defensive rebound by T. Rozier,,0-0,,
11:17.0,J. Tatum misses 2-pt shot from 19 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by B. Beal
11:08.0,,,0-2,2,O. Porter makes 2-pt shot from 3 ft (assist by J. Wall)
10:48.0,A. Baynes makes 3-pt shot from 25 ft (assist by T. Rozier),3,3-2,,
10:33.0,,,3-2,,M. Gortat misses 2-pt shot from 9 ft
10:31.0,Defensive rebound by J. Tatum,,3-2,,
10:26.0,J. Tatum misses 2-pt shot from 20 ft,,3-2,,
10:22.0,,,3-2,,Defensive rebound by O. Porter
10:13.0,,,3-2,,M. Morris misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by A. Horford,,3-2,,
10:03.0,J. Brown makes 3-pt shot from 23 ft (assist by T. Rozier),3,6-2,,
9:47.0,,,6-2,,Turnover by B. Beal (bad pass; steal by J. Brown)
9:37.0,A. Horford misses 3-pt shot from 25 ft,,6-2,,
9:34.0,Offensive rebound by A. Baynes,,6-2,,
9:30.0,T. Rozier misses 3-pt shot from 25 ft,,6-2,,
9:26.0,,,6-2,,Defensive rebound by M. Morris
9:16.0,,,6-2,,J. Wall misses 2-pt shot from 19 ft
9:13.0,Defensive rebound by A. Horford,,6-2,,
9:04.0,Turnover by J. Brown (lost ball; steal by J. Wall),,6-2,,
9:01.0,,,6-4,2,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter)
8:44.0,J. Brown makes 3-pt shot from 26 ft (assist by J. Tatum),3,9-4,,
8:29.0,,,9-6,2,O. Porter makes 2-pt shot from 7 ft (assist by J. Wall)
8:16.0,J. Brown makes 3-pt shot from 25 ft (assist by T. Rozier),3,12-6,,
7:52.0,,,12-6,,M. Gortat misses 2-pt shot from 3 ft
7:50.0,,,12-6,,Offensive rebound by O. Porter
7:49.0,,,12-6,,Turnover by O. Porter (bad pass; steal by J. Tatum)
7:49.0,,,12-6,,Personal foul by M. Morris (drawn by J. Tatum)
7:42.0,Shooting foul by O. Porter (drawn by J. Brown),,12-6,,
7:42.0,J. Brown makes free throw 1 of 3,1,13-6,,
7:42.0,J. Brown makes free throw 2 of 3,1,14-6,,
