time,Charlotte,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Kanter vs. D. Howard (K. Walker gains possession),,,,Jump ball: E. Kanter vs. D. Howard (K. Walker gains possession)
11:43.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by E. Mudiay
11:18.0,,,0-0,,M. Beasley misses 2-pt shot from 8 ft
11:16.0,Defensive rebound by M. Kidd-Gilchrist,,0-0,,
11:04.0,Shooting foul by T. Hardaway (drawn by M. Williams),,0-0,,
11:04.0,M. Williams makes free throw 1 of 2,1,1-0,,
11:04.0,M. Williams makes free throw 2 of 2,1,2-0,,
10:46.0,,,2-2,2,E. Kanter makes 2-pt shot from 2 ft (assist by E. Mudiay)
10:34.0,D. Howard makes 2-pt shot from 15 ft (assist by M. Kidd-Gilchrist),2,4-2,,
10:12.0,,,4-4,2,E. Mudiay makes 2-pt shot from 8 ft
9:52.0,M. Williams misses 3-pt shot from 23 ft,,4-4,,
9:50.0,,,4-4,,Defensive rebound by E. Kanter
9:42.0,Personal foul by M. Williams (drawn by T. Hardaway),,4-4,,
9:37.0,,,4-4,,T. Hardaway misses 2-pt shot from 15 ft
9:35.0,Defensive rebound by N. Batum,,4-4,,
9:30.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,6-4,,
9:17.0,,,6-4,,E. Mudiay misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by M. Williams,,6-4,,
9:06.0,K. Walker misses 2-pt shot from 1 ft,,6-4,,
9:04.0,,,6-4,,Defensive rebound by E. Mudiay
8:44.0,,,6-6,2,M. Beasley makes 2-pt shot from 5 ft
8:25.0,D. Howard makes 2-pt shot from 6 ft,2,8-6,,
8:12.0,,,8-8,2,T. Hardaway makes 2-pt shot from 1 ft
8:01.0,,,8-8,,Personal foul by E. Kanter (drawn by D. Howard)
7:47.0,Turnover by D. Howard (lost ball; steal by E. Kanter),,8-8,,
7:39.0,,,8-8,,T. Hardaway misses 3-pt shot from 26 ft
7:36.0,Defensive rebound by K. Walker,,8-8,,
7:25.0,M. Williams makes 2-pt shot from 7 ft (assist by K. Walker),2,10-8,,
7:10.0,,,10-8,,E. Kanter misses 2-pt shot from 19 ft
7:09.0,Defensive rebound by N. Batum,,10-8,,
7:03.0,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum),2,12-8,,
6:54.0,,,12-8,,New York full timeout
6:42.0,,,12-8,,E. Mudiay misses 2-pt shot from 21 ft
6:41.0,,,12-8,,Offensive rebound by E. Kanter
6:41.0,,,12-8,,E. Kanter misses 2-pt shot at rim
6:40.0,,,12-8,,Offensive rebound by E. Kanter
6:39.0,,,12-8,,E. Kanter misses 2-pt shot at rim
6:37.0,,,12-8,,Offensive rebound by Team
6:27.0,Personal foul by N. Batum (drawn by L. Thomas),,12-8,,
