time,Oklahoma City,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. S. Adams (C. Anthony gains possession),,,,Jump ball: M. Turner vs. S. Adams (C. Anthony gains possession)
11:39.0,C. Anthony makes 3-pt shot from 27 ft (assist by R. Westbrook),3,3-0,,
11:20.0,,,3-0,,V. Oladipo misses 2-pt shot from 18 ft
11:17.0,Defensive rebound by R. Westbrook,,3-0,,
11:12.0,Shooting foul by B. Bogdanovic (drawn by P. George),,3-0,,
11:12.0,P. George makes free throw 1 of 2,1,4-0,,
11:12.0,P. George makes free throw 2 of 2,1,5-0,,
11:03.0,,,5-0,,M. Turner misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by C. Anthony,,5-0,,
10:48.0,Turnover by S. Adams (lost ball; steal by V. Oladipo),,5-0,,
10:40.0,,,5-3,3,M. Turner makes 3-pt shot from 28 ft (assist by V. Oladipo)
10:21.0,A. Abrines makes 3-pt shot from 22 ft (assist by P. George),3,8-3,,
10:06.0,,,8-3,,D. Collison misses 2-pt shot from 18 ft
10:03.0,,,8-3,,Offensive rebound by M. Turner
10:00.0,,,8-3,,Turnover by D. Collison (lost ball; steal by R. Westbrook)
9:47.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,10-3,,
9:30.0,,,10-6,3,D. Collison makes 3-pt shot from 22 ft (assist by M. Turner)
9:16.0,P. George misses 2-pt shot from 10 ft,,10-6,,
9:12.0,,,10-6,,Defensive rebound by T. Young
9:09.0,,,10-6,,B. Bogdanovic misses 2-pt shot from 12 ft
9:06.0,Defensive rebound by R. Westbrook,,10-6,,
9:00.0,C. Anthony misses 2-pt shot from 20 ft,,10-6,,
8:57.0,,,10-6,,Defensive rebound by T. Young
8:48.0,,,10-9,3,M. Turner makes 3-pt shot from 28 ft (assist by V. Oladipo)
8:32.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,12-9,,
8:18.0,,,12-9,,Offensive foul by V. Oladipo (drawn by P. George)
8:18.0,,,12-9,,Turnover by V. Oladipo (offensive foul)
8:05.0,C. Anthony misses 2-pt shot from 10 ft,,12-9,,
8:02.0,,,12-9,,Defensive rebound by V. Oladipo
7:57.0,,,12-9,,Turnover by V. Oladipo (lost ball; steal by C. Anthony)
