time,Milwaukee,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. T. Maker (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. T. Maker (E. Kanter gains possession)
11:40.0,,,0-0,,Shooting foul by T. Maker (drawn by K. Porzingis)
11:40.0,,,0-0,,K. Porzingis misses free throw 1 of 2
11:40.0,,,0-0,,Offensive rebound by Team
11:40.0,,,0-0,,K. Porzingis misses free throw 2 of 2
11:38.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:27.0,T. Snell misses 2-pt shot from 20 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by K. Porzingis
11:13.0,,,0-2,2,K. Porzingis makes 2-pt shot from 16 ft (assist by T. Hardaway)
10:49.0,Turnover by E. Bledsoe (bad pass),,0-2,,
10:34.0,,,0-2,,Shooting foul by G. Antetokounmpo (drawn by K. Porzingis)
10:34.0,,,0-2,,K. Porzingis misses free throw 1 of 2
10:34.0,,,0-2,,Offensive rebound by Team
10:34.0,,,0-3,1,K. Porzingis makes free throw 2 of 2
10:22.0,E. Bledsoe makes 2-pt shot from 8 ft (assist by G. Antetokounmpo),2,2-3,,
10:22.0,Shooting foul by J. Jack (drawn by E. Bledsoe),,2-3,,
10:22.0,E. Bledsoe makes free throw 1 of 1,1,3-3,,
10:10.0,,,3-3,,Turnover by J. Jack (bad pass; steal by T. Snell)
10:06.0,K. Middleton misses 2-pt shot from 2 ft,,3-3,,
10:03.0,,,3-3,,Defensive rebound by E. Kanter
10:01.0,,,3-3,,Turnover by T. Hardaway (lost ball; steal by T. Maker)
9:56.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,6-3,,
9:38.0,,,6-3,,E. Kanter misses 2-pt shot from 1 ft
9:36.0,,,6-3,,Offensive rebound by E. Kanter
9:36.0,,,6-3,,E. Kanter misses 2-pt shot at rim
9:34.0,Defensive rebound by K. Middleton,,6-3,,
9:32.0,K. Middleton misses 2-pt shot from 2 ft,,6-3,,
9:32.0,,,6-3,,Defensive rebound by T. Hardaway
9:18.0,,,6-5,2,K. Porzingis makes 2-pt shot from 9 ft (assist by C. Lee)
8:53.0,Shooting foul by E. Kanter (drawn by E. Bledsoe),,6-5,,
8:53.0,E. Bledsoe makes free throw 1 of 2,1,7-5,,
8:53.0,E. Bledsoe makes free throw 2 of 2,1,8-5,,
8:42.0,,,8-7,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
8:34.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,8-7,,
8:32.0,,,8-7,,Defensive rebound by E. Kanter
8:19.0,,,8-7,,T. Hardaway misses 3-pt shot from 25 ft
8:17.0,,,8-7,,Offensive rebound by E. Kanter
8:16.0,,,8-9,2,E. Kanter makes 2-pt shot from 1 ft
8:04.0,T. Maker makes 2-pt shot from 16 ft (assist by T. Snell),2,10-9,,
7:43.0,,,10-9,,C. Lee misses 2-pt shot from 3 ft
7:41.0,Defensive rebound by E. Bledsoe,,10-9,,
7:37.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by K. Porzingis),,10-9,,
7:36.0,,,10-9,,Defensive rebound by Team
7:32.0,Jump ball: K. Porzingis vs. G. Antetokounmpo (T. Hardaway gains possession),,,,Jump ball: K. Porzingis vs. G. Antetokounmpo (T. Hardaway gains possession)
7:28.0,,,10-11,2,J. Jack makes 2-pt shot at rim (assist by T. Hardaway)
7:20.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,10-11,,
7:18.0,,,10-11,,Defensive rebound by E. Kanter
7:13.0,,,10-11,,T. Hardaway misses 2-pt shot from 1 ft (block by T. Snell)
7:12.0,,,10-11,,Offensive rebound by Team
6:57.0,,,10-14,3,C. Lee makes 3-pt shot from 28 ft (assist by T. Hardaway)
6:41.0,Turnover by G. Antetokounmpo (bad pass),,10-14,,
6:41.0,,,10-14,,New York full timeout
6:41.0,M. Plumlee enters the game for T. Maker,,10-14,,
6:21.0,,,10-14,,J. Jack misses 2-pt shot from 19 ft
6:20.0,,,10-14,,Offensive rebound by Team
6:05.0,,,10-14,,C. Lee misses 2-pt shot from 21 ft
6:03.0,Defensive rebound by T. Snell,,10-14,,
5:57.0,K. Middleton misses 3-pt shot from 26 ft,,10-14,,
5:55.0,,,10-14,,Defensive rebound by T. Hardaway
5:46.0,,,10-14,,J. Jack misses 3-pt shot from 23 ft
5:44.0,Defensive rebound by M. Plumlee,,10-14,,
5:34.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,12-14,,
5:28.0,,,12-16,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack)
5:28.0,,,12-16,,Shooting foul by E. Bledsoe (drawn by E. Kanter)
5:28.0,,,12-16,,F. Ntilikina enters the game for T. Hardaway
5:28.0,,,12-16,,D. McDermott enters the game for J. Jack
5:28.0,S. Brown enters the game for T. Snell,,12-16,,
5:28.0,,,12-17,1,E. Kanter makes free throw 1 of 1
5:09.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,12-17,,
5:07.0,,,12-17,,Defensive rebound by C. Lee
4:54.0,,,12-17,,Turnover by C. Lee (bad pass)
4:54.0,J. Parker enters the game for G. Antetokounmpo,,12-17,,
4:33.0,J. Parker makes 2-pt shot from 20 ft (assist by M. Plumlee),2,14-17,,
4:16.0,,,14-19,2,E. Kanter makes 2-pt shot at rim (assist by F. Ntilikina)
3:51.0,E. Bledsoe misses 3-pt shot from 22 ft (block by K. Porzingis),,14-19,,
3:50.0,Offensive rebound by Team,,14-19,,
3:50.0,Turnover by Team (shot clock),,14-19,,
3:50.0,,,14-19,,M. Beasley enters the game for K. Porzingis
3:41.0,,,14-19,,D. McDermott misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by K. Middleton,,14-19,,
3:36.0,Shooting foul by F. Ntilikina (drawn by E. Bledsoe),,14-19,,
3:36.0,E. Bledsoe makes free throw 1 of 2,1,15-19,,
3:36.0,E. Bledsoe makes free throw 2 of 2,1,16-19,,
3:22.0,,,16-21,2,C. Lee makes 2-pt shot from 15 ft (assist by M. Beasley)
3:11.0,E. Bledsoe makes 3-pt shot from 24 ft,3,19-21,,
2:57.0,,,19-21,,E. Kanter misses 2-pt shot from 9 ft
2:55.0,Defensive rebound by K. Middleton,,19-21,,
2:49.0,Milwaukee full timeout,,19-21,,
2:39.0,K. Middleton misses 2-pt shot from 22 ft,,19-21,,
2:37.0,,,19-21,,Defensive rebound by C. Lee
2:31.0,,,19-21,,Turnover by M. Beasley (bad pass)
2:15.0,J. Parker makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,21-21,,
2:02.0,,,21-21,,Turnover by M. Beasley (lost ball; steal by E. Bledsoe)
1:59.0,J. Parker makes 2-pt shot at rim (assist by E. Bledsoe),2,23-21,,
1:42.0,,,23-21,,Shooting foul by S. Brown (drawn by M. Beasley)
1:42.0,,,23-21,,T. Hardaway enters the game for C. Lee
1:42.0,J. Terry enters the game for K. Middleton,,23-21,,
1:42.0,G. Antetokounmpo enters the game for E. Bledsoe,,23-21,,
1:42.0,,,23-21,,M. Beasley misses free throw 1 of 2
1:42.0,,,23-21,,Offensive rebound by Team
1:42.0,,,23-22,1,M. Beasley makes free throw 2 of 2
1:25.0,J. Parker misses 2-pt shot from 8 ft,,23-22,,
1:23.0,,,23-22,,Defensive rebound by T. Hardaway
1:16.0,,,23-24,2,E. Kanter makes 2-pt shot at rim (assist by T. Hardaway)
1:01.0,G. Antetokounmpo makes 2-pt shot from 22 ft,2,25-24,,
0:54.0,,,25-24,,Turnover by F. Ntilikina (bad pass; steal by S. Brown)
0:52.0,S. Brown misses 2-pt shot at rim,,25-24,,
0:49.0,,,25-24,,Defensive rebound by D. McDermott
0:37.0,,,25-24,,T. Hardaway misses 2-pt shot from 12 ft
0:34.0,Defensive rebound by G. Antetokounmpo,,25-24,,
