time,Sacramento,pts.away,score,pts.home,Oklahoma City
1:29.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,16-17,,
1:27.0,,,16-17,,Defensive rebound by P. Patterson
1:15.0,,,16-17,,Turnover by P. George (lost ball; steal by G. Temple)
1:11.0,B. Hield misses 2-pt shot from 1 ft,,16-17,,
1:09.0,,,16-17,,Defensive rebound by Team
0:55.0,,,16-17,,J. Grant misses 2-pt shot from 2 ft (block by V. Carter)
0:55.0,Defensive rebound by Team,,16-17,,
0:37.0,B. Hield misses 2-pt shot at rim (block by T. Ferguson),,16-17,,
0:35.0,,,16-17,,Defensive rebound by P. Patterson
0:35.0,Personal take foul by F. Mason (drawn by P. George),,16-17,,
0:35.0,,,16-18,1,P. George makes free throw 1 of 2
0:35.0,,,16-19,1,P. George makes free throw 2 of 2
0:25.0,Turnover by W. Cauley-Stein (out of bounds lost ball),,16-19,,
0:07.0,,,16-19,,Turnover by T. Ferguson (step out of bounds)
0:01.0,B. Hield misses 3-pt shot from 25 ft,,16-19,,
0:00.0,Offensive rebound by W. Cauley-Stein,,16-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,B. Hield makes 3-pt shot from 23 ft (assist by F. Mason),3,19-19,,
11:15.0,,,19-21,2,J. Grant makes 2-pt shot from 1 ft
11:06.0,,,19-21,,Violation by P. Patterson (kicked ball)
11:00.0,Turnover by F. Mason (bad pass; steal by R. Felton),,19-21,,
10:52.0,,,19-24,3,R. Felton makes 3-pt shot from 24 ft
10:34.0,V. Carter misses 2-pt shot from 2 ft,,19-24,,
10:32.0,,,19-24,,Defensive rebound by J. Grant
10:25.0,,,19-24,,P. Patterson misses 3-pt shot from 23 ft
10:22.0,Defensive rebound by V. Carter,,19-24,,
10:07.0,F. Mason misses 2-pt shot from 7 ft,,19-24,,
10:04.0,Offensive rebound by V. Carter,,19-24,,
10:04.0,V. Carter misses 2-pt shot at rim,,19-24,,
10:03.0,Offensive rebound by V. Carter,,19-24,,
9:51.0,B. Hield misses 3-pt shot from 24 ft,,19-24,,
9:49.0,,,19-24,,Defensive rebound by P. Patterson
9:32.0,,,19-24,,J. Huestis misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by B. Hield,,19-24,,
9:23.0,Shooting foul by J. Grant (drawn by F. Mason),,19-24,,
9:23.0,F. Mason makes free throw 1 of 2,1,20-24,,
9:23.0,F. Mason makes free throw 2 of 2,1,21-24,,
9:11.0,,,21-24,,Turnover by J. Huestis (out of bounds lost ball)
8:47.0,B. Hield misses 3-pt shot from 24 ft,,21-24,,
8:44.0,Offensive rebound by W. Cauley-Stein,,21-24,,
8:31.0,Turnover by F. Mason (lost ball; steal by P. Patterson),,21-24,,
8:31.0,Personal foul by F. Mason (drawn by P. Patterson),,21-24,,
8:31.0,,,21-24,,R. Westbrook enters the game for J. Grant
8:31.0,,,21-24,,S. Adams enters the game for J. Huestis
8:20.0,,,21-24,,R. Felton misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by Team,,21-24,,
7:57.0,W. Cauley-Stein misses 2-pt shot at rim,,21-24,,
7:54.0,,,21-24,,Defensive rebound by S. Adams
