time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. D. Jordan (P. Tucker gains possession),,,,Jump ball: C. Capela vs. D. Jordan (P. Tucker gains possession)
11:42.0,,,0-2,2,J. Harden makes 2-pt shot from 1 ft
11:23.0,A. Rivers misses 3-pt shot from 26 ft,,0-2,,
11:20.0,Offensive rebound by D. Jordan,,0-2,,
11:17.0,D. Jordan makes 2-pt shot from 1 ft,2,2-2,,
11:00.0,Personal foul by A. Rivers (drawn by C. Paul),,2-2,,
10:54.0,Violation by T. Harris (kicked ball),,2-2,,
10:48.0,Def 3 sec tech foul by D. Jordan,,2-2,,
10:48.0,,,2-3,1,J. Harden makes technical free throw
10:40.0,,,2-3,,T. Ariza misses 2-pt shot from 8 ft
10:34.0,,,2-3,,Offensive rebound by T. Ariza
10:34.0,,,2-3,,T. Ariza misses 2-pt shot at rim
10:32.0,Defensive rebound by T. Harris,,2-3,,
10:22.0,T. Harris makes 2-pt shot from 1 ft,2,4-3,,
10:12.0,,,4-3,,C. Paul misses 2-pt shot from 9 ft
10:10.0,Defensive rebound by A. Rivers,,4-3,,
10:05.0,Shooting foul by J. Harden (drawn by L. Williams),,4-3,,
10:05.0,L. Williams makes free throw 1 of 2,1,5-3,,
10:05.0,L. Williams makes free throw 2 of 2,1,6-3,,
9:52.0,,,6-5,2,J. Harden makes 2-pt shot from 14 ft
9:30.0,T. Harris misses 2-pt shot from 9 ft,,6-5,,
9:28.0,,,6-5,,Defensive rebound by P. Tucker
9:15.0,,,6-5,,Turnover by J. Harden (out of bounds lost ball)
9:15.0,Technical foul by S. Thornwell,,6-5,,
9:15.0,,,6-6,1,J. Harden makes technical free throw
9:05.0,T. Harris misses 3-pt shot from 25 ft,,6-6,,
9:03.0,Offensive rebound by Team,,6-6,,
9:00.0,S. Thornwell misses 2-pt shot from 1 ft,,6-6,,
8:57.0,Offensive rebound by T. Harris,,6-6,,
8:51.0,T. Harris makes 2-pt shot from 20 ft,2,8-6,,
8:32.0,,,8-6,,C. Paul misses 2-pt shot from 19 ft
8:30.0,Defensive rebound by D. Jordan,,8-6,,
8:21.0,Turnover by A. Rivers (bad pass; steal by C. Capela),,8-6,,
8:15.0,,,8-8,2,C. Capela makes 2-pt shot at rim (assist by P. Tucker)
7:59.0,A. Rivers makes 2-pt shot at rim (assist by D. Jordan),2,10-8,,
7:59.0,Shooting foul by P. Tucker (drawn by A. Rivers),,10-8,,
7:59.0,A. Rivers misses free throw 1 of 1,,10-8,,
7:56.0,,,10-8,,Defensive rebound by P. Tucker
7:35.0,,,10-8,,J. Harden misses 3-pt shot from 23 ft
7:32.0,Defensive rebound by D. Jordan,,10-8,,
7:25.0,L. Williams misses 2-pt shot from 3 ft,,10-8,,
7:23.0,Offensive rebound by D. Jordan,,10-8,,
7:21.0,D. Jordan misses 2-pt shot from 1 ft (block by C. Capela),,10-8,,
7:21.0,,,10-8,,Defensive rebound by P. Tucker
7:15.0,,,10-8,,C. Capela misses 2-pt shot at rim (block by D. Jordan)
7:11.0,Defensive rebound by D. Jordan,,10-8,,
7:05.0,L. Williams misses 2-pt shot from 9 ft,,10-8,,
7:05.0,,,10-8,,Defensive rebound by P. Tucker
6:57.0,,,10-8,,C. Paul misses 3-pt shot from 23 ft
6:54.0,Defensive rebound by D. Jordan,,10-8,,
6:52.0,Turnover by D. Jordan (bad pass),,10-8,,
6:52.0,,,10-8,,Houston full timeout
6:52.0,,,10-8,,E. Gordon enters the game for P. Tucker
6:52.0,,,10-8,,L. Mbah a Moute enters the game for C. Paul
6:38.0,,,10-11,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
6:22.0,L. Williams misses 2-pt shot from 16 ft,,10-11,,
6:22.0,Offensive rebound by D. Jordan,,10-11,,
6:17.0,D. Jordan misses 2-pt shot at rim,,10-11,,
6:16.0,,,10-11,,Defensive rebound by T. Ariza
6:11.0,,,10-11,,C. Capela misses 2-pt shot from 2 ft
6:11.0,,,10-11,,Offensive rebound by C. Capela
6:09.0,,,10-11,,C. Capela misses 2-pt shot at rim
6:09.0,,,10-11,,Offensive rebound by J. Harden
5:57.0,,,10-14,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Ariza)
5:42.0,A. Rivers misses 2-pt shot from 4 ft (block by C. Capela),,10-14,,
5:38.0,,,10-14,,Defensive rebound by T. Ariza
5:35.0,,,10-16,2,T. Ariza makes 2-pt shot from 1 ft
5:18.0,T. Harris makes 2-pt shot from 1 ft,2,12-16,,
5:08.0,,,12-16,,E. Gordon misses 3-pt shot from 27 ft
5:04.0,Defensive rebound by T. Harris,,12-16,,
4:58.0,T. Harris makes 3-pt shot from 25 ft,3,15-16,,
4:41.0,,,15-16,,Turnover by T. Ariza (bad pass)
4:41.0,M. Teodosic enters the game for L. Williams,,15-16,,
4:18.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Rivers),3,18-16,,
3:56.0,,,18-18,2,C. Capela makes 2-pt shot at rim (assist by L. Mbah a Moute)
3:42.0,M. Teodosic misses 3-pt shot from 25 ft,,18-18,,
3:38.0,,,18-18,,Defensive rebound by T. Ariza
3:35.0,,,18-18,,T. Ariza misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by A. Rivers,,18-18,,
3:24.0,D. Jordan makes 2-pt shot at rim (assist by T. Harris),2,20-18,,
3:12.0,,,20-21,3,J. Harden makes 3-pt shot from 25 ft
3:12.0,,,20-21,,Shooting foul by S. Thornwell (drawn by J. Harden)
3:12.0,,,20-21,,J. Johnson enters the game for T. Ariza
3:12.0,,,20-21,,N. Hilario enters the game for C. Capela
