time,Phoenix,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. M. Chriss (D. Bender gains possession),,,,Jump ball: K. Love vs. M. Chriss (D. Bender gains possession)
11:44.0,J. Jackson misses 2-pt shot from 11 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by K. Love
11:36.0,,,0-0,,J. Green misses 3-pt shot from 23 ft
11:33.0,Defensive rebound by M. Chriss,,0-0,,
11:19.0,M. Chriss misses 3-pt shot from 25 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by L. James
11:02.0,,,0-0,,Turnover by J. Calderon (bad pass; steal by D. Bender)
10:56.0,Turnover by E. Payton (bad pass; steal by G. Hill),,0-0,,
10:35.0,,,0-2,2,J. Green makes 2-pt shot from 7 ft
10:18.0,E. Payton misses 2-pt shot from 8 ft,,0-2,,
10:12.0,Offensive rebound by M. Chriss,,0-2,,
10:12.0,M. Chriss misses 2-pt shot at rim,,0-2,,
10:11.0,,,0-2,,Defensive rebound by G. Hill
10:01.0,,,0-2,,Turnover by J. Green (traveling)
9:50.0,Turnover by J. Jackson (out of bounds lost ball),,0-2,,
9:34.0,,,0-2,,K. Love misses 2-pt shot from 11 ft
9:31.0,Defensive rebound by J. Jackson,,0-2,,
9:30.0,Offensive charge foul by J. Jackson (drawn by J. Calderon),,0-2,,
9:30.0,Turnover by J. Jackson (offensive foul),,0-2,,
9:09.0,,,0-4,2,K. Love makes 2-pt shot from 1 ft (assist by J. Calderon)
9:01.0,J. Jackson misses 3-pt shot from 25 ft,,0-4,,
8:58.0,,,0-4,,Defensive rebound by J. Calderon
8:52.0,,,0-6,2,L. James makes 2-pt shot from 3 ft (assist by J. Calderon)
8:37.0,T. Daniels makes 3-pt shot from 26 ft (assist by E. Payton),3,3-6,,
8:18.0,,,3-6,,L. James misses 2-pt shot from 5 ft
8:14.0,Defensive rebound by M. Chriss,,3-6,,
8:14.0,E. Payton misses 2-pt shot from 6 ft (block by G. Hill),,3-6,,
8:13.0,,,3-6,,Defensive rebound by Team
8:09.0,Jump ball: G. Hill vs. E. Payton (K. Love gains possession),,,,Jump ball: G. Hill vs. E. Payton (K. Love gains possession)
8:05.0,,,3-6,,Turnover by K. Love (bad pass; steal by M. Chriss)
7:57.0,M. Chriss makes 2-pt shot from 1 ft (assist by J. Jackson),2,5-6,,
7:38.0,,,5-8,2,K. Love makes 2-pt shot from 11 ft
7:21.0,Turnover by E. Payton (lost ball; steal by J. Calderon),,5-8,,
7:18.0,,,5-10,2,J. Calderon makes 2-pt shot from 2 ft
7:00.0,M. Chriss makes 2-pt shot from 11 ft,2,7-10,,
6:48.0,,,7-12,2,L. James makes 2-pt shot at rim (assist by J. Calderon)
6:29.0,T. Daniels misses 3-pt shot from 25 ft,,7-12,,
6:26.0,,,7-12,,Defensive rebound by L. James
6:24.0,,,7-14,2,J. Calderon makes 2-pt shot from 2 ft (assist by L. James)
6:24.0,Phoenix full timeout,,7-14,,
6:24.0,,,7-14,,R. Hood enters the game for G. Hill
6:07.0,T. Daniels misses 3-pt shot from 26 ft,,7-14,,
6:04.0,,,7-14,,Defensive rebound by J. Green
6:01.0,Personal foul by T. Daniels (drawn by L. James),,7-14,,
5:57.0,,,7-14,,Shooting foul by J. Jackson (drawn by L. James)
5:57.0,,,7-14,,L. James misses free throw 1 of 2
5:57.0,,,7-14,,Offensive rebound by Team
5:57.0,,,7-15,1,L. James makes free throw 2 of 2
5:41.0,,,7-15,,Personal foul by L. James (drawn by M. Chriss)
5:33.0,M. Chriss makes 2-pt shot from 1 ft (assist by E. Payton),2,9-15,,
5:15.0,,,9-15,,J. Green misses 2-pt shot from 8 ft
5:12.0,Defensive rebound by M. Chriss,,9-15,,
5:08.0,M. Chriss makes 3-pt shot from 25 ft (assist by J. Jackson),3,12-15,,
5:06.0,,,12-15,,Cleveland full timeout
5:06.0,,,12-15,,L. Nance enters the game for J. Green
5:06.0,T. Ulis enters the game for J. Jackson,,12-15,,
4:58.0,,,12-17,2,L. James makes 2-pt shot from 2 ft
4:44.0,T. Daniels misses 2-pt shot from 21 ft,,12-17,,
4:41.0,,,12-17,,Defensive rebound by K. Love
4:33.0,,,12-19,2,R. Hood makes 2-pt shot from 8 ft (assist by L. James)
4:11.0,T. Daniels makes 2-pt shot at rim (assist by M. Chriss),2,14-19,,
3:46.0,,,14-21,2,L. James makes 2-pt shot at rim (assist by L. Nance)
3:35.0,T. Daniels makes 3-pt shot from 25 ft (assist by T. Ulis),3,17-21,,
3:12.0,,,17-21,,J. Calderon misses 3-pt shot from 26 ft
3:12.0,Defensive rebound by Team,,17-21,,
3:12.0,,,17-21,,J. Smith enters the game for K. Love
3:12.0,,,17-21,,J. Clarkson enters the game for J. Calderon
3:12.0,A. Len enters the game for E. Payton,,17-21,,
3:12.0,J. Jackson enters the game for D. Bender,,17-21,,
2:55.0,J. Jackson makes 2-pt shot at rim (assist by M. Chriss),2,19-21,,
2:45.0,,,19-21,,J. Clarkson misses 2-pt shot from 16 ft
2:43.0,Defensive rebound by J. Jackson,,19-21,,
2:36.0,J. Jackson makes 2-pt shot from 18 ft,2,21-21,,
2:14.0,Personal foul by T. Ulis (drawn by J. Clarkson),,21-21,,
2:09.0,,,21-21,,Turnover by J. Smith (bad pass)
1:58.0,J. Jackson makes 2-pt shot from 20 ft,2,23-21,,
1:40.0,,,23-21,,L. James misses 3-pt shot from 23 ft
1:34.0,,,23-21,,Offensive rebound by J. Clarkson
1:34.0,,,23-21,,J. Clarkson misses 2-pt shot at rim
1:33.0,Defensive rebound by A. Len,,23-21,,
1:28.0,Turnover by T. Daniels (bad pass),,23-21,,
1:24.0,,,23-23,2,R. Hood makes 2-pt shot from 17 ft (assist by L. James)
1:14.0,,,23-23,,Personal foul by J. Smith (drawn by J. Jackson)
1:14.0,S. Harrison enters the game for T. Daniels,,23-23,,
1:13.0,,,23-23,,Personal foul by L. James (drawn by M. Chriss)
1:13.0,M. Chriss makes free throw 1 of 2,1,24-23,,
1:13.0,M. Chriss makes free throw 2 of 2,1,25-23,,
1:02.0,,,25-23,,L. Nance misses 3-pt shot from 23 ft
1:02.0,Defensive rebound by Team,,25-23,,
0:46.0,A. Len makes 2-pt shot at rim (assist by J. Jackson),2,27-23,,
0:25.0,,,27-23,,J. Clarkson misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by M. Chriss,,27-23,,
0:06.0,J. Jackson misses 3-pt shot from 27 ft,,27-23,,
0:03.0,,,27-23,,Defensive rebound by L. James
0:00.0,,,27-23,,L. Nance misses 3-pt shot from 41 ft
0:00.0,,,27-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,27-23,,Turnover by G. Hill (out of bounds lost ball)
11:47.0,,,27-23,,Technical foul by G. Hill
11:47.0,T. Ulis makes technical free throw,1,28-23,,
11:38.0,T. Ulis makes 2-pt shot from 13 ft,2,30-23,,
11:12.0,,,30-25,2,G. Hill makes 2-pt shot from 2 ft
11:04.0,Shooting foul by T. Thompson (drawn by A. Len),,30-25,,
11:04.0,A. Len makes free throw 1 of 2,1,31-25,,
11:04.0,A. Len misses free throw 2 of 2,,31-25,,
11:00.0,,,31-25,,Defensive rebound by J. Clarkson
10:51.0,,,31-27,2,J. Clarkson makes 2-pt shot from 9 ft
10:38.0,Offensive foul by A. Len (drawn by G. Hill),,31-27,,
10:38.0,Turnover by A. Len (offensive foul),,31-27,,
10:25.0,,,31-27,,G. Hill misses 2-pt shot from 17 ft
10:22.0,Defensive rebound by D. Reed,,31-27,,
10:14.0,A. Len misses 2-pt shot from 4 ft,,31-27,,
10:10.0,,,31-27,,Defensive rebound by G. Hill
10:07.0,,,31-29,2,J. Clarkson makes 2-pt shot from 2 ft
9:49.0,S. Harrison makes 2-pt shot at rim,2,33-29,,
9:38.0,Personal foul by J. Dudley (drawn by J. Green),,33-29,,
9:29.0,,,33-29,,J. Clarkson misses 2-pt shot from 13 ft
9:26.0,,,33-29,,Offensive rebound by J. Clarkson
9:24.0,,,33-29,,J. Green misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by J. Dudley,,33-29,,
9:15.0,T. Ulis misses 2-pt shot from 13 ft,,33-29,,
9:15.0,,,33-29,,Defensive rebound by Team
9:15.0,Loose ball foul by A. Len (drawn by T. Thompson),,33-29,,
9:15.0,D. Bender enters the game for A. Len,,33-29,,
9:03.0,Personal foul by D. Reed (drawn by J. Smith),,33-29,,
8:57.0,,,33-29,,Shooting foul by S. Harrison (drawn by J. Clarkson)
8:57.0,,,33-30,1,J. Clarkson makes free throw 1 of 2
8:57.0,,,33-31,1,J. Clarkson makes free throw 2 of 2
8:42.0,Turnover by D. Bender (lost ball; steal by J. Clarkson),,33-31,,
8:35.0,,,33-31,,Shooting foul by S. Harrison (drawn by J. Smith)
8:35.0,,,33-32,1,J. Smith makes free throw 1 of 2
8:35.0,M. Chriss enters the game for S. Harrison,,33-32,,
8:35.0,E. Payton enters the game for D. Bender,,33-32,,
8:35.0,,,33-33,1,J. Smith makes free throw 2 of 2
8:19.0,Turnover by T. Ulis (traveling),,33-33,,
8:03.0,,,33-36,3,J. Green makes 3-pt shot from 25 ft (assist by J. Smith)
7:44.0,J. Dudley misses 3-pt shot from 25 ft,,33-36,,
7:42.0,,,33-36,,Defensive rebound by J. Green
7:37.0,,,33-36,,Turnover by J. Green (bad pass; steal by J. Dudley)
7:30.0,D. Reed misses 3-pt shot from 24 ft,,33-36,,
7:27.0,,,33-36,,Defensive rebound by T. Thompson
7:18.0,,,33-38,2,J. Clarkson makes 2-pt shot from 10 ft
7:17.0,Phoenix full timeout,,33-38,,
7:17.0,,,33-38,,K. Love enters the game for T. Thompson
7:17.0,,,33-38,,L. James enters the game for J. Green
7:17.0,J. Jackson enters the game for D. Reed,,33-38,,
7:05.0,T. Ulis misses 2-pt shot from 17 ft,,33-38,,
7:02.0,,,33-38,,Defensive rebound by G. Hill
6:50.0,,,33-41,3,K. Love makes 3-pt shot from 27 ft (assist by G. Hill)
6:26.0,T. Ulis makes 2-pt shot from 1 ft (assist by J. Dudley),2,35-41,,
6:19.0,,,35-44,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
6:09.0,Turnover by M. Chriss (traveling),,35-44,,
6:09.0,,,35-44,,J. Calderon enters the game for G. Hill
6:09.0,T. Daniels enters the game for T. Ulis,,35-44,,
5:57.0,,,35-47,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
5:44.0,J. Jackson misses 2-pt shot from 20 ft,,35-47,,
5:42.0,,,35-47,,Defensive rebound by K. Love
5:36.0,,,35-47,,J. Clarkson misses 3-pt shot from 23 ft
5:32.0,Defensive rebound by T. Daniels,,35-47,,
5:26.0,J. Jackson misses 3-pt shot from 25 ft,,35-47,,
5:23.0,,,35-47,,Defensive rebound by J. Smith
