time,Dallas,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. D. Powell (D. Gallinari gains possession),,,,Jump ball: D. Jordan vs. D. Powell (D. Gallinari gains possession)
11:39.0,,,0-2,2,D. Gallinari makes 2-pt shot from 13 ft
11:25.0,D. Smith misses 2-pt shot from 1 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by D. Gallinari
11:11.0,,,0-5,3,M. Teodosic makes 3-pt shot from 24 ft (assist by D. Gallinari)
10:57.0,D. Smith makes 2-pt shot from 1 ft,2,2-5,,
10:46.0,,,2-5,,M. Teodosic misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by Y. Ferrell,,2-5,,
10:27.0,Turnover by W. Matthews (bad pass; steal by A. Bradley),,2-5,,
10:22.0,,,2-7,2,A. Bradley makes 2-pt shot from 22 ft
9:59.0,Y. Ferrell makes 2-pt shot from 16 ft (assist by D. Powell),2,4-7,,
9:55.0,Violation by D. Nowitzki (kicked ball),,4-7,,
9:45.0,,,4-7,,D. Jordan misses 2-pt shot from 6 ft
9:42.0,Defensive rebound by D. Powell,,4-7,,
9:31.0,Y. Ferrell misses 3-pt shot from 25 ft,,4-7,,
9:28.0,,,4-7,,Defensive rebound by D. Jordan
9:21.0,,,4-9,2,T. Harris makes 2-pt shot from 11 ft
9:03.0,W. Matthews misses 2-pt shot from 16 ft,,4-9,,
9:01.0,,,4-9,,Defensive rebound by D. Jordan
8:52.0,,,4-11,2,T. Harris makes 2-pt shot from 8 ft (assist by A. Bradley)
8:52.0,Dallas full timeout,,4-11,,
8:35.0,W. Matthews misses 2-pt shot from 13 ft,,4-11,,
8:32.0,,,4-11,,Defensive rebound by D. Jordan
8:22.0,,,4-11,,A. Bradley misses 3-pt shot from 23 ft
8:19.0,Defensive rebound by D. Nowitzki,,4-11,,
8:01.0,Y. Ferrell makes 2-pt shot from 13 ft (assist by W. Matthews),2,6-11,,
7:46.0,,,6-13,2,D. Gallinari makes 2-pt shot at rim (assist by M. Teodosic)
7:31.0,Y. Ferrell makes 2-pt shot from 2 ft,2,8-13,,
7:22.0,,,8-15,2,A. Bradley makes 2-pt shot from 1 ft (assist by M. Teodosic)
7:11.0,D. Smith misses 2-pt shot from 8 ft,,8-15,,
7:09.0,,,8-15,,Defensive rebound by D. Jordan
7:09.0,Personal foul by D. Nowitzki (drawn by M. Teodosic),,8-15,,
7:09.0,S. Mejri enters the game for D. Nowitzki,,8-15,,
7:09.0,M. Kleber enters the game for D. Powell,,8-15,,
6:59.0,,,8-17,2,D. Jordan makes 2-pt shot from 1 ft (assist by T. Harris)
6:41.0,Turnover by D. Smith (lost ball; steal by A. Bradley),,8-17,,
6:32.0,,,8-17,,Turnover by D. Jordan (bad pass)
6:21.0,D. Smith makes 3-pt shot from 25 ft (assist by W. Matthews),3,11-17,,
6:02.0,,,11-17,,T. Harris misses 3-pt shot from 23 ft
5:57.0,,,11-17,,Offensive rebound by M. Teodosic
5:53.0,,,11-20,3,D. Gallinari makes 3-pt shot from 24 ft (assist by M. Teodosic)
5:35.0,Offensive foul by D. Smith (drawn by A. Bradley),,11-20,,
5:35.0,Turnover by D. Smith (offensive foul),,11-20,,
5:35.0,,,11-20,,LA Clippers full timeout
5:35.0,,,11-20,,L. Williams enters the game for A. Bradley
5:35.0,J. Barea enters the game for D. Smith,,11-20,,
5:20.0,,,11-20,,D. Jordan misses 2-pt shot from 3 ft
5:17.0,Defensive rebound by S. Mejri,,11-20,,
5:05.0,M. Kleber makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,14-20,,
4:54.0,,,14-20,,D. Jordan misses 2-pt shot at rim
4:54.0,Defensive rebound by Team,,14-20,,
4:54.0,,,14-20,,T. Wallace enters the game for M. Teodosic
4:38.0,S. Mejri makes 2-pt shot from 1 ft (assist by J. Barea),2,16-20,,
4:14.0,,,16-20,,D. Gallinari misses 3-pt shot from 24 ft
4:14.0,,,16-20,,Offensive rebound by Team
4:14.0,Loose ball foul by S. Mejri (drawn by D. Jordan),,16-20,,
4:14.0,,,16-20,,W. Johnson enters the game for D. Gallinari
4:14.0,D. Harris enters the game for Y. Ferrell,,16-20,,
4:07.0,,,16-20,,T. Harris misses 3-pt shot from 24 ft
4:03.0,Defensive rebound by W. Matthews,,16-20,,
3:55.0,J. Barea makes 2-pt shot from 8 ft,2,18-20,,
3:45.0,,,18-20,,T. Harris misses 2-pt shot from 16 ft
3:42.0,Defensive rebound by S. Mejri,,18-20,,
3:36.0,Shooting foul by T. Wallace (drawn by J. Barea),,18-20,,
3:36.0,J. Barea makes free throw 1 of 2,1,19-20,,
3:36.0,J. Barea makes free throw 2 of 2,1,20-20,,
3:27.0,,,20-20,,T. Wallace misses 2-pt shot from 4 ft
3:24.0,Defensive rebound by J. Barea,,20-20,,
3:12.0,S. Mejri makes 2-pt shot at rim (assist by W. Matthews),2,22-20,,
2:55.0,,,22-20,,Turnover by T. Wallace (out of bounds lost ball)
2:36.0,D. Harris makes 3-pt shot from 23 ft (assist by M. Kleber),3,25-20,,
2:27.0,,,25-22,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
2:08.0,S. Mejri misses 2-pt shot from 2 ft (block by D. Jordan),,25-22,,
2:05.0,,,25-22,,Defensive rebound by D. Jordan
2:01.0,,,25-22,,T. Harris misses 2-pt shot from 2 ft (block by S. Mejri)
1:57.0,Defensive rebound by D. Harris,,25-22,,
1:54.0,J. Barea misses 3-pt shot from 25 ft,,25-22,,
1:49.0,,,25-22,,Defensive rebound by T. Wallace
1:46.0,,,25-24,2,T. Harris makes 2-pt shot from 1 ft (assist by T. Wallace)
1:45.0,,,25-24,,Technical foul by D. Jordan
1:45.0,,,25-24,,S. Dekker enters the game for D. Jordan
1:45.0,,,25-24,,M. Harrell enters the game for T. Harris
1:45.0,D. Nowitzki enters the game for W. Matthews,,25-24,,
1:45.0,D. Powell enters the game for M. Kleber,,25-24,,
1:45.0,D. Harris makes technical free throw,1,26-24,,
1:45.0,D. Smith enters the game for S. Mejri,,26-24,,
1:30.0,Turnover by J. Barea (bad pass),,26-24,,
1:16.0,,,26-24,,T. Wallace misses 2-pt shot from 10 ft
1:10.0,,,26-24,,Offensive rebound by S. Dekker
1:10.0,,,26-24,,S. Dekker misses 2-pt shot at rim
1:09.0,Defensive rebound by D. Nowitzki,,26-24,,
1:07.0,Turnover by D. Nowitzki (lost ball; steal by M. Harrell),,26-24,,
1:06.0,,,26-27,3,W. Johnson makes 3-pt shot from 22 ft (assist by T. Wallace)
0:46.0,Shooting foul by W. Johnson (drawn by D. Nowitzki),,26-27,,
0:46.0,D. Nowitzki makes free throw 1 of 2,1,27-27,,
0:46.0,D. Nowitzki makes free throw 2 of 2,1,28-27,,
0:36.0,,,28-29,2,S. Dekker makes 2-pt shot from 1 ft (assist by L. Williams)
0:20.0,D. Nowitzki misses 2-pt shot from 17 ft,,28-29,,
0:16.0,,,28-29,,Defensive rebound by M. Harrell
0:04.0,Personal take foul by D. Harris (drawn by L. Williams),,28-29,,
0:04.0,M. Kleber enters the game for D. Nowitzki,,28-29,,
0:00.0,,,28-32,3,L. Williams makes 3-pt shot from 29 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by S. Dekker (drawn by D. Harris),,28-32,,
11:47.0,D. Harris makes free throw 1 of 2,1,29-32,,
11:47.0,D. Harris makes free throw 2 of 2,1,30-32,,
11:32.0,,,30-32,,L. Williams misses 2-pt shot from 7 ft
11:28.0,Defensive rebound by D. Nowitzki,,30-32,,
11:17.0,D. Harris misses 3-pt shot from 22 ft,,30-32,,
11:15.0,,,30-32,,Defensive rebound by W. Johnson
10:56.0,,,30-34,2,S. Dekker makes 2-pt shot from 2 ft (assist by L. Williams)
10:39.0,,,30-34,,Personal foul by T. Wallace (drawn by D. Harris)
10:31.0,J. Barea makes 2-pt shot from 10 ft,2,32-34,,
10:21.0,,,32-34,,S. Dekker misses 2-pt shot from 2 ft (block by D. Nowitzki)
10:21.0,,,32-34,,Offensive rebound by Team
10:21.0,,,32-34,,A. Bradley enters the game for T. Wallace
10:14.0,,,32-36,2,M. Harrell makes 2-pt shot from 8 ft (assist by L. Williams)
10:04.0,D. Nowitzki misses 3-pt shot from 26 ft,,32-36,,
10:01.0,,,32-36,,Defensive rebound by A. Bradley
9:59.0,,,32-36,,S. Dekker misses 2-pt shot from 1 ft
9:59.0,Defensive rebound by D. Nowitzki,,32-36,,
9:49.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,34-36,,
9:36.0,,,34-39,3,S. Dekker makes 3-pt shot from 24 ft (assist by M. Harrell)
9:23.0,Offensive foul by D. Powell (drawn by A. Bradley),,34-39,,
9:23.0,Turnover by D. Powell (offensive foul),,34-39,,
9:23.0,,,34-39,,D. Gallinari enters the game for S. Dekker
9:04.0,,,34-41,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
9:03.0,Dallas full timeout,,34-41,,
9:03.0,Y. Ferrell enters the game for D. Smith,,34-41,,
8:50.0,D. Harris makes 2-pt shot from 19 ft (assist by D. Powell),2,36-41,,
8:29.0,,,36-43,2,D. Gallinari makes 2-pt shot from 18 ft
8:20.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,38-43,,
8:10.0,,,38-45,2,A. Bradley makes 2-pt shot from 1 ft (assist by L. Williams)
7:58.0,,,38-45,,Personal foul by D. Gallinari (drawn by D. Powell)
7:47.0,Shooting foul by M. Harrell (drawn by D. Harris),,38-45,,
7:47.0,D. Harris makes free throw 1 of 3,1,39-45,,
7:47.0,D. Harris makes free throw 2 of 3,1,40-45,,
7:47.0,D. Harris makes free throw 3 of 3,1,41-45,,
7:36.0,Personal foul by D. Powell (drawn by M. Harrell),,41-45,,
7:25.0,,,41-45,,T. Harris enters the game for M. Harrell
7:25.0,,,41-45,,D. Jordan enters the game for W. Johnson
7:25.0,M. Kleber enters the game for J. Barea,,41-45,,
7:25.0,D. Smith enters the game for D. Powell,,41-45,,
7:25.0,W. Matthews enters the game for D. Nowitzki,,41-45,,
7:21.0,,,41-45,,T. Harris misses 2-pt shot from 1 ft (block by W. Matthews)
7:19.0,Defensive rebound by Y. Ferrell,,41-45,,
7:10.0,S. Mejri enters the game for D. Harris,,41-45,,
7:08.0,W. Matthews misses 3-pt shot from 22 ft,,41-45,,
7:03.0,Offensive rebound by S. Mejri,,41-45,,
7:03.0,S. Mejri misses 2-pt shot at rim,,41-45,,
7:02.0,,,41-45,,Defensive rebound by D. Gallinari
6:50.0,,,41-45,,T. Harris misses 2-pt shot from 1 ft
6:48.0,Defensive rebound by M. Kleber,,41-45,,
6:36.0,D. Smith misses 3-pt shot from 25 ft,,41-45,,
6:31.0,,,41-45,,Defensive rebound by D. Jordan
6:25.0,,,41-45,,Turnover by L. Williams (bad pass; steal by S. Mejri)
6:21.0,D. Smith misses 3-pt shot from 25 ft,,41-45,,
6:16.0,Offensive rebound by M. Kleber,,41-45,,
6:13.0,Y. Ferrell misses 3-pt shot from 25 ft,,41-45,,
6:09.0,,,41-45,,Defensive rebound by D. Jordan
6:06.0,,,41-47,2,D. Gallinari makes 2-pt shot at rim (assist by L. Williams)
5:45.0,W. Matthews misses 2-pt shot from 20 ft,,41-47,,
5:40.0,,,41-47,,Defensive rebound by L. Williams
5:37.0,Personal foul by Y. Ferrell (drawn by L. Williams),,41-47,,
5:37.0,,,41-47,,M. Teodosic enters the game for L. Williams
5:31.0,,,41-47,,A. Bradley misses 2-pt shot from 17 ft
5:30.0,Defensive rebound by Team,,41-47,,
5:19.0,Turnover by D. Smith (bad pass; steal by T. Harris),,41-47,,
5:14.0,,,41-49,2,T. Harris makes 2-pt shot from 1 ft (assist by M. Teodosic)
5:14.0,Dallas full timeout,,41-49,,
5:04.0,M. Kleber misses 3-pt shot from 23 ft,,41-49,,
5:02.0,Offensive rebound by Team,,41-49,,
5:01.0,Shooting foul by T. Harris (drawn by W. Matthews),,41-49,,
5:01.0,W. Matthews makes free throw 1 of 2,1,42-49,,
5:01.0,W. Matthews makes free throw 2 of 2,1,43-49,,
4:42.0,,,43-49,,Turnover by D. Jordan (turnover)
4:33.0,D. Smith misses 3-pt shot from 25 ft,,43-49,,
4:29.0,,,43-49,,Defensive rebound by M. Teodosic
4:24.0,,,43-49,,M. Teodosic misses 3-pt shot from 24 ft
4:22.0,Defensive rebound by D. Smith,,43-49,,
4:09.0,Turnover by D. Smith (bad pass; steal by T. Harris),,43-49,,
4:07.0,Personal foul by M. Kleber (drawn by A. Bradley),,43-49,,
4:07.0,,,43-49,,LA Clippers full timeout
4:07.0,,,43-49,,L. Williams enters the game for A. Bradley
4:07.0,D. Nowitzki enters the game for D. Smith,,43-49,,
4:07.0,D. Powell enters the game for Y. Ferrell,,43-49,,
