time,Orlando,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. N. Vucevic (T. McConnell gains possession),,,,Jump ball: J. Embiid vs. N. Vucevic (T. McConnell gains possession)
11:40.0,,,0-0,,Turnover by R. Covington (out of bounds lost ball)
11:26.0,N. Vucevic makes 2-pt shot from 14 ft (assist by E. Payton),2,2-0,,
11:11.0,,,2-0,,Turnover by J. Embiid (lost ball; steal by A. Gordon)
11:07.0,A. Gordon misses 2-pt shot from 1 ft,,2-0,,
11:03.0,,,2-0,,Defensive rebound by J. Embiid
10:57.0,,,2-0,,D. Saric misses 2-pt shot from 12 ft
10:54.0,Defensive rebound by A. Gordon,,2-0,,
10:44.0,Shooting foul by J. Embiid (drawn by A. Gordon),,2-0,,
10:44.0,A. Gordon makes free throw 1 of 2,1,3-0,,
10:44.0,A. Gordon makes free throw 2 of 2,1,4-0,,
10:28.0,,,4-0,,J. Embiid misses 2-pt shot from 15 ft
10:26.0,Defensive rebound by N. Vucevic,,4-0,,
10:18.0,A. Gordon misses 2-pt shot from 21 ft,,4-0,,
10:16.0,,,4-0,,Defensive rebound by R. Covington
10:12.0,,,4-3,3,J. Redick makes 3-pt shot from 28 ft (assist by T. McConnell)
9:59.0,N. Vucevic misses 2-pt shot from 7 ft,,4-3,,
9:57.0,,,4-3,,Defensive rebound by J. Embiid
9:38.0,,,4-3,,T. McConnell misses 2-pt shot from 11 ft
9:36.0,Defensive rebound by N. Vucevic,,4-3,,
9:28.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,6-3,,
9:12.0,,,6-3,,J. Redick misses 2-pt shot from 20 ft
9:09.0,Defensive rebound by A. Gordon,,6-3,,
9:02.0,A. Gordon misses 2-pt shot from 3 ft,,6-3,,
9:01.0,,,6-3,,Defensive rebound by J. Embiid
8:45.0,,,6-3,,Turnover by J. Embiid (bad pass; steal by T. Ross)
8:35.0,N. Vucevic misses 3-pt shot from 25 ft,,6-3,,
8:30.0,,,6-3,,Defensive rebound by R. Covington
8:18.0,,,6-3,,J. Embiid misses 2-pt shot from 13 ft
8:15.0,,,6-3,,Offensive rebound by T. McConnell
8:13.0,,,6-6,3,J. Redick makes 3-pt shot from 25 ft (assist by T. McConnell)
8:13.0,Orlando full timeout,,6-6,,
8:13.0,M. Speights enters the game for A. Gordon,,6-6,,
8:13.0,D. Augustin enters the game for E. Payton,,6-6,,
7:59.0,M. Speights makes 3-pt shot from 27 ft (assist by D. Augustin),3,9-6,,
7:39.0,,,9-6,,Turnover by J. Embiid (bad pass; steal by T. Ross)
7:37.0,Shooting foul by R. Covington (drawn by T. Ross),,9-6,,
7:37.0,T. Ross makes free throw 1 of 2,1,10-6,,
7:37.0,,,10-6,,A. Johnson enters the game for J. Embiid
7:37.0,T. Ross makes free throw 2 of 2,1,11-6,,
7:26.0,,,11-6,,D. Saric misses 3-pt shot from 27 ft
